Full release scope: 459 task sessions
Parallel full conversion with 16 session workers
OK 032452e9-1886-449d-9c13-0f192572e19f: 307/426 trials, 406 neurons, 1 probes, 20.6s
OK 0cf6d255-8f2f-463e-84fb-c54bacb79f51: 444/702 trials, 768 neurons, 1 probes, 25.3s
OK 0b7ee1b6-42db-46cd-a465-08f531366187: 628/797 trials, 514 neurons, 1 probes, 33.7s
SKIP 03cf52f6-fba6-4743-a42e-dd1ac3072343: RuntimeError: no left or right whisker motion-energy stream
OK 0deb75fb-9088-42d9-b744-012fb8fc4afb: 211/675 trials, 626 neurons, 1 probes, 22.4s
OK 113c5b6c-940e-4b21-b462-789b4c2be0e5: 304/436 trials, 879 neurons, 1 probes, 17.2s
OK 0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9: 288/471 trials, 1014 neurons, 1 probes, 20.9s
OK 10fac7a1-919d-4ca7-83c4-4675bd8d9416: 396/546 trials, 878 neurons, 1 probes, 21.8s
OK 0cc486c3-8c7b-494d-aa04-b70e2690bcba: 444/563 trials, 1495 neurons, 2 probes, 37.1s
OK 0ac8d013-b91e-4732-bc7b-a1164ff3e445: 674/841 trials, 908 neurons, 2 probes, 44.5s
OK 11163613-a6c9-4975-9586-84dc00481547: 593/816 trials, 1241 neurons, 1 probes, 28.0s
OK 0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3: 515/771 trials, 2846 neurons, 2 probes, 41.4s
OK 12dc8b34-b18e-4cdd-90a9-da134a9be79c: 420/907 trials, 489 neurons, 1 probes, 25.8s
OK 158d5d35-a2ab-4a76-87b0-51048c5d5283: 261/401 trials, 632 neurons, 1 probes, 18.1s
OK 14127fdb-2e66-4823-b124-f49c128ba94d: 370/629 trials, 1306 neurons, 1 probes, 28.4s
OK 111c1762-7908-47e0-9f40-2f2ee55b6505: 365/724 trials, 2506 neurons, 2 probes, 38.1s
OK 1425bd6f-c625-4f6a-b237-dc5bcfc42c87: 632/839 trials, 1093 neurons, 1 probes, 30.0s
OK 0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde: 618/1191 trials, 1807 neurons, 2 probes, 44.9s
OK 15763234-d21e-491f-a01b-1238eb96d389: 566/894 trials, 910 neurons, 1 probes, 29.7s
OK 15b69921-d471-4ded-8814-2adad954bcd8: 610/825 trials, 1113 neurons, 1 probes, 28.3s
OK 193fe7a8-4eb5-4f3e-815a-0c45864ddd77: 443/629 trials, 822 neurons, 1 probes, 22.1s
OK 15948667-747b-4702-9d53-354ac70e9119: 183/439 trials, 2023 neurons, 2 probes, 33.2s
OK 15f742e1-1043-45c9-9504-f1e8a53c1744: 482/826 trials, 925 neurons, 2 probes, 36.2s
OK 195443eb-08e9-4a18-a7e1-d105b2ce1429: 618/1037 trials, 358 neurons, 1 probes, 26.9s
OK 1191f865-b10a-45c8-9c48-24a980fd9402: 678/966 trials, 2068 neurons, 2 probes, 56.0s
OK 16693458-0801-4d35-a3f1-9115c7e5acfd: 353/531 trials, 1912 neurons, 2 probes, 38.7s
OK 16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1: 362/553 trials, 1141 neurons, 2 probes, 35.1s
OK 196a2adf-ff83-49b2-823a-33f990049c2e: 395/600 trials, 1898 neurons, 2 probes, 32.1s
OK 1928bf72-2002-46a6-8930-728420402e01: 397/669 trials, 2375 neurons, 2 probes, 42.8s
OK 19e66dc9-bf9f-430b-9d6a-acfa85de6fb7: 412/748 trials, 1242 neurons, 1 probes, 32.3s
OK 1d4a7bd6-296a-48b9-b20e-bd0ac80750a5: 232/417 trials, 1146 neurons, 1 probes, 19.3s
  0%|          | 0/3.0 [00:00<?, ?it/s]OK 1b61b7f2-a599-4e40-abd6-3e758d2c9e25: 537/875 trials, 658 neurons, 1 probes, 30.2s
 33%|███▎      | 1/3.0 [00:00<00:00,  2.51it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.40it/s]100%|██████████| 3/3.0 [00:00<00:00,  3.49it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:00,  2.40it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.87it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.74it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s]OK 1b715600-0cbc-442c-bd00-5b0ac2865de1: 248/437 trials, 911 neurons, 2 probes, 29.5s
 33%|███▎      | 1/3.0 [00:00<00:00,  2.38it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.41it/s]100%|██████████| 3/3.0 [00:00<00:00,  3.43it/s]
OK 19b44992-d527-4a12-8bda-aa11379cb08c: 289/436 trials, 2175 neurons, 2 probes, 39.0s
OK 1a507308-c63a-4e02-8f32-3239a07dc578: 379/743 trials, 1822 neurons, 2 probes, 41.0s
OK 1ca83b26-30fc-4350-a616-c38b7d00d240: 434/586 trials, 668 neurons, 2 probes, 37.0s
OK 2038e95d-64d4-4ecb-83d0-1308d3c598f8: 346/535 trials, 827 neurons, 1 probes, 26.5s
OK 21d21fc3-4201-4edc-802a-c67b61952548: 369/548 trials, 867 neurons, 1 probes, 20.5s
OK 233617ec-c5cf-4eda-afc8-3b1d94f36d73: 361/444 trials, 515 neurons, 1 probes, 19.7s
OK 1dbba733-24a4-4400-9436-53f1bd8428e8: 406/620 trials, 2096 neurons, 2 probes, 40.8s
OK 1eac875c-feaa-4a30-b148-059b954b11d8: 612/1253 trials, 986 neurons, 1 probes, 37.1s
OK 1f095590-6669-46c9-986b-ccaf0620c5e9: 578/719 trials, 1187 neurons, 1 probes, 38.0s
OK 1e45d992-c356-40e1-9be1-a506d944896f: 414/623 trials, 2769 neurons, 2 probes, 43.4s
OK 21e16736-fd59-44c7-b938-9b1333d25da8: 346/802 trials, 860 neurons, 1 probes, 30.0s
OK 23c75e0b-05d8-452e-8efb-a3687ab94079: 313/562 trials, 657 neurons, 1 probes, 22.2s
OK 22e04698-b974-4805-b241-3b547dbf37bf: 299/518 trials, 2251 neurons, 2 probes, 33.9s
OK 239dd3c9-35f3-4462-95ee-91b822a22e6b: 255/414 trials, 1939 neurons, 2 probes, 30.3s
OK 20c112a1-8a42-44e0-a4cd-e5b932f7bda9: 439/636 trials, 2793 neurons, 2 probes, 43.5s
OK 239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a: 360/636 trials, 2584 neurons, 2 probes, 35.4s
OK 2584ce3c-db10-4076-89cb-5d313138dd38: 428/712 trials, 1040 neurons, 1 probes, 23.5s
OK 1b9e349e-93f2-41cc-a4b5-b212d7ddc8df: 926/1140 trials, 2298 neurons, 2 probes, 72.7s
OK 25f77e81-c1af-46ab-8686-73ac3d67c4a7: 505/1014 trials, 1213 neurons, 1 probes, 27.0s
OK 251ece37-7798-477c-8a06-2845d4aa270c: 356/507 trials, 2095 neurons, 2 probes, 35.9s
OK 1ec23a70-b94b-4e9c-a0df-8c2151da3761: 1085/1194 trials, 2828 neurons, 2 probes, 63.2s
OK 25d1920e-a2af-4b6c-9f2e-fc6c65576544: 217/401 trials, 1583 neurons, 2 probes, 33.8s
OK 283ecb4c-e529-409c-9f0a-8ea5191dcf50: 330/487 trials, 1514 neurons, 1 probes, 25.2s
OK 26aa51ff-968c-42e4-85c8-8ff47d19254d: 338/534 trials, 2093 neurons, 2 probes, 34.3s
OK 28338153-4113-485b-835b-91cb96d984f2: 710/906 trials, 1035 neurons, 1 probes, 29.3s
OK 2ab7d2c2-bcb7-4ae6-9626-f3786c22d970: 307/591 trials, 462 neurons, 1 probes, 21.8s
OK 259927fd-7563-4b03-bc5d-17b4d0fa7a55: 499/646 trials, 1816 neurons, 2 probes, 43.0s
OK 27ef44c0-acb2-4220-b776-477d0d5abd35: 466/593 trials, 1273 neurons, 2 probes, 36.6s
OK 288bfbf3-3700-4abe-b6e4-130b5c541e61: 347/503 trials, 1299 neurons, 2 probes, 31.8s
OK 28741f91-c837-4147-939e-918d38d849f2: 270/401 trials, 1401 neurons, 2 probes, 34.5s
OK 29a6def1-fc5c-4eea-ac48-47e9b053dcb5: 633/834 trials, 1274 neurons, 1 probes, 33.4s
OK 280ee768-f7b8-4c6c-9ea0-48ca75d6b6f3: 730/888 trials, 1393 neurons, 2 probes, 48.8s
OK 2d9bfc10-59fb-424a-b699-7c42f86c7871: 466/678 trials, 1208 neurons, 1 probes, 27.9s
OK 2f63c555-eb74-4d8d-ada5-5c3ecf3b46be: 255/407 trials, 709 neurons, 1 probes, 21.5s
OK 30af8629-7b96-45b7-8778-374720ddbc5e: 304/416 trials, 1035 neurons, 1 probes, 23.8s
OK 30e5937e-e86a-47e6-93ae-d2ae3877ff8e: 320/424 trials, 697 neurons, 1 probes, 24.1s
OK 2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e: 192/421 trials, 1203 neurons, 2 probes, 36.4s
OK 2bdf206a-820f-402f-920a-9e86cd5388a4: 422/580 trials, 2047 neurons, 2 probes, 46.4s
OK 2c44a360-5a56-4971-8009-f469fb59de98: 333/602 trials, 1441 neurons, 2 probes, 40.6s
OK 3537d970-f515-4786-853f-23de525e110f: 341/503 trials, 1180 neurons, 1 probes, 28.0s
OK 32d27583-56aa-4510-bc03-669036edad20: 515/785 trials, 1353 neurons, 1 probes, 31.7s
OK 2e22c1fc-eec6-4856-85a0-7dba8668f646: 349/567 trials, 1525 neurons, 2 probes, 52.8s
OK 36280321-555b-446d-9b7d-c2e17991e090: 427/556 trials, 430 neurons, 1 probes, 33.5s
OK 2e6e179c-fccc-4e8f-9448-ce5b6858a183: 444/553 trials, 1734 neurons, 2 probes, 52.2s
OK 35eeb752-8f4f-4040-9714-ba0f5b7ccdfe: 538/762 trials, 1363 neurons, 1 probes, 42.4s
OK 36573e0b-ddd6-4504-94ec-9a23c877486c: 278/516 trials, 805 neurons, 1 probes, 33.1s
OK 37ac03f1-9831-4a30-90fc-a59e635b98bd: 309/490 trials, 398 neurons, 1 probes, 29.2s
OK 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: 262/401 trials, 151 neurons, 1 probes, 24.1s
OK 3638d102-e8b6-4230-8742-e548cd87a949: 394/695 trials, 860 neurons, 1 probes, 34.9s
OK 35ed605c-1a1a-47b1-86ff-2b56144f55af: 403/522 trials, 1553 neurons, 2 probes, 53.5s
OK 360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7: 367/609 trials, 1708 neurons, 2 probes, 50.3s
OK 37bbc17f-8dec-4fa8-97fd-e23a5c6bad1f: 480/759 trials, 1528 neurons, 1 probes, 36.8s
OK 3c851386-e92d-4533-8d55-89a46f0e7384: 268/403 trials, 513 neurons, 1 probes, 29.0s
OK 3bb54985-77b2-421d-9d1f-46185be51216: 453/755 trials, 344 neurons, 1 probes, 39.4s
OK 3dd347df-f14e-40d5-9ff2-9c49f84d2157: 237/401 trials, 737 neurons, 1 probes, 26.1s
OK 3f6e25ae-c007-4dc3-aa77-450fd5705046: 216/401 trials, 841 neurons, 1 probes, 20.5s
OK 37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0: 358/630 trials, 1776 neurons, 2 probes, 50.5s
OK 3e7ae7c0-fe8b-487c-9354-036236fa1010: 402/854 trials, 519 neurons, 1 probes, 28.8s
OK 413a6825-2144-4a50-b3fc-cf38ddd6fd1a: 326/456 trials, 717 neurons, 1 probes, 24.8s
OK 3663d82b-f197-4e8b-b299-7b803a155b84: 594/893 trials, 1802 neurons, 2 probes, 62.2s
OK 4364a246-f8d7-4ce7-ba23-a098104b96e4: 147/557 trials, 1202 neurons, 1 probes, 23.4s
OK 4503697e-af44-47d9-898d-4924be990240: 304/415 trials, 384 neurons, 1 probes, 22.1s
OK 3f71aa98-08c6-4e79-b4c8-00eae4f03eff: 467/672 trials, 1689 neurons, 1 probes, 33.1s
OK 3bcb81b4-d9ca-4fc9-a1cd-353a966239ca: 384/664 trials, 1696 neurons, 2 probes, 55.4s
OK 3e6a97d3-3991-49e2-b346-6948cb4580fb: 422/525 trials, 1902 neurons, 2 probes, 41.9s
OK 3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b: 446/709 trials, 1571 neurons, 2 probes, 48.0s
OK 4546cd60-fa2a-4d20-a9b6-d091e01d16f2: 310/550 trials, 380 neurons, 1 probes, 24.1s
OK 446f4724-1690-49f9-819a-2bd8e2ea88ce: 532/701 trials, 793 neurons, 1 probes, 33.7s
OK 3f859b5c-e73a-4044-b49e-34bb81e96715: 326/490 trials, 1860 neurons, 2 probes, 43.4s
OK 49250fba-801c-4867-a0a7-a1e19538cb61: 378/678 trials, 646 neurons, 1 probes, 24.5s
OK 41431f53-69fd-4e3b-80ce-ea62e03bf9c7: 308/570 trials, 2564 neurons, 2 probes, 44.9s
OK 46794e05-3f6a-4d35-afb3-9165091a5a74: 535/807 trials, 1324 neurons, 1 probes, 29.3s
OK 49368f16-de69-4647-9a7a-761e94517821: 398/544 trials, 765 neurons, 1 probes, 24.2s
OK 4aa1d525-5c7d-4c50-a147-ec53a9014812: 370/564 trials, 1044 neurons, 1 probes, 25.8s
OK 465c44bd-2e67-4112-977b-36e1ac7e3f8c: 359/484 trials, 1877 neurons, 2 probes, 42.5s
OK 4e560423-5caf-4cda-8511-d1ab4cd2bf7d: 442/575 trials, 167 neurons, 1 probes, 21.0s
OK 45ef6691-7b80-4a43-bd1a-85fc00851ae8: 428/645 trials, 2634 neurons, 2 probes, 44.9s
OK 4720c98a-a305-4fba-affb-bbfa00a724a4: 532/608 trials, 1284 neurons, 2 probes, 44.7s
OK 4a45c8ba-db6f-4f11-9403-56e06a33dfa4: 209/401 trials, 1807 neurons, 2 probes, 40.3s
OK 4fa70097-8101-4f10-b585-db39429c5ed0: 335/485 trials, 539 neurons, 1 probes, 22.6s
OK 493170a6-fd94-4ee4-884f-cc018c17eeb9: 535/686 trials, 1363 neurons, 2 probes, 47.0s
OK 500a71dd-8768-4211-a1fe-1fafc9fcbf29: 284/408 trials, 717 neurons, 1 probes, 24.1s
OK 49e0ab27-827a-4c91-bcaa-97eea27a1b8d: 574/884 trials, 1689 neurons, 2 probes, 48.6s
OK 4b00df29-3769-43be-bb40-128b1cba6d35: 547/812 trials, 1025 neurons, 2 probes, 46.0s
OK 4ef13091-1bc8-4f32-9619-107bdf48540c: 624/861 trials, 883 neurons, 1 probes, 32.8s
OK 4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b: 559/842 trials, 1499 neurons, 2 probes, 44.1s
OK 4ddb8a95-788b-48d0-8a0a-66c7c796da96: 556/722 trials, 1453 neurons, 2 probes, 45.3s
OK 4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a: 342/529 trials, 2316 neurons, 2 probes, 45.3s
OK 510b1a50-825d-44ce-86f6-9678f5396e02: 654/1075 trials, 1068 neurons, 1 probes, 39.8s
OK 53738f95-bd08-4d9d-9133-483fdb19e8da: 354/596 trials, 889 neurons, 1 probes, 22.2s
OK 5437ec1f-6535-470c-80b8-4c8806ee085d: 258/512 trials, 549 neurons, 1 probes, 16.2s
OK 51e53aff-1d5d-4182-a684-aba783d50ae5: 190/505 trials, 1189 neurons, 2 probes, 38.0s
OK 5157810e-0fff-4bcf-b19d-32d4e39c7dfc: 203/434 trials, 1742 neurons, 2 probes, 40.7s
OK 5455a21c-1be7-4cae-ae8e-8853a8d5f55e: 358/634 trials, 798 neurons, 1 probes, 23.7s
OK 5285c561-80da-4563-8694-739da92e5dd0: 351/563 trials, 2055 neurons, 2 probes, 42.5s
OK 537677fe-1e24-4755-948c-fa4a4e8ecce5: 234/474 trials, 1602 neurons, 2 probes, 33.8s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:00,  2.38it/s]OK 5339812f-8b91-40ba-9d8f-a559563cc46b: 285/438 trials, 2071 neurons, 2 probes, 38.9s
 67%|██████▋   | 2/3.0 [00:00<00:00,  2.04it/s]100%|██████████| 3/3.0 [00:01<00:00,  3.11it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.71it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:00,  2.33it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.26it/s]100%|██████████| 3/3.0 [00:01<00:00,  3.35it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.97it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:00,  2.18it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.19it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.90it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.66it/s]
OK 5139ce2c-7d52-44bf-8129-692d61dd6403: 656/1026 trials, 1900 neurons, 2 probes, 53.5s
OK 5386aba9-9b97-4557-abcd-abc2da66b863: 682/1011 trials, 1102 neurons, 1 probes, 38.1s
OK 5569f363-0934-464e-9a5b-77c8e67791a1: 509/717 trials, 813 neurons, 1 probes, 31.3s
OK 54238fd6-d2d0-4408-b1a9-d19d24fd29ce: 427/623 trials, 1994 neurons, 2 probes, 41.7s
OK 549caacc-3bd7-40f1-913d-e94141816547: 232/407 trials, 2736 neurons, 2 probes, 36.7s
OK 58c4bf97-ec3b-45b4-9db4-d5d9515d5b00: 244/426 trials, 1405 neurons, 1 probes, 19.9s
OK 56956777-dca5-468c-87cb-78150432cc57: 244/425 trials, 1728 neurons, 2 probes, 38.9s
OK 58b1e920-cfc8-467e-b28b-7654a55d0977: 565/728 trials, 549 neurons, 1 probes, 27.6s
OK 56bc129c-6265-407a-a208-cc16d20a6c01: 641/1065 trials, 731 neurons, 1 probes, 34.9s
OK 5ae68c54-2897-4d3a-8120-426150704385: 204/740 trials, 982 neurons, 1 probes, 25.5s
OK 5b49aca6-a6f4-4075-931a-617ad64c219c: 584/773 trials, 736 neurons, 1 probes, 26.6s
OK 57b5ae8f-d446-4161-b439-b191c5e3e77b: 369/639 trials, 967 neurons, 2 probes, 44.9s
OK 56b57c38-2699-4091-90a8-aba35103155e: 413/571 trials, 2220 neurons, 2 probes, 49.5s
OK 5522ac4b-0e41-4c53-836a-aaa17e82b9eb: 1054/1139 trials, 1715 neurons, 2 probes, 61.5s
OK 5bcafa14-71cb-42fa-8265-ce5cda1b89e0: 132/436 trials, 1417 neurons, 2 probes, 38.1s
OK 5adab0b7-dfd0-467d-b09d-43cb7ca5d59c: 426/672 trials, 2013 neurons, 2 probes, 53.9s
SKIP 4d8c7767-981c-4347-8e5e-5d5fffe38534: RuntimeError: no left or right whisker motion-energy stream
OK 62ff920c-2fdd-4feb-9d9f-0d66f2e595a1: 356/627 trials, 844 neurons, 1 probes, 26.4s
OK 61caa69d-088b-465a-b9d0-d75341dabac6: 319/504 trials, 838 neurons, 1 probes, 38.5s
OK 5d01d14e-aced-4465-8f8e-9a1c674f62ec: 257/555 trials, 2227 neurons, 2 probes, 54.1s
OK 62902992-8432-46fb-af12-6392012e58c7: 375/659 trials, 753 neurons, 1 probes, 42.7s
OK 6434f2f5-6bce-42b8-8563-d93d493613a2: 193/401 trials, 582 neurons, 1 probes, 20.3s
OK 63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871: 322/456 trials, 1021 neurons, 1 probes, 31.6s
OK 6364ff7f-6471-415a-ab9e-632a12052690: 388/629 trials, 745 neurons, 1 probes, 35.7s
OK 5d6aa933-4b00-4e99-ae2d-5003657592e9: 640/845 trials, 1895 neurons, 2 probes, 62.5s
OK 5b609f9b-75cb-43d3-9c39-b5b4b7a0db67: 751/1001 trials, 1962 neurons, 2 probes, 69.1s
OK 5ec72172-3901-4771-8777-6e9490ca51fc: 695/933 trials, 1469 neurons, 2 probes, 61.0s
OK 64e3fb86-928c-4079-865c-b364205b502e: 342/533 trials, 481 neurons, 1 probes, 22.8s
OK 64977c74-9c04-437a-9ea1-50386c4996db: 498/817 trials, 813 neurons, 1 probes, 27.1s
OK 626126d5-eecf-4e9b-900e-ec29a17ece07: 662/972 trials, 1969 neurons, 2 probes, 58.0s
OK 65f5c9b4-4440-48b9-b914-c593a5184a18: 359/458 trials, 1186 neurons, 1 probes, 22.7s
OK 6274dda8-3a59-4aa1-95f8-a8a549c46a26: 586/781 trials, 3011 neurons, 2 probes, 62.7s
OK 642c97ea-fe89-4ec9-8629-5e492ea4019d: 335/489 trials, 2130 neurons, 2 probes, 40.8s
OK 5c0c560e-9e1f-45e9-b66e-e4ee7855be84: 843/1100 trials, 2962 neurons, 2 probes, 76.2s
OK 6668c4a0-70a4-4012-a7da-709660971d7a: 304/427 trials, 888 neurons, 1 probes, 22.0s
OK 687017d4-c9fc-458f-a7d5-0979fe1a7470: 257/436 trials, 914 neurons, 1 probes, 17.6s
OK 6713a4a7-faed-4df2-acab-ee4e63326f8d: 407/565 trials, 898 neurons, 1 probes, 23.1s
OK 63c70ae8-4dfb-418b-b21b-f0b1e5fba6c9: 727/900 trials, 1425 neurons, 2 probes, 57.4s
OK 66d98e6e-bcd9-4e78-8fbb-636f7e808b29: 379/564 trials, 1370 neurons, 1 probes, 27.3s
OK 69a0e953-a643-4f0e-bb26-dc65af3ea7d7: 448/596 trials, 310 neurons, 1 probes, 22.9s
OK 68775ca0-b056-48d5-b6ae-a4c2a76ae48f: 563/817 trials, 1559 neurons, 1 probes, 32.0s
OK 6bf810fd-fbeb-4eea-9ea7-b6791d002b22: 328/489 trials, 833 neurons, 1 probes, 24.9s
OK 6cbeead9-bb7a-40e1-8ccd-47ae60239654: 324/499 trials, 528 neurons, 1 probes, 21.8s
OK 6bb5da8f-6858-4fdd-96d9-c34b3b841593: 449/651 trials, 313 neurons, 1 probes, 26.4s
SKIP 571d3ffe-54a5-473d-a265-5dc373eb7efc: RuntimeError: no left or right whisker motion-energy stream
OK 6ab9d98c-b1e9-4574-b8fe-b9eec88097e0: 617/874 trials, 1318 neurons, 1 probes, 40.4s
OK 671c7ea7-6726-4fbe-adeb-f89c2c8e489b: 543/802 trials, 2027 neurons, 2 probes, 51.4s
OK 695a6073-eae0-49e0-bb0f-e9e57a9275b9: 466/651 trials, 1892 neurons, 2 probes, 48.0s
OK 69c9a415-f7fa-4208-887b-1417c1479b48: 454/637 trials, 2664 neurons, 2 probes, 46.2s
OK 6b0b5d24-bcda-4053-a59c-beaa1fe03b8f: 410/684 trials, 2480 neurons, 2 probes, 44.5s
SKIP 5b44c40f-80f4-44fb-abfb-c7f19e27a6ca: RuntimeError: collapsed tertile thresholds [0.0, 0.0]
OK 6a601cc5-7b79-4c75-b0e8-552246532f82: 389/827 trials, 2055 neurons, 2 probes, 49.5s
OK 6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4: 324/445 trials, 814 neurons, 2 probes, 36.1s
OK 6c6983ef-7383-4989-9183-32b1a300d17a: 463/635 trials, 1931 neurons, 2 probes, 45.5s
OK 6ed57216-498d-48a6-b48b-a243a34710ea: 439/541 trials, 1366 neurons, 2 probes, 39.8s
OK 6f6d2c8e-28be-49f4-ae4d-06be2d3148c1: 393/552 trials, 1049 neurons, 1 probes, 29.7s
OK 6fb1e12c-883b-46d1-a745-473cde3232c8: 317/508 trials, 1232 neurons, 1 probes, 27.3s
OK 6c6b0d06-6039-4525-a74b-58cfaa1d3a60: 663/1006 trials, 1563 neurons, 2 probes, 50.8s
OK 6f09ba7e-e3ce-44b0-932b-c003fb44fb89: 411/551 trials, 2361 neurons, 2 probes, 46.5s
OK 71e03be6-b497-4991-a121-9416dcc1a6e7: 488/817 trials, 595 neurons, 1 probes, 28.9s
OK 7235b10c-6621-44ea-abe9-01559633472d: 358/610 trials, 1336 neurons, 1 probes, 23.1s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.79it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.91it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.94it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.54it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.52it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.66it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.42it/s]OK 741979ce-3f10-443a-8526-2275620c8473: 518/617 trials, 566 neurons, 1 probes, 26.1s
100%|██████████| 3/3.0 [00:01<00:00,  1.81it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.90it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.03it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.80it/s]
OK 72028382-a869-4745-bacf-cb8789e16953: 765/986 trials, 876 neurons, 1 probes, 37.8s
OK 71855308-7e54-41d7-a7a4-b042e78e3b4f: 193/516 trials, 1607 neurons, 2 probes, 49.2s
OK 6f36868f-5cc1-450c-82fa-6b9829ce0cfe: 603/1002 trials, 2856 neurons, 2 probes, 65.4s
OK 72982282-e493-45ee-87ce-aa45cb3a3ec1: 245/491 trials, 1701 neurons, 2 probes, 41.9s
OK 75db708a-9952-4452-a5b1-a851d88f8e28: 311/551 trials, 556 neurons, 1 probes, 31.7s
OK 752456f3-9f47-4fbf-bd44-9d131c0f41aa: 297/511 trials, 1301 neurons, 2 probes, 38.0s
OK 7416f387-b302-4ca3-8daf-03b585a1b7ec: 247/476 trials, 1213 neurons, 2 probes, 43.4s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.58it/s]OK 72cb5550-43b4-4ef0-add5-e4adfdfb5e02: 370/733 trials, 1864 neurons, 2 probes, 52.5s
