
Loading QLAK-CA1-08...
  31 sessions, 515 tracked neurons
  Session 2 (glenn): 294 neurons, 40 trials
  Session 3 (l): 285 neurons, 40 trials
  Session 4 (i): 368 neurons, 40 trials
  Session 5 (+): 288 neurons, 40 trials
  Session 6 (t): 330 neurons, 40 trials
  Session 7 (bit donut): 438 neurons, 40 trials
  Session 8 (o): 393 neurons, 40 trials
  Session 9 (u): 384 neurons, 40 trials
  Session 10 (square): 396 neurons, 40 trials
  Session 11 (rectangle): 344 neurons, 40 trials
  Session 12 (glenn): 344 neurons, 40 trials
  Session 13 (l): 395 neurons, 40 trials
  Session 14 (i): 433 neurons, 40 trials
  Session 15 (+): 389 neurons, 40 trials
  Session 16 (t): 419 neurons, 40 trials
  Session 17 (bit donut): 442 neurons, 40 trials
  Session 18 (o): 480 neurons, 40 trials
  Session 19 (u): 435 neurons, 40 trials
  Session 20 (square): 436 neurons, 40 trials
  Session 21 (rectangle): 424 neurons, 40 trials
  Session 22 (glenn): 450 neurons, 40 trials
  Session 23 (l): 421 neurons, 40 trials
  Session 24 (i): 501 neurons, 40 trials
  Session 25 (+): 420 neurons, 40 trials
  Session 26 (t): 393 neurons, 40 trials
  Session 27 (bit donut): 487 neurons, 40 trials
  Session 28 (o): 499 neurons, 40 trials
  Session 29 (u): 535 neurons, 40 trials
  Session 30 (square): 514 neurons, 40 trials

--- Summary ---
Total sessions: 207
Total trials: 8187
Subjects: 7

Saving full dataset to converted_data.pkl...
Saved (19.98 GB)

Creating sample dataset...
Saved sample to sample_data.pkl (1030.6 MB)
