Found 174 session files
  SC015_20190208_133600_s2: dropping 1 trial(s) with no spikes at all
[1/174] SC015_20190207_120657_s1: 459 neurons, 354/368 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[21/174] SC011_20190226_140636_s8: 292 neurons, 436/440 trials (0.7s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[22/174] SC013_20190513_144253_s22: 300 neurons, 496/534 trials (0.9s: setup=0.4, neural=0.5, input=0.0, output=0.1)
[23/174] SC013_20190514_154424_s23: 290 neurons, 559/581 trials (1.0s: setup=0.4, neural=0.5, input=0.0, output=0.1)
[24/174] SC013_20190515_153723_s24: 314 neurons, 597/602 trials (1.1s: setup=0.3, neural=0.7, input=0.0, output=0.1)
[25/174] SC013_20190516_152922_s25: 501 neurons, 437/439 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[26/174] SC013_20190517_150543_s26: 278 neurons, 682/684 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[27/174] SC022_20190227_134351_s1: 279 neurons, 538/540 trials (0.7s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[28/174] SC022_20190228_140832_s2: 603 neurons, 460/460 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[29/174] SC022_20190301_140324_s3: 433 neurons, 281/501 trials (0.7s: setup=0.4, neural=0.3, input=0.0, output=0.1)
[30/174] SC022_20190302_150148_s4: 425 neurons, 501/501 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[31/174] SC022_20190303_144606_s5: 436 neurons, 692/692 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[32/174] SC023_20190530_173316_s5: 553 neurons, 645/660 trials (1.4s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[33/174] SC023_20190531_161406_s6: 499 neurons, 796/800 trials (1.4s: setup=0.4, neural=1.0, input=0.0, output=0.1)
[34/174] SC023_20190601_175411_s7: 571 neurons, 660/660 trials (1.5s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[35/174] SC023_20190602_155210_s8: 533 neurons, 688/690 trials (1.3s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[36/174] SC023_20190603_160047_s9: 675 neurons, 420/430 trials (1.2s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[37/174] SC023_20190604_152447_s10: 496 neurons, 655/661 trials (1.7s: setup=0.4, neural=1.2, input=0.0, output=0.1)
[38/174] SC026_20190805_152117_s21: 498 neurons, 561/561 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[39/174] SC026_20190806_143015_s22: 530 neurons, 611/611 trials (1.2s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[40/174] SC026_20190807_134913_s20: 463 neurons, 505/630 trials (1.0s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[41/174] SC026_20190808_140448_s23: 599 neurons, 750/750 trials (1.6s: setup=0.4, neural=1.1, input=0.0, output=0.1)
[42/174] SC027_20190729_145044_s17: 224 neurons, 579/580 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[43/174] SC027_20190730_154125_s18: 478 neurons, 550/550 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[44/174] SC027_20190731_151805_s19: 488 neurons, 522/524 trials (1.1s: setup=0.3, neural=0.7, input=0.0, output=0.1)
[45/174] SC027_20190801_135056_s20: 427 neurons, 567/569 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[46/174] SC027_20190803_150200_s21: 433 neurons, 539/542 trials (1.2s: setup=0.3, neural=0.7, input=0.0, output=0.1)
[47/174] SC027_20190804_152922_s22: 428 neurons, 502/513 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[48/174] SC038_20191119_115109_s4: 106 neurons, 426/450 trials (0.5s: setup=0.2, neural=0.1, input=0.0, output=0.1)
[49/174] SC038_20191119_130822_s5: 157 neurons, 373/400 trials (0.4s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[50/174] SC038_20191120_115527_s6: 217 neurons, 387/404 trials (0.6s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[51/174] SC038_20191120_130334_s7: 194 neurons, 424/454 trials (0.6s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[52/174] SC038_20191121_113844_s8: 344 neurons, 415/440 trials (0.7s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[53/174] SC038_20191121_124405_s9: 253 neurons, 458/480 trials (0.6s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[54/174] SC038_20191122_134226_s10: 343 neurons, 444/470 trials (0.6s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[55/174] SC038_20191122_144855_s11: 477 neurons, 395/415 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[56/174] SC038_20191123_135013_s12: 332 neurons, 397/421 trials (0.6s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[57/174] SC038_20191123_145127_s13: 442 neurons, 515/600 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[58/174] SC030_20191002_143533_s32: 452 neurons, 550/581 trials (1.3s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[59/174] SC030_20191003_153548_s33: 272 neurons, 487/507 trials (0.9s: setup=0.2, neural=0.5, input=0.0, output=0.1)
[60/174] SC030_20191004_143720_s34: 414 neurons, 455/491 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[61/174] SC030_20191005_142316_s35: 346 neurons, 665/700 trials (1.3s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[62/174] SC031_20191021_142044_s48: 532 neurons, 418/440 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[63/174] SC031_20191022_133136_s49: 279 neurons, 512/570 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[64/174] SC031_20191023_142402_s50: 178 neurons, 486/530 trials (0.7s: setup=0.2, neural=0.4, input=0.0, output=0.1)
[65/174] SC032_20191217_123303_s54: 259 neurons, 403/450 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[66/174] SC032_20191218_111453_s55: 322 neurons, 485/520 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[67/174] SC032_20191219_134919_s56: 368 neurons, 416/450 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[68/174] SC032_20191220_140433_s57: 184 neurons, 464/490 trials (0.6s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[69/174] SC033_20191112_114755_s31: 156 neurons, 441/480 trials (0.5s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[70/174] SC033_20191113_135640_s32: 150 neurons, 396/423 trials (0.6s: setup=0.3, neural=0.2, input=0.0, output=0.1)
[71/174] SC033_20191114_142520_s33: 190 neurons, 479/503 trials (0.6s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[72/174] SC033_20191115_135939_s34: 141 neurons, 635/665 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[73/174] SC035_20200107_111633_s33: 365 neurons, 519/541 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[74/174] SC035_20200108_105741_s34: 254 neurons, 600/640 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[75/174] SC035_20200109_111437_s35: 323 neurons, 492/517 trials (0.8s: setup=0.2, neural=0.4, input=0.0, output=0.1)
[76/174] SC035_20200110_142717_s36: 269 neurons, 470/500 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[77/174] SC043_20200921_162104_s29: 605 neurons, 298/320 trials (0.9s: setup=0.4, neural=0.5, input=0.0, output=0.1)
[78/174] SC043_20200922_135318_s24: 378 neurons, 519/527 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[79/174] SC043_20200923_151145_s25: 537 neurons, 527/530 trials (1.4s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[80/174] SC043_20200924_134307_s26: 374 neurons, 625/629 trials (1.6s: setup=0.5, neural=1.0, input=0.0, output=0.1)
[81/174] SC043_20200925_153348_s27: 322 neurons, 425/461 trials (0.7s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[82/174] SC043_20200928_141416_s28: 90 neurons, 526/530 trials (0.6s: setup=0.3, neural=0.2, input=0.0, output=0.1)
[83/174] SC045_20201209_115448_s17: 110 neurons, 503/580 trials (0.6s: setup=0.3, neural=0.1, input=0.0, output=0.1)
[84/174] SC045_20201210_113111_s18: 180 neurons, 605/640 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[85/174] SC045_20201211_110651_s19: 233 neurons, 395/410 trials (0.7s: setup=0.3, neural=0.2, input=0.0, output=0.1)
[86/174] SC045_20201214_120340_s21: 459 neurons, 441/450 trials (1.0s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[87/174] SC045_20201216_120333_s24: 480 neurons, 261/264 trials (0.8s: setup=0.4, neural=0.3, input=0.0, output=0.1)
[88/174] SC045_20201217_120512_s22: 304 neurons, 437/440 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[89/174] SC045_20201218_113815_s23: 328 neurons, 517/520 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[90/174] SC048_20201224_122322_s10: 148 neurons, 431/470 trials (0.5s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[91/174] SC048_20201225_114244_s11: 237 neurons, 643/666 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[92/174] SC048_20201226_121710_s12: 371 neurons, 696/700 trials (1.3s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[93/174] SC048_20201229_125330_s13: 439 neurons, 524/530 trials (1.1s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[94/174] SC048_20201230_112558_s14: 639 neurons, 524/540 trials (1.4s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[95/174] SC048_20201231_114638_s15: 618 neurons, 482/490 trials (1.2s: setup=0.3, neural=0.8, input=0.0, output=0.1)
[96/174] SC048_20210101_123136_s16: 205 neurons, 489/500 trials (0.7s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[97/174] SC048_20210103_133044_s17: 523 neurons, 538/540 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[98/174] SC048_20210104_131503_s18: 555 neurons, 599/610 trials (1.1s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[99/174] SC049_20210106_125834_s14: 532 neurons, 484/560 trials (1.2s: setup=0.5, neural=0.6, input=0.0, output=0.1)
[100/174] SC049_20210107_120825_s15: 420 neurons, 489/500 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[101/174] SC049_20210108_135220_s16: 683 neurons, 512/520 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[102/174] SC049_20210110_134005_s17: 480 neurons, 687/720 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[103/174] SC049_20210111_122809_s18: 495 neurons, 517/540 trials (1.0s: setup=0.4, neural=0.5, input=0.0, output=0.1)
[104/174] SC049_20210112_130202_s19: 675 neurons, 619/624 trials (1.6s: setup=0.3, neural=1.2, input=0.0, output=0.1)
  SC052_20210122_131850_s4: dropping 1 trial(s) with no spikes at all
[105/174] SC049_20210113_125455_s20: 749 neurons, 674/680 trials (1.8s: setup=0.4, neural=1.3, input=0.0, output=0.1)
[106/174] SC050_20210225_155426_s16: 630 neurons, 510/540 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[107/174] SC050_20210226_161028_s17: 733 neurons, 476/500 trials (1.3s: setup=0.3, neural=0.9, input=0.0, output=0.1)
[108/174] SC050_20210227_131716_s18: 765 neurons, 488/520 trials (1.4s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[109/174] SC050_20210301_144130_s19: 538 neurons, 473/500 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[110/174] SC050_20210302_140243_s20: 502 neurons, 225/550 trials (0.8s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[111/174] SC050_20210303_161010_s21: 257 neurons, 460/500 trials (0.6s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[112/174] SC050_20210304_163309_s22: 219 neurons, 528/560 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[113/174] SC053_20210218_122535_s16: 477 neurons, 310/330 trials (1.1s: setup=0.4, neural=0.5, input=0.0, output=0.1)
[114/174] SC053_20210219_132453_s7: 376 neurons, 436/460 trials (0.8s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[115/174] SC053_20210220_124834_s15: 516 neurons, 350/381 trials (1.0s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[116/174] SC053_20210221_130859_s8: 688 neurons, 566/600 trials (1.6s: setup=0.4, neural=1.1, input=0.0, output=0.1)
[117/174] SC053_20210222_130313_s9: 350 neurons, 550/580 trials (1.0s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[118/174] SC053_20210223_135753_s10: 219 neurons, 561/580 trials (0.7s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[119/174] SC053_20210224_133042_s11: 469 neurons, 495/520 trials (1.1s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[120/174] SC053_20210225_115002_s12: 366 neurons, 534/561 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[121/174] SC053_20210226_133429_s13: 483 neurons, 546/570 trials (1.2s: setup=0.3, neural=0.7, input=0.0, output=0.2)
[122/174] SC053_20210228_131818_s14: 268 neurons, 622/650 trials (0.9s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[123/174] SC052_20210121_153333_s3: 432 neurons, 508/520 trials (1.1s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[124/174] SC052_20210122_131850_s4: 358 neurons, 591/625 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[125/174] SC052_20210123_132015_s5: 407 neurons, 577/600 trials (1.1s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[126/174] SC052_20210125_124258_s6: 509 neurons, 556/601 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[127/174] SC052_20210126_134951_s7: 650 neurons, 530/540 trials (1.5s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[128/174] SC052_20210127_140737_s8: 731 neurons, 488/504 trials (1.5s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[129/174] SC052_20210128_133949_s9: 923 neurons, 592/620 trials (1.9s: setup=0.3, neural=1.5, input=0.0, output=0.1)
[130/174] SC052_20210129_132207_s10: 724 neurons, 639/700 trials (1.8s: setup=0.4, neural=1.3, input=0.0, output=0.1)
[131/174] SC052_20210130_135022_s11: 850 neurons, 520/580 trials (1.5s: setup=0.4, neural=0.9, input=0.0, output=0.1)
[132/174] SC061_20210318_171131_s7: 256 neurons, 430/465 trials (0.6s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[133/174] SC061_20210319_144211_s8: 385 neurons, 544/600 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[134/174] SC061_20210321_131204_s9: 213 neurons, 457/500 trials (0.7s: setup=0.3, neural=0.2, input=0.0, output=0.2)
[135/174] SC061_20210322_122309_s10: 330 neurons, 537/570 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[136/174] SC061_20210323_121231_s11: 492 neurons, 441/470 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[137/174] SC061_20210324_143423_s12: 215 neurons, 579/642 trials (0.7s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[138/174] SC064_20210427_145157_s5: 486 neurons, 417/440 trials (1.0s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[139/174] SC064_20210428_133442_s6: 633 neurons, 534/560 trials (1.3s: setup=0.3, neural=0.9, input=0.0, output=0.1)
[140/174] SC064_20210429_131158_s7: 497 neurons, 502/530 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[141/174] SC064_20210430_132651_s8: 532 neurons, 481/500 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[142/174] SC064_20210504_121957_s10: 285 neurons, 627/660 trials (0.9s: setup=0.4, neural=0.4, input=0.0, output=0.1)
[143/174] SC064_20210505_131153_s11: 227 neurons, 656/690 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[144/174] SC064_20210506_134206_s12: 342 neurons, 644/680 trials (1.0s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[145/174] SC064_20210507_135524_s13: 430 neurons, 695/730 trials (1.3s: setup=0.3, neural=0.9, input=0.0, output=0.1)
[146/174] SC064_20210508_132858_s14: 390 neurons, 637/660 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[147/174] SC065_20210504_155124_s5: 308 neurons, 588/620 trials (0.8s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[148/174] SC065_20210505_170309_s6: 298 neurons, 625/660 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[149/174] SC065_20210506_174036_s7: 638 neurons, 516/545 trials (1.4s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[150/174] SC065_20210507_172825_s8: 208 neurons, 509/530 trials (0.6s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[151/174] SC065_20210509_131820_s9: 452 neurons, 477/510 trials (1.0s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[152/174] SC065_20210510_162815_s10: 238 neurons, 388/420 trials (0.6s: setup=0.3, neural=0.2, input=0.0, output=0.1)
[153/174] SC065_20210511_140555_s11: 206 neurons, 461/500 trials (0.8s: setup=0.4, neural=0.3, input=0.0, output=0.1)
[154/174] SC065_20210513_120445_s12: 404 neurons, 531/560 trials (1.3s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[155/174] SC065_20210514_111526_s13: 269 neurons, 565/600 trials (1.0s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[156/174] SC060_20210318_122039_s1: 365 neurons, 390/425 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[157/174] SC060_20210319_121514_s2: 393 neurons, 513/561 trials (0.7s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[158/174] SC060_20210320_130513_s3: 483 neurons, 521/565 trials (1.0s: setup=0.4, neural=0.5, input=0.0, output=0.1)
[159/174] SC060_20210322_164725_s4: 288 neurons, 464/500 trials (0.8s: setup=0.4, neural=0.3, input=0.0, output=0.1)
[160/174] SC060_20210323_164459_s5: 325 neurons, 634/680 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[161/174] SC060_20210324_182545_s6: 182 neurons, 458/505 trials (0.5s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[162/174] SC066_20210413_112028_s6: 537 neurons, 522/550 trials (1.3s: setup=0.4, neural=0.9, input=0.0, output=0.0)
[163/174] SC066_20210414_121243_s7: 473 neurons, 590/620 trials (1.6s: setup=0.4, neural=1.0, input=0.0, output=0.1)
[164/174] SC066_20210415_121842_s8: 302 neurons, 518/550 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[165/174] SC066_20210416_140326_s9: 317 neurons, 631/680 trials (1.3s: setup=0.4, neural=0.8, input=0.0, output=0.1)
[166/174] SC066_20210419_130102_s10: 530 neurons, 560/600 trials (1.5s: setup=0.4, neural=1.0, input=0.0, output=0.1)
[167/174] SC066_20210420_130906_s11: 437 neurons, 499/534 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[168/174] SC066_20210421_141806_s12: 339 neurons, 605/640 trials (1.1s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[169/174] SC067_20210413_150250_s23: 445 neurons, 662/700 trials (1.7s: setup=0.4, neural=1.1, input=0.0, output=0.1)
[170/174] SC067_20210414_153241_s24: 390 neurons, 547/580 trials (1.5s: setup=0.4, neural=1.0, input=0.0, output=0.1)
[171/174] SC067_20210415_161621_s25: 308 neurons, 490/520 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[172/174] SC067_20210418_132006_s26: 787 neurons, 689/720 trials (2.2s: setup=0.4, neural=1.7, input=0.0, output=0.1)
[173/174] SC067_20210419_161140_s27: 472 neurons, 448/480 trials (1.1s: setup=0.3, neural=0.7, input=0.0, output=0.1)
[174/174] SC067_20210420_170516_s28: 368 neurons, 626/650 trials (1.3s: setup=0.3, neural=0.9, input=0.0, output=0.1)

Converted 173 sessions in 26.4s (0.15s per session)
Writing /app/converted_data.pkl ...
Wrote /app/converted_data.pkl (11.82 GB) in 14.5s

=== conversion summary ===
sessions           : 173
subjects           : 28
neurons (total)    : 69453
neurons / session  : mean 401.5, range 90-923
trials (total)     : 89068
trials / session   : mean 514.8, range 159-796
neurons per region :
    ALM                  9367
    Medulla              2925
    Midbrain             7480
    Striatum             7666
    Thalamus            12968
    Pons                  367
    Cerebellum           1823
    Hypothalamus          650
    Hippocampus          1944
    Orbital             10223
    OtherCortex          6853
    Olfactory            4137
    CorticalSubplate     1960
    Pallidum             1090
output choice             left=0.429, right=0.422, no lick=0.149
output outcome            ignore=0.149, miss=0.166, hit=0.685
output early_lick         no=0.884, yes=0.116
output tongue_y_position  low (<40th pct)=0.098, mid (40-60th pct)=0.049, high (>60th pct)=0.098, not visible=0.755
total wall time    : 41.1s
