Found 152 NWB files
  sub-m11_ses-03: 155 neurons, 80 trials, 0 interneurons removed, 0.8s
  sub-m13_ses-01: 686 neurons, 80 trials, 0 interneurons removed, 3.7s
  sub-m13_ses-02: 550 neurons, 80 trials, 0 interneurons removed, 2.8s
  sub-m13_ses-03: 616 neurons, 80 trials, 0 interneurons removed, 3.0s
  sub-m13_ses-04: 503 neurons, 80 trials, 0 interneurons removed, 2.5s
  sub-m13_ses-05: 704 neurons, 80 trials, 0 interneurons removed, 2.8s
  sub-m13_ses-06: 519 neurons, 80 trials, 0 interneurons removed, 2.0s
  sub-m13_ses-07: 834 neurons, 80 trials, 0 interneurons removed, 3.2s
  sub-m13_ses-08: 707 neurons, 80 trials, 0 interneurons removed, 2.5s
  sub-m13_ses-09: 557 neurons, 80 trials, 0 interneurons removed, 2.1s
  sub-m13_ses-10: 603 neurons, 80 trials, 0 interneurons removed, 2.5s
  sub-m13_ses-11: 657 neurons, 80 trials, 0 interneurons removed, 3.1s
  sub-m13_ses-12: 595 neurons, 80 trials, 0 interneurons removed, 2.6s
  sub-m13_ses-13: 479 neurons, 60 trials, 0 interneurons removed, 1.6s
  sub-m13_ses-14: 749 neurons, 80 trials, 0 interneurons removed, 2.8s
  sub-m14_ses-01: 981 neurons, 80 trials, 0 interneurons removed, 4.0s
  sub-m14_ses-02: 592 neurons, 80 trials, 0 interneurons removed, 2.6s
  sub-m14_ses-03: 753 neurons, 80 trials, 0 interneurons removed, 2.8s
  sub-m14_ses-04: 647 neurons, 80 trials, 1 interneurons removed, 1.9s
  sub-m14_ses-05: 603 neurons, 80 trials, 0 interneurons removed, 1.9s
  sub-m14_ses-06: 618 neurons, 80 trials, 1 interneurons removed, 1.8s
  sub-m14_ses-07: 927 neurons, 80 trials, 0 interneurons removed, 2.8s
  sub-m14_ses-08: 990 neurons, 80 trials, 0 interneurons removed, 3.0s
  sub-m14_ses-09: 500 neurons, 80 trials, 0 interneurons removed, 1.4s
  sub-m14_ses-10: 727 neurons, 80 trials, 0 interneurons removed, 2.2s
  sub-m14_ses-11: 553 neurons, 80 trials, 1 interneurons removed, 1.8s
  sub-m14_ses-12: 611 neurons, 80 trials, 0 interneurons removed, 1.9s
  sub-m14_ses-13: 479 neurons, 80 trials, 4 interneurons removed, 1.3s
  sub-m14_ses-14: 876 neurons, 80 trials, 0 interneurons removed, 2.6s
  sub-m15_ses-01: 1133 neurons, 80 trials, 0 interneurons removed, 4.6s
  sub-m15_ses-02: 1045 neurons, 80 trials, 0 interneurons removed, 3.9s
  sub-m15_ses-03: 1426 neurons, 80 trials, 0 interneurons removed, 5.1s
  sub-m15_ses-04: 1167 neurons, 80 trials, 0 interneurons removed, 5.2s
  sub-m15_ses-05: 1483 neurons, 80 trials, 0 interneurons removed, 5.5s
  sub-m15_ses-06: 1041 neurons, 80 trials, 0 interneurons removed, 3.5s
  sub-m15_ses-07: 1308 neurons, 80 trials, 0 interneurons removed, 4.2s
  sub-m15_ses-08: 1307 neurons, 80 trials, 0 interneurons removed, 4.2s
  sub-m15_ses-09: 1070 neurons, 80 trials, 0 interneurons removed, 2.9s
  sub-m15_ses-10: 1282 neurons, 80 trials, 1 interneurons removed, 4.1s
  sub-m15_ses-11: 754 neurons, 80 trials, 0 interneurons removed, 2.2s
  sub-m15_ses-12: 1127 neurons, 80 trials, 0 interneurons removed, 3.2s
  sub-m15_ses-13: 875 neurons, 80 trials, 0 interneurons removed, 2.9s
  sub-m15_ses-14: 1195 neurons, 80 trials, 0 interneurons removed, 4.6s
  sub-m17_ses-01: 590 neurons, 80 trials, 1 interneurons removed, 3.5s
  sub-m17_ses-02: 440 neurons, 80 trials, 2 interneurons removed, 4.4s
  sub-m17_ses-03: 676 neurons, 80 trials, 0 interneurons removed, 3.8s
  sub-m17_ses-04: 506 neurons, 80 trials, 0 interneurons removed, 3.1s
  sub-m17_ses-05: 838 neurons, 80 trials, 0 interneurons removed, 8.6s
  sub-m17_ses-06: 491 neurons, 80 trials, 0 interneurons removed, 4.6s
  sub-m17_ses-07: 690 neurons, 80 trials, 0 interneurons removed, 4.9s
  sub-m17_ses-08: 590 neurons, 80 trials, 3 interneurons removed, 3.6s
  sub-m17_ses-09: 539 neurons, 80 trials, 0 interneurons removed, 4.6s
  sub-m17_ses-10: 683 neurons, 80 trials, 0 interneurons removed, 4.3s
  sub-m17_ses-11: 629 neurons, 80 trials, 0 interneurons removed, 3.2s
  sub-m17_ses-12: 743 neurons, 80 trials, 4 interneurons removed, 3.6s
  sub-m17_ses-13: 465 neurons, 80 trials, 3 interneurons removed, 3.2s
  sub-m17_ses-14: 769 neurons, 80 trials, 1 interneurons removed, 3.6s
  sub-m18_ses-01: 2281 neurons, 80 trials, 0 interneurons removed, 9.6s
  sub-m18_ses-02: 1638 neurons, 80 trials, 1 interneurons removed, 7.3s
  sub-m18_ses-03: 2327 neurons, 80 trials, 14 interneurons removed, 11.6s
  sub-m18_ses-04: 1631 neurons, 80 trials, 3 interneurons removed, 8.0s
  sub-m18_ses-05: 2107 neurons, 80 trials, 8 interneurons removed, 10.5s
  sub-m18_ses-06: 1373 neurons, 80 trials, 5 interneurons removed, 6.7s
  sub-m18_ses-07: 1725 neurons, 80 trials, 1 interneurons removed, 8.1s
  sub-m18_ses-08: 2313 neurons, 80 trials, 1 interneurons removed, 8.5s
  sub-m18_ses-09: 1691 neurons, 80 trials, 5 interneurons removed, 7.4s
  sub-m18_ses-10: 1883 neurons, 80 trials, 16 interneurons removed, 8.1s
  sub-m18_ses-11: 1370 neurons, 80 trials, 12 interneurons removed, 6.1s
  sub-m18_ses-12: 1920 neurons, 80 trials, 7 interneurons removed, 8.1s
  sub-m18_ses-13: 1430 neurons, 80 trials, 3 interneurons removed, 5.4s
  sub-m18_ses-14: 1950 neurons, 80 trials, 5 interneurons removed, 8.8s
  sub-m19_ses-01: 527 neurons, 80 trials, 1 interneurons removed, 2.8s
  sub-m19_ses-02: 405 neurons, 80 trials, 2 interneurons removed, 2.0s
  sub-m19_ses-03: 464 neurons, 80 trials, 1 interneurons removed, 2.8s
  sub-m19_ses-04: 549 neurons, 80 trials, 1 interneurons removed, 3.5s
  sub-m19_ses-05: 471 neurons, 80 trials, 1 interneurons removed, 3.0s
  sub-m19_ses-06: 504 neurons, 80 trials, 0 interneurons removed, 2.7s
  sub-m19_ses-07: 596 neurons, 80 trials, 0 interneurons removed, 3.5s
  sub-m19_ses-08: 566 neurons, 80 trials, 0 interneurons removed, 3.4s
  sub-m19_ses-09: 430 neurons, 80 trials, 4 interneurons removed, 2.3s
  sub-m19_ses-10: 467 neurons, 80 trials, 2 interneurons removed, 3.2s
  sub-m19_ses-11: 368 neurons, 80 trials, 10 interneurons removed, 2.0s
  sub-m19_ses-12: 556 neurons, 80 trials, 2 interneurons removed, 3.4s
  sub-m19_ses-13: 423 neurons, 80 trials, 5 interneurons removed, 1.9s
  sub-m19_ses-14: 589 neurons, 80 trials, 0 interneurons removed, 3.1s
  sub-m3_ses-01: 1017 neurons, 80 trials, 35 interneurons removed, 8.6s
  sub-m3_ses-02: 883 neurons, 80 trials, 34 interneurons removed, 6.0s
  sub-m3_ses-03: 1056 neurons, 80 trials, 3 interneurons removed, 5.9s
  sub-m3_ses-04: 812 neurons, 80 trials, 2 interneurons removed, 5.2s
  sub-m3_ses-05: 1021 neurons, 80 trials, 1 interneurons removed, 8.0s
  sub-m3_ses-06: 810 neurons, 80 trials, 8 interneurons removed, 4.9s
  sub-m3_ses-07: 784 neurons, 80 trials, 3 interneurons removed, 4.7s
  sub-m3_ses-08: 778 neurons, 80 trials, 5 interneurons removed, 5.4s
  sub-m3_ses-09: 765 neurons, 80 trials, 3 interneurons removed, 4.7s
  sub-m3_ses-10: 929 neurons, 90 trials, 1 interneurons removed, 5.0s
  sub-m3_ses-11: 1000 neurons, 80 trials, 0 interneurons removed, 5.5s
  sub-m3_ses-12: 1030 neurons, 80 trials, 0 interneurons removed, 5.7s
  sub-m3_ses-13: 980 neurons, 80 trials, 0 interneurons removed, 4.0s
  sub-m3_ses-14: 1050 neurons, 100 trials, 0 interneurons removed, 5.3s
  sub-m4_ses-01: 982 neurons, 80 trials, 1 interneurons removed, 7.7s
  sub-m4_ses-02: 909 neurons, 80 trials, 17 interneurons removed, 6.5s
  sub-m4_ses-03: 1026 neurons, 75 trials, 5 interneurons removed, 8.1s
  sub-m4_ses-04: 1016 neurons, 41 trials, 0 interneurons removed, 6.9s
  sub-m4_ses-05: 1066 neurons, 80 trials, 0 interneurons removed, 8.6s
  sub-m4_ses-06: 1068 neurons, 80 trials, 0 interneurons removed, 7.3s
  sub-m4_ses-07: 1004 neurons, 80 trials, 7 interneurons removed, 6.6s
  sub-m4_ses-08: 1287 neurons, 80 trials, 0 interneurons removed, 9.0s
  sub-m4_ses-09: 1014 neurons, 50 trials, 5 interneurons removed, 7.2s
  sub-m4_ses-10: 1100 neurons, 80 trials, 0 interneurons removed, 7.9s
  sub-m4_ses-11: 990 neurons, 80 trials, 0 interneurons removed, 6.7s
  sub-m4_ses-12: 1038 neurons, 80 trials, 1 interneurons removed, 7.4s
  sub-m4_ses-13: 876 neurons, 80 trials, 10 interneurons removed, 7.3s
  sub-m4_ses-14: 1062 neurons, 80 trials, 4 interneurons removed, 9.3s
  sub-m7_ses-01: 1298 neurons, 100 trials, 0 interneurons removed, 6.3s
  sub-m7_ses-02: 1186 neurons, 80 trials, 0 interneurons removed, 4.5s
  sub-m7_ses-03: 1155 neurons, 100 trials, 0 interneurons removed, 5.4s
  sub-m7_ses-04: 1013 neurons, 80 trials, 0 interneurons removed, 3.9s
  sub-m7_ses-05: 1111 neurons, 80 trials, 0 interneurons removed, 4.9s
  sub-m7_ses-06: 1142 neurons, 80 trials, 0 interneurons removed, 4.9s
  sub-m7_ses-07: 1020 neurons, 100 trials, 0 interneurons removed, 4.2s
  sub-m7_ses-08: 1034 neurons, 100 trials, 0 interneurons removed, 4.4s
  sub-m7_ses-09: 900 neurons, 80 trials, 0 interneurons removed, 3.4s
  sub-m7_ses-10: 886 neurons, 80 trials, 0 interneurons removed, 3.6s
  sub-m7_ses-11: 973 neurons, 80 trials, 0 interneurons removed, 3.5s
  sub-m7_ses-12: 969 neurons, 100 trials, 0 interneurons removed, 4.7s
  sub-m7_ses-13: 988 neurons, 80 trials, 0 interneurons removed, 3.9s
  sub-m7_ses-14: 1192 neurons, 100 trials, 0 interneurons removed, 5.8s

Saving to converted_data.pkl...
Saved converted_data.pkl (9362.9 MB)
Total time: 681.4s

Summary:
  Subjects: 11 (m11, m12, m13, m14, m15, m17, m18, m19, m3, m4, m7)
  Sessions: 152
  Total neurons: 138394
  Mean neurons/session: 910.5
  Total trials: 12216
  Mean trials/session: 80.4
  Time bin: 64.48 ms
