Processing 174 sessions with 16 workers
SC017_20190216_162508_s4: no good units, skipping
SC045_20201217_120512_s22: 304 units, 437/440 trials, 0.5s
SC048_20201224_122322_s10: 148 units, 431/470 trials, 0.4s
SC045_20201214_120340_s21: 459 units, 441/450 trials, 0.7s
SC045_20201218_113815_s23: 328 units, 517/520 trials, 0.7s
SC048_20201225_114244_s11: 237 units, 643/666 trials, 0.5s
SC043_20200923_151145_s25: 537 units, 527/530 trials, 1.4s
SC043_20200924_134307_s26: 374 units, 625/629 trials, 1.4s
SC048_20210101_123136_s16: 205 units, 489/500 trials, 0.6s
SC048_20201229_125330_s13: 439 units, 524/530 trials, 1.0s
SC048_20201226_121710_s12: 371 units, 696/700 trials, 1.1s
SC048_20201231_114638_s15: 618 units, 482/490 trials, 1.0s
SC049_20210107_120825_s15: 420 units, 489/500 trials, 0.7s
SC048_20201230_112558_s14: 639 units, 524/540 trials, 1.1s
SC048_20210103_133044_s17: 523 units, 538/540 trials, 0.9s
SC049_20210106_125834_s14: 532 units, 484/560 trials, 0.8s
SC049_20210110_134005_s17: 480 units, 687/720 trials, 0.8s
SC049_20210111_122809_s18: 495 units, 517/540 trials, 0.8s
SC048_20210104_131503_s18: 555 units, 599/610 trials, 1.1s
SC049_20210108_135220_s16: 683 units, 512/520 trials, 1.2s
SC050_20210225_155426_s16: 630 units, 510/540 trials, 0.9s
SC050_20210226_161028_s17: 733 units, 476/500 trials, 1.0s
SC049_20210112_130202_s19: 675 units, 619/624 trials, 1.5s
SC050_20210301_144130_s19: 538 units, 473/500 trials, 0.8s
SC050_20210302_140243_s20: 502 units, 507/550 trials, 0.7s
SC050_20210303_161010_s21: 257 units, 460/500 trials, 0.5s
SC050_20210227_131716_s18: 765 units, 488/520 trials, 1.1s
SC050_20210304_163309_s22: 219 units, 528/560 trials, 0.4s
SC049_20210113_125455_s20: 749 units, 674/680 trials, 1.6s
SC053_20210218_122535_s16: 477 units, 310/330 trials, 0.7s
SC053_20210219_132453_s7: 376 units, 436/460 trials, 0.5s
SC053_20210220_124834_s15: 516 units, 350/381 trials, 0.8s
SC053_20210222_130313_s9: 350 units, 550/580 trials, 0.7s
SC053_20210223_135753_s10: 219 units, 561/580 trials, 0.6s
SC053_20210221_130859_s8: 688 units, 566/600 trials, 1.4s
SC053_20210225_115002_s12: 366 units, 534/561 trials, 0.7s
SC053_20210224_133042_s11: 469 units, 495/520 trials, 0.9s
SC053_20210228_131818_s14: 268 units, 622/650 trials, 0.6s
SC053_20210226_133429_s13: 483 units, 546/570 trials, 1.1s
SC052_20210121_153333_s3: 432 units, 508/520 trials, 1.0s
SC052_20210122_131850_s4: 358 units, 591/625 trials, 0.9s
SC052_20210123_132015_s5: 407 units, 577/600 trials, 0.8s
SC052_20210125_124258_s6: 509 units, 556/601 trials, 1.2s
SC052_20210126_134951_s7: 650 units, 530/540 trials, 1.2s
SC061_20210318_171131_s7: 256 units, 430/465 trials, 0.5s
SC052_20210127_140737_s8: 731 units, 488/504 trials, 1.0s
SC061_20210321_131204_s9: 213 units, 457/500 trials, 0.5s
SC061_20210319_144211_s8: 385 units, 544/600 trials, 0.9s
SC052_20210130_135022_s11: 850 units, 520/580 trials, 1.2s
SC061_20210322_122309_s10: 330 units, 537/570 trials, 0.6s
SC052_20210129_132207_s10: 724 units, 639/700 trials, 1.6s
SC061_20210324_143423_s12: 215 units, 611/642 trials, 0.6s
SC061_20210323_121231_s11: 492 units, 441/470 trials, 0.7s
SC052_20210128_133949_s9: 923 units, 592/620 trials, 1.9s
SC064_20210427_145157_s5: 486 units, 417/440 trials, 0.8s
SC064_20210429_131158_s7: 497 units, 502/530 trials, 0.8s
SC064_20210428_133442_s6: 633 units, 534/560 trials, 1.1s
SC064_20210504_121957_s10: 285 units, 627/660 trials, 0.6s
SC064_20210430_132651_s8: 532 units, 481/500 trials, 1.0s
SC064_20210505_131153_s11: 227 units, 656/690 trials, 0.6s
SC064_20210506_134206_s12: 342 units, 644/680 trials, 0.7s
SC064_20210508_132858_s14: 390 units, 637/660 trials, 0.9s
SC065_20210504_155124_s5: 308 units, 588/620 trials, 0.8s
SC065_20210505_170309_s6: 298 units, 625/660 trials, 0.7s
SC064_20210507_135524_s13: 430 units, 695/730 trials, 1.2s
SC065_20210507_172825_s8: 208 units, 509/530 trials, 0.5s
SC065_20210510_162815_s10: 238 units, 388/420 trials, 0.4s
SC065_20210506_174036_s7: 638 units, 516/545 trials, 1.0s
SC065_20210509_131820_s9: 452 units, 477/510 trials, 0.8s
SC065_20210511_140555_s11: 206 units, 461/500 trials, 0.4s
SC060_20210318_122039_s1: 365 units, 390/425 trials, 0.5s
SC065_20210514_111526_s13: 269 units, 565/600 trials, 0.7s
SC065_20210513_120445_s12: 404 units, 531/560 trials, 1.0s
SC060_20210319_121514_s2: 393 units, 513/561 trials, 0.7s
SC060_20210320_130513_s3: 483 units, 521/565 trials, 0.7s
SC060_20210324_182545_s6: 182 units, 458/505 trials, 0.4s
SC060_20210322_164725_s4: 288 units, 464/500 trials, 0.7s
SC060_20210323_164459_s5: 325 units, 634/680 trials, 0.6s
SC066_20210413_112028_s6: 537 units, 522/550 trials, 1.1s
SC066_20210415_121842_s8: 302 units, 518/550 trials, 0.8s
SC066_20210416_140326_s9: 317 units, 631/680 trials, 0.9s
SC066_20210414_121243_s7: 473 units, 590/620 trials, 1.4s
SC066_20210420_130906_s11: 437 units, 499/534 trials, 1.0s
SC066_20210421_141806_s12: 339 units, 605/640 trials, 0.8s
SC066_20210419_130102_s10: 530 units, 560/600 trials, 1.2s
SC067_20210415_161621_s25: 308 units, 490/520 trials, 0.7s
SC067_20210414_153241_s24: 390 units, 547/580 trials, 0.9s
SC067_20210413_150250_s23: 445 units, 662/700 trials, 1.4s
SC067_20210419_161140_s27: 472 units, 448/480 trials, 1.2s
SC067_20210420_170516_s28: 368 units, 626/650 trials, 1.2s
SC067_20210418_132006_s26: 787 units, 689/720 trials, 2.1s
Processed 173 sessions in 24.2 s (0.14 s/session)
Sessions: 173 | subjects: 28 | neurons: 69453 | trials: 89544 | regions: 28
Wrote /app/converted_data.pkl (11.89 GB) in 20.8 s
