Found 284 NWB experiment files under /app/data/visual-behavior-ophys-1.1.0/behavior_ophys_experiments
Preview progress: 25/284 files, 25 eligible, 0 excluded
[32/281] experiment 1067133175: 288 trials, 18 neurons, 2s
[33/281] experiment 1067647876: 218 trials, 25 neurons, 1s
[34/281] experiment 1067648397: 249 trials, 18 neurons, 2s
[35/281] experiment 1068173247: 403 trials, 19 neurons, 2s
[36/281] experiment 1069286452: 259 trials, 23 neurons, 2s
[37/281] experiment 1069286458: 405 trials, 37 neurons, 2s
[38/281] experiment 1071070929: 211 trials, 26 neurons, 1s
[39/281] experiment 1071440875: 271 trials, 23 neurons, 2s
[40/281] experiment 1081536273: 262 trials, 20 neurons, 2s
[41/281] experiment 1081832027: 402 trials, 22 neurons, 2s
[42/281] experiment 1082414357: 227 trials, 22 neurons, 1s
[43/281] experiment 1082818566: 266 trials, 21 neurons, 2s
[44/281] experiment 1083070132: 225 trials, 18 neurons, 1s
[45/281] experiment 1083296280: 269 trials, 10 neurons, 2s
[46/281] experiment 1083518258: 404 trials, 13 neurons, 2s
[47/281] experiment 1083519876: 402 trials, 21 neurons, 2s
[48/281] experiment 1084305603: 318 trials, 15 neurons, 2s
[49/281] experiment 1084795752: 251 trials, 10 neurons, 2s
[50/281] experiment 1085000574: 255 trials, 13 neurons, 1s
[51/281] experiment 1085229176: 410 trials, 13 neurons, 2s
[52/281] experiment 1085816655: 131 trials, 17 neurons, 1s
[53/281] experiment 1086048031: 131 trials, 20 neurons, 1s
[54/281] experiment 775614751: 39 trials, 89 neurons, 1s
[55/281] experiment 778644591: 405 trials, 132 neurons, 3s
[56/281] experiment 788490510: 190 trials, 142 neurons, 2s
[57/281] experiment 792813858: 151 trials, 208 neurons, 2s
[58/281] experiment 792815735: 188 trials, 27 neurons, 1s
[59/281] experiment 794381992: 155 trials, 199 neurons, 2s
[60/281] experiment 795073741: 112 trials, 45 neurons, 1s
[61/281] experiment 795076128: 166 trials, 221 neurons, 2s
[62/281] experiment 795952471: 405 trials, 205 neurons, 3s
[63/281] experiment 796105304: 172 trials, 190 neurons, 2s
[64/281] experiment 796106850: 404 trials, 186 neurons, 3s
[65/281] experiment 796108483: 402 trials, 44 neurons, 2s
[66/281] experiment 796308505: 225 trials, 49 neurons, 2s
[67/281] experiment 797255551: 408 trials, 190 neurons, 3s
[68/281] experiment 798404219: 404 trials, 39 neurons, 2s
[69/281] experiment 803736273: 242 trials, 39 neurons, 2s
[70/281] experiment 805784331: 180 trials, 22 neurons, 1s
[71/281] experiment 806455766: 234 trials, 251 neurons, 2s
[72/281] experiment 806989729: 403 trials, 253 neurons, 4s
[73/281] experiment 807752719: 176 trials, 194 neurons, 2s
[74/281] experiment 807753318: 408 trials, 67 neurons, 3s
[75/281] experiment 807753334: 230 trials, 286 neurons, 3s
[76/281] experiment 808619543: 251 trials, 196 neurons, 2s
[77/281] experiment 808621034: 267 trials, 302 neurons, 3s
[78/281] experiment 808621958: 129 trials, 46 neurons, 1s
[79/281] experiment 809497730: 407 trials, 39 neurons, 2s
[80/281] experiment 809501118: 195 trials, 200 neurons, 2s
[81/281] experiment 811456530: 406 trials, 157 neurons, 3s
[82/281] experiment 811458048: 406 trials, 206 neurons, 3s
[83/281] experiment 813083478: 293 trials, 212 neurons, 3s
[84/281] experiment 815652334: 400 trials, 156 neurons, 3s
[85/281] experiment 817267785: 315 trials, 164 neurons, 3s
[86/281] experiment 820307518: 285 trials, 122 neurons, 2s
[87/281] experiment 822024770: 260 trials, 436 neurons, 4s
[88/281] experiment 822641265: 402 trials, 458 neurons, 5s
[89/281] experiment 822647135: 307 trials, 167 neurons, 3s
[90/281] experiment 823392290: 293 trials, 410 neurons, 4s
[91/281] experiment 825120601: 312 trials, 504 neurons, 4s
[92/281] experiment 825130141: 228 trials, 110 neurons, 2s
[93/281] experiment 825623170: 412 trials, 478 neurons, 5s
[94/281] experiment 826585773: 338 trials, 483 neurons, 4s
[95/281] experiment 826587940: 396 trials, 29 neurons, 2s
[96/281] experiment 830093338: 397 trials, 22 neurons, 2s
[97/281] experiment 830700781: 293 trials, 157 neurons, 2s
[98/281] experiment 830700800: 403 trials, 14 neurons, 2s
[99/281] experiment 832115263: 409 trials, 20 neurons, 2s
[100/281] experiment 833629926: 271 trials, 161 neurons, 2s
[101/281] experiment 834279496: 302 trials, 162 neurons, 2s
[102/281] experiment 835006071: 270 trials, 146 neurons, 2s
[103/281] experiment 836258936: 293 trials, 143 neurons, 2s
[104/281] experiment 836258957: 381 trials, 13 neurons, 2s
[105/281] experiment 836911939: 406 trials, 16 neurons, 3s
[106/281] experiment 837296345: 405 trials, 175 neurons, 4s
[107/281] experiment 837729902: 405 trials, 193 neurons, 4s
[108/281] experiment 842973730: 146 trials, 136 neurons, 2s
[109/281] experiment 842975542: 213 trials, 429 neurons, 4s
[110/281] experiment 843519218: 402 trials, 129 neurons, 4s
[111/281] experiment 843520488: 402 trials, 487 neurons, 5s
[112/281] experiment 844395446: 145 trials, 426 neurons, 2s
[113/281] experiment 845037476: 185 trials, 556 neurons, 3s
[114/281] experiment 846487947: 263 trials, 537 neurons, 3s
[115/281] experiment 847125577: 268 trials, 151 neurons, 2s
[116/281] experiment 847241639: 409 trials, 530 neurons, 4s
[117/281] experiment 848692970: 274 trials, 209 neurons, 2s
[118/281] experiment 848694639: 254 trials, 48 neurons, 2s
[119/281] experiment 848697604: 286 trials, 188 neurons, 2s
[120/281] experiment 848697625: 263 trials, 123 neurons, 2s
[121/281] experiment 848698709: 399 trials, 183 neurons, 3s
[122/281] experiment 849199228: 405 trials, 273 neurons, 3s
[123/281] experiment 849203565: 402 trials, 138 neurons, 4s
[124/281] experiment 849203586: 406 trials, 179 neurons, 5s
[125/281] experiment 850479305: 228 trials, 120 neurons, 2s
[126/281] experiment 850489605: 279 trials, 242 neurons, 2s
[127/281] experiment 851056106: 279 trials, 233 neurons, 2s
[128/281] experiment 851060467: 265 trials, 125 neurons, 2s
[129/281] experiment 851932055: 409 trials, 254 neurons, 3s
[130/281] experiment 852691524: 231 trials, 127 neurons, 2s
[131/281] experiment 853328115: 290 trials, 64 neurons, 2s
[132/281] experiment 853962951: 327 trials, 49 neurons, 2s
[133/281] experiment 853962969: 251 trials, 209 neurons, 2s
[134/281] experiment 854703305: 407 trials, 62 neurons, 2s
[135/281] experiment 855577488: 329 trials, 62 neurons, 2s
[136/281] experiment 855582961: 406 trials, 155 neurons, 3s
[137/281] experiment 855582981: 405 trials, 148 neurons, 3s
[138/281] experiment 856096766: 246 trials, 151 neurons, 2s
[139/281] experiment 856938751: 184 trials, 184 neurons, 2s
[140/281] experiment 857658471: 280 trials, 63 neurons, 2s
[141/281] experiment 857660011: 270 trials, 171 neurons, 2s
[142/281] experiment 859147033: 189 trials, 108 neurons, 1s
[143/281] experiment 862848066: 387 trials, 156 neurons, 3s
[144/281] experiment 863735602: 403 trials, 51 neurons, 2s
[145/281] experiment 864370674: 378 trials, 175 neurons, 3s
[146/281] experiment 869969393: 406 trials, 551 neurons, 4s
[147/281] experiment 871155338: 267 trials, 65 neurons, 2s
[148/281] experiment 872433717: 189 trials, 98 neurons, 2s
[149/281] experiment 873154932: 334 trials, 557 neurons, 4s
[150/281] experiment 873156540: 200 trials, 77 neurons, 2s
[151/281] experiment 873968820: 279 trials, 604 neurons, 4s
[152/281] experiment 873972085: 215 trials, 85 neurons, 2s
[153/281] experiment 875045489: 403 trials, 586 neurons, 4s
[154/281] experiment 877018118: 324 trials, 666 neurons, 4s
[155/281] experiment 877022592: 410 trials, 112 neurons, 3s
[156/281] experiment 877691075: 372 trials, 469 neurons, 4s
[157/281] experiment 877696762: 406 trials, 478 neurons, 6s
[158/281] experiment 878358326: 343 trials, 556 neurons, 5s
[159/281] experiment 878363088: 200 trials, 52 neurons, 2s
[160/281] experiment 879331157: 252 trials, 83 neurons, 3s
[161/281] experiment 879332693: 304 trials, 415 neurons, 5s
[162/281] experiment 880374622: 410 trials, 110 neurons, 4s
[163/281] experiment 880375092: 291 trials, 511 neurons, 5s
[164/281] experiment 880961028: 230 trials, 98 neurons, 3s
[165/281] experiment 881881171: 307 trials, 457 neurons, 5s
[166/281] experiment 882520593: 410 trials, 91 neurons, 3s
[167/281] experiment 882935355: 291 trials, 463 neurons, 5s
[168/281] experiment 884218326: 405 trials, 477 neurons, 4s
[169/281] experiment 884221469: 347 trials, 516 neurons, 4s
[170/281] experiment 885067826: 405 trials, 487 neurons, 4s
[171/281] experiment 885067844: 206 trials, 81 neurons, 1s
[172/281] experiment 885933191: 288 trials, 490 neurons, 3s
[173/281] experiment 888666698: 149 trials, 85 neurons, 1s
[174/281] experiment 888666715: 402 trials, 578 neurons, 4s
[175/281] experiment 889771676: 250 trials, 242 neurons, 2s
[176/281] experiment 889772922: 339 trials, 164 neurons, 2s
[177/281] experiment 889775742: 186 trials, 83 neurons, 1s
[178/281] experiment 889777243: 323 trials, 482 neurons, 3s
[179/281] experiment 891052180: 400 trials, 245 neurons, 3s
[180/281] experiment 891054695: 407 trials, 132 neurons, 3s
[181/281] experiment 891067673: 409 trials, 76 neurons, 2s
[182/281] experiment 891994418: 220 trials, 230 neurons, 2s
[183/281] experiment 891996193: 380 trials, 115 neurons, 4s
[184/281] experiment 892799212: 232 trials, 254 neurons, 3s
[185/281] experiment 892805315: 356 trials, 134 neurons, 4s
[186/281] experiment 893830436: 362 trials, 560 neurons, 5s
[187/281] experiment 893831526: 407 trials, 150 neurons, 3s
[188/281] experiment 894726001: 330 trials, 158 neurons, 2s
[189/281] experiment 894727297: 205 trials, 245 neurons, 2s
[190/281] experiment 895422187: 368 trials, 504 neurons, 4s
[191/281] experiment 896160394: 307 trials, 558 neurons, 3s
[192/281] experiment 898747791: 410 trials, 252 neurons, 3s
[193/281] experiment 935440133: 300 trials, 197 neurons, 2s
[194/281] experiment 936494970: 263 trials, 194 neurons, 2s
[195/281] experiment 938003662: 79 trials, 18 neurons, 1s
[196/281] experiment 939327085: 405 trials, 128 neurons, 2s
[197/281] experiment 939327156: 348 trials, 95 neurons, 2s
[198/281] experiment 940352367: 257 trials, 180 neurons, 2s
[199/281] experiment 940352989: 117 trials, 23 neurons, 1s
[200/281] experiment 940354166: 401 trials, 50 neurons, 2s
[201/281] experiment 940852112: 173 trials, 120 neurons, 2s
[202/281] experiment 940852658: 334 trials, 69 neurons, 3s
[203/281] experiment 942043482: 379 trials, 88 neurons, 4s
[204/281] experiment 943134119: 405 trials, 15 neurons, 3s
[205/281] experiment 943151492: 406 trials, 85 neurons, 3s
[206/281] experiment 943151552: 405 trials, 59 neurons, 4s
[207/281] experiment 944366183: 363 trials, 39 neurons, 3s
[208/281] experiment 945473009: 81 trials, 9 neurons, 1s
[209/281] experiment 946476556: 373 trials, 381 neurons, 5s
[210/281] experiment 947716576: 105 trials, 12 neurons, 1s
[211/281] experiment 947724724: 338 trials, 354 neurons, 4s
[212/281] experiment 948507789: 117 trials, 14 neurons, 1s
[213/281] experiment 948514870: 378 trials, 451 neurons, 4s
[214/281] experiment 949637002: 286 trials, 392 neurons, 3s
[215/281] experiment 950833329: 248 trials, 17 neurons, 1s
[216/281] experiment 950852107: 407 trials, 478 neurons, 4s
[217/281] experiment 951932454: 370 trials, 363 neurons, 3s
[218/281] experiment 951980471: 209 trials, 12 neurons, 1s
[219/281] experiment 951980473: 209 trials, 12 neurons, 1s
[220/281] experiment 951980475: 209 trials, 12 neurons, 1s
[221/281] experiment 951980479: 209 trials, 22 neurons, 1s
[222/281] experiment 951980481: 209 trials, 14 neurons, 1s
[223/281] experiment 951980484: 209 trials, 6 neurons, 1s
[224/281] experiment 951980486: 209 trials, 10 neurons, 1s
[225/281] experiment 953443028: 279 trials, 14 neurons, 1s
[226/281] experiment 953452368: 257 trials, 360 neurons, 3s
[227/281] experiment 953659743: 406 trials, 13 neurons, 2s
[228/281] experiment 953659745: 406 trials, 12 neurons, 2s
[229/281] experiment 953659749: 406 trials, 23 neurons, 2s
[230/281] experiment 953659752: 406 trials, 12 neurons, 2s
[231/281] experiment 955278565: 92 trials, 340 neurons, 2s
[232/281] experiment 956820482: 138 trials, 549 neurons, 3s
[233/281] experiment 956941841: 265 trials, 8 neurons, 2s
[234/281] experiment 956941844: 265 trials, 17 neurons, 2s
[235/281] experiment 956941846: 265 trials, 9 neurons, 2s
[236/281] experiment 957655294: 216 trials, 422 neurons, 4s
[237/281] experiment 957759562: 287 trials, 8 neurons, 2s
[238/281] experiment 957759564: 287 trials, 12 neurons, 2s
[239/281] experiment 957759566: 287 trials, 12 neurons, 2s
[240/281] experiment 957759570: 287 trials, 23 neurons, 2s
[241/281] experiment 957759572: 287 trials, 8 neurons, 2s
[242/281] experiment 957759574: 287 trials, 9 neurons, 2s
[243/281] experiment 957759576: 287 trials, 6 neurons, 2s
[244/281] experiment 958435448: 404 trials, 12 neurons, 3s
[245/281] experiment 958527464: 309 trials, 11 neurons, 2s
[246/281] experiment 958527471: 309 trials, 10 neurons, 2s
[247/281] experiment 958527474: 309 trials, 13 neurons, 2s
[248/281] experiment 958527479: 309 trials, 15 neurons, 2s
[249/281] experiment 958527481: 309 trials, 6 neurons, 2s
[250/281] experiment 958527485: 309 trials, 7 neurons, 2s
[251/281] experiment 958527488: 309 trials, 5 neurons, 2s
[252/281] experiment 958681110: 405 trials, 405 neurons, 5s
[253/281] experiment 958741219: 239 trials, 8 neurons, 2s
[254/281] experiment 958741222: 239 trials, 16 neurons, 2s
[255/281] experiment 958741230: 239 trials, 7 neurons, 2s
[256/281] experiment 958741232: 239 trials, 8 neurons, 2s
[257/281] experiment 958741234: 239 trials, 4 neurons, 2s
[258/281] experiment 959388788: 406 trials, 11 neurons, 3s
[259/281] experiment 959388790: 406 trials, 11 neurons, 3s
[260/281] experiment 959388792: 406 trials, 11 neurons, 3s
[261/281] experiment 959388796: 406 trials, 18 neurons, 3s
[262/281] experiment 959388798: 406 trials, 8 neurons, 3s
[263/281] experiment 959388800: 406 trials, 10 neurons, 3s
[264/281] experiment 959388802: 406 trials, 5 neurons, 2s
[265/281] experiment 960410023: 196 trials, 8 neurons, 1s
[266/281] experiment 960410026: 196 trials, 7 neurons, 1s
[267/281] experiment 960410028: 196 trials, 10 neurons, 1s
[268/281] experiment 960410038: 196 trials, 8 neurons, 1s
[269/281] experiment 960410042: 196 trials, 4 neurons, 1s
[270/281] experiment 960957793: 394 trials, 13 neurons, 2s
[271/281] experiment 961283857: 407 trials, 14 neurons, 3s
[272/281] experiment 962471831: 217 trials, 11 neurons, 1s
[273/281] experiment 965228792: 181 trials, 15 neurons, 1s
[274/281] experiment 965930965: 403 trials, 7 neurons, 3s
[275/281] experiment 967005387: 107 trials, 18 neurons, 1s
[276/281] experiment 972701564: 269 trials, 511 neurons, 4s
[277/281] experiment 973927944: 407 trials, 534 neurons, 6s
[278/281] experiment 974384470: 189 trials, 438 neurons, 3s
[279/281] experiment 974945686: 224 trials, 517 neurons, 4s
[280/281] experiment 977132456: 258 trials, 555 neurons, 4s
[281/281] experiment 977937585: 404 trials, 591 neurons, 6s
Conversion pass completed in 686.0s
Saved converted dataset to converted_data.pkl
Summary: 281 sessions, 84313 trials, 41871 neurons, elapsed 757.7s
