Mode: full
Sessions selected: 152
[001/152] sub-m11_ses-03: 80 trials, 155 neurons, 0.28s
[136/152] sub-m4_ses-12: 80 trials, 1039 neurons, 1.27s
[137/152] sub-m4_ses-13: 80 trials, 886 neurons, 1.20s
[138/152] sub-m4_ses-14: 80 trials, 1066 neurons, 1.63s
[139/152] sub-m7_ses-01: 100 trials, 1298 neurons, 1.15s
[140/152] sub-m7_ses-02: 80 trials, 1186 neurons, 0.91s
[141/152] sub-m7_ses-03: 100 trials, 1155 neurons, 1.16s
[142/152] sub-m7_ses-04: 80 trials, 1013 neurons, 0.62s
[143/152] sub-m7_ses-05: 80 trials, 1111 neurons, 0.76s
[144/152] sub-m7_ses-06: 80 trials, 1142 neurons, 0.70s
[145/152] sub-m7_ses-07: 100 trials, 1020 neurons, 0.75s
[146/152] sub-m7_ses-08: 100 trials, 1034 neurons, 0.62s
[147/152] sub-m7_ses-09: 80 trials, 900 neurons, 0.64s
[148/152] sub-m7_ses-10: 80 trials, 886 neurons, 0.67s
[149/152] sub-m7_ses-11: 80 trials, 973 neurons, 0.54s
[150/152] sub-m7_ses-12: 100 trials, 969 neurons, 0.67s
[151/152] sub-m7_ses-13: 80 trials, 988 neurons, 0.61s
[152/152] sub-m7_ses-14: 100 trials, 1192 neurons, 1.01s
Wrote /app/converted_data.pkl
Subjects: 11
Sessions: 152
Trials: 12216
Session-neuron sum: 138678
time_bin_size_ms: 64.483627
