task,agent,trial,subjects,sessions,trials,neurons_per_session,subjects_text,sessions_text,trials_text,neurons_per_session_text,total_neurons_text,source_file
hasnain2024,codex,3,6.0,2.0,,43.5,Two-context: 6 mice; fixed-delay DR total: 9 mice; randomized-delay: 4 mice,Two-context mean 2.0; fixed-delay DR mean about 2.8; randomized-delay mean about 4.8,Not explicitly tabulated in text,Two-context mean about 43.5 units/session; DR-only mean about 66.0; randomized-delay mean about 44.5,"Two-context task: 522 units; DR-only fixed-delay task: 1,651 units; randomized-delay task: 845 units",harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,1,7.0,207.0,,337.0,"7 (4M, 3F)",207,N/A,~337,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_trial1/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,2,7.0,207.0,,337.0,7,207,,~337,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,3,7.0,31.0,,,"7 (4M, 3F) C57BL/6",Up to 31 (3 sequences x 10 envs + 1 start square),,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_badtrial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,3,7.0,31.0,,773.0,7,"31 (6), 21 (1)",N/A (new),773 ± 68 per animal,"5,413",harbor-jobs/lee2025/claude/2026-04-08__18-25-48_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,1,7.0,31.0,,773.0,7 mice,Up to 31 days / 3 repeated sequences; one mouse contributes only 21 sessions in released data,No native trials; sessions are continuous 40 min recordings,"Mean 773 +/- 68 SE cells per animal; min 515, max 952 across animals","5,413 unique neurons",harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,2,7.0,31.0,,174.61290322580646,7 mice inferred from dataset/code; paper discusses animals but does not state the count in the extracted text,Up to 31 daily sessions (three repetitions of an 11-session sequence with overlap at square),No native trials reported; sessions are continuous 40 min recordings,"Not reported directly in paper; implied by 5,413 neurons / 207 sessions and raw data must be checked separately","5,413 unique neurons",harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,3,7.0,31.0,,69744.0,7 inferred animals,up to 31 days / sessions per animal,No native trial structure in the paper; sessions are continuous 40 min recordings,"69,744 / 207 = 336.93 mean rate maps per session","5,413 unique neurons",harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,oracle,1,,,,,,,,,,harbor-jobs/lee2025/oracle/2026-03-10__00-06-35_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,1,6.0,6.0,,,6,≥6 consecutive days,,,,harbor-jobs/majnik2025/claude/2026-03-10__19-45-01_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,2,6.0,6.0,,,6 mice,min 6 consecutive days,,,,harbor-jobs/majnik2025/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,3,6.0,6.0,,526.0,6,min 6,N/A,~526,,harbor-jobs/majnik2025/claude/2026-03-10__11-18-23_trial3/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,1,6.0,6.0,20.0,87.66666666666667,6 mice,Minimum 6 consecutive daily sessions; example datasets span 7 days,Not trial-based in source; continuous 20 minute recordings,Several hundreds; matched cells persist across all days of a mouse,Approximately 526 tracked neurons per mouse on average across all days,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,2,6.0,6.0,,728.0,6 mice,Minimum 6 consecutive daily sessions; many sequences are 7 days from P7/P8 to P14,No native trials; continuous 20 min recordings,Same tracked-cell set repeated daily within mouse; example mouse had 728 tracked cells across all days,Average 526 ± 190 tracked neurons per mouse across all days,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,3,6.0,6.0,,526.0,6 mice,"Minimum 6 consecutive days, spanning P7 to P14",No trial structure described; recordings are continuous sessions,Not stated directly; same tracked cells reused across days within mouse,~3156 inferred as `526 x 6` mice tracked across all days,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,oracle,1,,,,,,,,,,harbor-jobs/majnik2025/oracle/2026-03-10__00-06-35_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,claude,1,28.0,173.0,,404.29479768786126,28,173,,,"69,943",harbor-jobs/map/claude/2026-03-22__21-13-57_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,claude,2,28.0,173.0,,,28,173,—,,,harbor-jobs/map/claude/2026-03-22__21-13-57_trial2/verifier/snapshot/CONVERSION_NOTES.md
map,claude,3,28.0,173.0,,404.3,28,173,,404.3,"69,943",harbor-jobs/map/claude/2026-03-22__18-40-41_trial3/verifier/snapshot/CONVERSION_NOTES.md
map,codex,1,28.0,173.0,,404.0,28 mice,173 / 28 = ~6.18 sessions/mouse mean,Not directly tabulated in text,"~404 good units/session mean (69,943 / 173)","69,943 good units",harbor-jobs/map/codex/2026-03-23__08-25-17_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,codex,2,28.0,,,,28 mice,not explicitly given; implied ~6.18 behavioral sessions/subject across 173 sessions,not explicitly given in text,not explicitly given; implied ~404.3 good units/session across 173 sessions,"69,943 good units",harbor-jobs/map/codex/2026-03-23__08-25-17_trial2/verifier/snapshot/CONVERSION_NOTES.md
map,codex,3,28.0,173.0,,404.0,28 mice,173 behavioral sessions total,not stated globally in text,~404 good units/session mean (69943/173),"69,943 good units",harbor-jobs/map/codex/2026-03-23__08-25-17_trial3/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,1,19.0,89.0,,,19,89,-,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,2,19.0,89.0,38110.0,,19,89,"38,110",,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,3,19.0,89.0,,,"19 (GCaMP6s, excitatory neurons)",89 recordings,-,-,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,1,19.0,,,20547.0,19 mice,Not explicitly stated in paper; 89 recordings / 19 mice overall,Not explicitly stated,"20,547 to 89,577 neurons / recording",89 recordings total; total neuron count not explicitly stated,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial1/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,2,19.0,,,20547.0,19,Not directly reported in text,Not directly reported in text,"20,547 to 89,577",Not directly reported,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial2/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,3,19.0,89.0,,20547.0,19 imaging mice,89 / 19 = 4.68 recordings per mouse on average (inferred),Not explicitly stated,"20,547 to 89,577","Not explicitly stated in paper; constrained by 89 recordings and 20,547 to 89,577 neurons / recording",harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,1,11.0,152.0,12000.0,910.0,11,"~152 (14 days, m11 starts day 3)","~12,000+",~910,,harbor-jobs/sosa2024/claude/2026-03-10__19-44-11_trial1/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,2,11.0,152.0,12216.0,911.9,11 mice,152 (10*14 + 1*12),"12,216",911.9 +/- 448.6,"138,603",harbor-jobs/sosa2024/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,3,11.0,14.0,,155.0,11,14 (12 for m11),,155-2172,,harbor-jobs/sosa2024/claude/2026-03-10__11-18-23_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,1,11.0,14.0,12376.0,155.0,11 switch-task mice in main cohort,14 planned imaging days; m11 starts on day 3,"12,376 imaged trials across 11 switch mice (from lick-QC context)",155-2172 putative pyramidal neurons/session,Not stated directly for switch cohort; NWB should reflect curated switch-task cells,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,2,11.0,14.0,12376.0,155.0,`11` switch-task mice in main dataset; `3` fixed-condition mice in separate cohort,`14` imaging days for task; `m11` starts imaging on day 3,"`12,376` imaged trials across 11 switch mice (for licking QC reference)",`155–2172` putative pyramidal neurons/session,Not directly reported,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,3,11.0,14.0,12376.0,155.0,11 switch-task mice in the main dataset,14 planned task days; `m11` began imaging on day 3,"12,376 imaged trials across 11 switch mice before lick-artifact removals mentioned in Methods",155-2172 putative pyramidal neurons per session,not stated directly for the released switch-task dataset,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,oracle,1,,,,,,,,,,harbor-jobs/sosa2024/oracle/2026-03-10__00-06-35_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,1,139.0,459.0,,1354.5381263616557,139,459,-,,"621,733",harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,2,139.0,459.0,146747.0,1400.0,139,459,"146,747","~1,400 (before reduction)",,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_trial2/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,3,139.0,459.0,,,139,459,,,,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_badtrial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,3,139.0,459.0,186261.0,1297.5511982570806,"139 (94M, 45F)",459,"186,261",,"595,576",harbor-jobs/zhang2025/claude-code/2026-04-09__06-58-15_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,1,139.0,3.3,,1355.0,139 mice,~3.30 released sessions per mouse (459 / 139),Not directly stated as a total in searched text,"~1,355 units/session in released dataset (621,733 / 459)","621,733 units in released dataset",harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,2,139.0,3.3,,1355.0,139 mice,~3.30 in public release (459 / 139),not explicitly stated in papers,"~1355 raw units/session in release (621,733 / 459)","621,733 units in public release",harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial2/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,3,139.0,3.3,,1355.0,139 mice,~3.30 sessions/subject in public release (inferred from 459 / 139),"Not explicitly reported; lower bound >= 183,600 in the analysis set","~1,355 units/session in public release (inferred from 621,733 / 459)","621,733 units in the public release",harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,4,139.0,,,,139,not explicitly tabulated,not explicitly tabulated,not explicit,"621,733 released units",harbor-jobs/zhang2025/codex/2026-04-08__20-37-49_trial4/verifier/snapshot/CONVERSION_NOTES.md
