task,agent,trial,subjects,sessions_per_subject,trials_total,neurons_per_session,path
map,claude,1,28.0,,,,harbor-jobs/map/claude/2026-03-22__21-13-57_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,claude,2,28.0,,,,harbor-jobs/map/claude/2026-03-22__21-13-57_trial2/verifier/snapshot/CONVERSION_NOTES.md
map,claude,3,28.0,,,,harbor-jobs/map/claude/2026-03-22__18-40-41_trial3/verifier/snapshot/CONVERSION_NOTES.md
map,codex,1,28.0,173.0,,404.0,harbor-jobs/map/codex/2026-03-23__08-25-17_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,codex,2,28.0,,,,harbor-jobs/map/codex/2026-03-23__08-25-17_trial2/verifier/snapshot/CONVERSION_NOTES.md
map,codex,3,28.0,173.0,,404.0,harbor-jobs/map/codex/2026-03-23__08-25-17_trial3/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,1,19.0,,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,2,19.0,,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,3,,,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,1,19.0,,,20547.0,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial1/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,2,19.0,,,20547.0,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial2/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,3,19.0,89.0,,20547.0,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,1,,,,,harbor-jobs/sosa2024/claude/2026-03-10__19-44-11_trial1/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,2,11.0,,,,harbor-jobs/sosa2024/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,3,,14.0,,155.0,harbor-jobs/sosa2024/claude/2026-03-10__11-18-23_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,1,11.0,14.0,12376.0,155.0,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,2,11.0,14.0,12376.0,155.0,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,3,11.0,14.0,12376.0,155.0,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,1,,,,,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,2,,,,,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_trial2/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,3,139.0,,,,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_badtrial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,3,,,,,harbor-jobs/zhang2025/claude-code/2026-04-09__06-58-15_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,1,139.0,3.3,,1355.0,harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,2,139.0,3.3,,1355.0,harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial2/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,3,139.0,3.3,,1355.0,harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,4,139.0,,,,harbor-jobs/zhang2025/codex/2026-04-08__20-37-49_trial4/verifier/snapshot/CONVERSION_NOTES.md
