task,agent,trial,subjects,sessions,trials,neurons_per_session,subjects_text,subjects_key,subjects_src,sessions_text,sessions_key,sessions_src,trials_text,trials_key,trials_src,neurons_per_session_text,neurons_per_session_key,neurons_per_session_src,neurons_total_text,neurons_total_key,neurons_total_src,source_file
lee2025,claude,3,7.0,207.0,,,"7 (4M, 3F) C57BL/6",subjects,Step3:table1:row2,207,sessions,Step9:table1:row3,,,,,,,,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_badtrial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,3,7.0,31.0,,773.0,7,subjects,Step3:table1:row5,"31 (6), 21 (1)",sessions / subject,Step3:table1:row7,N/A (new),trials (total),Step9:table1:row6,773 ± 68 per animal,mean neurons/session,Step9:table1:row3,"5,413",neurons (total),Step3:table1:row2,harbor-jobs/lee2025/claude/2026-04-08__18-25-48_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,1,7.0,31.0,,773.0,7 mice,subjects,Step3:table1:row4,Up to 31 days / 3 repeated sequences; one mouse contributes only 21 sessions in released data,sessions / subject,Step3:table1:row5,No native trials; sessions are continuous 40 min recordings,trials (total),Step3:table1:row6,"Mean 773 +/- 68 SE cells per animal; min 515, max 952 across animals",neurons / session,Step3:table1:row3,"5,413 unique neurons",neurons (total),Step3:table1:row2,harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,2,7.0,31.0,,174.61290322580646,7 mice inferred from dataset/code; paper discusses animals but does not state the count in the extracted text,subjects,Step3:table1:row4,Up to 31 daily sessions (three repetitions of an 11-session sequence with overlap at square),sessions / subject,Step3:table1:row5,No native trials reported; sessions are continuous 40 min recordings,trials (total),Step3:table1:row6,"Not reported directly in paper; implied by 5,413 neurons / 207 sessions and raw data must be checked separately",neurons / session,Step3:table1:row3|derived=neurons_total/sessions,"5,413 unique neurons",neurons (total),Step3:table1:row2,harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,3,7.0,31.0,,69744.0,7 inferred animals,subjects,Step3:table1:row4,up to 31 days / sessions per animal,sessions / subject,Step3:table1:row5,No native trial structure in the paper; sessions are continuous 40 min recordings,trials (total),Step3:table1:row6,"69,744 / 207 = 336.93 mean rate maps per session",neurons / session,Step3:table1:row3,"5,413 unique neurons",neurons (total),Step3:table1:row2,harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,1,6.0,6.0,,,6,subjects,Step3:table1:row2,≥6 consecutive days,sessions / subject,Step3:table1:row3,,,,,,,,,,harbor-jobs/majnik2025/claude/2026-03-10__19-45-01_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,2,6.0,6.0,,,6 mice,subjects,Step3:table1:row2,>=6/mouse,sessions,Step9:table1:row3,,,,,,,,,,harbor-jobs/majnik2025/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,3,6.0,6.0,,526.0,6,subjects,Step3:table1:row2,"""min 6 consecutive days""",sessions,Step9:table1:row3,N/A,trials (total),Step9:table1:row9,~526,mean neurons/session,Step9:table1:row6,,,,harbor-jobs/majnik2025/claude/2026-03-10__11-18-23_trial3/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,1,6.0,6.0,20.0,87.66666666666667,6 mice,subjects,Step3:table1:row4,Minimum 6 consecutive daily sessions; example datasets span 7 days,sessions / subject,Step3:table1:row5,Not trial-based in source; continuous 20 minute recordings,trials (total),Step3:table1:row6,Several hundreds; matched cells persist across all days of a mouse,neurons / session,Step3:table1:row3|derived=neurons_total/sessions,Approximately 526 tracked neurons per mouse on average across all days,neurons (total),Step3:table1:row2,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,2,6.0,6.0,,728.0,6 mice,subjects,Step3:table1:row4,Minimum 6 consecutive daily sessions; many sequences are 7 days from P7/P8 to P14,sessions / subject,Step3:table1:row5,No native trials; continuous 20 min recordings,trials (total),Step3:table1:row6,Same tracked-cell set repeated daily within mouse; example mouse had 728 tracked cells across all days,neurons / session,Step3:table1:row3,Average 526 ± 190 tracked neurons per mouse across all days,neurons (total),Step3:table1:row2,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,3,6.0,6.0,,526.0,6 mice,subjects,Step3:table1:row4,"Minimum 6 consecutive days, spanning P7 to P14",sessions / subject,Step3:table1:row5,No trial structure described; recordings are continuous sessions,trials (total),Step3:table1:row6,Not stated directly; same tracked cells reused across days within mouse,neurons / session,Step3:table1:row3|derived=neurons_total/sessions,~3156 inferred as `526 x 6` mice tracked across all days,neurons (total),Step3:table1:row2,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
map,claude,1,28.0,173.0,,328.95375722543355,28,subjects,Step3:table1:row8,173,behavioral sessions,Step3:table1:row9,,,,,,|derived=neurons_total/sessions,"56,909",total neurons,Step9:table1:row4,harbor-jobs/map/claude/2026-03-22__21-13-57_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,claude,2,28.0,173.0,,,28,subjects,Step3:table1:row4,173,sessions,Step3:table1:row5,—,total trials,Step9:table1:row10,,,,,,,harbor-jobs/map/claude/2026-03-22__21-13-57_trial2/verifier/snapshot/CONVERSION_NOTES.md
map,claude,3,28.0,173.0,,404.3,28,subjects,Step3:table1:row3,173,sessions,Step3:table1:row4,,,,404.3,mean neurons/session,Step9:table1:row5,"69,943",total neurons,Step9:table1:row4,harbor-jobs/map/claude/2026-03-22__18-40-41_trial3/verifier/snapshot/CONVERSION_NOTES.md
map,codex,1,28.0,173.0,,404.0,28 mice,subjects,Step3:table1:row4,173 / 28 = ~6.18 sessions/mouse mean,sessions / subject,Step3:table1:row5,Not directly tabulated in text,trials (total),Step3:table1:row6,"~404 good units/session mean (69,943 / 173)",neurons / session,Step3:table1:row3,"69,943 good units",neurons (total),Step3:table1:row2,harbor-jobs/map/codex/2026-03-23__08-25-17_trial1/verifier/snapshot/CONVERSION_NOTES.md
map,codex,2,28.0,,,,28 mice,subjects,Step3:table1:row4,not explicitly given; implied ~6.18 behavioral sessions/subject across 173 sessions,sessions / subject,Step3:table1:row5,not explicitly given in text,trials (total),Step3:table1:row6,not explicitly given; implied ~404.3 good units/session across 173 sessions,neurons / session,Step3:table1:row3,"69,943 good units",neurons (total),Step3:table1:row2,harbor-jobs/map/codex/2026-03-23__08-25-17_trial2/verifier/snapshot/CONVERSION_NOTES.md
map,codex,3,28.0,173.0,,404.0,28 mice,subjects,Step3:table1:row4,173 behavioral sessions total,sessions / subject,Step3:table1:row5,not stated globally in text,trials (total),Step3:table1:row6,~404 good units/session mean (69943/173),neurons / session,Step3:table1:row3,"69,943 good units",neurons (total),Step3:table1:row2,harbor-jobs/map/codex/2026-03-23__08-25-17_trial3/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,1,19.0,89.0,,,19,subjects,Step3:table1:row3,89,sessions,Step9:table1:row2,-,total trials,Step9:table1:row5,,,,,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,2,19.0,89.0,38110.0,,19,subjects,Step3:table1:row2,89,sessions,Step3:table1:row3,"38,110",total trials,Step9:table1:row4,,,,,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
mouseland,claude-code,3,19.0,89.0,,,"19 (GCaMP6s, excitatory neurons)",mice,Step3:table1:row2,89 recordings,sessions,Step9:table1:row2,-,total trials,Step9:table1:row6,-,mean neurons/session,Step9:table1:row5,,,,harbor-jobs/mouseland/claude-code/2026-03-23__15-22-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,1,19.0,,,20547.0,19 mice,subjects,Step3:table1:row4,Not explicitly stated in paper; 89 recordings / 19 mice overall,sessions / subject,Step3:table1:row5,Not explicitly stated,trials (total),Step3:table1:row6,"20,547 to 89,577 neurons / recording",neurons / session,Step3:table1:row3,89 recordings total; total neuron count not explicitly stated,neurons (total),Step3:table1:row2,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial1/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,2,19.0,,,20547.0,19,subjects,Step3:table1:row4,Not directly reported in text,sessions / subject,Step3:table1:row5,Not directly reported in text,trials (total),Step3:table1:row6,"20,547 to 89,577",neurons / session,Step3:table1:row3,Not directly reported,neurons (total),Step3:table1:row2,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial2/verifier/snapshot/CONVERSION_NOTES.md
mouseland,codex,3,19.0,89.0,,20547.0,19 imaging mice,subjects,Step3:table1:row4,89 / 19 = 4.68 recordings per mouse on average (inferred),sessions / subject,Step3:table1:row5,Not explicitly stated,trials (total),Step3:table1:row6,"20,547 to 89,577",neurons / session,Step3:table1:row3,"Not explicitly stated in paper; constrained by 89 recordings and 20,547 to 89,577 neurons / recording",neurons (total),Step3:table1:row2,harbor-jobs/mouseland/codex/2026-03-23__15-40-42_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,1,11.0,152.0,12000.0,910.0,11 (switch group),subjects,Step9:table1:row2,"~152 (14 days, m11 starts day 3)",sessions total,Step9:table1:row3,"~12,000+",total trials,Step9:table1:row6,~910,mean neurons/session,Step9:table1:row8,,,,harbor-jobs/sosa2024/claude/2026-03-10__19-44-11_trial1/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,2,11.0,152.0,12216.0,911.9,11 mice,subjects,Step3:table1:row2,152 (10*14 + 1*12),sessions,Step3:table1:row3,"12,216",total trials,Step9:table1:row3,911.9 +/- 448.6,mean neurons/session,Step9:table1:row5,"138,603",total neurons,Step9:table1:row4,harbor-jobs/sosa2024/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,claude,3,11.0,14.0,,155.0,11,subjects (switch),Step3:table1:row2,14 (12 for m11),sessions / subject,Step3:table1:row4,,,,155-2172,neurons / session,Step3:table1:row6,,,,harbor-jobs/sosa2024/claude/2026-03-10__11-18-23_trial3/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,1,11.0,14.0,12376.0,155.0,11 switch-task mice in main cohort,subjects,Step3:table1:row4,14 planned imaging days; m11 starts on day 3,sessions / subject,Step3:table1:row5,"12,376 imaged trials across 11 switch mice (from lick-QC context)",trials (total),Step3:table1:row6,155-2172 putative pyramidal neurons/session,neurons / session,Step3:table1:row3,Not stated directly for switch cohort; NWB should reflect curated switch-task cells,neurons (total),Step3:table1:row2,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,2,11.0,14.0,12376.0,155.0,`11` switch-task mice in main dataset; `3` fixed-condition mice in separate cohort,subjects,Step3:table1:row4,`14` imaging days for task; `m11` starts imaging on day 3,sessions / subject,Step3:table1:row5,"`12,376` imaged trials across 11 switch mice (for licking QC reference)",trials (total),Step3:table1:row6,`155–2172` putative pyramidal neurons/session,neurons / session,Step3:table1:row3,Not directly reported,neurons (total),Step3:table1:row2,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
sosa2024,codex,3,11.0,14.0,12376.0,155.0,11 switch-task mice in the main dataset,subjects,Step3:table1:row4,14 planned task days; `m11` began imaging on day 3,sessions / subject,Step3:table1:row5,"12,376 imaged trials across 11 switch mice before lick-artifact removals mentioned in Methods",trials (total),Step3:table1:row6,155-2172 putative pyramidal neurons per session,neurons / session,Step3:table1:row3,not stated directly for the released switch-task dataset,neurons (total),Step3:table1:row2,harbor-jobs/sosa2024/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,1,139.0,459.0,,1354.5381263616557,139,subjects,Step9:table1:row3,459,sessions,Step3:table1:row3,-,total trials,Step9:table1:row7,,,|derived=neurons_total/sessions,"621,733",total neurons,Step9:table1:row4,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,2,118.0,,146747.0,1400.0,118,subjects,Step9:table1:row7,RSS (MB),sessions,Step9:table2:row1,"146,747",total trials,Step9:table1:row6,"~1,400 (before reduction)",mean neurons/session,Step9:table1:row9,,,,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_trial2/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,3,139.0,459.0,,,139,subjects,Step3:table1:row6,459,sessions,Step3:table1:row7,,,,,,,,,,harbor-jobs/zhang2025/claude-code/2026-03-24__09-05-04_badtrial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,claude-code,3,135.0,459.0,186261.0,1297.5511982570806,135,subjects,Step9:table1:row4,459,sessions released,Step3:table1:row3,"186,261",total trials,Step9:table1:row5,,,|derived=neurons_total/sessions,"595,576",total neurons,Step9:table1:row6,harbor-jobs/zhang2025/claude-code/2026-04-09__06-58-15_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,1,139.0,3.3,,1355.0,139 mice,subjects,Step3:table1:row4,~3.30 released sessions per mouse (459 / 139),sessions / subject,Step3:table1:row5,Not directly stated as a total in searched text,trials (total),Step3:table1:row6,"~1,355 units/session in released dataset (621,733 / 459)",neurons / session,Step3:table1:row3,"621,733 units in released dataset",neurons (total),Step3:table1:row2,harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial1/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,2,139.0,3.3,,1355.0,139 mice,subjects,Step3:table1:row4,~3.30 in public release (459 / 139),sessions / subject,Step3:table1:row5,not explicitly stated in papers,trials (total),Step3:table1:row6,"~1355 raw units/session in release (621,733 / 459)",neurons / session,Step3:table1:row3,"621,733 units in public release",neurons (total),Step3:table1:row2,harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial2/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,3,139.0,3.3,,1355.0,139 mice,subjects,Step3:table1:row4,~3.30 sessions/subject in public release (inferred from 459 / 139),sessions / subject,Step3:table1:row5,"Not explicitly reported; lower bound >= 183,600 in the analysis set",trials (total),Step3:table1:row6,"~1,355 units/session in public release (inferred from 621,733 / 459)",neurons / session,Step3:table1:row3,"621,733 units in the public release",neurons (total),Step3:table1:row2,harbor-jobs/zhang2025/codex/2026-03-24__17-20-29_trial3/verifier/snapshot/CONVERSION_NOTES.md
zhang2025,codex,4,139.0,,,,139,subjects,Step3:table1:row4,not explicitly tabulated,sessions / subject,Step3:table1:row5,not explicitly tabulated,trials (total),Step3:table1:row6,not explicit,mean neurons/session,Step9:table1:row3,"621,733 released units",neurons (total),Step3:table1:row2,harbor-jobs/zhang2025/codex/2026-04-08__20-37-49_trial4/verifier/snapshot/CONVERSION_NOTES.md
