Processing 152 sessions
[1/152] m11 day 03 Env1_LocationB_to_A: 80/80 trials, 154 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 9.4s
[19/152] m12 day 07 Env1_LocationA_to_B: 80/80 trials, 1478 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 19.3s
[20/152] m12 day 08 Env1_B_to_Env2_A: 80/80 trials, 1494 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 19.3s
[21/152] m12 day 09 Env2_LocationA: 80/80 trials, 1121 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 20.1s
[22/152] m12 day 10 Env2_LocationA_to_C: 79/80 trials, 1327 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 21.7s
[23/152] m12 day 11 Env2_LocationC: 80/80 trials, 1323 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 24.3s
[24/152] m12 day 12 Env2_LocationC_to_B: 80/80 trials, 1184 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 24.3s
[25/152] m12 day 13 Env2_LocationB: 80/80 trials, 1118 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 24.4s
[26/152] m12 day 14 Env2_LocationB_to_A: 80/80 trials, 1354 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 24.8s
[27/152] m13 day 01 Env1_LocationC: 80/80 trials, 686 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 26.2s
[28/152] m13 day 02 Env1_LocationC: 80/80 trials, 550 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 26.2s
[29/152] m13 day 03 Env1_LocationC_to_B: 80/80 trials, 616 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 26.2s
[30/152] m13 day 04 Env1_LocationB: 80/80 trials, 503 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 27.0s
[31/152] m13 day 05 Env1_LocationB_to_A: 80/80 trials, 704 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 28.3s
[32/152] m13 day 06 Env1_LocationA: 80/80 trials, 519 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 29.4s
[33/152] m13 day 07 Env1_LocationA_to_C: 80/80 trials, 834 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 31.3s
[34/152] m13 day 08 Env1_C_to_Env2_A: 80/80 trials, 707 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 31.3s
[35/152] m13 day 09 Env2_LocationA: 80/80 trials, 557 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 31.3s
[36/152] m13 day 10 Env2_LocationA_to_B: 80/80 trials, 603 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 32.4s
[37/152] m13 day 11 Env2_LocationB: 80/80 trials, 657 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 33.3s
[38/152] m13 day 12 Env2_LocationB_to_C: 80/80 trials, 595 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 33.3s
[39/152] m13 day 13 Env2_LocationC: 60/60 trials, 479 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 33.3s
[40/152] m13 day 14 Env2_LocationC_to_A: 80/80 trials, 749 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 33.8s
[41/152] m14 day 01 Env1_LocationA: 80/80 trials, 981 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 38.4s
[42/152] m14 day 02 Env1_LocationA: 73/80 trials, 591 neurons (1 interneurons dropped), drops={'lick_error': 7, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 38.4s
[43/152] m14 day 03 Env1_LocationA_to_B: 80/80 trials, 753 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 38.4s
[44/152] m14 day 04 Env1_LocationB: 80/80 trials, 647 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 38.4s
[45/152] m14 day 05 Env1_LocationB_to_C: 80/80 trials, 603 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 38.4s
[46/152] m14 day 06 Env1_LocationC: 80/80 trials, 614 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 38.4s
[47/152] m14 day 07 Env1_LocationC_to_A: 80/80 trials, 927 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 40.9s
[48/152] m14 day 08 Env1_A_to_Env2_C: 80/80 trials, 989 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 41.7s
[49/152] m14 day 09 Env2_LocationC: 80/80 trials, 499 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 41.7s
[50/152] m14 day 10 Env2_LocationC_to_B: 80/80 trials, 727 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 43.4s
[51/152] m14 day 11 Env2_LocationB: 80/80 trials, 554 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 43.7s
[52/152] m14 day 12 Env2_LocationB_to_A: 80/80 trials, 609 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 43.7s
[53/152] m14 day 13 Env2_LocationA: 80/80 trials, 468 neurons (15 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 43.7s
[54/152] m14 day 14 Env2_LocationA_to_C: 80/80 trials, 875 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 44.1s
[55/152] m15 day 01 Env1_LocationA: 80/80 trials, 1133 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 46.7s
[56/152] m15 day 02 Env1_LocationA: 80/80 trials, 1041 neurons (4 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 46.9s
[57/152] m15 day 03 Env1_LocationA_to_C: 80/80 trials, 1426 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 49.8s
[58/152] m15 day 04 Env1_LocationC: 80/80 trials, 1167 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 51.3s
[59/152] m15 day 05 Env1_LocationC_to_B: 74/80 trials, 1483 neurons (0 interneurons dropped), drops={'lick_error': 6, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 51.4s
[60/152] m15 day 06 Env1_LocationB: 80/80 trials, 1041 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 51.4s
[61/152] m15 day 07 Env1_LocationB_to_A: 80/80 trials, 1308 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 51.4s
[62/152] m15 day 08 Env1_A_to_Env2_B: 80/80 trials, 1307 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 51.4s
[63/152] m15 day 09 Env2_LocationB: 80/80 trials, 1070 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 51.6s
[64/152] m15 day 10 Env2_LocationB_to_C: 80/80 trials, 1282 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 53.8s
  sub-m17_ses-04_behavior+ophys.nwb: truncating streams to 22790 samples (ophys 22791, behavior 22790)
[65/152] m15 day 11 Env2_LocationC: 80/80 trials, 754 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 55.0s
[66/152] m15 day 12 Env2_LocationC_to_A: 80/80 trials, 1127 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 56.6s
[67/152] m15 day 13 Env2_LocationA: 79/80 trials, 875 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 56.6s
  sub-m17_ses-06_behavior+ophys.nwb: truncating streams to 32672 samples (ophys 32673, behavior 32672)
[68/152] m15 day 14 Env2_LocationA_to_B: 78/80 trials, 1195 neurons (0 interneurons dropped), drops={'lick_error': 2, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 58.2s
[69/152] m17 day 01 Env2_LocationB: 79/80 trials, 590 neurons (1 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 58.2s
[70/152] m17 day 02 Env2_LocationB: 80/80 trials, 440 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 58.2s
[71/152] m17 day 03 Env2_LocationB_to_C: 79/80 trials, 676 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 58.2s
[72/152] m17 day 04 Env2_LocationC: 80/80 trials, 503 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 58.5s
[73/152] m17 day 05 Env2_LocationC_to_A: 80/80 trials, 838 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 64.6s
[74/152] m17 day 06 Env2_LocationA: 79/80 trials, 491 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 64.6s
[75/152] m17 day 07 Env2_LocationA_to_B: 80/80 trials, 690 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 65.0s
[76/152] m17 day 08 Env2_B_to_Env1_A: 80/80 trials, 587 neurons (6 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 65.0s
[77/152] m17 day 09 Env1_LocationA: 79/80 trials, 539 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 65.6s
[78/152] m17 day 10 Env1_LocationA_to_C: 80/80 trials, 679 neurons (4 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 65.8s
[79/152] m17 day 11 Env1_LocationC: 80/80 trials, 620 neurons (9 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 65.8s
[80/152] m17 day 12 Env1_LocationC_to_B: 80/80 trials, 739 neurons (8 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 65.8s
[81/152] m17 day 13 Env1_LocationB: 80/80 trials, 465 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 66.0s
  sub-m18_ses-01_behavior+ophys.nwb: truncating streams to 22794 samples (ophys 22795, behavior 22794)
[82/152] m17 day 14 Env1_LocationB_to_A: 80/80 trials, 766 neurons (4 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 67.1s
  sub-m18_ses-05_behavior+ophys.nwb: truncating streams to 30160 samples (ophys 30161, behavior 30160)
  sub-m18_ses-07_behavior+ophys.nwb: truncating streams to 23445 samples (ophys 23446, behavior 23445)
  sub-m18_ses-10_behavior+ophys.nwb: truncating streams to 21620 samples (ophys 21621, behavior 21620)
  sub-m18_ses-11_behavior+ophys.nwb: truncating streams to 23539 samples (ophys 23540, behavior 23539)
  sub-m18_ses-12_behavior+ophys.nwb: truncating streams to 22058 samples (ophys 22059, behavior 22058)
[83/152] m18 day 01 Env2_LocationA: 80/80 trials, 2281 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 77.2s
[84/152] m18 day 02 Env2_LocationA: 80/80 trials, 1634 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 77.2s
  sub-m18_ses-13_behavior+ophys.nwb: truncating streams to 19820 samples (ophys 19821, behavior 19820)
[85/152] m18 day 03 Env2_LocationA_to_B: 76/80 trials, 2323 neurons (18 interneurons dropped), drops={'lick_error': 4, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.1s
[86/152] m18 day 04 Env2_LocationB: 80/80 trials, 1631 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.1s
[87/152] m18 day 05 Env2_LocationB_to_C: 80/80 trials, 2107 neurons (8 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.1s
[88/152] m18 day 06 Env2_LocationC: 80/80 trials, 1367 neurons (11 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.1s
[89/152] m18 day 07 Env2_LocationC_to_A: 80/80 trials, 1724 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.1s
[90/152] m18 day 08 Env2_A_to_Env1_C: 80/80 trials, 2312 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.4s
[91/152] m18 day 09 Env1_LocationC: 80/80 trials, 1684 neurons (12 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.4s
  sub-m18_ses-14_behavior+ophys.nwb: truncating streams to 21671 samples (ophys 21672, behavior 21671)
[92/152] m18 day 10 Env1_LocationC_to_B: 80/80 trials, 1890 neurons (9 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 81.7s
[93/152] m18 day 11 Env1_LocationB: 80/80 trials, 1373 neurons (9 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 82.3s
[94/152] m18 day 12 Env1_LocationB_to_A: 80/80 trials, 1922 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 84.8s
[95/152] m18 day 13 Env1_LocationA: 80/80 trials, 1427 neurons (6 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 84.8s
[96/152] m18 day 14 Env1_LocationA_to_C: 80/80 trials, 1944 neurons (11 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[97/152] m19 day 01 Env1_LocationC: 80/80 trials, 526 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[98/152] m19 day 02 Env1_LocationC: 80/80 trials, 405 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[99/152] m19 day 03 Env1_LocationC_to_B: 80/80 trials, 463 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[100/152] m19 day 04 Env1_LocationB: 80/80 trials, 549 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[101/152] m19 day 05 Env1_LocationB_to_A: 80/80 trials, 470 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[102/152] m19 day 06 Env1_LocationA: 80/80 trials, 503 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.5s
[103/152] m19 day 07 Env1_LocationA_to_C: 80/80 trials, 595 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.8s
[104/152] m19 day 08 Env1_C_to_Env2_A: 80/80 trials, 566 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.9s
[105/152] m19 day 09 Env2_LocationA: 80/80 trials, 427 neurons (7 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 91.9s
[106/152] m19 day 10 Env2_LocationA_to_B: 80/80 trials, 464 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 92.1s
[107/152] m19 day 11 Env2_LocationB: 80/80 trials, 369 neurons (9 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 92.2s
[108/152] m19 day 12 Env2_LocationB_to_C: 80/80 trials, 555 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 93.6s
[109/152] m19 day 13 Env2_LocationC: 80/80 trials, 421 neurons (7 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 93.8s
[110/152] m19 day 14 Env2_LocationC_to_A: 80/80 trials, 587 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 94.5s
[111/152] m3 day 01 Env1_LocationC: 80/80 trials, 1014 neurons (38 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 101.9s
[112/152] m3 day 02 Env1_LocationC: 80/80 trials, 883 neurons (34 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 101.9s
[113/152] m3 day 03 Env1_LocationC_to_A: 80/80 trials, 1053 neurons (6 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 101.9s
[114/152] m3 day 04 Env1_LocationA: 80/80 trials, 811 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 101.9s
[115/152] m3 day 05 Env1_LocationA_to_B: 80/80 trials, 1019 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 102.2s
[116/152] m3 day 06 Env1_LocationB: 80/80 trials, 810 neurons (8 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 102.2s
[117/152] m3 day 07 Env1_LocationB_to_C: 80/80 trials, 782 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 102.2s
[118/152] m3 day 08 Env1_C_to_Env2_B: 80/80 trials, 778 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 102.2s
[119/152] m3 day 09 Env2_LocationB: 80/80 trials, 764 neurons (4 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 104.4s
[120/152] m3 day 10 Env2_LocationB_to_A: 89/90 trials, 928 neurons (2 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 105.5s
[121/152] m3 day 11 Env2_LocationA: 80/80 trials, 997 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 106.8s
[122/152] m3 day 12 Env2_LocationA_to_C: 80/80 trials, 1030 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 107.3s
[123/152] m3 day 13 Env2_LocationC: 80/80 trials, 980 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 107.3s
[124/152] m3 day 14 Env2_LocationC_to_B: 100/100 trials, 1050 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 108.0s
[125/152] m4 day 01 Env1_LocationB: 80/80 trials, 980 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 109.8s
[126/152] m4 day 02 Env1_LocationB: 79/80 trials, 909 neurons (17 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 109.8s
[127/152] m4 day 03 Env1_LocationB_to_A: 75/75 trials, 1023 neurons (8 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 112.1s
[128/152] m4 day 04 Env1_LocationA: 40/41 trials, 1016 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 112.3s
[129/152] m4 day 05 Env1_LocationA_to_C: 80/80 trials, 1066 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 115.4s
[130/152] m4 day 06 Env1_LocationC: 79/80 trials, 1067 neurons (1 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 115.4s
[131/152] m4 day 07 Env1_LocationC_to_B: 71/80 trials, 1003 neurons (8 interneurons dropped), drops={'lick_error': 9, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 115.4s
