Loading QLAK-CA1-08...
  loaded in 8.85s
  session 000 QLAK-CA1-08_day00: 185 neurons, 39 trials, corrected=0, 0.21s
  session 143 QLAK-CA1-56_day29: 507 neurons, 40 trials, corrected=0, 0.59s
  session 144 QLAK-CA1-56_day30: 529 neurons, 40 trials, corrected=0, 0.61s
Loading QLAK-CA1-74...
  loaded in 11.89s
  session 145 QLAK-CA1-74_day00: 304 neurons, 40 trials, corrected=0, 0.31s
  session 146 QLAK-CA1-74_day01: 278 neurons, 40 trials, corrected=0, 0.30s
  session 147 QLAK-CA1-74_day02: 274 neurons, 40 trials, corrected=0, 0.30s
  session 148 QLAK-CA1-74_day03: 264 neurons, 40 trials, corrected=0, 0.27s
  session 149 QLAK-CA1-74_day04: 292 neurons, 40 trials, corrected=0, 0.31s
  session 150 QLAK-CA1-74_day05: 275 neurons, 40 trials, corrected=0, 0.30s
  session 151 QLAK-CA1-74_day06: 285 neurons, 40 trials, corrected=0, 0.31s
  session 152 QLAK-CA1-74_day07: 258 neurons, 40 trials, corrected=0, 0.27s
  session 153 QLAK-CA1-74_day08: 306 neurons, 40 trials, corrected=0, 0.34s
  session 154 QLAK-CA1-74_day09: 303 neurons, 40 trials, corrected=5, 0.34s
  session 155 QLAK-CA1-74_day10: 286 neurons, 40 trials, corrected=0, 0.31s
  session 156 QLAK-CA1-74_day11: 316 neurons, 40 trials, corrected=0, 0.34s
  session 157 QLAK-CA1-74_day12: 284 neurons, 40 trials, corrected=0, 0.30s
  session 158 QLAK-CA1-74_day13: 303 neurons, 40 trials, corrected=0, 0.34s
  session 159 QLAK-CA1-74_day14: 289 neurons, 40 trials, corrected=0, 0.30s
  session 160 QLAK-CA1-74_day15: 289 neurons, 40 trials, corrected=0, 0.30s
  session 161 QLAK-CA1-74_day16: 300 neurons, 40 trials, corrected=0, 0.32s
  session 162 QLAK-CA1-74_day17: 258 neurons, 40 trials, corrected=0, 0.28s
  session 163 QLAK-CA1-74_day18: 321 neurons, 40 trials, corrected=0, 0.35s
  session 164 QLAK-CA1-74_day19: 339 neurons, 40 trials, corrected=0, 0.38s
  session 165 QLAK-CA1-74_day20: 328 neurons, 40 trials, corrected=0, 0.34s
  session 166 QLAK-CA1-74_day21: 361 neurons, 40 trials, corrected=0, 0.41s
  session 167 QLAK-CA1-74_day22: 389 neurons, 40 trials, corrected=0, 0.43s
  session 168 QLAK-CA1-74_day23: 344 neurons, 40 trials, corrected=0, 0.36s
  session 169 QLAK-CA1-74_day24: 359 neurons, 40 trials, corrected=0, 0.40s
  session 170 QLAK-CA1-74_day25: 315 neurons, 40 trials, corrected=0, 0.33s
  session 171 QLAK-CA1-74_day26: 294 neurons, 40 trials, corrected=0, 0.32s
  session 172 QLAK-CA1-74_day27: 300 neurons, 40 trials, corrected=0, 0.32s
  session 173 QLAK-CA1-74_day28: 370 neurons, 40 trials, corrected=0, 0.41s
  session 174 QLAK-CA1-74_day29: 405 neurons, 40 trials, corrected=0, 0.45s
  session 175 QLAK-CA1-74_day30: 391 neurons, 40 trials, corrected=0, 0.44s
Loading QLAK-CA1-75...
  loaded in 15.82s
  session 176 QLAK-CA1-75_day00: 356 neurons, 40 trials, corrected=0, 0.38s
  session 177 QLAK-CA1-75_day01: 263 neurons, 40 trials, corrected=0, 0.30s
  session 178 QLAK-CA1-75_day02: 294 neurons, 40 trials, corrected=0, 0.32s
  session 179 QLAK-CA1-75_day03: 285 neurons, 40 trials, corrected=0, 0.31s
  session 180 QLAK-CA1-75_day04: 368 neurons, 40 trials, corrected=0, 0.37s
  session 181 QLAK-CA1-75_day05: 288 neurons, 40 trials, corrected=0, 0.32s
  session 182 QLAK-CA1-75_day06: 330 neurons, 40 trials, corrected=0, 0.37s
  session 183 QLAK-CA1-75_day07: 438 neurons, 40 trials, corrected=0, 0.48s
  session 184 QLAK-CA1-75_day08: 393 neurons, 40 trials, corrected=0, 0.45s
  session 185 QLAK-CA1-75_day09: 384 neurons, 40 trials, corrected=0, 0.44s
  session 186 QLAK-CA1-75_day10: 396 neurons, 40 trials, corrected=0, 0.43s
  session 187 QLAK-CA1-75_day11: 344 neurons, 40 trials, corrected=0, 0.36s
  session 188 QLAK-CA1-75_day12: 344 neurons, 40 trials, corrected=0, 0.35s
  session 189 QLAK-CA1-75_day13: 395 neurons, 40 trials, corrected=0, 0.43s
  session 190 QLAK-CA1-75_day14: 433 neurons, 40 trials, corrected=0, 0.49s
  session 191 QLAK-CA1-75_day15: 389 neurons, 40 trials, corrected=0, 0.44s
  session 192 QLAK-CA1-75_day16: 419 neurons, 40 trials, corrected=0, 0.46s
  session 193 QLAK-CA1-75_day17: 442 neurons, 40 trials, corrected=0, 0.49s
  session 194 QLAK-CA1-75_day18: 480 neurons, 40 trials, corrected=0, 0.54s
  session 195 QLAK-CA1-75_day19: 435 neurons, 40 trials, corrected=0, 0.49s
  session 196 QLAK-CA1-75_day20: 436 neurons, 40 trials, corrected=0, 0.47s
  session 197 QLAK-CA1-75_day21: 424 neurons, 40 trials, corrected=0, 0.44s
  session 198 QLAK-CA1-75_day22: 450 neurons, 40 trials, corrected=0, 0.49s
  session 199 QLAK-CA1-75_day23: 421 neurons, 40 trials, corrected=0, 0.46s
  session 200 QLAK-CA1-75_day24: 501 neurons, 40 trials, corrected=0, 0.59s
  session 201 QLAK-CA1-75_day25: 420 neurons, 40 trials, corrected=0, 0.45s
  session 202 QLAK-CA1-75_day26: 393 neurons, 40 trials, corrected=0, 0.45s
  session 203 QLAK-CA1-75_day27: 487 neurons, 40 trials, corrected=0, 0.54s
  session 204 QLAK-CA1-75_day28: 499 neurons, 40 trials, corrected=0, 0.56s
  session 205 QLAK-CA1-75_day29: 535 neurons, 40 trials, corrected=0, 0.61s
  session 206 QLAK-CA1-75_day30: 514 neurons, 40 trials, corrected=0, 0.57s
Saving 207 sessions, 8187 trials to /app/converted_data.pkl...
Saved in 5.13s; total 170.32s; blocked-bin corrections before trial-tail removal=152
Output size: 6320.40 MiB
