Converting 174 sessions
[  1/174] SC015_20190207_120657_s1     0.9s elapsed (0.9s/session, eta 2.6 min)
[ 40/174] SC026_20190807_134913_s20    6.1s elapsed (0.2s/session, eta 0.3 min)
[ 41/174] SC026_20190808_140448_s23    6.7s elapsed (0.2s/session, eta 0.4 min)
[ 42/174] SC027_20190729_145044_s17    6.7s elapsed (0.2s/session, eta 0.4 min)
[ 43/174] SC027_20190730_154125_s18    6.7s elapsed (0.2s/session, eta 0.3 min)
[ 44/174] SC027_20190731_151805_s19    6.7s elapsed (0.2s/session, eta 0.3 min)
[ 45/174] SC027_20190801_135056_s20    6.7s elapsed (0.1s/session, eta 0.3 min)
[ 46/174] SC027_20190803_150200_s21    6.9s elapsed (0.1s/session, eta 0.3 min)
[ 47/174] SC027_20190804_152922_s22    7.1s elapsed (0.2s/session, eta 0.3 min)
[ 48/174] SC038_20191119_115109_s4     7.1s elapsed (0.1s/session, eta 0.3 min)
[ 49/174] SC038_20191119_130822_s5     7.1s elapsed (0.1s/session, eta 0.3 min)
[ 50/174] SC038_20191120_115527_s6     7.1s elapsed (0.1s/session, eta 0.3 min)
[ 51/174] SC038_20191120_130334_s7     7.1s elapsed (0.1s/session, eta 0.3 min)
[ 52/174] SC038_20191121_113844_s8     7.1s elapsed (0.1s/session, eta 0.3 min)
[ 53/174] SC038_20191121_124405_s9     7.2s elapsed (0.1s/session, eta 0.3 min)
[ 54/174] SC038_20191122_134226_s10    7.3s elapsed (0.1s/session, eta 0.3 min)
[ 55/174] SC038_20191122_144855_s11    7.5s elapsed (0.1s/session, eta 0.3 min)
[ 56/174] SC038_20191123_135013_s12    7.5s elapsed (0.1s/session, eta 0.3 min)
[ 57/174] SC038_20191123_145127_s13    7.6s elapsed (0.1s/session, eta 0.3 min)
[ 58/174] SC030_20191002_143533_s32    7.9s elapsed (0.1s/session, eta 0.3 min)
[ 59/174] SC030_20191003_153548_s33    7.9s elapsed (0.1s/session, eta 0.3 min)
[ 60/174] SC030_20191004_143720_s34    8.0s elapsed (0.1s/session, eta 0.3 min)
[ 61/174] SC030_20191005_142316_s35    8.2s elapsed (0.1s/session, eta 0.3 min)
[ 62/174] SC031_20191021_142044_s48    8.4s elapsed (0.1s/session, eta 0.3 min)
[ 63/174] SC031_20191022_133136_s49    8.4s elapsed (0.1s/session, eta 0.2 min)
[ 64/174] SC031_20191023_142402_s50    8.5s elapsed (0.1s/session, eta 0.2 min)
[ 65/174] SC032_20191217_123303_s54    8.5s elapsed (0.1s/session, eta 0.2 min)
[ 66/174] SC032_20191218_111453_s55    8.6s elapsed (0.1s/session, eta 0.2 min)
[ 67/174] SC032_20191219_134919_s56    8.7s elapsed (0.1s/session, eta 0.2 min)
[ 68/174] SC032_20191220_140433_s57    8.7s elapsed (0.1s/session, eta 0.2 min)
[ 69/174] SC033_20191112_114755_s31    8.7s elapsed (0.1s/session, eta 0.2 min)
[ 70/174] SC033_20191113_135640_s32    8.7s elapsed (0.1s/session, eta 0.2 min)
[ 71/174] SC033_20191114_142520_s33    8.8s elapsed (0.1s/session, eta 0.2 min)
[ 72/174] SC033_20191115_135939_s34    8.8s elapsed (0.1s/session, eta 0.2 min)
[ 73/174] SC035_20200107_111633_s33    8.9s elapsed (0.1s/session, eta 0.2 min)
[ 74/174] SC035_20200108_105741_s34    9.1s elapsed (0.1s/session, eta 0.2 min)
[ 75/174] SC035_20200109_111437_s35    9.1s elapsed (0.1s/session, eta 0.2 min)
[ 76/174] SC035_20200110_142717_s36    9.2s elapsed (0.1s/session, eta 0.2 min)
[ 77/174] SC043_20200921_162104_s29    9.2s elapsed (0.1s/session, eta 0.2 min)
[ 78/174] SC043_20200922_135318_s24    9.5s elapsed (0.1s/session, eta 0.2 min)
[ 79/174] SC043_20200923_151145_s25    9.8s elapsed (0.1s/session, eta 0.2 min)
[ 80/174] SC043_20200924_134307_s26    10.0s elapsed (0.1s/session, eta 0.2 min)
[ 81/174] SC043_20200925_153348_s27    10.0s elapsed (0.1s/session, eta 0.2 min)
[ 82/174] SC043_20200928_141416_s28    10.0s elapsed (0.1s/session, eta 0.2 min)
[ 83/174] SC045_20201209_115448_s17    10.0s elapsed (0.1s/session, eta 0.2 min)
[ 84/174] SC045_20201210_113111_s18    10.0s elapsed (0.1s/session, eta 0.2 min)
[ 85/174] SC045_20201211_110651_s19    10.0s elapsed (0.1s/session, eta 0.2 min)
[ 86/174] SC045_20201214_120340_s21    10.2s elapsed (0.1s/session, eta 0.2 min)
[ 87/174] SC045_20201216_120333_s24    10.2s elapsed (0.1s/session, eta 0.2 min)
[ 88/174] SC045_20201217_120512_s22    10.2s elapsed (0.1s/session, eta 0.2 min)
[ 89/174] SC045_20201218_113815_s23    10.4s elapsed (0.1s/session, eta 0.2 min)
[ 90/174] SC048_20201224_122322_s10    10.4s elapsed (0.1s/session, eta 0.2 min)
[ 91/174] SC048_20201225_114244_s11    10.4s elapsed (0.1s/session, eta 0.2 min)
[ 92/174] SC048_20201226_121710_s12    10.9s elapsed (0.1s/session, eta 0.2 min)
[ 93/174] SC048_20201229_125330_s13    10.9s elapsed (0.1s/session, eta 0.2 min)
[ 94/174] SC048_20201230_112558_s14    11.9s elapsed (0.1s/session, eta 0.2 min)
[ 95/174] SC048_20201231_114638_s15    11.9s elapsed (0.1s/session, eta 0.2 min)
[ 96/174] SC048_20210101_123136_s16    11.9s elapsed (0.1s/session, eta 0.2 min)
[ 97/174] SC048_20210103_133044_s17    11.9s elapsed (0.1s/session, eta 0.2 min)
[ 98/174] SC048_20210104_131503_s18    11.9s elapsed (0.1s/session, eta 0.2 min)
[ 99/174] SC049_20210106_125834_s14    12.0s elapsed (0.1s/session, eta 0.2 min)
[100/174] SC049_20210107_120825_s15    12.0s elapsed (0.1s/session, eta 0.1 min)
[101/174] SC049_20210108_135220_s16    12.5s elapsed (0.1s/session, eta 0.2 min)
[102/174] SC049_20210110_134005_s17    12.5s elapsed (0.1s/session, eta 0.1 min)
[103/174] SC049_20210111_122809_s18    12.5s elapsed (0.1s/session, eta 0.1 min)
[104/174] SC049_20210112_130202_s19    14.0s elapsed (0.1s/session, eta 0.2 min)
[105/174] SC049_20210113_125455_s20    14.4s elapsed (0.1s/session, eta 0.2 min)
[106/174] SC050_20210225_155426_s16    14.4s elapsed (0.1s/session, eta 0.2 min)
[107/174] SC050_20210226_161028_s17    14.4s elapsed (0.1s/session, eta 0.1 min)
[108/174] SC050_20210227_131716_s18    14.4s elapsed (0.1s/session, eta 0.1 min)
[109/174] SC050_20210301_144130_s19    14.4s elapsed (0.1s/session, eta 0.1 min)
[110/174] SC050_20210302_140243_s20    14.4s elapsed (0.1s/session, eta 0.1 min)
[111/174] SC050_20210303_161010_s21    14.4s elapsed (0.1s/session, eta 0.1 min)
[112/174] SC050_20210304_163309_s22    14.4s elapsed (0.1s/session, eta 0.1 min)
[113/174] SC053_20210218_122535_s16    14.4s elapsed (0.1s/session, eta 0.1 min)
[114/174] SC053_20210219_132453_s7     14.4s elapsed (0.1s/session, eta 0.1 min)
[115/174] SC053_20210220_124834_s15    14.5s elapsed (0.1s/session, eta 0.1 min)
[116/174] SC053_20210221_130859_s8     15.0s elapsed (0.1s/session, eta 0.1 min)
[117/174] SC053_20210222_130313_s9     15.0s elapsed (0.1s/session, eta 0.1 min)
[118/174] SC053_20210223_135753_s10    15.0s elapsed (0.1s/session, eta 0.1 min)
[119/174] SC053_20210224_133042_s11    15.3s elapsed (0.1s/session, eta 0.1 min)
[120/174] SC053_20210225_115002_s12    15.3s elapsed (0.1s/session, eta 0.1 min)
[121/174] SC053_20210226_133429_s13    15.6s elapsed (0.1s/session, eta 0.1 min)
[122/174] SC053_20210228_131818_s14    15.6s elapsed (0.1s/session, eta 0.1 min)
[123/174] SC052_20210121_153333_s3     15.7s elapsed (0.1s/session, eta 0.1 min)
[124/174] SC052_20210122_131850_s4     15.8s elapsed (0.1s/session, eta 0.1 min)
[125/174] SC052_20210123_132015_s5     16.0s elapsed (0.1s/session, eta 0.1 min)
[126/174] SC052_20210125_124258_s6     16.1s elapsed (0.1s/session, eta 0.1 min)
[127/174] SC052_20210126_134951_s7     16.4s elapsed (0.1s/session, eta 0.1 min)
[128/174] SC052_20210127_140737_s8     16.6s elapsed (0.1s/session, eta 0.1 min)
[129/174] SC052_20210128_133949_s9     18.1s elapsed (0.1s/session, eta 0.1 min)
[130/174] SC052_20210129_132207_s10    18.1s elapsed (0.1s/session, eta 0.1 min)
[131/174] SC052_20210130_135022_s11    18.1s elapsed (0.1s/session, eta 0.1 min)
[132/174] SC061_20210318_171131_s7     18.1s elapsed (0.1s/session, eta 0.1 min)
[133/174] SC061_20210319_144211_s8     18.1s elapsed (0.1s/session, eta 0.1 min)
[134/174] SC061_20210321_131204_s9     18.1s elapsed (0.1s/session, eta 0.1 min)
[135/174] SC061_20210322_122309_s10    18.1s elapsed (0.1s/session, eta 0.1 min)
[136/174] SC061_20210323_121231_s11    18.1s elapsed (0.1s/session, eta 0.1 min)
[137/174] SC061_20210324_143423_s12    18.1s elapsed (0.1s/session, eta 0.1 min)
[138/174] SC064_20210427_145157_s5     18.2s elapsed (0.1s/session, eta 0.1 min)
[139/174] SC064_20210428_133442_s6     19.0s elapsed (0.1s/session, eta 0.1 min)
[140/174] SC064_20210429_131158_s7     19.0s elapsed (0.1s/session, eta 0.1 min)
[141/174] SC064_20210430_132651_s8     19.0s elapsed (0.1s/session, eta 0.1 min)
[142/174] SC064_20210504_121957_s10    19.0s elapsed (0.1s/session, eta 0.1 min)
[143/174] SC064_20210505_131153_s11    19.1s elapsed (0.1s/session, eta 0.1 min)
[144/174] SC064_20210506_134206_s12    19.2s elapsed (0.1s/session, eta 0.1 min)
[145/174] SC064_20210507_135524_s13    19.8s elapsed (0.1s/session, eta 0.1 min)
[146/174] SC064_20210508_132858_s14    19.8s elapsed (0.1s/session, eta 0.1 min)
[147/174] SC065_20210504_155124_s5     19.8s elapsed (0.1s/session, eta 0.1 min)
[148/174] SC065_20210505_170309_s6     19.9s elapsed (0.1s/session, eta 0.1 min)
[149/174] SC065_20210506_174036_s7     20.2s elapsed (0.1s/session, eta 0.1 min)
[150/174] SC065_20210507_172825_s8     20.2s elapsed (0.1s/session, eta 0.1 min)
[151/174] SC065_20210509_131820_s9     20.3s elapsed (0.1s/session, eta 0.1 min)
[152/174] SC065_20210510_162815_s10    20.3s elapsed (0.1s/session, eta 0.0 min)
[153/174] SC065_20210511_140555_s11    20.3s elapsed (0.1s/session, eta 0.0 min)
[154/174] SC065_20210513_120445_s12    20.6s elapsed (0.1s/session, eta 0.0 min)
[155/174] SC065_20210514_111526_s13    20.6s elapsed (0.1s/session, eta 0.0 min)
[156/174] SC060_20210318_122039_s1     20.6s elapsed (0.1s/session, eta 0.0 min)
[157/174] SC060_20210319_121514_s2     20.7s elapsed (0.1s/session, eta 0.0 min)
[158/174] SC060_20210320_130513_s3     20.9s elapsed (0.1s/session, eta 0.0 min)
[159/174] SC060_20210322_164725_s4     20.9s elapsed (0.1s/session, eta 0.0 min)
[160/174] SC060_20210323_164459_s5     21.1s elapsed (0.1s/session, eta 0.0 min)
[161/174] SC060_20210324_182545_s6     21.1s elapsed (0.1s/session, eta 0.0 min)
[162/174] SC066_20210413_112028_s6     21.4s elapsed (0.1s/session, eta 0.0 min)
[163/174] SC066_20210414_121243_s7     21.8s elapsed (0.1s/session, eta 0.0 min)
[164/174] SC066_20210415_121842_s8     21.8s elapsed (0.1s/session, eta 0.0 min)
[165/174] SC066_20210416_140326_s9     21.8s elapsed (0.1s/session, eta 0.0 min)
[166/174] SC066_20210419_130102_s10    22.2s elapsed (0.1s/session, eta 0.0 min)
[167/174] SC066_20210420_130906_s11    22.2s elapsed (0.1s/session, eta 0.0 min)
[168/174] SC066_20210421_141806_s12    22.2s elapsed (0.1s/session, eta 0.0 min)
[169/174] SC067_20210413_150250_s23    22.6s elapsed (0.1s/session, eta 0.0 min)
[170/174] SC067_20210414_153241_s24    22.6s elapsed (0.1s/session, eta 0.0 min)
[171/174] SC067_20210415_161621_s25    22.6s elapsed (0.1s/session, eta 0.0 min)
[172/174] SC067_20210418_132006_s26    23.3s elapsed (0.1s/session, eta 0.0 min)
[173/174] SC067_20210419_161140_s27    23.3s elapsed (0.1s/session, eta 0.0 min)
[174/174] SC067_20210420_170516_s28    23.3s elapsed (0.1s/session, eta 0.0 min)
SKIPPED (no good units / <2 trials): sub-440958_ses-20190216T162508_behavior+ecephys+ogen.nwb
Converted 173 sessions (1 skipped, 0 errors) in 23.3 s

=== SUMMARY ===
sessions: 173   subjects: 28   neurons: 69453   trials: 89544
neurons/session: mean 401.5 range 90-923
trials/session: mean 517.6 range 159-796
neurons per brain region:
   left ALM                 4314
   right ALM                3571
   left Medulla             1595
   right Medulla            1261
   left Midbrain            3549
   right Midbrain           3825
   left Striatum            3899
   right Striatum           3837
   left Thalamus            7474
   right Thalamus           5547
   left Pons                 215
   right Pons                322
   left Cerebellum          1208
   right Cerebellum          615
   left Hypothalamus         312
   right Hypothalamus        290
   left Hippocampus         1071
   right Hippocampus         824
   left Orbital             5244
   right Orbital            4979
   left OtherCortex         4620
   right OtherCortex        3765
   left Olfactory           1958
   right Olfactory          2178
   left CorticalSubplate    1013
   right CorticalSubplate    875
   left Pallidum             660
   right Pallidum            432
coarse regions: {'Thalamus': 13021, 'Orbital': 10223, 'OtherCortex': 8385, 'ALM': 7885, 'Striatum': 7736, 'Midbrain': 7374, 'Olfactory': 4136, 'Medulla': 2856, 'Hippocampus': 1895, 'CorticalSubplate': 1888, 'Cerebellum': 1823, 'Pallidum': 1092, 'Hypothalamus': 602, 'Pons': 537}
choice distribution: {'left': np.float64(0.4307), 'right': np.float64(0.421), 'no lick': np.float64(0.1484)}
outcome distribution: {'ignore': np.float64(0.1484), 'miss': np.float64(0.1667), 'hit': np.float64(0.6849)}
early_lick distribution: {'no': np.float64(0.884), 'yes': np.float64(0.116)}
tongue_y_position distribution: {'<40th pct': np.float64(0.0962), '40-60th pct': np.float64(0.0481), '>60th pct': np.float64(0.0962), 'not visible': np.float64(0.7595)}
time_from_tone_onset range: [-1.525, 11.894]
photostim: 0.0273 of bins, 0.2002 of trials
mean fraction of fully observed trials: 0.8156
trials with no tone onset found (fallback used): 0
trials dropped for lack of ephys coverage: 1060
trials dropped for zero spikes across all units: 2
Saved /app/converted_data.pkl (11.89 GB) in 22.1 s
