Processing 152 sessions to /app/converted_data.pkl
[93/152] sub-m14/sub-m14_ses-11_behavior+ophys.nwb: neurons=554 trials=80/80 badlick=0 time=0.16s
[94/152] sub-m14/sub-m14_ses-12_behavior+ophys.nwb: neurons=611 trials=80/80 badlick=0 time=0.20s
[95/152] sub-m14/sub-m14_ses-13_behavior+ophys.nwb: neurons=483 trials=80/80 badlick=0 time=0.13s
[96/152] sub-m14/sub-m14_ses-14_behavior+ophys.nwb: neurons=876 trials=80/80 badlick=0 time=0.19s
[97/152] sub-m15/sub-m15_ses-01_behavior+ophys.nwb: neurons=1133 trials=80/80 badlick=0 time=0.23s
[98/152] sub-m15/sub-m15_ses-02_behavior+ophys.nwb: neurons=1045 trials=80/80 badlick=0 time=0.20s
[99/152] sub-m15/sub-m15_ses-03_behavior+ophys.nwb: neurons=1426 trials=80/80 badlick=0 time=0.30s
[100/152] sub-m15/sub-m15_ses-04_behavior+ophys.nwb: neurons=1167 trials=80/80 badlick=0 time=0.33s
[101/152] sub-m15/sub-m15_ses-05_behavior+ophys.nwb: neurons=1483 trials=74/80 badlick=6 time=0.38s
[102/152] sub-m15/sub-m15_ses-06_behavior+ophys.nwb: neurons=1041 trials=80/80 badlick=0 time=0.21s
[103/152] sub-m15/sub-m15_ses-07_behavior+ophys.nwb: neurons=1308 trials=80/80 badlick=0 time=0.28s
[104/152] sub-m15/sub-m15_ses-08_behavior+ophys.nwb: neurons=1307 trials=80/80 badlick=0 time=0.24s
[105/152] sub-m15/sub-m15_ses-09_behavior+ophys.nwb: neurons=1070 trials=80/80 badlick=0 time=0.21s
[106/152] sub-m15/sub-m15_ses-10_behavior+ophys.nwb: neurons=1283 trials=80/80 badlick=0 time=0.25s
[107/152] sub-m15/sub-m15_ses-11_behavior+ophys.nwb: neurons=754 trials=80/80 badlick=0 time=0.17s
[108/152] sub-m15/sub-m15_ses-12_behavior+ophys.nwb: neurons=1127 trials=80/80 badlick=0 time=0.20s
[109/152] sub-m15/sub-m15_ses-13_behavior+ophys.nwb: neurons=875 trials=79/80 badlick=1 time=0.18s
[110/152] sub-m15/sub-m15_ses-14_behavior+ophys.nwb: neurons=1195 trials=78/80 badlick=2 time=0.30s
[111/152] sub-m17/sub-m17_ses-01_behavior+ophys.nwb: neurons=591 trials=79/80 badlick=1 time=0.25s
[112/152] sub-m17/sub-m17_ses-02_behavior+ophys.nwb: neurons=442 trials=80/80 badlick=0 time=0.39s
[113/152] sub-m17/sub-m17_ses-03_behavior+ophys.nwb: neurons=676 trials=79/80 badlick=1 time=0.29s
[114/152] sub-m17/sub-m17_ses-04_behavior+ophys.nwb: neurons=506 trials=80/80 badlick=0 time=0.29s
[115/152] sub-m17/sub-m17_ses-05_behavior+ophys.nwb: neurons=838 trials=80/80 badlick=0 time=0.34s
[116/152] sub-m17/sub-m17_ses-06_behavior+ophys.nwb: neurons=491 trials=79/80 badlick=1 time=0.35s
[117/152] sub-m17/sub-m17_ses-07_behavior+ophys.nwb: neurons=690 trials=80/80 badlick=0 time=0.44s
[118/152] sub-m17/sub-m17_ses-08_behavior+ophys.nwb: neurons=593 trials=80/80 badlick=0 time=0.32s
[119/152] sub-m17/sub-m17_ses-09_behavior+ophys.nwb: neurons=539 trials=79/80 badlick=1 time=0.46s
[120/152] sub-m17/sub-m17_ses-10_behavior+ophys.nwb: neurons=683 trials=80/80 badlick=0 time=0.39s
[121/152] sub-m17/sub-m17_ses-11_behavior+ophys.nwb: neurons=629 trials=80/80 badlick=0 time=0.29s
[122/152] sub-m17/sub-m17_ses-12_behavior+ophys.nwb: neurons=747 trials=80/80 badlick=0 time=0.28s
[123/152] sub-m17/sub-m17_ses-13_behavior+ophys.nwb: neurons=468 trials=80/80 badlick=0 time=0.33s
[124/152] sub-m17/sub-m17_ses-14_behavior+ophys.nwb: neurons=770 trials=80/80 badlick=0 time=0.29s
[125/152] sub-m18/sub-m18_ses-01_behavior+ophys.nwb: neurons=2281 trials=80/80 badlick=0 time=0.63s
[126/152] sub-m18/sub-m18_ses-02_behavior+ophys.nwb: neurons=1639 trials=80/80 badlick=0 time=0.52s
[127/152] sub-m18/sub-m18_ses-03_behavior+ophys.nwb: neurons=2341 trials=76/80 badlick=4 time=1.00s
[128/152] sub-m18/sub-m18_ses-04_behavior+ophys.nwb: neurons=1634 trials=80/80 badlick=0 time=0.50s
[129/152] sub-m18/sub-m18_ses-05_behavior+ophys.nwb: neurons=2115 trials=80/80 badlick=0 time=0.60s
[130/152] sub-m18/sub-m18_ses-06_behavior+ophys.nwb: neurons=1378 trials=80/80 badlick=0 time=0.48s
[131/152] sub-m18/sub-m18_ses-07_behavior+ophys.nwb: neurons=1726 trials=80/80 badlick=0 time=0.61s
[132/152] sub-m18/sub-m18_ses-08_behavior+ophys.nwb: neurons=2314 trials=80/80 badlick=0 time=0.69s
[133/152] sub-m18/sub-m18_ses-09_behavior+ophys.nwb: neurons=1696 trials=80/80 badlick=0 time=0.50s
[134/152] sub-m18/sub-m18_ses-10_behavior+ophys.nwb: neurons=1899 trials=80/80 badlick=0 time=0.59s
[135/152] sub-m18/sub-m18_ses-11_behavior+ophys.nwb: neurons=1382 trials=80/80 badlick=0 time=0.41s
[136/152] sub-m18/sub-m18_ses-12_behavior+ophys.nwb: neurons=1927 trials=80/80 badlick=0 time=0.59s
[137/152] sub-m18/sub-m18_ses-13_behavior+ophys.nwb: neurons=1433 trials=80/80 badlick=0 time=0.38s
[138/152] sub-m18/sub-m18_ses-14_behavior+ophys.nwb: neurons=1955 trials=80/80 badlick=0 time=0.57s
[139/152] sub-m19/sub-m19_ses-01_behavior+ophys.nwb: neurons=528 trials=80/80 badlick=0 time=0.19s
[140/152] sub-m19/sub-m19_ses-02_behavior+ophys.nwb: neurons=407 trials=80/80 badlick=0 time=0.14s
[141/152] sub-m19/sub-m19_ses-03_behavior+ophys.nwb: neurons=465 trials=80/80 badlick=0 time=0.19s
[142/152] sub-m19/sub-m19_ses-04_behavior+ophys.nwb: neurons=550 trials=80/80 badlick=0 time=0.22s
[143/152] sub-m19/sub-m19_ses-05_behavior+ophys.nwb: neurons=472 trials=80/80 badlick=0 time=0.16s
[144/152] sub-m19/sub-m19_ses-06_behavior+ophys.nwb: neurons=504 trials=80/80 badlick=0 time=0.17s
[145/152] sub-m19/sub-m19_ses-07_behavior+ophys.nwb: neurons=596 trials=80/80 badlick=0 time=0.21s
[146/152] sub-m19/sub-m19_ses-08_behavior+ophys.nwb: neurons=566 trials=80/80 badlick=0 time=0.25s
[147/152] sub-m19/sub-m19_ses-09_behavior+ophys.nwb: neurons=434 trials=80/80 badlick=0 time=0.19s
[148/152] sub-m19/sub-m19_ses-10_behavior+ophys.nwb: neurons=469 trials=80/80 badlick=0 time=0.21s
[149/152] sub-m19/sub-m19_ses-11_behavior+ophys.nwb: neurons=378 trials=80/80 badlick=0 time=0.14s
[150/152] sub-m19/sub-m19_ses-12_behavior+ophys.nwb: neurons=558 trials=80/80 badlick=0 time=0.20s
[151/152] sub-m19/sub-m19_ses-13_behavior+ophys.nwb: neurons=428 trials=80/80 badlick=0 time=0.13s
[152/152] sub-m19/sub-m19_ses-14_behavior+ophys.nwb: neurons=589 trials=80/80 badlick=0 time=0.22s
SAVED /app/converted_data.pkl sessions=152 trials=12135 summed_neurons=138678 elapsed=54.8s size=9.661GB
