Found 174 NWB files; mode=full
[61] SC031_20191021_142044_s48: trials=424 neurons=532 visible=0.124 time=1.56s
[62] SC031_20191022_133136_s49: trials=544 neurons=279 visible=0.038 time=1.36s
[63] SC031_20191023_142402_s50: trials=498 neurons=178 visible=0.076 time=1.01s
[64] SC032_20191217_123303_s54: trials=435 neurons=259 visible=0.033 time=1.02s
[65] SC032_20191218_111453_s55: trials=493 neurons=322 visible=0.124 time=1.22s
[66] SC032_20191219_134919_s56: trials=421 neurons=368 visible=0.129 time=1.25s
[67] SC032_20191220_140433_s57: trials=470 neurons=184 visible=0.117 time=0.92s
[68] SC033_20191112_114755_s31: trials=454 neurons=156 visible=0.094 time=0.79s
[69] SC033_20191113_135640_s32: trials=405 neurons=150 visible=0.139 time=0.76s
[70] SC033_20191114_142520_s33: trials=482 neurons=190 visible=0.168 time=0.88s
[71] SC033_20191115_135939_s34: trials=635 neurons=141 visible=0.189 time=0.88s
[72] SC035_20200107_111633_s33: trials=519 neurons=365 visible=0.161 time=1.41s
[73] SC035_20200108_105741_s34: trials=600 neurons=254 visible=0.179 time=1.14s
[74] SC035_20200109_111437_s35: trials=494 neurons=323 visible=0.142 time=1.25s
[75] SC035_20200110_142717_s36: trials=470 neurons=269 visible=0.177 time=1.16s
[76] SC043_20200921_162104_s29: trials=320 neurons=605 visible=0.075 time=1.75s
[77] SC043_20200922_135318_s24: trials=527 neurons=378 visible=0.144 time=1.62s
[78] SC043_20200923_151145_s25: trials=530 neurons=537 visible=0.174 time=2.24s
[79] SC043_20200924_134307_s26: trials=626 neurons=374 visible=0.183 time=1.81s
[80] SC043_20200925_153348_s27: trials=461 neurons=322 visible=0.100 time=1.23s
[81] SC043_20200928_141416_s28: trials=530 neurons=90 visible=0.178 time=0.58s
[82] SC045_20201209_115448_s17: trials=580 neurons=110 visible=0.131 time=0.61s
[83] SC045_20201210_113111_s18: trials=640 neurons=180 visible=0.127 time=0.99s
[84] SC045_20201211_110651_s19: trials=410 neurons=233 visible=0.138 time=0.87s
[85] SC045_20201214_120340_s21: trials=450 neurons=459 visible=0.262 time=1.52s
[86] SC045_20201216_120333_s24: trials=264 neurons=480 visible=0.171 time=1.39s
[87] SC045_20201217_120512_s22: trials=440 neurons=304 visible=0.210 time=1.14s
[88] SC045_20201218_113815_s23: trials=520 neurons=328 visible=0.192 time=1.31s
[89] SC048_20201224_122322_s10: trials=470 neurons=148 visible=0.093 time=0.77s
[90] SC048_20201225_114244_s11: trials=666 neurons=237 visible=0.117 time=1.04s
[91] SC048_20201226_121710_s12: trials=700 neurons=371 visible=0.207 time=1.62s
[92] SC048_20201229_125330_s13: trials=530 neurons=439 visible=0.166 time=1.62s
[93] SC048_20201230_112558_s14: trials=540 neurons=639 visible=0.115 time=2.11s
[94] SC048_20201231_114638_s15: trials=490 neurons=618 visible=0.138 time=1.86s
[95] SC048_20210101_123136_s16: trials=500 neurons=205 visible=0.112 time=0.96s
[96] SC048_20210103_133044_s17: trials=540 neurons=523 visible=0.168 time=1.43s
[97] SC048_20210104_131503_s18: trials=610 neurons=555 visible=0.134 time=1.70s
[98] SC049_20210106_125834_s14: trials=560 neurons=532 visible=0.051 time=1.64s
[99] SC049_20210107_120825_s15: trials=500 neurons=420 visible=0.122 time=1.39s
[100] SC049_20210108_135220_s16: trials=520 neurons=683 visible=0.149 time=2.18s
[101] SC049_20210110_134005_s17: trials=720 neurons=480 visible=0.129 time=1.54s
[102] SC049_20210111_122809_s18: trials=540 neurons=495 visible=0.102 time=1.40s
[103] SC049_20210112_130202_s19: trials=624 neurons=675 visible=0.166 time=2.20s
[104] SC049_20210113_125455_s20: trials=680 neurons=749 visible=0.141 time=2.47s
[105] SC050_20210225_155426_s16: trials=515 neurons=630 visible=0.152 time=1.96s
[106] SC050_20210226_161028_s17: trials=479 neurons=733 visible=0.164 time=2.07s
[107] SC050_20210227_131716_s18: trials=494 neurons=765 visible=0.143 time=2.15s
[108] SC050_20210301_144130_s19: trials=475 neurons=538 visible=0.196 time=1.48s
[109] SC050_20210302_140243_s20: trials=513 neurons=183 visible=0.161 time=0.84s
[110] SC050_20210303_161010_s21: trials=469 neurons=257 visible=0.115 time=1.09s
[111] SC050_20210304_163309_s22: trials=533 neurons=219 visible=0.134 time=1.02s
[112] SC053_20210218_122535_s16: trials=312 neurons=477 visible=0.149 time=1.68s
[113] SC053_20210219_132453_s7: trials=439 neurons=376 visible=0.107 time=1.25s
[114] SC053_20210220_124834_s15: trials=362 neurons=516 visible=0.134 time=1.70s
[115] SC053_20210221_130859_s8: trials=568 neurons=688 visible=0.253 time=2.18s
[116] SC053_20210222_130313_s9: trials=553 neurons=350 visible=0.262 time=1.32s
[117] SC053_20210223_135753_s10: trials=561 neurons=219 visible=0.309 time=0.98s
[118] SC053_20210224_133042_s11: trials=496 neurons=469 visible=0.293 time=1.77s
[119] SC053_20210225_115002_s12: trials=535 neurons=366 visible=0.245 time=1.38s
[120] SC053_20210226_133429_s13: trials=548 neurons=483 visible=0.270 time=1.79s
[121] SC053_20210228_131818_s14: trials=622 neurons=268 visible=0.307 time=1.11s
[122] SC052_20210121_153333_s3: trials=520 neurons=432 visible=0.173 time=1.63s
[123] SC052_20210122_131850_s4: trials=624 neurons=358 visible=0.112 time=1.69s
[124] SC052_20210123_132015_s5: trials=600 neurons=407 visible=0.138 time=1.58s
[125] SC052_20210125_124258_s6: trials=601 neurons=509 visible=0.070 time=1.93s
[126] SC052_20210126_134951_s7: trials=540 neurons=650 visible=0.144 time=2.02s
[127] SC052_20210127_140737_s8: trials=504 neurons=731 visible=0.143 time=2.31s
[128] SC052_20210128_133949_s9: trials=620 neurons=923 visible=0.114 time=2.82s
[129] SC052_20210129_132207_s10: trials=665 neurons=724 visible=0.112 time=2.42s
[130] SC052_20210130_135022_s11: trials=553 neurons=850 visible=0.079 time=2.30s
[131] SC061_20210318_171131_s7: trials=450 neurons=256 visible=0.099 time=1.05s
[132] SC061_20210319_144211_s8: trials=570 neurons=385 visible=0.122 time=1.57s
[133] SC061_20210321_131204_s9: trials=476 neurons=213 visible=0.133 time=0.84s
[134] SC061_20210322_122309_s10: trials=542 neurons=330 visible=0.162 time=1.23s
[135] SC061_20210323_121231_s11: trials=445 neurons=492 visible=0.147 time=1.45s
[136] SC061_20210324_143423_s12: trials=617 neurons=165 visible=0.140 time=0.81s
[137] SC064_20210427_145157_s5: trials=419 neurons=486 visible=0.168 time=1.54s
[138] SC064_20210428_133442_s6: trials=534 neurons=633 visible=0.176 time=2.29s
[139] SC064_20210429_131158_s7: trials=503 neurons=497 visible=0.171 time=1.62s
[140] SC064_20210430_132651_s8: trials=484 neurons=532 visible=0.151 time=1.67s
[141] SC064_20210504_121957_s10: trials=627 neurons=285 visible=0.249 time=1.12s
[142] SC064_20210505_131153_s11: trials=656 neurons=227 visible=0.228 time=1.05s
[143] SC064_20210506_134206_s12: trials=644 neurons=342 visible=0.220 time=1.37s
[144] SC064_20210507_135524_s13: trials=695 neurons=430 visible=0.217 time=2.11s
[145] SC064_20210508_132858_s14: trials=638 neurons=390 visible=0.236 time=1.46s
[146] SC065_20210504_155124_s5: trials=588 neurons=308 visible=0.237 time=1.36s
[147] SC065_20210505_170309_s6: trials=625 neurons=298 visible=0.145 time=1.34s
[148] SC065_20210506_174036_s7: trials=518 neurons=638 visible=0.202 time=1.97s
[149] SC065_20210507_172825_s8: trials=509 neurons=208 visible=0.181 time=0.92s
[150] SC065_20210509_131820_s9: trials=479 neurons=452 visible=0.193 time=1.71s
[151] SC065_20210510_162815_s10: trials=399 neurons=238 visible=0.131 time=0.92s
[152] SC065_20210511_140555_s11: trials=476 neurons=206 visible=0.108 time=0.91s
[153] SC065_20210513_120445_s12: trials=531 neurons=404 visible=0.205 time=1.67s
[154] SC065_20210514_111526_s13: trials=566 neurons=269 visible=0.205 time=1.37s
[155] SC060_20210318_122039_s1: trials=407 neurons=365 visible=0.080 time=1.12s
[156] SC060_20210319_121514_s2: trials=523 neurons=393 visible=0.099 time=1.24s
[157] SC060_20210320_130513_s3: trials=537 neurons=483 visible=0.133 time=1.37s
[158] SC060_20210322_164725_s4: trials=471 neurons=288 visible=0.143 time=1.05s
[159] SC060_20210323_164459_s5: trials=640 neurons=325 visible=0.156 time=1.19s
[160] SC060_20210324_182545_s6: trials=479 neurons=182 visible=0.087 time=0.78s
[161] SC066_20210413_112028_s6: trials=522 neurons=537 visible=0.003 time=2.20s
[162] SC066_20210414_121243_s7: trials=590 neurons=473 visible=0.276 time=2.06s
[163] SC066_20210415_121842_s8: trials=518 neurons=302 visible=0.217 time=1.31s
[164] SC066_20210416_140326_s9: trials=631 neurons=317 visible=0.222 time=1.49s
[165] SC066_20210419_130102_s10: trials=560 neurons=530 visible=0.304 time=1.93s
[166] SC066_20210420_130906_s11: trials=501 neurons=437 visible=0.208 time=1.83s
[167] SC066_20210421_141806_s12: trials=608 neurons=339 visible=0.264 time=1.49s
[168] SC067_20210413_150250_s23: trials=662 neurons=445 visible=0.161 time=2.27s
[169] SC067_20210414_153241_s24: trials=547 neurons=390 visible=0.144 time=1.78s
[170] SC067_20210415_161621_s25: trials=491 neurons=308 visible=0.136 time=1.35s
[171] SC067_20210418_132006_s26: trials=689 neurons=787 visible=0.167 time=3.02s
[172] SC067_20210419_161140_s27: trials=452 neurons=472 visible=0.147 time=1.92s
[173] SC067_20210420_170516_s28: trials=626 neurons=368 visible=0.161 time=1.70s
Converted sessions=173 subjects=28 trials=90859 neurons=68888 regions=14
Saved /app/converted_data.pkl (11.760 GB), pickle time=11.78s, total=264.80s
