Found 202 local active experiment files
[pass1 47/202] kept 848694639 trials=254 elapsed=0.44s
[pass1 48/202] kept 848697604 trials=286 elapsed=0.52s
[pass1 49/202] kept 848697625 trials=263 elapsed=0.51s
[pass1 50/202] kept 850479305 trials=228 elapsed=0.29s
[pass1 51/202] kept 850489605 trials=279 elapsed=0.46s
[pass1 52/202] kept 851056106 trials=279 elapsed=0.52s
[pass1 53/202] kept 851060467 trials=265 elapsed=0.55s
[pass1 54/202] kept 852691524 trials=231 elapsed=0.38s
[pass1 55/202] kept 853328115 trials=290 elapsed=0.44s
[pass1 56/202] kept 853962951 trials=327 elapsed=0.47s
[pass1 57/202] kept 853962969 trials=251 elapsed=0.54s
[pass1 58/202] kept 855577488 trials=329 elapsed=0.53s
[pass1 59/202] kept 856096766 trials=246 elapsed=0.52s
[pass1 60/202] kept 856938751 trials=184 elapsed=0.49s
[pass1 61/202] kept 857658471 trials=280 elapsed=0.60s
[pass1 62/202] kept 857660011 trials=270 elapsed=0.43s
[pass1 63/202] kept 859147033 trials=189 elapsed=0.42s
[pass1 64/202] kept 862848066 trials=387 elapsed=0.55s
[pass1 65/202] kept 864370674 trials=378 elapsed=0.61s
[pass1 66/202] kept 871155338 trials=267 elapsed=0.42s
[pass1 67/202] kept 872433717 trials=189 elapsed=0.59s
[pass1 68/202] kept 873154932 trials=334 elapsed=0.58s
[pass1 69/202] kept 873156540 trials=200 elapsed=0.63s
[pass1 70/202] kept 873968820 trials=279 elapsed=0.53s
[pass1 71/202] kept 873972085 trials=215 elapsed=0.42s
[pass1 72/202] kept 877018118 trials=324 elapsed=0.53s
[pass1 73/202] kept 877691075 trials=372 elapsed=0.63s
[pass1 74/202] kept 878358326 trials=343 elapsed=0.38s
[pass1 75/202] kept 878363088 trials=200 elapsed=0.54s
[pass1 76/202] kept 879331157 trials=252 elapsed=0.58s
[pass1 77/202] kept 879332693 trials=304 elapsed=0.49s
[pass1 78/202] kept 880375092 trials=291 elapsed=0.46s
[pass1 79/202] kept 880961028 trials=230 elapsed=0.59s
[pass1 80/202] kept 881881171 trials=307 elapsed=0.58s
[pass1 81/202] kept 882935355 trials=291 elapsed=0.58s
[pass1 82/202] kept 884221469 trials=347 elapsed=0.36s
[pass1 83/202] kept 885067844 trials=206 elapsed=0.56s
[pass1 84/202] kept 885933191 trials=288 elapsed=0.53s
[pass1 85/202] kept 888666698 trials=149 elapsed=0.53s
[pass1 86/202] kept 889771676 trials=250 elapsed=0.36s
[pass1 87/202] kept 889772922 trials=339 elapsed=0.61s
[pass1 88/202] kept 889775742 trials=186 elapsed=0.61s
[pass1 89/202] kept 889777243 trials=323 elapsed=0.36s
[pass1 90/202] kept 891994418 trials=220 elapsed=0.55s
[pass1 91/202] kept 891996193 trials=380 elapsed=0.58s
[pass1 92/202] kept 892799212 trials=232 elapsed=0.57s
[pass1 93/202] kept 892805315 trials=356 elapsed=0.47s
[pass1 94/202] kept 893830436 trials=362 elapsed=0.33s
[pass1 95/202] kept 894726001 trials=330 elapsed=0.50s
[pass1 96/202] kept 894727297 trials=205 elapsed=0.45s
[pass1 97/202] kept 895422187 trials=368 elapsed=0.41s
[pass1 98/202] kept 896160394 trials=307 elapsed=0.26s
[pass1 99/202] kept 935440133 trials=300 elapsed=0.48s
[pass1 100/202] kept 936494970 trials=263 elapsed=0.50s
[pass1 101/202] kept 938003662 trials=79 elapsed=0.38s
[pass1 102/202] kept 939327156 trials=348 elapsed=0.28s
[pass1 103/202] kept 940352367 trials=257 elapsed=0.54s
[pass1 104/202] kept 940352989 trials=117 elapsed=0.57s
[pass1 105/202] kept 940852112 trials=173 elapsed=0.38s
[pass1 106/202] kept 940852658 trials=334 elapsed=0.41s
[pass1 107/202] kept 942043482 trials=379 elapsed=0.60s
[pass1 108/202] kept 944366183 trials=363 elapsed=0.49s
[pass1 109/202] kept 945473009 trials=81 elapsed=0.37s
[pass1 110/202] kept 946476556 trials=373 elapsed=0.35s
[pass1 111/202] kept 947716576 trials=105 elapsed=0.36s
[pass1 112/202] kept 947724724 trials=338 elapsed=0.46s
[pass1 113/202] kept 948507789 trials=117 elapsed=0.37s
[pass1 114/202] kept 948514870 trials=378 elapsed=0.54s
[pass1 115/202] kept 949637002 trials=286 elapsed=0.59s
[pass1 116/202] kept 950833329 trials=248 elapsed=0.36s
[pass1 117/202] kept 951932454 trials=370 elapsed=0.35s
[pass1 118/202] kept 951980471 trials=209 elapsed=0.40s
[pass1 119/202] kept 951980473 trials=209 elapsed=0.41s
[pass1 120/202] kept 951980475 trials=209 elapsed=0.34s
[pass1 121/202] kept 951980479 trials=209 elapsed=0.24s
[pass1 122/202] kept 951980481 trials=209 elapsed=0.48s
[pass1 123/202] kept 951980484 trials=209 elapsed=0.45s
[pass1 124/202] kept 951980486 trials=209 elapsed=0.45s
[pass1 125/202] kept 953443028 trials=279 elapsed=0.57s
[pass1 126/202] kept 953452368 trials=257 elapsed=0.45s
[pass1 127/202] kept 955278565 trials=92 elapsed=0.54s
[pass1 128/202] kept 956820482 trials=138 elapsed=0.52s
[pass1 129/202] kept 956941841 trials=265 elapsed=0.36s
[pass1 130/202] kept 956941844 trials=265 elapsed=0.45s
[pass1 131/202] kept 956941846 trials=265 elapsed=0.55s
[pass1 132/202] kept 957655294 trials=216 elapsed=0.49s
[pass1 133/202] kept 957759562 trials=287 elapsed=0.32s
[pass1 134/202] kept 957759564 trials=287 elapsed=0.46s
[pass1 135/202] kept 957759566 trials=287 elapsed=0.46s
[pass1 136/202] kept 957759570 trials=287 elapsed=0.54s
[pass1 137/202] kept 957759572 trials=287 elapsed=0.54s
[pass1 138/202] kept 957759574 trials=287 elapsed=0.47s
[pass1 139/202] kept 957759576 trials=287 elapsed=0.27s
[pass1 140/202] kept 958527464 trials=309 elapsed=0.43s
[pass1 141/202] kept 958527471 trials=309 elapsed=0.46s
[pass1 142/202] kept 958527474 trials=309 elapsed=0.40s
[pass1 143/202] kept 958527479 trials=309 elapsed=0.24s
[pass1 144/202] kept 958527481 trials=309 elapsed=0.47s
[pass1 145/202] kept 958527485 trials=309 elapsed=0.41s
[pass1 146/202] kept 958527488 trials=309 elapsed=0.49s
[pass1 147/202] kept 958741219 trials=239 elapsed=0.27s
[pass1 148/202] kept 958741222 trials=239 elapsed=0.37s
[pass1 149/202] kept 958741230 trials=239 elapsed=0.49s
[pass1 150/202] kept 958741232 trials=239 elapsed=0.47s
[pass1 151/202] kept 958741234 trials=239 elapsed=0.46s
[pass1 152/202] kept 960410023 trials=196 elapsed=0.47s
[pass1 153/202] kept 960410026 trials=196 elapsed=0.26s
[pass1 154/202] kept 960410028 trials=196 elapsed=0.44s
[pass1 155/202] kept 960410038 trials=196 elapsed=0.48s
[pass1 156/202] kept 960410042 trials=196 elapsed=0.49s
[pass1 157/202] kept 960957793 trials=394 elapsed=0.34s
[pass1 158/202] kept 962471831 trials=217 elapsed=0.52s
[pass1 159/202] kept 965228792 trials=181 elapsed=0.48s
[pass1 160/202] kept 967005387 trials=107 elapsed=0.46s
[pass1 161/202] kept 972701564 trials=269 elapsed=0.23s
[pass1 162/202] kept 974384470 trials=189 elapsed=0.41s
[pass1 163/202] kept 974945686 trials=224 elapsed=0.44s
[pass1 164/202] kept 977132456 trials=258 elapsed=0.49s
[pass1 165/202] kept 1007107386 trials=365 elapsed=0.42s
[pass1 166/202] kept 1007372463 trials=291 elapsed=0.41s
[pass1 167/202] kept 1008318518 trials=305 elapsed=0.29s
[pass1 168/202] kept 1009114207 trials=215 elapsed=0.40s
[pass1 169/202] kept 1042387068 trials=229 elapsed=0.43s
[pass1 170/202] kept 1042639868 trials=205 elapsed=0.43s
[pass1 171/202] kept 1043831389 trials=147 elapsed=0.38s
[pass1 172/202] kept 1044095203 trials=338 elapsed=0.47s
[pass1 173/202] kept 1044678595 trials=162 elapsed=0.46s
[pass1 174/202] kept 1050406399 trials=336 elapsed=0.49s
[pass1 175/202] kept 1051009897 trials=230 elapsed=0.28s
[pass1 176/202] kept 1051217227 trials=334 elapsed=0.50s
[pass1 177/202] kept 1051423446 trials=317 elapsed=0.44s
[pass1 178/202] kept 1052391266 trials=349 elapsed=0.43s
[pass1 179/202] kept 1052609309 trials=314 elapsed=0.44s
[pass1 180/202] kept 1053605418 trials=354 elapsed=0.31s
[pass1 181/202] kept 1053997501 trials=319 elapsed=0.37s
[pass1 182/202] kept 1054813047 trials=319 elapsed=0.44s
[pass1 183/202] kept 1065523118 trials=318 elapsed=0.43s
[pass1 184/202] kept 1065523124 trials=95 elapsed=0.36s
[pass1 185/202] kept 1065966776 trials=180 elapsed=0.33s
[pass1 186/202] kept 1067133170 trials=286 elapsed=0.47s
[pass1 187/202] kept 1067133175 trials=288 elapsed=0.51s
[pass1 188/202] kept 1067647876 trials=218 elapsed=0.37s
[pass1 189/202] kept 1067648397 trials=249 elapsed=0.27s
[pass1 190/202] kept 1069286452 trials=259 elapsed=0.44s
[pass1 191/202] kept 1071070929 trials=211 elapsed=0.36s
[pass1 192/202] kept 1071440875 trials=271 elapsed=0.39s
[pass1 193/202] kept 1081536273 trials=262 elapsed=0.43s
[pass1 194/202] kept 1082414357 trials=227 elapsed=0.43s
[pass1 195/202] kept 1082818566 trials=266 elapsed=0.33s
[pass1 196/202] kept 1083070132 trials=225 elapsed=0.48s
[pass1 197/202] kept 1083296280 trials=269 elapsed=0.51s
[pass1 198/202] kept 1084305603 trials=318 elapsed=0.47s
[pass1 199/202] kept 1084795752 trials=251 elapsed=0.34s
[pass1 200/202] kept 1085000574 trials=255 elapsed=0.55s
[pass1 201/202] kept 1085816655 trials=131 elapsed=0.45s
[pass1 202/202] kept 1086048031 trials=131 elapsed=0.43s
Pass 1 retained 199 sessions
Running bin edges: [-2.40380688e+01 -4.07344578e-03  3.03043455e-01  1.57688932e+01
  3.34432335e+01  9.98918076e+01]
Pupil bin edges: [ 17.07517815  73.8266983   83.8041153   92.87380829 105.43889923
 447.74597168]
Pass 2: converting sessions
[pass2 1/199] session=775614751 trials=39 neurons=89 mean_T=238.3 elapsed=1.11s
[pass2 2/199] session=788490510 trials=190 neurons=142 mean_T=248.8 elapsed=1.40s
[pass2 3/199] session=792813858 trials=151 neurons=208 mean_T=245.4 elapsed=1.66s
[pass2 4/199] session=792815735 trials=188 neurons=27 mean_T=252.8 elapsed=0.93s
[pass2 5/199] session=794381992 trials=155 neurons=199 mean_T=238.6 elapsed=1.34s
[pass2 6/199] session=795073741 trials=112 neurons=45 mean_T=247.5 elapsed=0.98s
[pass2 7/199] session=795076128 trials=166 neurons=221 mean_T=243.9 elapsed=1.66s
[pass2 8/199] session=796105304 trials=172 neurons=190 mean_T=241.5 elapsed=1.46s
[pass2 9/199] session=796308505 trials=225 neurons=49 mean_T=248.2 elapsed=1.00s
[pass2 10/199] session=803736273 trials=242 neurons=39 mean_T=250.4 elapsed=1.03s
[pass2 11/199] session=805784331 trials=180 neurons=22 mean_T=248.6 elapsed=0.82s
[pass2 12/199] session=806455766 trials=234 neurons=251 mean_T=253.5 elapsed=2.07s
[pass2 13/199] session=807752719 trials=176 neurons=194 mean_T=252.6 elapsed=1.58s
[pass2 14/199] session=807753334 trials=230 neurons=286 mean_T=251.1 elapsed=2.05s
[pass2 15/199] session=808619543 trials=251 neurons=196 mean_T=261.6 elapsed=1.53s
[pass2 16/199] session=808621034 trials=267 neurons=302 mean_T=253.5 elapsed=2.30s
[pass2 17/199] session=808621958 trials=129 neurons=46 mean_T=247.3 elapsed=0.90s
[pass2 18/199] session=809501118 trials=195 neurons=200 mean_T=247.5 elapsed=1.26s
[pass2 19/199] session=813083478 trials=293 neurons=212 mean_T=251.8 elapsed=1.73s
[pass2 20/199] session=817267785 trials=315 neurons=164 mean_T=256.4 elapsed=1.56s
[pass2 21/199] session=820307518 trials=285 neurons=122 mean_T=259.1 elapsed=1.40s
[pass2 22/199] session=822024770 trials=260 neurons=436 mean_T=255.3 elapsed=2.74s
[pass2 23/199] session=822647135 trials=307 neurons=167 mean_T=252.6 elapsed=1.44s
[pass2 24/199] session=823392290 trials=293 neurons=410 mean_T=256.7 elapsed=2.82s
[pass2 25/199] session=825120601 trials=312 neurons=504 mean_T=255.9 elapsed=2.98s
[pass2 26/199] session=825130141 trials=228 neurons=110 mean_T=254.6 elapsed=1.22s
[pass2 27/199] session=826585773 trials=338 neurons=483 mean_T=261.1 elapsed=3.12s
[pass2 28/199] session=826587940 trials=396 neurons=29 mean_T=258.6 elapsed=1.18s
[pass2 29/199] session=830093338 trials=397 neurons=22 mean_T=260.3 elapsed=1.01s
[pass2 30/199] session=830700781 trials=293 neurons=157 mean_T=261.0 elapsed=1.48s
[pass2 31/199] session=832115263 trials=409 neurons=20 mean_T=257.3 elapsed=1.05s
[pass2 32/199] session=833629926 trials=271 neurons=161 mean_T=253.2 elapsed=1.48s
[pass2 33/199] session=834279496 trials=302 neurons=162 mean_T=254.2 elapsed=1.42s
[pass2 34/199] session=835006071 trials=270 neurons=146 mean_T=255.1 elapsed=1.43s
[pass2 35/199] session=836258936 trials=293 neurons=143 mean_T=254.8 elapsed=1.22s
[pass2 36/199] session=836258957 trials=381 neurons=13 mean_T=261.7 elapsed=1.06s
[pass2 37/199] session=842973730 trials=146 neurons=136 mean_T=244.3 elapsed=1.15s
[pass2 38/199] session=842975542 trials=213 neurons=429 mean_T=255.8 elapsed=2.41s
[pass2 39/199] session=844395446 trials=145 neurons=426 mean_T=243.9 elapsed=2.07s
[pass2 40/199] session=845037476 trials=185 neurons=556 mean_T=255.1 elapsed=2.83s
[pass2 41/199] session=846487947 trials=263 neurons=537 mean_T=257.8 elapsed=3.08s
[pass2 42/199] session=847125577 trials=268 neurons=151 mean_T=258.8 elapsed=1.39s
[pass2 43/199] session=848692970 trials=274 neurons=209 mean_T=260.6 elapsed=1.76s
[pass2 44/199] session=848694639 trials=254 neurons=48 mean_T=252.5 elapsed=0.93s
[pass2 45/199] session=848697604 trials=286 neurons=188 mean_T=257.1 elapsed=1.73s
[pass2 46/199] session=848697625 trials=263 neurons=123 mean_T=256.6 elapsed=1.23s
[pass2 47/199] session=850479305 trials=228 neurons=120 mean_T=258.5 elapsed=1.34s
[pass2 48/199] session=850489605 trials=279 neurons=242 mean_T=258.7 elapsed=1.82s
[pass2 49/199] session=851056106 trials=279 neurons=233 mean_T=259.6 elapsed=1.78s
[pass2 50/199] session=851060467 trials=265 neurons=125 mean_T=254.5 elapsed=1.42s
[pass2 51/199] session=852691524 trials=231 neurons=127 mean_T=259.6 elapsed=1.36s
[pass2 52/199] session=853328115 trials=290 neurons=64 mean_T=257.0 elapsed=1.01s
[pass2 53/199] session=853962951 trials=327 neurons=49 mean_T=261.8 elapsed=1.25s
[pass2 54/199] session=853962969 trials=251 neurons=209 mean_T=253.1 elapsed=1.69s
[pass2 55/199] session=855577488 trials=329 neurons=62 mean_T=259.0 elapsed=1.21s
[pass2 56/199] session=856096766 trials=246 neurons=151 mean_T=256.4 elapsed=1.57s
[pass2 57/199] session=856938751 trials=184 neurons=184 mean_T=249.3 elapsed=1.47s
[pass2 58/199] session=857658471 trials=280 neurons=63 mean_T=261.2 elapsed=0.95s
[pass2 59/199] session=857660011 trials=270 neurons=171 mean_T=257.0 elapsed=1.61s
[pass2 60/199] session=859147033 trials=189 neurons=108 mean_T=253.8 elapsed=1.40s
[pass2 61/199] session=862848066 trials=387 neurons=156 mean_T=257.3 elapsed=1.83s
[pass2 62/199] session=864370674 trials=378 neurons=175 mean_T=256.8 elapsed=1.96s
[pass2 63/199] session=871155338 trials=267 neurons=65 mean_T=255.3 elapsed=1.39s
[pass2 64/199] session=872433717 trials=189 neurons=98 mean_T=243.6 elapsed=1.13s
[pass2 65/199] session=873154932 trials=334 neurons=557 mean_T=256.8 elapsed=3.15s
[pass2 66/199] session=873156540 trials=200 neurons=77 mean_T=248.8 elapsed=1.32s
[pass2 67/199] session=873968820 trials=279 neurons=604 mean_T=256.8 elapsed=3.68s
[pass2 68/199] session=873972085 trials=215 neurons=85 mean_T=256.6 elapsed=1.35s
[pass2 69/199] session=877018118 trials=324 neurons=666 mean_T=259.5 elapsed=3.50s
[pass2 70/199] session=877691075 trials=372 neurons=469 mean_T=258.2 elapsed=3.18s
[pass2 71/199] session=878358326 trials=343 neurons=556 mean_T=258.6 elapsed=3.68s
[pass2 72/199] session=878363088 trials=200 neurons=52 mean_T=251.2 elapsed=1.11s
[pass2 73/199] session=879331157 trials=252 neurons=83 mean_T=261.1 elapsed=1.39s
[pass2 74/199] session=879332693 trials=304 neurons=415 mean_T=255.0 elapsed=3.12s
[pass2 75/199] session=880375092 trials=291 neurons=511 mean_T=259.5 elapsed=3.26s
[pass2 76/199] session=880961028 trials=230 neurons=98 mean_T=250.7 elapsed=1.40s
[pass2 77/199] session=881881171 trials=307 neurons=457 mean_T=259.1 elapsed=3.11s
[pass2 78/199] session=882935355 trials=291 neurons=463 mean_T=258.4 elapsed=3.39s
[pass2 79/199] session=884221469 trials=347 neurons=516 mean_T=258.3 elapsed=3.21s
[pass2 80/199] session=885067844 trials=206 neurons=81 mean_T=256.3 elapsed=1.14s
[pass2 81/199] session=885933191 trials=288 neurons=490 mean_T=256.4 elapsed=2.61s
[pass2 82/199] session=888666698 trials=149 neurons=85 mean_T=244.7 elapsed=1.12s
[pass2 83/199] session=889771676 trials=250 neurons=242 mean_T=255.2 elapsed=1.70s
[pass2 84/199] session=889772922 trials=339 neurons=164 mean_T=256.2 elapsed=1.31s
[pass2 85/199] session=889775742 trials=186 neurons=83 mean_T=251.0 elapsed=1.26s
[pass2 86/199] session=889777243 trials=323 neurons=482 mean_T=259.7 elapsed=2.91s
[pass2 87/199] session=891994418 trials=220 neurons=230 mean_T=248.8 elapsed=1.66s
[pass2 88/199] session=891996193 trials=380 neurons=115 mean_T=261.1 elapsed=1.54s
[pass2 89/199] session=892799212 trials=232 neurons=254 mean_T=252.4 elapsed=1.54s
[pass2 90/199] session=892805315 trials=356 neurons=134 mean_T=259.2 elapsed=1.59s
[pass2 91/199] session=893830436 trials=362 neurons=560 mean_T=257.0 elapsed=4.20s
[pass2 92/199] session=894726001 trials=330 neurons=158 mean_T=260.0 elapsed=1.60s
[pass2 93/199] session=894727297 trials=205 neurons=245 mean_T=257.9 elapsed=1.74s
[pass2 94/199] session=895422187 trials=368 neurons=504 mean_T=257.1 elapsed=3.21s
[pass2 95/199] session=896160394 trials=307 neurons=558 mean_T=253.0 elapsed=3.43s
[pass2 96/199] session=935440133 trials=300 neurons=197 mean_T=255.5 elapsed=1.68s
[pass2 97/199] session=936494970 trials=263 neurons=194 mean_T=250.8 elapsed=1.72s
[pass2 98/199] session=938003662 trials=79 neurons=18 mean_T=228.6 elapsed=0.59s
[pass2 99/199] session=939327156 trials=348 neurons=95 mean_T=258.7 elapsed=1.34s
[pass2 100/199] session=940352367 trials=257 neurons=180 mean_T=258.5 elapsed=1.52s
[pass2 101/199] session=940352989 trials=117 neurons=23 mean_T=241.1 elapsed=0.83s
[pass2 102/199] session=940852112 trials=173 neurons=120 mean_T=261.1 elapsed=1.22s
[pass2 103/199] session=940852658 trials=334 neurons=69 mean_T=256.9 elapsed=1.21s
[pass2 104/199] session=942043482 trials=379 neurons=88 mean_T=258.4 elapsed=1.41s
[pass2 105/199] session=944366183 trials=363 neurons=39 mean_T=261.7 elapsed=0.95s
[pass2 106/199] session=945473009 trials=81 neurons=9 mean_T=230.5 elapsed=0.75s
[pass2 107/199] session=946476556 trials=373 neurons=381 mean_T=258.6 elapsed=2.42s
[pass2 108/199] session=947716576 trials=105 neurons=12 mean_T=250.1 elapsed=0.67s
[pass2 109/199] session=947724724 trials=338 neurons=354 mean_T=259.9 elapsed=2.18s
[pass2 110/199] session=948507789 trials=117 neurons=14 mean_T=243.4 elapsed=0.69s
[pass2 111/199] session=948514870 trials=378 neurons=451 mean_T=257.9 elapsed=3.20s
[pass2 112/199] session=949637002 trials=286 neurons=392 mean_T=256.7 elapsed=2.84s
[pass2 113/199] session=950833329 trials=248 neurons=17 mean_T=249.7 elapsed=1.18s
[pass2 114/199] session=951932454 trials=370 neurons=363 mean_T=265.3 elapsed=2.81s
[pass2 115/199] session=951980471 trials=209 neurons=12 mean_T=257.9 elapsed=0.92s
[pass2 116/199] session=951980473 trials=209 neurons=12 mean_T=257.9 elapsed=0.92s
[pass2 117/199] session=951980475 trials=209 neurons=12 mean_T=257.9 elapsed=0.75s
[pass2 118/199] session=951980479 trials=209 neurons=22 mean_T=257.9 elapsed=0.95s
[pass2 119/199] session=951980481 trials=209 neurons=14 mean_T=257.9 elapsed=0.73s
[pass2 120/199] session=951980484 trials=209 neurons=6 mean_T=257.9 elapsed=0.85s
[pass2 121/199] session=951980486 trials=209 neurons=10 mean_T=257.9 elapsed=0.79s
[pass2 122/199] session=953443028 trials=279 neurons=14 mean_T=253.4 elapsed=0.91s
[pass2 123/199] session=953452368 trials=257 neurons=360 mean_T=256.0 elapsed=2.17s
[pass2 124/199] session=955278565 trials=92 neurons=340 mean_T=238.7 elapsed=1.81s
[pass2 125/199] session=956820482 trials=138 neurons=549 mean_T=252.1 elapsed=3.25s
[pass2 126/199] session=956941841 trials=265 neurons=8 mean_T=250.8 elapsed=0.90s
[pass2 127/199] session=956941844 trials=265 neurons=17 mean_T=250.8 elapsed=0.91s
[pass2 128/199] session=956941846 trials=265 neurons=9 mean_T=250.8 elapsed=0.84s
[pass2 129/199] session=957655294 trials=216 neurons=422 mean_T=259.6 elapsed=2.42s
[pass2 130/199] session=957759562 trials=287 neurons=8 mean_T=254.6 elapsed=0.96s
[pass2 131/199] session=957759564 trials=287 neurons=12 mean_T=254.6 elapsed=0.68s
[pass2 132/199] session=957759566 trials=287 neurons=12 mean_T=254.6 elapsed=0.95s
[pass2 133/199] session=957759570 trials=287 neurons=23 mean_T=254.6 elapsed=1.03s
[pass2 134/199] session=957759572 trials=287 neurons=8 mean_T=254.6 elapsed=0.78s
[pass2 135/199] session=957759574 trials=287 neurons=9 mean_T=254.6 elapsed=1.01s
[pass2 136/199] session=957759576 trials=287 neurons=6 mean_T=254.6 elapsed=0.83s
[pass2 137/199] session=958527464 trials=309 neurons=11 mean_T=255.2 elapsed=1.05s
[pass2 138/199] session=958527471 trials=309 neurons=10 mean_T=255.2 elapsed=0.77s
[pass2 139/199] session=958527474 trials=309 neurons=13 mean_T=255.2 elapsed=1.03s
[pass2 140/199] session=958527479 trials=309 neurons=15 mean_T=255.2 elapsed=1.02s
[pass2 141/199] session=958527481 trials=309 neurons=6 mean_T=255.2 elapsed=0.92s
[pass2 142/199] session=958527485 trials=309 neurons=7 mean_T=255.2 elapsed=0.86s
[pass2 143/199] session=958527488 trials=309 neurons=5 mean_T=255.2 elapsed=0.87s
[pass2 144/199] session=958741219 trials=239 neurons=8 mean_T=250.1 elapsed=0.93s
[pass2 145/199] session=958741222 trials=239 neurons=16 mean_T=250.1 elapsed=0.99s
[pass2 146/199] session=958741230 trials=239 neurons=7 mean_T=250.1 elapsed=0.82s
[pass2 147/199] session=958741232 trials=239 neurons=8 mean_T=250.1 elapsed=0.84s
[pass2 148/199] session=958741234 trials=239 neurons=4 mean_T=250.1 elapsed=0.86s
[pass2 149/199] session=960410023 trials=196 neurons=8 mean_T=256.1 elapsed=0.94s
[pass2 150/199] session=960410026 trials=196 neurons=7 mean_T=256.1 elapsed=0.77s
[pass2 151/199] session=960410028 trials=196 neurons=10 mean_T=256.1 elapsed=0.98s
[pass2 152/199] session=960410038 trials=196 neurons=8 mean_T=256.1 elapsed=0.75s
[pass2 153/199] session=960410042 trials=196 neurons=4 mean_T=256.1 elapsed=1.01s
[pass2 154/199] session=960957793 trials=394 neurons=13 mean_T=262.9 elapsed=0.95s
[pass2 155/199] session=962471831 trials=217 neurons=11 mean_T=252.8 elapsed=1.04s
[pass2 156/199] session=965228792 trials=181 neurons=15 mean_T=252.7 elapsed=1.04s
[pass2 157/199] session=967005387 trials=107 neurons=18 mean_T=236.1 elapsed=0.71s
[pass2 158/199] session=972701564 trials=269 neurons=511 mean_T=257.3 elapsed=3.36s
[pass2 159/199] session=974384470 trials=189 neurons=438 mean_T=247.5 elapsed=2.42s
[pass2 160/199] session=974945686 trials=224 neurons=517 mean_T=259.5 elapsed=3.09s
[pass2 161/199] session=977132456 trials=258 neurons=555 mean_T=256.8 elapsed=3.07s
[pass2 162/199] session=1007107386 trials=365 neurons=13 mean_T=255.8 elapsed=1.20s
[pass2 163/199] session=1007372463 trials=291 neurons=9 mean_T=258.1 elapsed=0.91s
[pass2 164/199] session=1008318518 trials=305 neurons=9 mean_T=255.9 elapsed=0.94s
[pass2 165/199] session=1009114207 trials=215 neurons=6 mean_T=252.9 elapsed=0.83s
[pass2 166/199] session=1042387068 trials=229 neurons=22 mean_T=251.1 elapsed=0.86s
