loading project metadata ...
  284 experiments available locally (of 1936 in the release)
  202 active experiments (174 sessions, 38 mice) after removing passive sessions
converting 174 sessions with 16 workers ...
  [1/174] session 795625712 no eye tracking (3s elapsed, 3.4s/session, eta 589s)
  [150/174] session 1053882120 ok (58s elapsed, 0.4s/session, eta 9s)
  [151/174] session 1054703410 ok (58s elapsed, 0.4s/session, eta 9s)
  [152/174] session 1065382549 ok (58s elapsed, 0.4s/session, eta 8s)
  [153/174] session 1065384473 ok (58s elapsed, 0.4s/session, eta 8s)
  [154/174] session 1065818402 ok (59s elapsed, 0.4s/session, eta 8s)
  [155/174] session 1066943402 ok (59s elapsed, 0.4s/session, eta 7s)
  [156/174] session 1066944927 ok (59s elapsed, 0.4s/session, eta 7s)
  [157/174] session 951410079 ok (60s elapsed, 0.4s/session, eta 7s)
  [158/174] session 1067593227 ok (60s elapsed, 0.4s/session, eta 6s)
  [159/174] session 1071202230 ok (61s elapsed, 0.4s/session, eta 6s)
  [160/174] session 1070970140 ok (61s elapsed, 0.4s/session, eta 5s)
  [161/174] session 1069224939 ok (61s elapsed, 0.4s/session, eta 5s)
  [162/174] session 1067604782 ok (61s elapsed, 0.4s/session, eta 5s)
  [163/174] session 1081459617 ok (61s elapsed, 0.4s/session, eta 4s)
  [164/174] session 954954402 ok (61s elapsed, 0.4s/session, eta 4s)
  [165/174] session 1082325825 ok (61s elapsed, 0.4s/session, eta 3s)
  [166/174] session 1082748382 ok (62s elapsed, 0.4s/session, eta 3s)
  [167/174] session 1082988691 ok (62s elapsed, 0.4s/session, eta 3s)
  [168/174] session 1083188691 ok (62s elapsed, 0.4s/session, eta 2s)
  [169/174] session 1084241786 ok (62s elapsed, 0.4s/session, eta 2s)
  [170/174] session 1084385630 ok (62s elapsed, 0.4s/session, eta 1s)
  [171/174] session 1084882685 ok (63s elapsed, 0.4s/session, eta 1s)
  [172/174] session 957020350 ok (63s elapsed, 0.4s/session, eta 1s)
  [173/174] session 1085675084 ok (64s elapsed, 0.4s/session, eta 0s)
  [174/174] session 1085943021 ok (64s elapsed, 0.4s/session, eta 0s)
SKIPPED session 795625712: no eye tracking
SKIPPED session 805989030: no eye tracking
SKIPPED session 832881662: no eye tracking
171 sessions converted, 3 skipped, 0 errors

==================== SUMMARY ====================
sessions          : 171
subjects          : 38
brain regions     : ['VISl', 'VISp']
neurons (total)   : 29168  (mean 170.6 per session)
trials (total)    : 43975  (mean 257.2 per session)
go / catch        : 38460 / 5515
hit/miss/FA/CR    : 13940/24520/834/4681
empty neural bins : 0
interp-filled bins: running 8 (0.000%), pupil 3036 (0.115%)
time bin          : 100 ms, window [-2.0, 4.0] s, 60 bins
per-session time  : mean 5.7s, max 22.2s
total wall time   : 69s
written to        : /app/converted_data.pkl (2010.6 MB)
