[1/152] sub-m11_ses-03_behavior+ophys.nwb: 80 trials, 155 cells, 0.08s
[62/152] sub-m15_ses-08_behavior+ophys.nwb: 80 trials, 1307 cells, 0.33s
[63/152] sub-m15_ses-09_behavior+ophys.nwb: 80 trials, 1070 cells, 0.23s
[64/152] sub-m15_ses-10_behavior+ophys.nwb: 80 trials, 1283 cells, 0.36s
[65/152] sub-m15_ses-11_behavior+ophys.nwb: 80 trials, 754 cells, 0.18s
[66/152] sub-m15_ses-12_behavior+ophys.nwb: 80 trials, 1127 cells, 0.25s
[67/152] sub-m15_ses-13_behavior+ophys.nwb: 80 trials, 875 cells, 0.29s
[68/152] sub-m15_ses-14_behavior+ophys.nwb: 80 trials, 1195 cells, 0.30s
[69/152] sub-m17_ses-01_behavior+ophys.nwb: 80 trials, 591 cells, 0.40s
[70/152] sub-m17_ses-02_behavior+ophys.nwb: 80 trials, 442 cells, 0.57s
[71/152] sub-m17_ses-03_behavior+ophys.nwb: 80 trials, 676 cells, 0.36s
[72/152] sub-m17_ses-04_behavior+ophys.nwb: 80 trials, 506 cells, 0.37s
[73/152] sub-m17_ses-05_behavior+ophys.nwb: 80 trials, 838 cells, 0.49s
[74/152] sub-m17_ses-06_behavior+ophys.nwb: 80 trials, 491 cells, 0.56s
[75/152] sub-m17_ses-07_behavior+ophys.nwb: 80 trials, 690 cells, 0.55s
[76/152] sub-m17_ses-08_behavior+ophys.nwb: 80 trials, 593 cells, 0.34s
[77/152] sub-m17_ses-09_behavior+ophys.nwb: 80 trials, 539 cells, 0.52s
[78/152] sub-m17_ses-10_behavior+ophys.nwb: 80 trials, 683 cells, 0.41s
[79/152] sub-m17_ses-11_behavior+ophys.nwb: 80 trials, 629 cells, 0.33s
[80/152] sub-m17_ses-12_behavior+ophys.nwb: 80 trials, 747 cells, 0.62s
[81/152] sub-m17_ses-13_behavior+ophys.nwb: 80 trials, 468 cells, 0.37s
[82/152] sub-m17_ses-14_behavior+ophys.nwb: 80 trials, 770 cells, 0.40s
[83/152] sub-m18_ses-01_behavior+ophys.nwb: 80 trials, 2281 cells, 1.15s
[84/152] sub-m18_ses-02_behavior+ophys.nwb: 80 trials, 1639 cells, 0.94s
[85/152] sub-m18_ses-03_behavior+ophys.nwb: 80 trials, 2341 cells, 0.99s
[86/152] sub-m18_ses-04_behavior+ophys.nwb: 80 trials, 1634 cells, 0.65s
[87/152] sub-m18_ses-05_behavior+ophys.nwb: 80 trials, 2115 cells, 0.90s
[88/152] sub-m18_ses-06_behavior+ophys.nwb: 80 trials, 1378 cells, 0.97s
[89/152] sub-m18_ses-07_behavior+ophys.nwb: 80 trials, 1726 cells, 0.93s
[90/152] sub-m18_ses-08_behavior+ophys.nwb: 80 trials, 2314 cells, 1.26s
[91/152] sub-m18_ses-09_behavior+ophys.nwb: 80 trials, 1696 cells, 0.68s
[92/152] sub-m18_ses-10_behavior+ophys.nwb: 80 trials, 1899 cells, 0.92s
[93/152] sub-m18_ses-11_behavior+ophys.nwb: 80 trials, 1382 cells, 0.85s
[94/152] sub-m18_ses-12_behavior+ophys.nwb: 80 trials, 1927 cells, 0.69s
[95/152] sub-m18_ses-13_behavior+ophys.nwb: 80 trials, 1433 cells, 0.54s
[96/152] sub-m18_ses-14_behavior+ophys.nwb: 80 trials, 1955 cells, 0.77s
[97/152] sub-m19_ses-01_behavior+ophys.nwb: 80 trials, 528 cells, 0.21s
[98/152] sub-m19_ses-02_behavior+ophys.nwb: 80 trials, 407 cells, 0.31s
[99/152] sub-m19_ses-03_behavior+ophys.nwb: 80 trials, 465 cells, 0.24s
[100/152] sub-m19_ses-04_behavior+ophys.nwb: 80 trials, 550 cells, 0.32s
[101/152] sub-m19_ses-05_behavior+ophys.nwb: 80 trials, 472 cells, 0.23s
[102/152] sub-m19_ses-06_behavior+ophys.nwb: 80 trials, 504 cells, 0.31s
[103/152] sub-m19_ses-07_behavior+ophys.nwb: 80 trials, 596 cells, 0.28s
[104/152] sub-m19_ses-08_behavior+ophys.nwb: 80 trials, 566 cells, 0.26s
[105/152] sub-m19_ses-09_behavior+ophys.nwb: 80 trials, 434 cells, 0.40s
[106/152] sub-m19_ses-10_behavior+ophys.nwb: 80 trials, 469 cells, 0.36s
[107/152] sub-m19_ses-11_behavior+ophys.nwb: 80 trials, 378 cells, 0.18s
[108/152] sub-m19_ses-12_behavior+ophys.nwb: 80 trials, 558 cells, 0.33s
[109/152] sub-m19_ses-13_behavior+ophys.nwb: 80 trials, 428 cells, 0.19s
[110/152] sub-m19_ses-14_behavior+ophys.nwb: 80 trials, 589 cells, 0.51s
[111/152] sub-m3_ses-01_behavior+ophys.nwb: 80 trials, 1052 cells, 0.78s
[112/152] sub-m3_ses-02_behavior+ophys.nwb: 80 trials, 917 cells, 0.68s
[113/152] sub-m3_ses-03_behavior+ophys.nwb: 80 trials, 1059 cells, 0.82s
[114/152] sub-m3_ses-04_behavior+ophys.nwb: 80 trials, 814 cells, 0.79s
[115/152] sub-m3_ses-05_behavior+ophys.nwb: 80 trials, 1022 cells, 0.66s
[116/152] sub-m3_ses-06_behavior+ophys.nwb: 80 trials, 818 cells, 0.42s
[117/152] sub-m3_ses-07_behavior+ophys.nwb: 80 trials, 787 cells, 0.55s
[118/152] sub-m3_ses-08_behavior+ophys.nwb: 80 trials, 783 cells, 0.55s
[119/152] sub-m3_ses-09_behavior+ophys.nwb: 80 trials, 768 cells, 0.57s
[120/152] sub-m3_ses-10_behavior+ophys.nwb: 90 trials, 930 cells, 0.54s
[121/152] sub-m3_ses-11_behavior+ophys.nwb: 80 trials, 1000 cells, 0.72s
[122/152] sub-m3_ses-12_behavior+ophys.nwb: 80 trials, 1030 cells, 0.58s
[123/152] sub-m3_ses-13_behavior+ophys.nwb: 80 trials, 980 cells, 0.47s
[124/152] sub-m3_ses-14_behavior+ophys.nwb: 100 trials, 1050 cells, 0.51s
[125/152] sub-m4_ses-01_behavior+ophys.nwb: 80 trials, 983 cells, 0.54s
[126/152] sub-m4_ses-02_behavior+ophys.nwb: 80 trials, 926 cells, 0.69s
[127/152] sub-m4_ses-03_behavior+ophys.nwb: 75 trials, 1031 cells, 0.69s
[128/152] sub-m4_ses-04_behavior+ophys.nwb: 41 trials, 1016 cells, 0.75s
[129/152] sub-m4_ses-05_behavior+ophys.nwb: 80 trials, 1066 cells, 0.81s
[130/152] sub-m4_ses-06_behavior+ophys.nwb: 80 trials, 1068 cells, 0.65s
[131/152] sub-m4_ses-07_behavior+ophys.nwb: 80 trials, 1011 cells, 0.60s
[132/152] sub-m4_ses-08_behavior+ophys.nwb: 80 trials, 1287 cells, 1.05s
[133/152] sub-m4_ses-09_behavior+ophys.nwb: 50 trials, 1019 cells, 1.26s
[134/152] sub-m4_ses-10_behavior+ophys.nwb: 80 trials, 1100 cells, 0.90s
[135/152] sub-m4_ses-11_behavior+ophys.nwb: 80 trials, 990 cells, 0.58s
[136/152] sub-m4_ses-12_behavior+ophys.nwb: 80 trials, 1039 cells, 0.84s
[137/152] sub-m4_ses-13_behavior+ophys.nwb: 80 trials, 886 cells, 0.86s
[138/152] sub-m4_ses-14_behavior+ophys.nwb: 80 trials, 1066 cells, 0.84s
[139/152] sub-m7_ses-01_behavior+ophys.nwb: 100 trials, 1298 cells, 0.90s
[140/152] sub-m7_ses-02_behavior+ophys.nwb: 80 trials, 1186 cells, 0.48s
[141/152] sub-m7_ses-03_behavior+ophys.nwb: 100 trials, 1155 cells, 0.75s
[142/152] sub-m7_ses-04_behavior+ophys.nwb: 80 trials, 1013 cells, 0.53s
[143/152] sub-m7_ses-05_behavior+ophys.nwb: 80 trials, 1111 cells, 0.55s
[144/152] sub-m7_ses-06_behavior+ophys.nwb: 80 trials, 1142 cells, 0.47s
[145/152] sub-m7_ses-07_behavior+ophys.nwb: 100 trials, 1020 cells, 0.40s
[146/152] sub-m7_ses-08_behavior+ophys.nwb: 100 trials, 1034 cells, 0.34s
[147/152] sub-m7_ses-09_behavior+ophys.nwb: 80 trials, 900 cells, 0.33s
[148/152] sub-m7_ses-10_behavior+ophys.nwb: 80 trials, 886 cells, 0.36s
[149/152] sub-m7_ses-11_behavior+ophys.nwb: 80 trials, 973 cells, 0.38s
[150/152] sub-m7_ses-12_behavior+ophys.nwb: 100 trials, 969 cells, 0.48s
[151/152] sub-m7_ses-13_behavior+ophys.nwb: 80 trials, 988 cells, 0.32s
[152/152] sub-m7_ses-14_behavior+ophys.nwb: 100 trials, 1192 cells, 0.53s
Converted 152 sessions, 12216 trials, 138678 session-cells in 67.90s
Saved /app/converted_data.pkl (9842.4 MB) in 7.15s
