[1/152] m11_ses-03: 19818 frames, 155 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=213.50, session conversion time=0.68s
[141/152] m7_ses-03: 28511 frames, 1155 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=209.76, session conversion time=0.87s
[142/152] m7_ses-04: 19490 frames, 1013 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=180.31, session conversion time=0.51s
[143/152] m7_ses-05: 22620 frames, 1111 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=208.07, session conversion time=0.60s
[144/152] m7_ses-06: 21140 frames, 1142 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=202.85, session conversion time=0.58s
[145/152] m7_ses-07: 21833 frames, 1020 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=147.02, session conversion time=0.56s
[146/152] m7_ses-08: 21281 frames, 1034 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=152.84, session conversion time=0.51s
[147/152] m7_ses-09: 17961 frames, 900 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=157.55, session conversion time=0.40s
[148/152] m7_ses-10: 20467 frames, 886 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=181.70, session conversion time=0.42s
[149/152] m7_ses-11: 17735 frames, 973 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=158.01, session conversion time=0.39s
[150/152] m7_ses-12: 23632 frames, 969 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=165.02, session conversion time=0.51s
[151/152] m7_ses-13: 18629 frames, 988 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=164.21, session conversion time=0.43s
[152/152] m7_ses-14: 28023 frames, 1192 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=211.54, session conversion time=0.67s
Saved converted dataset to converted_data.pkl
Processed 152 sessions in 95.11s
