Found 152 NWB files
  sub-m11_ses-03: 155 cells, 80 trials, 0.1s
  sub-m18_ses-01: 2281 cells, 80 trials, 1.2s
  sub-m18_ses-02: 1639 cells, 80 trials, 1.0s
  sub-m18_ses-03: 2341 cells, 80 trials, 1.8s
  sub-m18_ses-04: 1634 cells, 80 trials, 1.2s
  sub-m18_ses-05: 2115 cells, 80 trials, 1.4s
  sub-m18_ses-06: 1378 cells, 80 trials, 1.0s
  sub-m18_ses-07: 1726 cells, 80 trials, 1.2s
  sub-m18_ses-08: 2314 cells, 80 trials, 1.5s
  sub-m18_ses-09: 1696 cells, 80 trials, 0.9s
  sub-m18_ses-10: 1899 cells, 80 trials, 1.2s
  sub-m18_ses-11: 1382 cells, 80 trials, 0.8s
  sub-m18_ses-12: 1927 cells, 80 trials, 1.1s
  sub-m18_ses-13: 1433 cells, 80 trials, 0.9s
  sub-m18_ses-14: 1955 cells, 80 trials, 1.1s
  sub-m19_ses-01: 528 cells, 80 trials, 0.4s
  sub-m19_ses-02: 407 cells, 80 trials, 0.2s
  sub-m19_ses-03: 465 cells, 80 trials, 0.3s
  sub-m19_ses-04: 550 cells, 80 trials, 0.3s
  sub-m19_ses-05: 472 cells, 80 trials, 0.3s
  sub-m19_ses-06: 504 cells, 80 trials, 0.3s
  sub-m19_ses-07: 596 cells, 80 trials, 0.3s
  sub-m19_ses-08: 566 cells, 80 trials, 0.4s
  sub-m19_ses-09: 434 cells, 80 trials, 0.3s
  sub-m19_ses-10: 469 cells, 80 trials, 0.3s
  sub-m19_ses-11: 378 cells, 80 trials, 0.3s
  sub-m19_ses-12: 558 cells, 80 trials, 0.3s
  sub-m19_ses-13: 428 cells, 80 trials, 0.3s
  sub-m19_ses-14: 589 cells, 80 trials, 0.3s
  sub-m3_ses-01: 1052 cells, 80 trials, 1.0s
  sub-m3_ses-02: 917 cells, 80 trials, 0.6s
  sub-m3_ses-03: 1059 cells, 80 trials, 0.7s
  sub-m3_ses-04: 814 cells, 80 trials, 0.6s
  sub-m3_ses-05: 1022 cells, 80 trials, 1.1s
  sub-m3_ses-06: 818 cells, 80 trials, 0.6s
  sub-m3_ses-07: 787 cells, 80 trials, 0.5s
  sub-m3_ses-08: 783 cells, 80 trials, 0.6s
  sub-m3_ses-09: 768 cells, 80 trials, 0.5s
  sub-m3_ses-10: 930 cells, 90 trials, 0.7s
  sub-m3_ses-11: 1000 cells, 80 trials, 0.5s
  sub-m3_ses-12: 1030 cells, 80 trials, 0.9s
  sub-m3_ses-13: 980 cells, 80 trials, 0.5s
  sub-m3_ses-14: 1050 cells, 100 trials, 0.5s
  sub-m4_ses-01: 983 cells, 80 trials, 1.0s
  sub-m4_ses-02: 926 cells, 80 trials, 0.7s
  sub-m4_ses-03: 1031 cells, 75 trials, 0.8s
  sub-m4_ses-04: 1016 cells, 41 trials, 1.1s
  sub-m4_ses-05: 1066 cells, 80 trials, 1.4s
  sub-m4_ses-06: 1068 cells, 80 trials, 1.0s
  sub-m4_ses-07: 1011 cells, 80 trials, 1.0s
  sub-m4_ses-08: 1287 cells, 80 trials, 1.5s
  sub-m4_ses-09: 1019 cells, 50 trials, 1.0s
  sub-m4_ses-10: 1100 cells, 80 trials, 1.5s
  sub-m4_ses-11: 990 cells, 80 trials, 0.9s
  sub-m4_ses-12: 1039 cells, 80 trials, 1.1s
  sub-m4_ses-13: 886 cells, 80 trials, 0.9s
  sub-m4_ses-14: 1066 cells, 80 trials, 1.6s
  sub-m7_ses-01: 1298 cells, 100 trials, 0.8s
  sub-m7_ses-02: 1186 cells, 80 trials, 0.8s
  sub-m7_ses-03: 1155 cells, 100 trials, 0.9s
  sub-m7_ses-04: 1013 cells, 80 trials, 0.5s
  sub-m7_ses-05: 1111 cells, 80 trials, 0.6s
  sub-m7_ses-06: 1142 cells, 80 trials, 0.6s
  sub-m7_ses-07: 1020 cells, 100 trials, 0.5s
  sub-m7_ses-08: 1034 cells, 100 trials, 0.6s
  sub-m7_ses-09: 900 cells, 80 trials, 0.4s
  sub-m7_ses-10: 886 cells, 80 trials, 0.5s
  sub-m7_ses-11: 973 cells, 80 trials, 0.4s
  sub-m7_ses-12: 969 cells, 100 trials, 0.6s
  sub-m7_ses-13: 988 cells, 80 trials, 0.5s
  sub-m7_ses-14: 1192 cells, 100 trials, 0.8s

Processed 152 sessions from 11 subjects

=== Summary Statistics ===
Subjects: 11 (m11, m12, m13, m14, m15, m17, m18, m19, m3, m4, m7)
Sessions: 152
Total trials (valid): 12216
Trials/session: 80.4 +/- 6.1 (range [41, 100])
Neurons/session: 912.4 +/- 448.7 (range [155, 2341])
Mean reward rate: 0.847

Saved to /app/converted_data.pkl (8249.0 MB)
Total time: 99.8s (save: 8.6s)
