Mode=full; sessions=152
[m3_ses-01] 80/80 trials, 1052/2929 curated cells, 0.81 s
[m11_ses-10] 80/80 trials, 198/419 curated cells, 0.12 s
[m11_ses-11] 80/80 trials, 204/431 curated cells, 0.09 s
[m11_ses-12] 79/80 trials, 209/425 curated cells, 0.10 s
[m11_ses-13] 80/80 trials, 245/473 curated cells, 0.10 s
[m11_ses-14] 80/80 trials, 219/661 curated cells, 0.12 s
[m12_ses-01] 80/80 trials, 1780/3779 curated cells, 0.36 s
[m12_ses-02] 80/80 trials, 1112/1998 curated cells, 0.25 s
[m12_ses-03] 80/80 trials, 1143/2070 curated cells, 0.25 s
[m12_ses-04] 80/80 trials, 1017/1818 curated cells, 0.27 s
[m12_ses-05] 80/80 trials, 1306/2325 curated cells, 0.30 s
[m12_ses-06] 80/80 trials, 1084/1889 curated cells, 0.26 s
[m12_ses-07] 80/80 trials, 1478/2577 curated cells, 0.31 s
[m12_ses-08] 80/80 trials, 1494/2543 curated cells, 0.33 s
[m12_ses-09] 80/80 trials, 1121/2023 curated cells, 0.24 s
[m12_ses-10] 79/80 trials, 1327/2324 curated cells, 0.33 s
[m12_ses-11] 80/80 trials, 1323/2443 curated cells, 0.33 s
[m12_ses-12] 80/80 trials, 1184/2113 curated cells, 0.28 s
[m12_ses-13] 80/80 trials, 1118/2192 curated cells, 0.27 s
[m12_ses-14] 80/80 trials, 1354/2568 curated cells, 0.36 s
[m13_ses-01] 80/80 trials, 686/2036 curated cells, 0.28 s
[m13_ses-02] 80/80 trials, 550/1536 curated cells, 0.26 s
[m13_ses-03] 80/80 trials, 616/1648 curated cells, 0.24 s
[m13_ses-04] 80/80 trials, 503/1718 curated cells, 0.22 s
[m13_ses-05] 80/80 trials, 704/1625 curated cells, 0.22 s
[m13_ses-06] 80/80 trials, 519/1476 curated cells, 0.17 s
[m13_ses-07] 80/80 trials, 834/1882 curated cells, 0.24 s
[m13_ses-08] 80/80 trials, 707/1650 curated cells, 0.22 s
[m13_ses-09] 80/80 trials, 557/1375 curated cells, 0.19 s
[m13_ses-10] 80/80 trials, 603/1524 curated cells, 0.20 s
[m13_ses-11] 80/80 trials, 657/1671 curated cells, 0.28 s
[m13_ses-12] 80/80 trials, 595/1592 curated cells, 0.22 s
[m13_ses-13] 60/60 trials, 479/1528 curated cells, 0.15 s
[m13_ses-14] 80/80 trials, 749/1791 curated cells, 0.25 s
[m14_ses-01] 80/80 trials, 981/2327 curated cells, 0.40 s
[m14_ses-02] 73/80 trials, 592/1115 curated cells, 0.24 s
[m14_ses-03] 80/80 trials, 753/1154 curated cells, 0.26 s
[m14_ses-04] 80/80 trials, 648/1217 curated cells, 0.20 s
[m14_ses-05] 80/80 trials, 603/1199 curated cells, 0.18 s
[m14_ses-06] 80/80 trials, 619/1115 curated cells, 0.26 s
[m14_ses-07] 80/80 trials, 927/1942 curated cells, 0.29 s
[m14_ses-08] 80/80 trials, 990/2110 curated cells, 0.32 s
[m14_ses-09] 80/80 trials, 500/1268 curated cells, 0.17 s
[m14_ses-10] 80/80 trials, 727/1507 curated cells, 0.21 s
[m14_ses-11] 80/80 trials, 554/1392 curated cells, 0.19 s
[m14_ses-12] 80/80 trials, 611/1610 curated cells, 0.21 s
[m14_ses-13] 80/80 trials, 483/1287 curated cells, 0.14 s
[m14_ses-14] 80/80 trials, 876/1662 curated cells, 0.20 s
[m15_ses-01] 80/80 trials, 1133/1498 curated cells, 0.43 s
[m15_ses-02] 80/80 trials, 1045/1592 curated cells, 0.38 s
[m15_ses-03] 80/80 trials, 1426/1957 curated cells, 0.50 s
[m15_ses-04] 80/80 trials, 1167/1558 curated cells, 0.46 s
[m15_ses-05] 74/80 trials, 1483/2071 curated cells, 0.48 s
[m15_ses-06] 80/80 trials, 1041/1555 curated cells, 0.27 s
[m15_ses-07] 80/80 trials, 1308/1992 curated cells, 0.41 s
[m15_ses-08] 80/80 trials, 1307/1933 curated cells, 0.34 s
[m15_ses-09] 80/80 trials, 1070/1798 curated cells, 0.25 s
[m15_ses-10] 80/80 trials, 1283/2026 curated cells, 0.41 s
[m15_ses-11] 80/80 trials, 754/1199 curated cells, 0.20 s
[m15_ses-12] 80/80 trials, 1127/2020 curated cells, 0.26 s
[m15_ses-13] 79/80 trials, 875/1539 curated cells, 0.25 s
[m15_ses-14] 78/80 trials, 1195/2036 curated cells, 0.36 s
[m17_ses-01] 79/80 trials, 591/2162 curated cells, 0.28 s
[m17_ses-02] 80/80 trials, 442/5085 curated cells, 0.37 s
[m17_ses-03] 79/80 trials, 676/2619 curated cells, 0.30 s
[m17_ses-04] 80/80 trials, 506/2256 curated cells, 0.25 s
[m17_ses-05] 80/80 trials, 838/2636 curated cells, 0.44 s
[m17_ses-06] 79/80 trials, 491/2105 curated cells, 0.37 s
[m17_ses-07] 80/80 trials, 690/2572 curated cells, 0.47 s
[m17_ses-08] 80/80 trials, 593/2559 curated cells, 0.34 s
[m17_ses-09] 79/80 trials, 539/2468 curated cells, 0.48 s
[m17_ses-10] 80/80 trials, 683/2628 curated cells, 0.35 s
[m17_ses-11] 80/80 trials, 629/2537 curated cells, 0.29 s
[m17_ses-12] 80/80 trials, 747/2659 curated cells, 0.42 s
[m17_ses-13] 80/80 trials, 468/2428 curated cells, 0.33 s
[m17_ses-14] 80/80 trials, 770/2489 curated cells, 0.30 s
[m18_ses-01] 80/80 trials, 2281/4857 curated cells, 0.92 s
[m18_ses-02] 80/80 trials, 1639/3713 curated cells, 0.72 s
[m18_ses-03] 76/80 trials, 2341/4928 curated cells, 1.14 s
[m18_ses-04] 80/80 trials, 1634/3630 curated cells, 0.65 s
[m18_ses-05] 80/80 trials, 2115/4174 curated cells, 0.95 s
[m18_ses-06] 80/80 trials, 1378/3178 curated cells, 0.70 s
[m18_ses-07] 80/80 trials, 1726/4167 curated cells, 0.74 s
[m18_ses-08] 80/80 trials, 2314/4926 curated cells, 1.13 s
[m18_ses-09] 80/80 trials, 1696/3697 curated cells, 0.60 s
[m18_ses-10] 80/80 trials, 1899/4440 curated cells, 0.69 s
[m18_ses-11] 80/80 trials, 1382/3007 curated cells, 0.64 s
[m18_ses-12] 80/80 trials, 1927/4249 curated cells, 0.76 s
[m18_ses-13] 80/80 trials, 1433/3121 curated cells, 0.45 s
[m18_ses-14] 80/80 trials, 1955/4460 curated cells, 0.74 s
[m19_ses-01] 80/80 trials, 528/862 curated cells, 0.21 s
[m19_ses-02] 80/80 trials, 407/709 curated cells, 0.18 s
[m19_ses-03] 80/80 trials, 465/796 curated cells, 0.23 s
[m19_ses-04] 80/80 trials, 550/851 curated cells, 0.28 s
[m19_ses-05] 80/80 trials, 472/854 curated cells, 0.24 s
[m19_ses-06] 80/80 trials, 504/912 curated cells, 0.20 s
[m19_ses-07] 80/80 trials, 596/1012 curated cells, 0.28 s
[m19_ses-08] 80/80 trials, 566/963 curated cells, 0.27 s
[m19_ses-09] 80/80 trials, 434/831 curated cells, 0.21 s
[m19_ses-10] 80/80 trials, 469/858 curated cells, 0.26 s
[m19_ses-11] 80/80 trials, 378/748 curated cells, 0.17 s
[m19_ses-12] 80/80 trials, 558/1110 curated cells, 0.30 s
[m19_ses-13] 80/80 trials, 428/902 curated cells, 0.18 s
[m19_ses-14] 80/80 trials, 589/1294 curated cells, 0.26 s
Converted 152 sessions in 55.73 s: 12135/12216 trials, 138678/312110 cells, 2576026 trial timepoints
QC: removed lick-artifact trials=81; native reward rate=0.846595; zones={'C': 3989, 'A': 4172, 'B': 3974}; environments={0: 6197, 1: 5938}
Wrote /app/converted_data.pkl (8.996 GiB) in 8.41 s
