174 sessions to process (202 imaging planes)
  session 829521794: 1 plane(s), 22 neurons, 397 trials (dropped 0), 3.0s
  session 940446507: 1 plane(s), 69 neurons, 334 trials (dropped 0), 3.7s
  session 941300832: 1 plane(s), 88 neurons, 379 trials (dropped 0), 3.7s
  session 949209988: 1 plane(s), 17 neurons, 248 trials (dropped 0), 3.0s
  session 878436988: 1 plane(s), 415 neurons, 304 trials (dropped 0), 6.7s
  session 939520170: 1 plane(s), 180 neurons, 257 trials (dropped 0), 4.7s
  session 888940531: 1 plane(s), 242 neurons, 250 trials (dropped 0), 5.7s
  session 891193996: 1 plane(s), 230 neurons, 220 trials (dropped 0), 4.8s
  session 872551243: 1 plane(s), 557 neurons, 334 trials (dropped 0), 8.8s
  session 879719132: 1 plane(s), 511 neurons, 291 trials (dropped 0), 7.7s
  session 892217026: 1 plane(s), 254 neurons, 232 trials (dropped 0), 5.6s
  session 885401643: 1 plane(s), 490 neurons, 288 trials (dropped 0), 7.4s
  session 895003340: 1 plane(s), 504 neurons, 368 trials (dropped 0), 7.9s
  session 938175546: 1 plane(s), 95 neurons, 348 trials (dropped 0), 4.1s
  session 881071629: 1 plane(s), 457 neurons, 307 trials (dropped 0), 7.8s
  session 889189329: 1 plane(s), 482 neurons, 323 trials (dropped 0), 7.5s
  session 943299247: 1 plane(s), 39 neurons, 363 trials (dropped 0), 3.2s
  session 952434025: 1 plane(s), 14 neurons, 279 trials (dropped 0), 2.9s
  session 939524851: 1 plane(s), 23 neurons, 117 trials (dropped 0), 3.1s
  session 894204946: 1 plane(s), 158 neurons, 330 trials (dropped 0), 4.4s
  session 940447433: 1 plane(s), 120 neurons, 173 trials (dropped 0), 4.2s
  session 935554523: 1 plane(s), 194 neurons, 263 trials (dropped 0), 4.7s
  session 960749169: 1 plane(s), 13 neurons, 394 trials (dropped 0), 2.8s
  session 947174352: 1 plane(s), 354 neurons, 338 trials (dropped 0), 6.2s
  session 964912357: 1 plane(s), 15 neurons, 181 trials (dropped 0), 2.8s
  session 945889501: 1 plane(s), 381 neurons, 373 trials (dropped 0), 6.7s
  session 1006901110: 1 plane(s), 13 neurons, 365 trials (dropped 0), 2.9s
  session 949356610: 1 plane(s), 392 neurons, 286 trials (dropped 0), 6.3s
  session 1008005573: 1 plane(s), 9 neurons, 305 trials (dropped 0), 2.7s
  session 1043752192: 1 plane(s), 18 neurons, 147 trials (dropped 0), 2.8s
  session 1042249629: 1 plane(s), 22 neurons, 229 trials (dropped 0), 3.0s
  session 1044580813: 1 plane(s), 16 neurons, 162 trials (dropped 0), 3.0s
  session 962206869: 1 plane(s), 11 neurons, 217 trials (dropped 0), 2.8s
  session 883509540: 1 plane(s), 516 neurons, 347 trials (dropped 0), 8.7s
  session 948188768: 1 plane(s), 451 neurons, 378 trials (dropped 0), 8.1s
  session 877907546: 1 plane(s), 556 neurons, 343 trials (dropped 0), 9.9s
  session 1050957017: 1 plane(s), 8 neurons, 230 trials (dropped 0), 2.8s
  session 966603493: 1 plane(s), 18 neurons, 107 trials (dropped 0), 2.8s
  session 893346385: 1 plane(s), 560 neurons, 362 trials (dropped 0), 9.9s
  session 954800562: 1 plane(s), 340 neurons, 92 trials (dropped 0), 7.0s
  session 1051327401: 1 plane(s), 7 neurons, 317 trials (dropped 0), 2.6s
  session 1007216425: 1 plane(s), 9 neurons, 291 trials (dropped 0), 2.7s
  session 1052482256: 1 plane(s), 18 neurons, 314 trials (dropped 0), 2.8s
  session 876522267: 1 plane(s), 666 neurons, 324 trials (dropped 0), 9.9s
  session 1008813715: 1 plane(s), 6 neurons, 215 trials (dropped 0), 2.8s
  session 952690419: 1 plane(s), 360 neurons, 257 trials (dropped 0), 6.0s
  session 1043989533: 1 plane(s), 18 neurons, 338 trials (dropped 0), 2.9s
  session 1050246780: 1 plane(s), 10 neurons, 336 trials (dropped 0), 2.7s
  session 1042505240: 1 plane(s), 20 neurons, 205 trials (dropped 0), 2.8s
  session 955775716: 3 plane(s), 34 neurons, 265 trials (dropped 0), 8.1s
  session 972293086: 1 plane(s), 511 neurons, 269 trials (dropped 0), 7.4s
  session 1053882120: 1 plane(s), 13 neurons, 319 trials (dropped 0), 2.7s
  session 1051119110: 1 plane(s), 7 neurons, 334 trials (dropped 0), 2.6s
  session 1065818402: 1 plane(s), 21 neurons, 180 trials (dropped 0), 2.9s
  session 1065382549: 1 plane(s), 30 neurons, 318 trials (dropped 0), 3.0s
  session 1066944927: 1 plane(s), 18 neurons, 288 trials (dropped 0), 2.7s
  session 974479344: 1 plane(s), 517 neurons, 224 trials (dropped 0), 8.1s
  session 1067604782: 1 plane(s), 25 neurons, 218 trials (dropped 0), 2.9s
  session 1070970140: 1 plane(s), 26 neurons, 211 trials (dropped 0), 2.8s
  session 895588149: 1 plane(s), 558 neurons, 307 trials (dropped 0), 8.8s
  session 1052307202: 1 plane(s), 10 neurons, 349 trials (dropped 0), 2.8s
  session 1081459617: 1 plane(s), 20 neurons, 262 trials (dropped 0), 2.7s
  session 1083188691: 1 plane(s), 10 neurons, 269 trials (dropped 0), 2.6s
  session 1082748382: 1 plane(s), 21 neurons, 266 trials (dropped 0), 2.8s
  session 1053465359: 1 plane(s), 36 neurons, 354 trials (dropped 0), 2.9s
  session 1084385630: 1 plane(s), 10 neurons, 251 trials (dropped 0), 2.7s
  session 1085675084: 1 plane(s), 17 neurons, 131 trials (dropped 0), 2.7s
  session 1054703410: 1 plane(s), 37 neurons, 319 trials (dropped 0), 2.9s
  session 1065384473: 1 plane(s), 20 neurons, 95 trials (dropped 0), 2.8s
  session 1067593227: 1 plane(s), 18 neurons, 249 trials (dropped 0), 2.9s
  session 1066943402: 1 plane(s), 29 neurons, 286 trials (dropped 0), 2.9s
  session 1071202230: 1 plane(s), 23 neurons, 271 trials (dropped 0), 2.8s
  session 1069224939: 1 plane(s), 23 neurons, 259 trials (dropped 0), 2.8s
  session 1082325825: 1 plane(s), 22 neurons, 227 trials (dropped 0), 3.0s
  session 1084241786: 1 plane(s), 15 neurons, 318 trials (dropped 0), 2.7s
  session 1082988691: 1 plane(s), 18 neurons, 225 trials (dropped 0), 2.8s
  session 1084882685: 1 plane(s), 13 neurons, 255 trials (dropped 0), 2.7s
  session 1085943021: 1 plane(s), 20 neurons, 131 trials (dropped 0), 2.9s
  session 958105827: 5 plane(s), 43 neurons, 239 trials (dropped 0), 13.2s
  session 974019098: 1 plane(s), 438 neurons, 189 trials (dropped 0), 6.9s
  session 956121729: 1 plane(s), 549 neurons, 138 trials (dropped 0), 7.5s
  session 976354690: 1 plane(s), 555 neurons, 258 trials (dropped 0), 7.7s
  session 951410079: 7 plane(s), 88 neurons, 209 trials (dropped 0), 18.5s
  session 957020350: 7 plane(s), 78 neurons, 287 trials (dropped 0), 18.8s
  session 951556788: 1 plane(s), 363 neurons, 370 trials (dropped 0), 5.8s
  session 954954402: 7 plane(s), 67 neurons, 309 trials (dropped 0), 18.2s
  session 957247123: 1 plane(s), 422 neurons, 216 trials (dropped 0), 6.2s
  session 959458018: 5 plane(s), 37 neurons, 196 trials (dropped 0), 12.7s
171 sessions converted in 49.9s

Wrote /app/converted_data.pkl: 171 sessions, 29168 neurons, 43975 trials, 38 mice, regions=['VISl', 'VISp']
image vocabulary (17): ['im000', 'im031', 'im035', 'im045', 'im054', 'im061', 'im062', 'im063', 'im065', 'im066', 'im069', 'im073', 'im075', 'im077', 'im085', 'im106', 'omitted']
total time 51.2s
