nohup: ignoring input
found 152 NWB files
processing 152 sessions with 12 workers
  sub-m11_ses-12_behavior+ophys.nwb: 208 neurons (209 iscell, 1 interneurons), 79/80 trials, load 0.3s dff 3.5s total 3.9s
  sub-m14_ses-03_behavior+ophys.nwb: 753 neurons (753 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 8.2s total 9.2s
  sub-m14_ses-04_behavior+ophys.nwb: 647 neurons (648 iscell, 1 interneurons), 80/80 trials, load 0.7s dff 7.8s total 8.7s
  sub-m14_ses-05_behavior+ophys.nwb: 603 neurons (603 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 7.4s total 8.4s
  sub-m14_ses-01_behavior+ophys.nwb: 981 neurons (981 iscell, 0 interneurons), 80/80 trials, load 1.3s dff 9.2s total 10.9s
  sub-m14_ses-06_behavior+ophys.nwb: 614 neurons (619 iscell, 5 interneurons), 80/80 trials, load 0.6s dff 7.4s total 8.1s
  sub-m14_ses-09_behavior+ophys.nwb: 499 neurons (500 iscell, 1 interneurons), 80/80 trials, load 0.8s dff 6.6s total 7.6s
  sub-m14_ses-08_behavior+ophys.nwb: 990 neurons (990 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 9.0s total 10.3s
  sub-m14_ses-10_behavior+ophys.nwb: 727 neurons (727 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 7.3s total 8.7s
  sub-m14_ses-11_behavior+ophys.nwb: 554 neurons (554 iscell, 0 interneurons), 80/80 trials, load 1.3s dff 6.7s total 8.1s
  sub-m14_ses-07_behavior+ophys.nwb: 927 neurons (927 iscell, 0 interneurons), 80/80 trials, load 1.1s dff 10.0s total 11.5s
  sub-m14_ses-12_behavior+ophys.nwb: 609 neurons (611 iscell, 2 interneurons), 80/80 trials, load 0.6s dff 5.7s total 6.5s
  sub-m14_ses-13_behavior+ophys.nwb: 468 neurons (483 iscell, 15 interneurons), 80/80 trials, load 0.8s dff 5.3s total 6.2s
  sub-m14_ses-14_behavior+ophys.nwb: 874 neurons (876 iscell, 2 interneurons), 80/80 trials, load 0.9s dff 5.4s total 6.7s
  sub-m15_ses-02_behavior+ophys.nwb: 1041 neurons (1045 iscell, 4 interneurons), 80/80 trials, load 0.9s dff 5.5s total 6.7s
  sub-m15_ses-01_behavior+ophys.nwb: 1133 neurons (1133 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 7.3s total 9.2s
  sub-m15_ses-03_behavior+ophys.nwb: 1426 neurons (1426 iscell, 0 interneurons), 80/80 trials, load 1.1s dff 7.5s total 9.1s
  sub-m15_ses-04_behavior+ophys.nwb: 1167 neurons (1167 iscell, 0 interneurons), 80/80 trials, load 1.2s dff 7.9s total 9.4s
  sub-m15_ses-06_behavior+ophys.nwb: 1041 neurons (1041 iscell, 0 interneurons), 80/80 trials, load 1.1s dff 6.3s total 7.6s
  sub-m15_ses-11_behavior+ophys.nwb: 754 neurons (754 iscell, 0 interneurons), 80/80 trials, load 0.5s dff 5.9s total 6.7s
  sub-m15_ses-09_behavior+ophys.nwb: 1070 neurons (1070 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 6.8s total 8.0s
  sub-m15_ses-13_behavior+ophys.nwb: 875 neurons (875 iscell, 0 interneurons), 79/80 trials, load 0.8s dff 7.6s total 8.7s
  sub-m15_ses-05_behavior+ophys.nwb: 1483 neurons (1483 iscell, 0 interneurons), 74/80 trials, load 1.3s dff 10.7s total 12.6s
  sub-m15_ses-10_behavior+ophys.nwb: 1283 neurons (1283 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 10.1s total 11.1s
  sub-m15_ses-12_behavior+ophys.nwb: 1127 neurons (1127 iscell, 0 interneurons), 80/80 trials, load 0.6s dff 8.4s total 9.5s
  sub-m15_ses-08_behavior+ophys.nwb: 1307 neurons (1307 iscell, 0 interneurons), 80/80 trials, load 0.9s dff 10.3s total 12.2s
  sub-m15_ses-07_behavior+ophys.nwb: 1308 neurons (1308 iscell, 0 interneurons), 80/80 trials, load 1.0s dff 11.7s total 13.3s
  sub-m17_ses-01_behavior+ophys.nwb: 590 neurons (591 iscell, 1 interneurons), 79/80 trials, load 1.4s dff 6.6s total 8.2s
  sub-m17_ses-02_behavior+ophys.nwb: 440 neurons (442 iscell, 2 interneurons), 80/80 trials, load 2.6s dff 5.5s total 8.3s
  sub-m15_ses-14_behavior+ophys.nwb: 1195 neurons (1195 iscell, 0 interneurons), 78/80 trials, load 1.2s dff 8.0s total 9.6s
  sub-m17_ses-03_behavior+ophys.nwb: 676 neurons (676 iscell, 0 interneurons), 79/80 trials, load 1.3s dff 6.2s total 7.8s
  sub-m17_ses-04_behavior+ophys.nwb: 503 neurons (506 iscell, 3 interneurons), 80/80 trials, load 1.8s dff 5.1s total 7.2s
  sub-m17_ses-08_behavior+ophys.nwb: 588 neurons (593 iscell, 5 interneurons), 80/80 trials, load 1.0s dff 4.9s total 6.7s
  sub-m17_ses-06_behavior+ophys.nwb: 491 neurons (491 iscell, 0 interneurons), 79/80 trials, load 1.6s dff 5.4s total 8.0s
  sub-m17_ses-09_behavior+ophys.nwb: 539 neurons (539 iscell, 0 interneurons), 79/80 trials, load 1.4s dff 6.3s total 8.1s
  sub-m17_ses-07_behavior+ophys.nwb: 690 neurons (690 iscell, 0 interneurons), 80/80 trials, load 1.2s dff 7.3s total 8.7s
  sub-m17_ses-05_behavior+ophys.nwb: 838 neurons (838 iscell, 0 interneurons), 80/80 trials, load 2.6s dff 10.0s total 13.3s
  sub-m17_ses-13_behavior+ophys.nwb: 465 neurons (468 iscell, 3 interneurons), 80/80 trials, load 1.1s dff 6.1s total 7.4s
  sub-m17_ses-12_behavior+ophys.nwb: 742 neurons (747 iscell, 5 interneurons), 80/80 trials, load 1.0s dff 6.9s total 8.1s
  sub-m17_ses-11_behavior+ophys.nwb: 620 neurons (629 iscell, 9 interneurons), 80/80 trials, load 1.1s dff 7.5s total 8.8s
  sub-m17_ses-14_behavior+ophys.nwb: 767 neurons (770 iscell, 3 interneurons), 80/80 trials, load 1.0s dff 6.6s total 7.8s
  sub-m17_ses-10_behavior+ophys.nwb: 677 neurons (683 iscell, 6 interneurons), 80/80 trials, load 1.6s dff 8.2s total 10.0s
  sub-m18_ses-02_behavior+ophys.nwb: 1634 neurons (1639 iscell, 5 interneurons), 80/80 trials, load 1.9s dff 6.4s total 8.5s
  sub-m18_ses-06_behavior+ophys.nwb: 1367 neurons (1378 iscell, 11 interneurons), 80/80 trials, load 1.7s dff 5.5s total 7.9s
  sub-m18_ses-04_behavior+ophys.nwb: 1631 neurons (1634 iscell, 3 interneurons), 80/80 trials, load 2.3s dff 7.1s total 10.1s
  sub-m18_ses-01_behavior+ophys.nwb: 2281 neurons (2281 iscell, 0 interneurons), 80/80 trials, load 2.3s dff 11.6s total 14.8s
  sub-m18_ses-11_behavior+ophys.nwb: 1373 neurons (1382 iscell, 9 interneurons), 80/80 trials, load 0.9s dff 6.5s total 7.8s
  sub-m18_ses-09_behavior+ophys.nwb: 1684 neurons (1696 iscell, 12 interneurons), 80/80 trials, load 1.2s dff 7.5s total 9.2s
  sub-m18_ses-13_behavior+ophys.nwb: 1427 neurons (1433 iscell, 6 interneurons), 80/80 trials, load 1.0s dff 7.0s total 8.3s
  sub-m18_ses-07_behavior+ophys.nwb: 1724 neurons (1726 iscell, 2 interneurons), 80/80 trials, load 1.4s dff 9.8s total 12.3s
  sub-m18_ses-10_behavior+ophys.nwb: 1891 neurons (1899 iscell, 8 interneurons), 80/80 trials, load 1.3s dff 10.0s total 12.0s
  sub-m18_ses-12_behavior+ophys.nwb: 1917 neurons (1927 iscell, 10 interneurons), 80/80 trials, load 1.1s dff 10.2s total 11.9s
  sub-m19_ses-01_behavior+ophys.nwb: 528 neurons (528 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 6.9s total 8.0s
  sub-m19_ses-03_behavior+ophys.nwb: 463 neurons (465 iscell, 2 interneurons), 80/80 trials, load 0.7s dff 6.6s total 7.5s
  sub-m19_ses-02_behavior+ophys.nwb: 405 neurons (407 iscell, 2 interneurons), 80/80 trials, load 0.7s dff 7.2s total 8.4s
  sub-m18_ses-05_behavior+ophys.nwb: 2107 neurons (2115 iscell, 8 interneurons), 80/80 trials, load 2.0s dff 18.1s total 20.9s
  sub-m19_ses-04_behavior+ophys.nwb: 549 neurons (550 iscell, 1 interneurons), 80/80 trials, load 0.9s dff 8.2s total 9.3s
  sub-m19_ses-05_behavior+ophys.nwb: 472 neurons (472 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 7.9s total 9.0s
  sub-m18_ses-08_behavior+ophys.nwb: 2313 neurons (2314 iscell, 1 interneurons), 80/80 trials, load 1.5s dff 18.5s total 20.7s
  sub-m18_ses-03_behavior+ophys.nwb: 2320 neurons (2341 iscell, 21 interneurons), 76/80 trials, load 3.0s dff 20.1s total 24.0s
  sub-m19_ses-06_behavior+ophys.nwb: 503 neurons (504 iscell, 1 interneurons), 80/80 trials, load 0.8s dff 7.9s total 9.1s
  sub-m18_ses-14_behavior+ophys.nwb: 1952 neurons (1955 iscell, 3 interneurons), 80/80 trials, load 2.2s dff 11.8s total 14.6s
  sub-m19_ses-09_behavior+ophys.nwb: 427 neurons (434 iscell, 7 interneurons), 80/80 trials, load 0.7s dff 5.3s total 6.2s
  sub-m19_ses-10_behavior+ophys.nwb: 467 neurons (469 iscell, 2 interneurons), 80/80 trials, load 0.7s dff 7.2s total 8.2s
  sub-m19_ses-07_behavior+ophys.nwb: 596 neurons (596 iscell, 0 interneurons), 80/80 trials, load 1.4s dff 9.7s total 12.0s
  sub-m19_ses-08_behavior+ophys.nwb: 565 neurons (566 iscell, 1 interneurons), 80/80 trials, load 1.4s dff 9.6s total 11.2s
  sub-m19_ses-11_behavior+ophys.nwb: 369 neurons (378 iscell, 9 interneurons), 80/80 trials, load 0.9s dff 7.0s total 8.1s
  sub-m19_ses-13_behavior+ophys.nwb: 421 neurons (428 iscell, 7 interneurons), 80/80 trials, load 0.7s dff 4.9s total 5.7s
  sub-m19_ses-12_behavior+ophys.nwb: 556 neurons (558 iscell, 2 interneurons), 80/80 trials, load 0.9s dff 5.2s total 6.3s
  sub-m19_ses-14_behavior+ophys.nwb: 589 neurons (589 iscell, 0 interneurons), 80/80 trials, load 0.9s dff 4.9s total 5.9s
  sub-m3_ses-02_behavior+ophys.nwb: 883 neurons (917 iscell, 34 interneurons), 80/80 trials, load 1.4s dff 3.8s total 5.6s
  sub-m3_ses-04_behavior+ophys.nwb: 811 neurons (814 iscell, 3 interneurons), 80/80 trials, load 1.5s dff 5.6s total 7.7s
  sub-m3_ses-01_behavior+ophys.nwb: 1014 neurons (1052 iscell, 38 interneurons), 80/80 trials, load 2.1s dff 7.4s total 10.5s
  sub-m3_ses-07_behavior+ophys.nwb: 782 neurons (787 iscell, 5 interneurons), 80/80 trials, load 0.9s dff 7.1s total 8.3s
  sub-m3_ses-03_behavior+ophys.nwb: 1053 neurons (1059 iscell, 6 interneurons), 80/80 trials, load 1.8s dff 8.4s total 10.8s
  sub-m3_ses-08_behavior+ophys.nwb: 778 neurons (783 iscell, 5 interneurons), 80/80 trials, load 0.8s dff 8.1s total 9.4s
  sub-m3_ses-06_behavior+ophys.nwb: 810 neurons (818 iscell, 8 interneurons), 80/80 trials, load 1.1s dff 8.4s total 9.8s
  sub-m3_ses-09_behavior+ophys.nwb: 764 neurons (768 iscell, 4 interneurons), 80/80 trials, load 1.0s dff 8.5s total 9.8s
  sub-m3_ses-05_behavior+ophys.nwb: 1019 neurons (1022 iscell, 3 interneurons), 80/80 trials, load 1.6s dff 10.2s total 12.2s
  sub-m3_ses-10_behavior+ophys.nwb: 928 neurons (930 iscell, 2 interneurons), 89/90 trials, load 0.9s dff 9.2s total 10.3s
  sub-m3_ses-11_behavior+ophys.nwb: 997 neurons (1000 iscell, 3 interneurons), 80/80 trials, load 1.1s dff 8.8s total 10.2s
  sub-m3_ses-12_behavior+ophys.nwb: 1030 neurons (1030 iscell, 0 interneurons), 80/80 trials, load 1.1s dff 8.7s total 10.2s
  sub-m3_ses-13_behavior+ophys.nwb: 980 neurons (980 iscell, 0 interneurons), 80/80 trials, load 1.1s dff 7.4s total 8.6s
  sub-m3_ses-14_behavior+ophys.nwb: 1050 neurons (1050 iscell, 0 interneurons), 100/100 trials, load 2.3s dff 3.9s total 6.3s
  sub-m4_ses-01_behavior+ophys.nwb: 980 neurons (983 iscell, 3 interneurons), 80/80 trials, load 2.5s dff 5.0s total 7.8s
  sub-m4_ses-02_behavior+ophys.nwb: 909 neurons (926 iscell, 17 interneurons), 79/80 trials, load 2.1s dff 5.6s total 8.2s
  sub-m4_ses-04_behavior+ophys.nwb: 1016 neurons (1016 iscell, 0 interneurons), 40/41 trials, load 1.7s dff 5.0s total 7.2s
  sub-m4_ses-09_behavior+ophys.nwb: 1014 neurons (1019 iscell, 5 interneurons), 50/50 trials, load 1.1s dff 5.7s total 7.1s
  sub-m4_ses-07_behavior+ophys.nwb: 1003 neurons (1011 iscell, 8 interneurons), 71/80 trials, load 1.1s dff 7.7s total 9.1s
  sub-m4_ses-03_behavior+ophys.nwb: 1023 neurons (1031 iscell, 8 interneurons), 75/75 trials, load 2.1s dff 8.6s total 11.5s
  sub-m4_ses-11_behavior+ophys.nwb: 990 neurons (990 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 7.8s total 8.9s
  sub-m4_ses-06_behavior+ophys.nwb: 1067 neurons (1068 iscell, 1 interneurons), 79/80 trials, load 1.3s dff 8.4s total 10.4s
  sub-m4_ses-05_behavior+ophys.nwb: 1066 neurons (1066 iscell, 0 interneurons), 80/80 trials, load 1.6s dff 8.9s total 11.0s
  sub-m4_ses-08_behavior+ophys.nwb: 1285 neurons (1287 iscell, 2 interneurons), 80/80 trials, load 1.3s dff 9.2s total 11.1s
  sub-m4_ses-12_behavior+ophys.nwb: 1038 neurons (1039 iscell, 1 interneurons), 80/80 trials, load 1.1s dff 8.3s total 9.8s
  sub-m4_ses-10_behavior+ophys.nwb: 1100 neurons (1100 iscell, 0 interneurons), 79/80 trials, load 1.2s dff 9.8s total 11.4s
  sub-m4_ses-13_behavior+ophys.nwb: 876 neurons (886 iscell, 10 interneurons), 79/80 trials, load 2.3s dff 5.2s total 7.9s
  sub-m7_ses-02_behavior+ophys.nwb: 1186 neurons (1186 iscell, 0 interneurons), 80/80 trials, load 1.3s dff 3.9s total 5.6s
  sub-m7_ses-04_behavior+ophys.nwb: 1013 neurons (1013 iscell, 0 interneurons), 79/80 trials, load 1.0s dff 6.4s total 7.7s
  sub-m7_ses-01_behavior+ophys.nwb: 1297 neurons (1298 iscell, 1 interneurons), 99/100 trials, load 1.6s dff 8.8s total 11.0s
  sub-m7_ses-05_behavior+ophys.nwb: 1111 neurons (1111 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 8.5s total 9.5s
  sub-m7_ses-09_behavior+ophys.nwb: 900 neurons (900 iscell, 0 interneurons), 80/80 trials, load 0.6s dff 8.4s total 9.2s
  sub-m7_ses-06_behavior+ophys.nwb: 1142 neurons (1142 iscell, 0 interneurons), 80/80 trials, load 0.8s dff 8.9s total 10.3s
  sub-m7_ses-03_behavior+ophys.nwb: 1155 neurons (1155 iscell, 0 interneurons), 100/100 trials, load 1.4s dff 10.6s total 12.6s
  sub-m7_ses-10_behavior+ophys.nwb: 886 neurons (886 iscell, 0 interneurons), 80/80 trials, load 0.7s dff 8.8s total 9.9s
  sub-m7_ses-11_behavior+ophys.nwb: 973 neurons (973 iscell, 0 interneurons), 80/80 trials, load 0.6s dff 8.7s total 9.5s
  sub-m7_ses-07_behavior+ophys.nwb: 1020 neurons (1020 iscell, 0 interneurons), 100/100 trials, load 0.8s dff 9.9s total 11.0s
  sub-m7_ses-08_behavior+ophys.nwb: 1034 neurons (1034 iscell, 0 interneurons), 99/100 trials, load 0.8s dff 10.1s total 11.0s
  sub-m4_ses-14_behavior+ophys.nwb: 1061 neurons (1066 iscell, 5 interneurons), 45/80 trials, load 2.3s dff 13.9s total 16.8s
  sub-m7_ses-12_behavior+ophys.nwb: 969 neurons (969 iscell, 0 interneurons), 100/100 trials, load 1.4s dff 8.0s total 9.6s
  sub-m7_ses-13_behavior+ophys.nwb: 988 neurons (988 iscell, 0 interneurons), 80/80 trials, load 1.5s dff 4.1s total 5.8s
  sub-m7_ses-14_behavior+ophys.nwb: 1192 neurons (1192 iscell, 0 interneurons), 100/100 trials, load 1.9s dff 4.7s total 6.9s
all sessions processed in 130.4s

==== conversion summary ====
sessions: 152   subjects: 11 ['m3', 'm4', 'm7', 'm11', 'm12', 'm13', 'm14', 'm15', 'm17', 'm18', 'm19']
trials kept: 12135 (of 12216)
trials/session: mean 79.8 sd 6.9 min 40 max 100
neurons total: 138288; per session mean 909.8 min 154 max 2320
iscell ROIs: 138678; putative interneurons excluded: 390 (0.28%)
lick-error trials excluded: 81
switch sessions: 77
fraction of kept trials rewarded: 0.8464
total time bins: 2576026 (46.14 h)

output value distributions (time-weighted):
  reward_zone_distance: < -50 cm=0.256, -50 to -10 cm=0.102, -10 to 0 cm=0.073, in reward zone (0 cm)=0.238, 0 to +10 cm=0.021, +10 to +50 cm=0.072, > +50 cm=0.238
  position: < 90 cm=0.217, 90-180 cm=0.177, 180-270 cm=0.231, 270-360 cm=0.226, > 360 cm=0.149
  speed: < 2 cm/s=0.117, 2-10 cm/s=0.087, 10-20 cm/s=0.134, 20-40 cm/s=0.319, > 40 cm/s=0.343
  lick: no lick=0.777, lick=0.223
  reward_zone_location: zone A (80-130 cm)=0.332, zone B (200-250 cm)=0.336, zone C (320-370 cm)=0.333
  reward_outcome: omitted=0.158, rewarded=0.842

input ranges:
  time_from_trial_start: [0.000, 216.536]
  environment: [0.000, 1.000]
  trial_number: [0.000, 99.000]
  previous_trial_outcome: [0.000, 1.000]

wrote /app/converted_data.pkl (9.63 GB) in 9.7s
