Candidate sessions: 459 (sample=False)
behavior 1/459 6713a4a7-faed-4df2-acab-ee4e63326f8d: {'eid': '6713a4a7-faed-4df2-acab-ee4e63326f8d', 'trials': 407, 'side': 'left', 'raw': 565, 'base_valid': 407, 'seconds': 0.3342280387878418}
behavior 41/459 bb8d9451-fdbd-4f46-b52e-9290e8f84d2e: {'eid': 'bb8d9451-fdbd-4f46-b52e-9290e8f84d2e', 'trials': 296, 'side': 'left', 'raw': 503, 'base_valid': 296, 'seconds': 0.33466482162475586}
behavior 42/459 034e726f-b35f-41e0-8d6c-a22cc32391fb: {'eid': '034e726f-b35f-41e0-8d6c-a22cc32391fb', 'trials': 438, 'side': 'left', 'raw': 589, 'base_valid': 438, 'seconds': 0.21294546127319336}
behavior 43/459 dfd8e7df-dc51-4589-b6ca-7baccfeb94b4: {'eid': 'dfd8e7df-dc51-4589-b6ca-7baccfeb94b4', 'trials': 371, 'side': 'left', 'raw': 528, 'base_valid': 371, 'seconds': 0.31662559509277344}
behavior 44/459 fa704052-147e-46f6-b190-a65b837e605e: {'eid': 'fa704052-147e-46f6-b190-a65b837e605e', 'trials': 741, 'side': 'left', 'raw': 1007, 'base_valid': 741, 'seconds': 0.3658936023712158}
behavior 45/459 46794e05-3f6a-4d35-afb3-9165091a5a74: {'eid': '46794e05-3f6a-4d35-afb3-9165091a5a74', 'trials': 535, 'side': 'left', 'raw': 807, 'base_valid': 535, 'seconds': 0.3149557113647461}
behavior 46/459 7939711b-8b4d-4251-b698-b97c1eaa846e: {'eid': '7939711b-8b4d-4251-b698-b97c1eaa846e', 'trials': 591, 'side': 'left', 'raw': 1019, 'base_valid': 591, 'seconds': 0.39013004302978516}
behavior 47/459 b52182e7-39f6-4914-9717-136db589706e: {'eid': 'b52182e7-39f6-4914-9717-136db589706e', 'trials': 461, 'side': 'left', 'raw': 700, 'base_valid': 461, 'seconds': 0.2791707515716553}
behavior 48/459 2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e: {'eid': '2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e', 'trials': 192, 'side': 'left', 'raw': 421, 'base_valid': 192, 'seconds': 0.26051831245422363}
behavior 49/459 4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b: {'eid': '4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b', 'trials': 559, 'side': 'left', 'raw': 842, 'base_valid': 559, 'seconds': 0.3300795555114746}
behavior 50/459 c99d53e6-c317-4c53-99ba-070b26673ac4: {'eid': 'c99d53e6-c317-4c53-99ba-070b26673ac4', 'trials': 423, 'side': 'left', 'raw': 642, 'base_valid': 423, 'seconds': 0.26350903511047363}
behavior 51/459 d2918f52-8280-43c0-924b-029b2317e62c: {'eid': 'd2918f52-8280-43c0-924b-029b2317e62c', 'trials': 585, 'side': 'left', 'raw': 837, 'base_valid': 585, 'seconds': 0.31268811225891113}
behavior 52/459 d839491f-55d8-4cbe-a298-7839208ba12b: {'eid': 'd839491f-55d8-4cbe-a298-7839208ba12b', 'trials': 326, 'side': 'left', 'raw': 559, 'base_valid': 326, 'seconds': 0.31346845626831055}
behavior 53/459 ecb5520d-1358-434c-95ec-93687ecd1396: {'eid': 'ecb5520d-1358-434c-95ec-93687ecd1396', 'trials': 313, 'side': 'left', 'raw': 510, 'base_valid': 313, 'seconds': 0.23130059242248535}
behavior 54/459 3663d82b-f197-4e8b-b299-7b803a155b84: {'eid': '3663d82b-f197-4e8b-b299-7b803a155b84', 'trials': 594, 'side': 'left', 'raw': 893, 'base_valid': 594, 'seconds': 0.4439558982849121}
behavior 55/459 85dc2ebd-8aaf-46b0-9284-a197aee8b16f: {'eid': '85dc2ebd-8aaf-46b0-9284-a197aee8b16f', 'trials': 407, 'side': 'left', 'raw': 770, 'base_valid': 407, 'seconds': 0.3235900402069092}
behavior 56/459 5386aba9-9b97-4557-abcd-abc2da66b863: {'eid': '5386aba9-9b97-4557-abcd-abc2da66b863', 'trials': 682, 'side': 'left', 'raw': 1011, 'base_valid': 682, 'seconds': 0.35207247734069824}
behavior 57/459 83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4: {'eid': '83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4', 'trials': 576, 'side': 'left', 'raw': 907, 'base_valid': 576, 'seconds': 0.32902979850769043}
behavior 58/459 4b00df29-3769-43be-bb40-128b1cba6d35: {'eid': '4b00df29-3769-43be-bb40-128b1cba6d35', 'trials': 547, 'side': 'left', 'raw': 812, 'base_valid': 547, 'seconds': 0.2895071506500244}
behavior 59/459 12dc8b34-b18e-4cdd-90a9-da134a9be79c: {'eid': '12dc8b34-b18e-4cdd-90a9-da134a9be79c', 'trials': 420, 'side': 'left', 'raw': 907, 'base_valid': 420, 'seconds': 0.3604166507720947}
behavior 60/459 0deb75fb-9088-42d9-b744-012fb8fc4afb: {'eid': '0deb75fb-9088-42d9-b744-012fb8fc4afb', 'trials': 211, 'side': 'left', 'raw': 675, 'base_valid': 211, 'seconds': 0.36799049377441406}
behavior 61/459 eef82e27-c20e-48da-b4b7-c443031649e3: {'eid': 'eef82e27-c20e-48da-b4b7-c443031649e3', 'trials': 226, 'side': 'left', 'raw': 509, 'base_valid': 226, 'seconds': 0.23546552658081055}
behavior 62/459 810b1e07-009e-4ebe-930a-915e4cd8ece4: {'eid': '810b1e07-009e-4ebe-930a-915e4cd8ece4', 'trials': 168, 'side': 'left', 'raw': 469, 'base_valid': 168, 'seconds': 0.21028566360473633}
behavior 63/459 a71175be-d1fd-47a3-aa93-b830ea3634a1: {'eid': 'a71175be-d1fd-47a3-aa93-b830ea3634a1', 'trials': 341, 'side': 'left', 'raw': 855, 'base_valid': 341, 'seconds': 0.3589913845062256}
behavior 64/459 0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3: {'eid': '0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3', 'trials': 515, 'side': 'left', 'raw': 771, 'base_valid': 515, 'seconds': 0.3466777801513672}
behavior 65/459 f312aaec-3b6f-44b3-86b4-3a0c119c0438: {'eid': 'f312aaec-3b6f-44b3-86b4-3a0c119c0438', 'trials': 462, 'side': 'left', 'raw': 626, 'base_valid': 462, 'seconds': 0.3074350357055664}
behavior 66/459 fb70ebf7-8175-42b0-9b7a-7c6e8612226e: {'eid': 'fb70ebf7-8175-42b0-9b7a-7c6e8612226e', 'trials': 484, 'side': 'left', 'raw': 649, 'base_valid': 484, 'seconds': 0.3387160301208496}
behavior 67/459 28741f91-c837-4147-939e-918d38d849f2: {'eid': '28741f91-c837-4147-939e-918d38d849f2', 'trials': 270, 'side': 'left', 'raw': 401, 'base_valid': 270, 'seconds': 0.26413798332214355}
behavior 68/459 d2f5a130-b981-4546-8858-c94ae1da75ff: {'eid': 'd2f5a130-b981-4546-8858-c94ae1da75ff', 'trials': 355, 'side': 'left', 'raw': 525, 'base_valid': 355, 'seconds': 0.3206298351287842}
behavior 69/459 57b5ae8f-d446-4161-b439-b191c5e3e77b: {'eid': '57b5ae8f-d446-4161-b439-b191c5e3e77b', 'trials': 369, 'side': 'left', 'raw': 639, 'base_valid': 369, 'seconds': 0.3629422187805176}
behavior 70/459 dda5fc59-f09a-4256-9fb5-66c67667a466: {'eid': 'dda5fc59-f09a-4256-9fb5-66c67667a466', 'trials': 436, 'side': 'left', 'raw': 751, 'base_valid': 436, 'seconds': 0.36844301223754883}
behavior 71/459 d16a9a8d-5f42-4b49-ba58-1746f807fcc1: {'eid': 'd16a9a8d-5f42-4b49-ba58-1746f807fcc1', 'trials': 280, 'side': 'left', 'raw': 449, 'base_valid': 280, 'seconds': 0.20032858848571777}
behavior 72/459 37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0: {'eid': '37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0', 'trials': 358, 'side': 'left', 'raw': 630, 'base_valid': 358, 'seconds': 0.2663149833679199}
behavior 73/459 2e6e179c-fccc-4e8f-9448-ce5b6858a183: {'eid': '2e6e179c-fccc-4e8f-9448-ce5b6858a183', 'trials': 444, 'side': 'left', 'raw': 553, 'base_valid': 444, 'seconds': 0.32872509956359863}
behavior 74/459 1191f865-b10a-45c8-9c48-24a980fd9402: {'eid': '1191f865-b10a-45c8-9c48-24a980fd9402', 'trials': 678, 'side': 'left', 'raw': 966, 'base_valid': 678, 'seconds': 0.3906857967376709}
behavior 75/459 f10efe41-0dc0-44d0-8f26-5ff68dca23e9: {'eid': 'f10efe41-0dc0-44d0-8f26-5ff68dca23e9', 'trials': 389, 'side': 'left', 'raw': 663, 'base_valid': 389, 'seconds': 0.35582804679870605}
behavior 76/459 6364ff7f-6471-415a-ab9e-632a12052690: {'eid': '6364ff7f-6471-415a-ab9e-632a12052690', 'trials': 388, 'side': 'left', 'raw': 629, 'base_valid': 388, 'seconds': 0.32379698753356934}
behavior 77/459 7be8fec4-406b-4e74-8548-d2885dcc3d5e: {'eid': '7be8fec4-406b-4e74-8548-d2885dcc3d5e', 'trials': 435, 'side': 'left', 'raw': 594, 'base_valid': 435, 'seconds': 0.27341222763061523}
behavior 78/459 7dd27c2f-9544-448d-918d-be0f9837b0e0: {'eid': '7dd27c2f-9544-448d-918d-be0f9837b0e0', 'trials': 274, 'side': 'left', 'raw': 525, 'base_valid': 274, 'seconds': 0.19917893409729004}
behavior 79/459 ca4ecb4c-4b60-4723-9b9e-2c54a6290a53: {'eid': 'ca4ecb4c-4b60-4723-9b9e-2c54a6290a53', 'trials': 226, 'side': 'left', 'raw': 620, 'base_valid': 226, 'seconds': 0.1945173740386963}
behavior 80/459 004d8fd5-41e7-4f1b-a45b-0d4ad76fe446: {'eid': '004d8fd5-41e7-4f1b-a45b-0d4ad76fe446', 'trials': 198, 'side': 'left', 'raw': 692, 'base_valid': 198, 'seconds': 0.19649934768676758}
behavior 81/459 35eeb752-8f4f-4040-9714-ba0f5b7ccdfe: {'eid': '35eeb752-8f4f-4040-9714-ba0f5b7ccdfe', 'trials': 538, 'side': 'left', 'raw': 762, 'base_valid': 538, 'seconds': 0.2214815616607666}
behavior 82/459 97c1d08d-57b4-4595-8052-91eb84ebfd74: {'eid': '97c1d08d-57b4-4595-8052-91eb84ebfd74', 'trials': 565, 'side': 'left', 'raw': 779, 'base_valid': 565, 'seconds': 0.3082091808319092}
behavior 83/459 a1782f4f-86b0-480c-a7f2-3d8f1ab482ab: {'eid': 'a1782f4f-86b0-480c-a7f2-3d8f1ab482ab', 'trials': 514, 'side': 'left', 'raw': 741, 'base_valid': 514, 'seconds': 0.29648494720458984}
behavior 84/459 3f71aa98-08c6-4e79-b4c8-00eae4f03eff: {'eid': '3f71aa98-08c6-4e79-b4c8-00eae4f03eff', 'trials': 467, 'side': 'left', 'raw': 672, 'base_valid': 467, 'seconds': 0.26833438873291016}
behavior 85/459 c46b8def-620d-4d70-9397-be5694255f73: {'eid': 'c46b8def-620d-4d70-9397-be5694255f73', 'trials': 496, 'side': 'left', 'raw': 720, 'base_valid': 496, 'seconds': 0.3040122985839844}
behavior 86/459 15b69921-d471-4ded-8814-2adad954bcd8: {'eid': '15b69921-d471-4ded-8814-2adad954bcd8', 'trials': 610, 'side': 'left', 'raw': 825, 'base_valid': 610, 'seconds': 0.31267261505126953}
behavior 87/459 11163613-a6c9-4975-9586-84dc00481547: {'eid': '11163613-a6c9-4975-9586-84dc00481547', 'trials': 593, 'side': 'left', 'raw': 816, 'base_valid': 593, 'seconds': 0.3106513023376465}
behavior 88/459 5ae68c54-2897-4d3a-8120-426150704385: {'eid': '5ae68c54-2897-4d3a-8120-426150704385', 'trials': 204, 'side': 'left', 'raw': 740, 'base_valid': 204, 'seconds': 0.31819939613342285}
behavior 89/459 a7eba2cf-427f-4df9-879b-e53e962eae18: {'eid': 'a7eba2cf-427f-4df9-879b-e53e962eae18', 'trials': 285, 'side': 'left', 'raw': 789, 'base_valid': 285, 'seconds': 0.29952096939086914}
behavior 90/459 ebce500b-c530-47de-8cb1-963c552703ea: {'eid': 'ebce500b-c530-47de-8cb1-963c552703ea', 'trials': 398, 'side': 'left', 'raw': 569, 'base_valid': 398, 'seconds': 0.3848991394042969}
behavior 91/459 d57df551-6dcb-4242-9c72-b806cff5613a: {'eid': 'd57df551-6dcb-4242-9c72-b806cff5613a', 'trials': 579, 'side': 'left', 'raw': 772, 'base_valid': 579, 'seconds': 0.29398250579833984}
behavior 92/459 19e66dc9-bf9f-430b-9d6a-acfa85de6fb7: {'eid': '19e66dc9-bf9f-430b-9d6a-acfa85de6fb7', 'trials': 412, 'side': 'left', 'raw': 748, 'base_valid': 412, 'seconds': 0.296924352645874}
behavior 93/459 824cf03d-4012-4ab1-b499-c83a92c5589e: {'eid': '824cf03d-4012-4ab1-b499-c83a92c5589e', 'trials': 585, 'side': 'left', 'raw': 764, 'base_valid': 585, 'seconds': 0.31343913078308105}
behavior 94/459 1f095590-6669-46c9-986b-ccaf0620c5e9: {'eid': '1f095590-6669-46c9-986b-ccaf0620c5e9', 'trials': 578, 'side': 'left', 'raw': 719, 'base_valid': 578, 'seconds': 0.30468225479125977}
behavior 95/459 03d9a098-07bf-4765-88b7-85f8d8f620cc: {'eid': '03d9a098-07bf-4765-88b7-85f8d8f620cc', 'trials': 372, 'side': 'left', 'raw': 581, 'base_valid': 372, 'seconds': 0.30231308937072754}
behavior 96/459 0c828385-6dd6-4842-a702-c5075f5f5e81: {'eid': '0c828385-6dd6-4842-a702-c5075f5f5e81', 'trials': 467, 'side': 'right', 'raw': 610, 'base_valid': 467, 'seconds': 0.30066561698913574}
behavior 97/459 bb099402-fb31-4cfd-824e-1c97530a0875: {'eid': 'bb099402-fb31-4cfd-824e-1c97530a0875', 'trials': 444, 'side': 'left', 'raw': 665, 'base_valid': 444, 'seconds': 0.3856198787689209}
behavior 98/459 7f5df7eb-cf36-4589-a20a-14b535441142: {'eid': '7f5df7eb-cf36-4589-a20a-14b535441142', 'trials': 347, 'side': 'left', 'raw': 505, 'base_valid': 347, 'seconds': 0.27069950103759766}
behavior 99/459 111c1762-7908-47e0-9f40-2f2ee55b6505: {'eid': '111c1762-7908-47e0-9f40-2f2ee55b6505', 'trials': 365, 'side': 'left', 'raw': 724, 'base_valid': 365, 'seconds': 0.27947068214416504}
behavior 100/459 5455a21c-1be7-4cae-ae8e-8853a8d5f55e: {'eid': '5455a21c-1be7-4cae-ae8e-8853a8d5f55e', 'trials': 358, 'side': 'left', 'raw': 634, 'base_valid': 358, 'seconds': 0.2829267978668213}
behavior 101/459 32d27583-56aa-4510-bc03-669036edad20: {'eid': '32d27583-56aa-4510-bc03-669036edad20', 'trials': 515, 'side': 'left', 'raw': 785, 'base_valid': 515, 'seconds': 0.2983510494232178}
behavior 102/459 8a3a0197-b40a-449f-be55-c00b23253bbf: {'eid': '8a3a0197-b40a-449f-be55-c00b23253bbf', 'trials': 282, 'side': 'left', 'raw': 417, 'base_valid': 282, 'seconds': 0.3254423141479492}
behavior 103/459 ebc9392c-1ecb-4b4b-a545-4e3d70d23611: {'eid': 'ebc9392c-1ecb-4b4b-a545-4e3d70d23611', 'trials': 327, 'side': 'left', 'raw': 496, 'base_valid': 327, 'seconds': 0.3232564926147461}
behavior 104/459 19b44992-d527-4a12-8bda-aa11379cb08c: {'eid': '19b44992-d527-4a12-8bda-aa11379cb08c', 'trials': 289, 'side': 'left', 'raw': 436, 'base_valid': 289, 'seconds': 0.3336942195892334}
behavior 105/459 3537d970-f515-4786-853f-23de525e110f: {'eid': '3537d970-f515-4786-853f-23de525e110f', 'trials': 341, 'side': 'left', 'raw': 503, 'base_valid': 341, 'seconds': 0.22800993919372559}
behavior 106/459 6f36868f-5cc1-450c-82fa-6b9829ce0cfe: {'eid': '6f36868f-5cc1-450c-82fa-6b9829ce0cfe', 'trials': 603, 'side': 'left', 'raw': 1002, 'base_valid': 603, 'seconds': 0.37662172317504883}
behavior 107/459 f99ac31f-171b-4208-a55d-5644c0ad51c3: {'eid': 'f99ac31f-171b-4208-a55d-5644c0ad51c3', 'trials': 407, 'side': 'left', 'raw': 748, 'base_valid': 407, 'seconds': 0.33661317825317383}
behavior 108/459 e2b845a1-e313-4a08-bc61-a5f662ed295e: {'eid': 'e2b845a1-e313-4a08-bc61-a5f662ed295e', 'trials': 290, 'side': 'left', 'raw': 476, 'base_valid': 290, 'seconds': 0.32480740547180176}
behavior 109/459 2bdf206a-820f-402f-920a-9e86cd5388a4: {'eid': '2bdf206a-820f-402f-920a-9e86cd5388a4', 'trials': 422, 'side': 'left', 'raw': 580, 'base_valid': 422, 'seconds': 0.3071732521057129}
behavior 110/459 fa8ad50d-76f2-45fa-a52f-08fe3d942345: {'eid': 'fa8ad50d-76f2-45fa-a52f-08fe3d942345', 'trials': 267, 'side': 'left', 'raw': 459, 'base_valid': 267, 'seconds': 0.22055506706237793}
behavior 111/459 8d316998-28c3-4265-b029-e2ca82375b2f: {'eid': '8d316998-28c3-4265-b029-e2ca82375b2f', 'trials': 399, 'side': 'left', 'raw': 610, 'base_valid': 399, 'seconds': 0.2302098274230957}
behavior 112/459 bda2faf5-9563-4940-a80f-ce444259e47b: {'eid': 'bda2faf5-9563-4940-a80f-ce444259e47b', 'trials': 311, 'side': 'left', 'raw': 545, 'base_valid': 311, 'seconds': 0.22469806671142578}
behavior 113/459 91bac580-76ed-41ab-ac07-89051f8d7f6e: {'eid': '91bac580-76ed-41ab-ac07-89051f8d7f6e', 'trials': 258, 'side': 'right', 'raw': 699, 'base_valid': 258, 'seconds': 0.30886220932006836}
behavior 114/459 23c75e0b-05d8-452e-8efb-a3687ab94079: {'eid': '23c75e0b-05d8-452e-8efb-a3687ab94079', 'trials': 313, 'side': 'left', 'raw': 562, 'base_valid': 313, 'seconds': 0.2582402229309082}
behavior 115/459 dc962048-89bb-4e6a-96a9-b062a2be1426: {'eid': 'dc962048-89bb-4e6a-96a9-b062a2be1426', 'trials': 262, 'side': 'left', 'raw': 458, 'base_valid': 262, 'seconds': 0.211639404296875}
behavior 116/459 0841d188-8ef2-4f20-9828-76a94d5343a4: {'eid': '0841d188-8ef2-4f20-9828-76a94d5343a4', 'trials': 286, 'side': 'left', 'raw': 505, 'base_valid': 286, 'seconds': 0.2531776428222656}
