Loading experiment info and behavior data...
Processing 89 sessions across 19 mice

--- Pass 1: Collecting corridor speeds ---
  [1/89] DR10_2022_07_12_1: 52246/58224 neurons, 503/503 trials, dt=0.3147s
  [68/89] TX61_2021_06_19_1: 56265/67669 neurons, 454/454 trials, dt=0.3146s
  [69/89] TX61_2021_06_20_1: 64261/72193 neurons, 435/435 trials, dt=0.3147s
  [70/89] TX61_2021_06_23_1: 57496/68951 neurons, 466/466 trials, dt=0.3146s
  [71/89] TX61_2021_06_25_1: 64969/79586 neurons, 399/399 trials, dt=0.3145s
  [72/89] TX83_2022_08_17_1: 32387/44059 neurons, 400/400 trials, dt=0.3146s
  [73/89] TX83_2022_08_29_1: 41367/52954 neurons, 238/238 trials, dt=0.3147s
  [74/89] TX83_2022_08_31_1: 38809/50689 neurons, 402/402 trials, dt=0.3147s
  [75/89] TX85_2022_06_14_1: 52780/59560 neurons, 402/402 trials, dt=0.3147s
  [76/89] TX85_2022_06_17_1: 48822/55163 neurons, 403/403 trials, dt=0.3147s
  [77/89] TX88_2022_06_13_2: 53710/62606 neurons, 282/282 trials, dt=0.3147s
  [78/89] TX88_2022_06_17_2: 42145/48824 neurons, 605/605 trials, dt=0.3147s
  [79/89] TX88_2022_06_20_1: 50141/58099 neurons, 636/636 trials, dt=0.3147s
  [80/89] TX88_2022_07_15_1: 46452/53028 neurons, 600/600 trials, dt=0.3147s
  [81/89] TX88_2022_07_19_1: 53178/61456 neurons, 450/450 trials, dt=0.3146s
  [82/89] TX88_2022_07_22_1: 48239/55592 neurons, 373/373 trials, dt=0.3147s
  [83/89] VR2_2021_03_20_1: 64112/81473 neurons, 348/348 trials, dt=0.3147s
  [84/89] VR2_2021_04_06_1: 55794/71069 neurons, 470/470 trials, dt=0.3147s
  [85/89] VR2_2021_04_11_1: 65842/76108 neurons, 719/719 trials, dt=0.3146s
  [86/89] VR2_2021_04_28_1: 55525/63897 neurons, 506/506 trials, dt=0.3147s
  [87/89] VR2_2021_04_29_1: 57304/65287 neurons, 680/680 trials, dt=0.3145s
  [88/89] VR2_2021_05_04_1: 43303/55650 neurons, 503/503 trials, dt=0.3146s
  [89/89] VR2_2021_05_06_1: 58878/76775 neurons, 499/499 trials, dt=0.3148s

Speed quartile boundaries: [ 0.          8.3688335  30.18524378]
Pass 1 time: 186.5s

--- Pass 2: Building dataset ---
  [1/89] DR10_2022_07_12_1: 503 trials, 52246 neurons, time=20.1s
  [2/89] DR10_2022_07_19_1: 431 trials, 49472 neurons, time=13.6s
  [3/89] DR10_2022_07_21_1: 518 trials, 44926 neurons, time=13.6s
  [4/89] DR10_2022_07_28_1: 455 trials, 44464 neurons, time=11.5s
  [5/89] DR10_2022_07_29_1: 629 trials, 49931 neurons, time=19.9s
  [6/89] DR10_2022_07_30_1: 511 trials, 42973 neurons, time=13.2s
  [7/89] DR15_2022_10_09_1: 218 trials, 53588 neurons, time=23.4s
  [8/89] DR15_2022_10_19_1: 259 trials, 56607 neurons, time=21.0s
  [9/89] DR15_2022_10_20_1: 305 trials, 61475 neurons, time=21.3s
  [10/89] DR15_2022_11_02_1: 248 trials, 55588 neurons, time=22.8s
  [11/89] DR15_2022_11_03_2: 306 trials, 57220 neurons, time=21.6s
  [12/89] LZ13_2024_05_15_1: 457 trials, 30385 neurons, time=6.2s
  [13/89] LZ13_2024_05_16_2: 453 trials, 29973 neurons, time=7.2s
  [14/89] LZ13_2024_05_28_1: 400 trials, 32956 neurons, time=8.5s
  [15/89] LZ13_2024_05_29_1: 407 trials, 33726 neurons, time=8.4s
  [16/89] LZ16_2024_05_18_2: 492 trials, 32128 neurons, time=9.8s
  [17/89] LZ16_2024_05_19_1: 419 trials, 30469 neurons, time=6.6s
  [18/89] LZ16_2024_05_31_2: 335 trials, 34307 neurons, time=7.0s
  [19/89] LZ16_2024_06_01_1: 426 trials, 33838 neurons, time=7.7s
  [20/89] TX104_2022_10_12_1: 145 trials, 42795 neurons, time=10.5s
  [21/89] TX104_2022_10_20_1: 269 trials, 41503 neurons, time=7.9s
  [22/89] TX105_2022_10_08_2: 201 trials, 56521 neurons, time=19.7s
  [23/89] TX105_2022_10_19_2: 259 trials, 53233 neurons, time=10.2s
  [24/89] TX105_2022_10_21_1: 251 trials, 58512 neurons, time=20.9s
  [25/89] TX105_2022_11_05_1: 309 trials, 43430 neurons, time=20.9s
  [26/89] TX105_2022_11_08_1: 455 trials, 52567 neurons, time=18.3s
  [27/89] TX108_2023_01_05_2: 453 trials, 63981 neurons, time=18.2s
  [28/89] TX108_2023_03_13_1: 210 trials, 78815 neurons, time=24.3s
  [29/89] TX108_2023_03_22_1: 300 trials, 69080 neurons, time=16.6s
  [30/89] TX108_2023_03_25_1: 423 trials, 72944 neurons, time=24.5s
  [31/89] TX108_2023_04_01_1: 402 trials, 61781 neurons, time=13.4s
  [32/89] TX108_2023_04_04_1: 457 trials, 69762 neurons, time=18.0s
  [33/89] TX108_2023_04_07_1: 428 trials, 59964 neurons, time=13.3s
  [34/89] TX109_2023_03_16_1: 418 trials, 65651 neurons, time=28.1s
  [35/89] TX109_2023_03_27_1: 84 trials, 50153 neurons, time=9.4s
  [36/89] TX109_2023_04_07_1: 320 trials, 68776 neurons, time=21.1s
  [37/89] TX109_2023_04_18_1: 370 trials, 64419 neurons, time=17.1s
  [38/89] TX109_2023_05_12_1: 267 trials, 56487 neurons, time=15.3s
  [39/89] TX109_2023_05_13_1: 405 trials, 61668 neurons, time=18.5s
  [40/89] TX119_2023_12_12_1: 568 trials, 25971 neurons, time=6.0s
  [41/89] TX119_2023_12_13_1: 561 trials, 30803 neurons, time=9.2s
  [42/89] TX119_2023_12_14_1: 379 trials, 28412 neurons, time=5.2s
  [43/89] TX119_2023_12_23_1: 429 trials, 32855 neurons, time=6.7s
  [44/89] TX119_2023_12_24_1: 452 trials, 24452 neurons, time=4.4s
  [45/89] TX119_2024_01_06_1: 473 trials, 26572 neurons, time=6.2s
  [46/89] TX119_2024_01_07_1: 511 trials, 29357 neurons, time=10.6s
  [47/89] TX119_2024_01_09_1: 669 trials, 32090 neurons, time=13.3s
  [48/89] TX123_2023_12_18_1: 789 trials, 43776 neurons, time=22.9s
  [49/89] TX123_2023_12_20_1: 534 trials, 39418 neurons, time=14.7s
  [50/89] TX123_2023_12_21_1: 345 trials, 24739 neurons, time=5.2s
  [51/89] TX123_2024_01_02_1: 475 trials, 36174 neurons, time=16.2s
  [52/89] TX123_2024_01_03_1: 459 trials, 26615 neurons, time=7.7s
  [53/89] TX123_2024_01_15_1: 520 trials, 25767 neurons, time=5.9s
  [54/89] TX123_2024_01_16_1: 658 trials, 22808 neurons, time=5.5s
  [55/89] TX123_2024_01_17_1: 722 trials, 27277 neurons, time=8.0s
  [56/89] TX124_2023_12_23_1: 578 trials, 20995 neurons, time=5.6s
  [57/89] TX124_2023_12_24_1: 501 trials, 17363 neurons, time=4.2s
  [58/89] TX124_2023_12_26_1: 501 trials, 19313 neurons, time=4.5s
  [59/89] TX139_2024_05_18_1: 368 trials, 27160 neurons, time=9.0s
  [60/89] TX139_2024_05_31_1: 369 trials, 25719 neurons, time=8.7s
  [61/89] TX140_2024_05_31_1: 398 trials, 44895 neurons, time=14.5s
  [62/89] TX60_2021_04_10_1: 237 trials, 44919 neurons, time=12.3s
  [63/89] TX60_2021_05_04_1: 303 trials, 51339 neurons, time=11.3s
  [64/89] TX60_2021_06_07_1: 485 trials, 46218 neurons, time=14.4s
  [65/89] TX60_2021_06_21_1: 471 trials, 55513 neurons, time=13.9s
  [66/89] TX60_2021_06_22_1: 479 trials, 47246 neurons, time=12.4s
  [67/89] TX61_2021_06_07_2: 408 trials, 57534 neurons, time=19.3s
  [68/89] TX61_2021_06_19_1: 454 trials, 56265 neurons, time=14.1s
  [69/89] TX61_2021_06_20_1: 435 trials, 64261 neurons, time=16.9s
  [70/89] TX61_2021_06_23_1: 466 trials, 57496 neurons, time=22.5s
  [71/89] TX61_2021_06_25_1: 399 trials, 64969 neurons, time=30.6s
  [72/89] TX83_2022_08_17_1: 400 trials, 32387 neurons, time=10.5s
  [73/89] TX83_2022_08_29_1: 238 trials, 41367 neurons, time=15.6s
  [74/89] TX83_2022_08_31_1: 402 trials, 38809 neurons, time=20.8s
  [75/89] TX85_2022_06_14_1: 402 trials, 52780 neurons, time=18.2s
  [76/89] TX85_2022_06_17_1: 403 trials, 48822 neurons, time=21.7s
  [77/89] TX88_2022_06_13_2: 282 trials, 53710 neurons, time=15.1s
  [78/89] TX88_2022_06_17_2: 605 trials, 42145 neurons, time=16.9s
  [79/89] TX88_2022_06_20_1: 636 trials, 50141 neurons, time=22.2s
  [80/89] TX88_2022_07_15_1: 600 trials, 46452 neurons, time=18.9s
  [81/89] TX88_2022_07_19_1: 450 trials, 53178 neurons, time=27.8s
  [82/89] TX88_2022_07_22_1: 373 trials, 48239 neurons, time=22.3s
  [83/89] VR2_2021_03_20_1: 348 trials, 64112 neurons, time=22.2s
  [84/89] VR2_2021_04_06_1: 470 trials, 55794 neurons, time=16.0s
  [85/89] VR2_2021_04_11_1: 719 trials, 65842 neurons, time=30.0s
  [86/89] VR2_2021_04_28_1: 506 trials, 55525 neurons, time=16.9s
  [87/89] VR2_2021_04_29_1: 680 trials, 57304 neurons, time=23.7s
  [88/89] VR2_2021_05_04_1: 503 trials, 43303 neurons, time=12.5s
  [89/89] VR2_2021_05_06_1: 499 trials, 58878 neurons, time=16.5s
Pass 2 time: 1318.7s

Saving to /app/full_data.pkl...
Saved: 241.67 GB

--- Summary ---
Sessions: 89
Subjects: 19
Total trials: 38110
Neurons per session: min=17363, max=78815, mean=46128
Time bin: 314.7 ms
Total time: 1893.9s
