Mode: full; processing 173 of 173 usable sessions
Excluded during discovery: [{'session_id': 'sub-440958_ses-20190216T162508', 'reason': 'no classifier-good units / missing classifier labels', 'n_raw_units': 1852}]
[ 63/173] sub-456774_ses-20191023T142402: 178 neurons, 486/530 trials, 0.55 s
[ 64/173] sub-460432_ses-20191217T123303: 259 neurons, 403/450 trials, 0.53 s
[ 65/173] sub-460432_ses-20191218T111453: 322 neurons, 485/520 trials, 0.63 s
[ 66/173] sub-460432_ses-20191219T134919: 368 neurons, 416/450 trials, 0.64 s
[ 67/173] sub-460432_ses-20191220T140433: 184 neurons, 464/490 trials, 0.53 s
[ 68/173] sub-460434_ses-20191112T114755: 156 neurons, 441/480 trials, 0.32 s
[ 69/173] sub-460434_ses-20191113T135640: 150 neurons, 396/423 trials, 0.42 s
[ 70/173] sub-460434_ses-20191114T142520: 190 neurons, 479/503 trials, 0.47 s
[ 71/173] sub-460434_ses-20191115T135939: 141 neurons, 635/665 trials, 0.57 s
[ 72/173] sub-460436_ses-20200107T111633: 365 neurons, 519/541 trials, 0.76 s
[ 73/173] sub-460436_ses-20200108T105741: 254 neurons, 600/640 trials, 0.71 s
[ 74/173] sub-460436_ses-20200109T111437: 323 neurons, 492/517 trials, 0.61 s
[ 75/173] sub-460436_ses-20200110T142717: 269 neurons, 470/500 trials, 0.69 s
[ 76/173] sub-479121_ses-20200921T162104: 605 neurons, 298/320 trials, 0.76 s
[ 77/173] sub-479121_ses-20200922T135318: 378 neurons, 519/527 trials, 1.08 s
[ 78/173] sub-479121_ses-20200923T151145: 537 neurons, 527/530 trials, 1.11 s
[ 79/173] sub-479121_ses-20200924T134307: 374 neurons, 625/626 trials, 1.13 s
[ 80/173] sub-479121_ses-20200925T153348: 322 neurons, 425/461 trials, 0.64 s
[ 81/173] sub-479121_ses-20200928T141416: 90 neurons, 526/530 trials, 0.35 s
[ 82/173] sub-479149_ses-20201209T115448: 110 neurons, 503/580 trials, 0.36 s
[ 83/173] sub-479149_ses-20201210T113111: 180 neurons, 605/640 trials, 0.57 s
[ 84/173] sub-479149_ses-20201211T110651: 233 neurons, 395/410 trials, 0.46 s
[ 85/173] sub-479149_ses-20201214T120340: 459 neurons, 441/450 trials, 0.79 s
[ 86/173] sub-479149_ses-20201216T120333: 480 neurons, 261/264 trials, 0.58 s
[ 87/173] sub-479149_ses-20201217T120512: 304 neurons, 437/440 trials, 0.60 s
[ 88/173] sub-479149_ses-20201218T113815: 328 neurons, 517/520 trials, 0.69 s
[ 89/173] sub-480133_ses-20201224T122322: 148 neurons, 431/470 trials, 0.46 s
[ 90/173] sub-480133_ses-20201225T114244: 237 neurons, 643/666 trials, 0.53 s
[ 91/173] sub-480133_ses-20201226T121710: 371 neurons, 696/700 trials, 0.95 s
[ 92/173] sub-480133_ses-20201229T125330: 439 neurons, 524/530 trials, 0.86 s
[ 93/173] sub-480133_ses-20201230T112558: 639 neurons, 524/540 trials, 1.10 s
[ 94/173] sub-480133_ses-20201231T114638: 618 neurons, 482/490 trials, 0.80 s
[ 95/173] sub-480133_ses-20210101T123136: 205 neurons, 489/500 trials, 0.45 s
[ 96/173] sub-480133_ses-20210103T133044: 523 neurons, 538/540 trials, 0.60 s
[ 97/173] sub-480133_ses-20210104T131503: 555 neurons, 599/610 trials, 0.78 s
[ 98/173] sub-480134_ses-20210106T125834: 532 neurons, 484/560 trials, 0.74 s
[ 99/173] sub-480134_ses-20210107T120825: 420 neurons, 489/500 trials, 0.71 s
[100/173] sub-480134_ses-20210108T135220: 683 neurons, 512/520 trials, 0.94 s
[101/173] sub-480134_ses-20210110T134005: 480 neurons, 687/720 trials, 0.63 s
[102/173] sub-480134_ses-20210111T122809: 495 neurons, 517/540 trials, 0.56 s
[103/173] sub-480134_ses-20210112T130202: 675 neurons, 619/624 trials, 1.16 s
[104/173] sub-480134_ses-20210113T125455: 749 neurons, 674/680 trials, 1.29 s
[105/173] sub-480135_ses-20210225T155426: 630 neurons, 510/540 trials, 0.96 s
[106/173] sub-480135_ses-20210226T161028: 733 neurons, 476/500 trials, 0.92 s
[107/173] sub-480135_ses-20210227T131716: 765 neurons, 488/520 trials, 0.92 s
[108/173] sub-480135_ses-20210301T144130: 538 neurons, 473/500 trials, 0.62 s
[109/173] sub-480135_ses-20210302T140243: 502 neurons, 225/550 trials, 0.60 s
[110/173] sub-480135_ses-20210303T161010: 257 neurons, 460/500 trials, 0.48 s
[111/173] sub-480135_ses-20210304T163309: 219 neurons, 528/560 trials, 0.49 s
[112/173] sub-480927_ses-20210218T122535: 477 neurons, 310/330 trials, 0.82 s
[113/173] sub-480927_ses-20210219T132453: 376 neurons, 436/460 trials, 0.62 s
[114/173] sub-480927_ses-20210220T124834: 516 neurons, 350/381 trials, 0.74 s
[115/173] sub-480927_ses-20210221T130859: 688 neurons, 566/600 trials, 1.15 s
[116/173] sub-480927_ses-20210222T130313: 350 neurons, 550/580 trials, 0.71 s
[117/173] sub-480927_ses-20210223T135753: 219 neurons, 561/580 trials, 0.56 s
[118/173] sub-480927_ses-20210224T133042: 469 neurons, 495/520 trials, 0.99 s
[119/173] sub-480927_ses-20210225T115002: 366 neurons, 534/561 trials, 0.68 s
[120/173] sub-480927_ses-20210226T133429: 483 neurons, 546/570 trials, 0.88 s
[121/173] sub-480927_ses-20210228T131818: 268 neurons, 622/650 trials, 0.64 s
[122/173] sub-480928_ses-20210121T153333: 432 neurons, 508/520 trials, 0.86 s
[123/173] sub-480928_ses-20210122T131850: 358 neurons, 591/625 trials, 0.94 s
[124/173] sub-480928_ses-20210123T132015: 407 neurons, 577/600 trials, 0.95 s
[125/173] sub-480928_ses-20210125T124258: 509 neurons, 556/601 trials, 0.92 s
[126/173] sub-480928_ses-20210126T134951: 650 neurons, 530/540 trials, 0.97 s
[127/173] sub-480928_ses-20210127T140737: 731 neurons, 488/504 trials, 1.05 s
[128/173] sub-480928_ses-20210128T133949: 923 neurons, 592/620 trials, 1.42 s
[129/173] sub-480928_ses-20210129T132207: 724 neurons, 639/700 trials, 1.29 s
[130/173] sub-480928_ses-20210130T135022: 850 neurons, 520/580 trials, 1.00 s
[131/173] sub-484672_ses-20210318T171131: 256 neurons, 430/465 trials, 0.48 s
[132/173] sub-484672_ses-20210319T144211: 385 neurons, 544/600 trials, 0.93 s
[133/173] sub-484672_ses-20210321T131204: 213 neurons, 457/500 trials, 0.42 s
[134/173] sub-484672_ses-20210322T122309: 330 neurons, 537/570 trials, 0.65 s
[135/173] sub-484672_ses-20210323T121231: 492 neurons, 441/470 trials, 0.64 s
[136/173] sub-484672_ses-20210324T143423: 215 neurons, 579/642 trials, 0.54 s
[137/173] sub-484673_ses-20210427T145157: 486 neurons, 417/440 trials, 0.73 s
[138/173] sub-484673_ses-20210428T133442: 633 neurons, 534/560 trials, 0.95 s
[139/173] sub-484673_ses-20210429T131158: 497 neurons, 502/530 trials, 0.65 s
[140/173] sub-484673_ses-20210430T132651: 532 neurons, 481/500 trials, 0.82 s
[141/173] sub-484673_ses-20210504T121957: 285 neurons, 627/660 trials, 0.59 s
[142/173] sub-484673_ses-20210505T131153: 227 neurons, 656/690 trials, 0.57 s
[143/173] sub-484673_ses-20210506T134206: 342 neurons, 644/680 trials, 0.75 s
[144/173] sub-484673_ses-20210507T135524: 430 neurons, 695/730 trials, 1.15 s
[145/173] sub-484673_ses-20210508T132858: 390 neurons, 637/660 trials, 0.77 s
[146/173] sub-484674_ses-20210504T155124: 308 neurons, 588/620 trials, 0.77 s
[147/173] sub-484674_ses-20210505T170309: 298 neurons, 625/660 trials, 0.80 s
[148/173] sub-484674_ses-20210506T174036: 638 neurons, 516/545 trials, 0.98 s
[149/173] sub-484674_ses-20210507T172825: 208 neurons, 509/530 trials, 0.52 s
[150/173] sub-484674_ses-20210509T131820: 452 neurons, 477/510 trials, 0.88 s
[151/173] sub-484674_ses-20210510T162815: 238 neurons, 388/420 trials, 0.43 s
[152/173] sub-484674_ses-20210511T140555: 206 neurons, 461/500 trials, 0.47 s
[153/173] sub-484674_ses-20210513T120445: 404 neurons, 531/560 trials, 0.93 s
[154/173] sub-484674_ses-20210514T111526: 269 neurons, 565/600 trials, 0.85 s
[155/173] sub-484675_ses-20210318T122039: 365 neurons, 390/425 trials, 0.43 s
[156/173] sub-484675_ses-20210319T121514: 393 neurons, 513/561 trials, 0.52 s
[157/173] sub-484675_ses-20210320T130513: 483 neurons, 521/565 trials, 0.58 s
[158/173] sub-484675_ses-20210322T164725: 288 neurons, 464/500 trials, 0.49 s
[159/173] sub-484675_ses-20210323T164459: 325 neurons, 634/680 trials, 0.56 s
[160/173] sub-484675_ses-20210324T182545: 182 neurons, 458/505 trials, 0.48 s
[161/173] sub-484676_ses-20210413T112028: 537 neurons, 522/550 trials, 1.10 s
[162/173] sub-484676_ses-20210414T121243: 473 neurons, 590/620 trials, 1.32 s
[163/173] sub-484676_ses-20210415T121842: 302 neurons, 518/550 trials, 0.76 s
[164/173] sub-484676_ses-20210416T140326: 317 neurons, 631/680 trials, 0.93 s
[165/173] sub-484676_ses-20210419T130102: 530 neurons, 560/600 trials, 1.09 s
[166/173] sub-484676_ses-20210420T130906: 437 neurons, 499/534 trials, 1.14 s
[167/173] sub-484676_ses-20210421T141806: 339 neurons, 605/640 trials, 0.84 s
[168/173] sub-484677_ses-20210413T150250: 445 neurons, 662/700 trials, 1.57 s
[169/173] sub-484677_ses-20210414T153241: 390 neurons, 547/580 trials, 1.07 s
[170/173] sub-484677_ses-20210415T161621: 308 neurons, 490/520 trials, 0.81 s
[171/173] sub-484677_ses-20210418T132006: 787 neurons, 689/720 trials, 1.72 s
[172/173] sub-484677_ses-20210419T161140: 472 neurons, 448/480 trials, 0.94 s
[173/173] sub-484677_ses-20210420T170516: 368 neurons, 626/650 trials, 1.12 s
Validated in memory: 173 sessions, 89068 trials, 69453 session-neurons, 293 regions
Saved /app/converted_data.pkl (10.826 GiB) in 14.56 s; total conversion 148.64 s
