Loaded QLAK-CA1-08 in 8.84 s
  QLAK-CA1-08_day00: 185 neurons, 39 trials, 1666 tail frames; 0.19 s
  QLAK-CA1-30_day20: 392 neurons, 39 trials, 1666 tail frames; 0.40 s
  QLAK-CA1-30_day21: 405 neurons, 39 trials, 1666 tail frames; 0.42 s
  QLAK-CA1-30_day22: 370 neurons, 39 trials, 1666 tail frames; 0.38 s
  QLAK-CA1-30_day23: 395 neurons, 39 trials, 1666 tail frames; 0.40 s
  QLAK-CA1-30_day24: 388 neurons, 39 trials, 1666 tail frames; 0.40 s
  QLAK-CA1-30_day25: 417 neurons, 39 trials, 1666 tail frames; 0.43 s
  QLAK-CA1-30_day26: 421 neurons, 39 trials, 1666 tail frames; 0.43 s
  QLAK-CA1-30_day27: 422 neurons, 39 trials, 1666 tail frames; 0.43 s
  QLAK-CA1-30_day28: 360 neurons, 39 trials, 1666 tail frames; 0.37 s
  QLAK-CA1-30_day29: 397 neurons, 39 trials, 1666 tail frames; 0.41 s
  QLAK-CA1-30_day30: 396 neurons, 39 trials, 1666 tail frames; 0.41 s
Loaded QLAK-CA1-50 in 15.88 s
  QLAK-CA1-50_day00: 214 neurons, 39 trials, 1666 tail frames; 0.22 s
  QLAK-CA1-50_day01: 233 neurons, 39 trials, 1666 tail frames; 0.24 s
  QLAK-CA1-50_day02: 223 neurons, 39 trials, 1666 tail frames; 0.23 s
  QLAK-CA1-50_day03: 224 neurons, 39 trials, 1666 tail frames; 0.23 s
  QLAK-CA1-50_day04: 242 neurons, 39 trials, 1666 tail frames; 0.25 s
  QLAK-CA1-50_day05: 231 neurons, 39 trials, 1666 tail frames; 0.23 s
  QLAK-CA1-50_day06: 227 neurons, 39 trials, 1666 tail frames; 0.23 s
  QLAK-CA1-50_day07: 364 neurons, 39 trials, 1666 tail frames; 0.37 s
  QLAK-CA1-50_day08: 382 neurons, 39 trials, 1666 tail frames; 0.39 s
  QLAK-CA1-50_day09: 367 neurons, 39 trials, 1666 tail frames; 0.38 s
  QLAK-CA1-50_day10: 367 neurons, 39 trials, 1666 tail frames; 0.38 s
  QLAK-CA1-50_day11: 428 neurons, 39 trials, 1666 tail frames; 0.44 s
  QLAK-CA1-50_day12: 405 neurons, 39 trials, 1666 tail frames; 0.41 s
  QLAK-CA1-50_day13: 421 neurons, 39 trials, 1666 tail frames; 0.43 s
  QLAK-CA1-50_day14: 434 neurons, 39 trials, 1666 tail frames; 0.44 s
  QLAK-CA1-50_day15: 375 neurons, 39 trials, 1666 tail frames; 0.38 s
  QLAK-CA1-50_day16: 430 neurons, 39 trials, 1666 tail frames; 0.44 s
  QLAK-CA1-50_day17: 457 neurons, 39 trials, 1666 tail frames; 0.47 s
  QLAK-CA1-50_day18: 479 neurons, 39 trials, 1666 tail frames; 0.50 s
  QLAK-CA1-50_day19: 452 neurons, 39 trials, 1666 tail frames; 0.46 s
  QLAK-CA1-50_day20: 409 neurons, 39 trials, 1666 tail frames; 0.42 s
  QLAK-CA1-50_day21: 519 neurons, 39 trials, 1666 tail frames; 0.54 s
  QLAK-CA1-50_day22: 502 neurons, 39 trials, 1666 tail frames; 0.52 s
  QLAK-CA1-50_day23: 501 neurons, 39 trials, 1666 tail frames; 0.52 s
  QLAK-CA1-50_day24: 493 neurons, 39 trials, 1666 tail frames; 0.51 s
  QLAK-CA1-50_day25: 445 neurons, 39 trials, 1666 tail frames; 0.46 s
  QLAK-CA1-50_day26: 488 neurons, 39 trials, 1666 tail frames; 0.51 s
  QLAK-CA1-50_day27: 523 neurons, 39 trials, 1666 tail frames; 0.54 s
  QLAK-CA1-50_day28: 492 neurons, 39 trials, 1666 tail frames; 0.51 s
  QLAK-CA1-50_day29: 536 neurons, 39 trials, 1666 tail frames; 0.56 s
  QLAK-CA1-50_day30: 564 neurons, 39 trials, 1666 tail frames; 0.59 s
Loaded QLAK-CA1-51 in 6.44 s
  QLAK-CA1-51_day00: 113 neurons, 40 trials, 219 tail frames; 0.12 s
  QLAK-CA1-51_day01: 143 neurons, 40 trials, 219 tail frames; 0.15 s
  QLAK-CA1-51_day02: 148 neurons, 40 trials, 219 tail frames; 0.15 s
  QLAK-CA1-51_day03: 166 neurons, 40 trials, 219 tail frames; 0.17 s
  QLAK-CA1-51_day04: 162 neurons, 40 trials, 219 tail frames; 0.17 s
  QLAK-CA1-51_day05: 151 neurons, 40 trials, 219 tail frames; 0.15 s
  QLAK-CA1-51_day06: 179 neurons, 40 trials, 219 tail frames; 0.18 s
  QLAK-CA1-51_day07: 227 neurons, 40 trials, 219 tail frames; 0.23 s
  QLAK-CA1-51_day08: 233 neurons, 40 trials, 219 tail frames; 0.24 s
  QLAK-CA1-51_day09: 253 neurons, 40 trials, 219 tail frames; 0.26 s
  QLAK-CA1-51_day10: 235 neurons, 40 trials, 219 tail frames; 0.24 s
  QLAK-CA1-51_day11: 263 neurons, 40 trials, 219 tail frames; 0.27 s
  QLAK-CA1-51_day12: 258 neurons, 40 trials, 219 tail frames; 0.26 s
  QLAK-CA1-51_day13: 233 neurons, 40 trials, 219 tail frames; 0.24 s
  QLAK-CA1-51_day14: 277 neurons, 40 trials, 219 tail frames; 0.28 s
  QLAK-CA1-51_day15: 274 neurons, 40 trials, 219 tail frames; 0.28 s
  QLAK-CA1-51_day16: 276 neurons, 40 trials, 219 tail frames; 0.28 s
  QLAK-CA1-51_day17: 284 neurons, 40 trials, 219 tail frames; 0.29 s
  QLAK-CA1-51_day18: 317 neurons, 40 trials, 219 tail frames; 0.33 s
  QLAK-CA1-51_day19: 316 neurons, 40 trials, 219 tail frames; 0.32 s
  QLAK-CA1-51_day20: 323 neurons, 40 trials, 219 tail frames; 0.33 s
Loaded QLAK-CA1-56 in 14.58 s
  QLAK-CA1-56_day00: 295 neurons, 40 trials, 91 tail frames; 0.30 s
  QLAK-CA1-56_day01: 251 neurons, 40 trials, 91 tail frames; 0.26 s
  QLAK-CA1-56_day02: 257 neurons, 40 trials, 91 tail frames; 0.26 s
  QLAK-CA1-56_day03: 281 neurons, 40 trials, 91 tail frames; 0.29 s
  QLAK-CA1-56_day04: 264 neurons, 40 trials, 91 tail frames; 0.27 s
  QLAK-CA1-56_day05: 257 neurons, 40 trials, 91 tail frames; 0.26 s
  QLAK-CA1-56_day06: 281 neurons, 40 trials, 91 tail frames; 0.29 s
  QLAK-CA1-56_day07: 340 neurons, 40 trials, 91 tail frames; 0.35 s
  QLAK-CA1-56_day08: 326 neurons, 40 trials, 91 tail frames; 0.33 s
  QLAK-CA1-56_day09: 336 neurons, 40 trials, 91 tail frames; 0.34 s
  QLAK-CA1-56_day10: 329 neurons, 40 trials, 91 tail frames; 0.34 s
  QLAK-CA1-56_day11: 337 neurons, 40 trials, 91 tail frames; 0.35 s
  QLAK-CA1-56_day12: 402 neurons, 40 trials, 91 tail frames; 0.42 s
  QLAK-CA1-56_day13: 371 neurons, 40 trials, 91 tail frames; 0.38 s
  QLAK-CA1-56_day14: 379 neurons, 40 trials, 91 tail frames; 0.39 s
  QLAK-CA1-56_day15: 391 neurons, 40 trials, 91 tail frames; 0.41 s
  QLAK-CA1-56_day16: 377 neurons, 40 trials, 91 tail frames; 0.39 s
  QLAK-CA1-56_day17: 395 neurons, 40 trials, 91 tail frames; 0.41 s
  QLAK-CA1-56_day18: 437 neurons, 40 trials, 91 tail frames; 0.45 s
  QLAK-CA1-56_day19: 428 neurons, 40 trials, 91 tail frames; 0.44 s
  QLAK-CA1-56_day20: 406 neurons, 40 trials, 91 tail frames; 0.42 s
  QLAK-CA1-56_day21: 438 neurons, 40 trials, 91 tail frames; 0.45 s
  QLAK-CA1-56_day22: 423 neurons, 40 trials, 91 tail frames; 0.44 s
  QLAK-CA1-56_day23: 436 neurons, 40 trials, 91 tail frames; 0.45 s
  QLAK-CA1-56_day24: 452 neurons, 40 trials, 91 tail frames; 0.47 s
  QLAK-CA1-56_day25: 472 neurons, 40 trials, 91 tail frames; 0.50 s
  QLAK-CA1-56_day26: 444 neurons, 40 trials, 91 tail frames; 0.46 s
  QLAK-CA1-56_day27: 481 neurons, 40 trials, 91 tail frames; 0.51 s
  QLAK-CA1-56_day28: 485 neurons, 40 trials, 91 tail frames; 0.51 s
  QLAK-CA1-56_day29: 507 neurons, 40 trials, 91 tail frames; 0.53 s
  QLAK-CA1-56_day30: 529 neurons, 40 trials, 91 tail frames; 0.56 s
Loaded QLAK-CA1-74 in 12.24 s
  QLAK-CA1-74_day00: 304 neurons, 40 trials, 60 tail frames; 0.33 s
  QLAK-CA1-74_day01: 278 neurons, 40 trials, 60 tail frames; 0.29 s
  QLAK-CA1-74_day02: 274 neurons, 40 trials, 60 tail frames; 0.29 s
  QLAK-CA1-74_day03: 264 neurons, 40 trials, 60 tail frames; 0.28 s
  QLAK-CA1-74_day04: 292 neurons, 40 trials, 60 tail frames; 0.31 s
  QLAK-CA1-74_day05: 275 neurons, 40 trials, 60 tail frames; 0.29 s
  QLAK-CA1-74_day06: 285 neurons, 40 trials, 60 tail frames; 0.30 s
  QLAK-CA1-74_day07: 258 neurons, 40 trials, 60 tail frames; 0.27 s
  QLAK-CA1-74_day08: 306 neurons, 40 trials, 60 tail frames; 0.32 s
  QLAK-CA1-74_day09: 303 neurons, 40 trials, 60 tail frames; 0.32 s
  QLAK-CA1-74_day10: 286 neurons, 40 trials, 60 tail frames; 0.30 s
  QLAK-CA1-74_day11: 316 neurons, 40 trials, 60 tail frames; 0.33 s
  QLAK-CA1-74_day12: 284 neurons, 40 trials, 60 tail frames; 0.30 s
  QLAK-CA1-74_day13: 303 neurons, 40 trials, 60 tail frames; 0.32 s
  QLAK-CA1-74_day14: 289 neurons, 40 trials, 60 tail frames; 0.30 s
  QLAK-CA1-74_day15: 289 neurons, 40 trials, 60 tail frames; 0.30 s
  QLAK-CA1-74_day16: 300 neurons, 40 trials, 60 tail frames; 0.32 s
  QLAK-CA1-74_day17: 258 neurons, 40 trials, 60 tail frames; 0.27 s
  QLAK-CA1-74_day18: 321 neurons, 40 trials, 60 tail frames; 0.34 s
  QLAK-CA1-74_day19: 339 neurons, 40 trials, 60 tail frames; 0.36 s
  QLAK-CA1-74_day20: 328 neurons, 40 trials, 60 tail frames; 0.34 s
  QLAK-CA1-74_day21: 361 neurons, 40 trials, 60 tail frames; 0.38 s
  QLAK-CA1-74_day22: 389 neurons, 40 trials, 60 tail frames; 0.41 s
  QLAK-CA1-74_day23: 344 neurons, 40 trials, 60 tail frames; 0.37 s
  QLAK-CA1-74_day24: 359 neurons, 40 trials, 60 tail frames; 0.38 s
  QLAK-CA1-74_day25: 315 neurons, 40 trials, 60 tail frames; 0.34 s
  QLAK-CA1-74_day26: 294 neurons, 40 trials, 60 tail frames; 0.31 s
  QLAK-CA1-74_day27: 300 neurons, 40 trials, 60 tail frames; 0.32 s
  QLAK-CA1-74_day28: 370 neurons, 40 trials, 60 tail frames; 0.39 s
  QLAK-CA1-74_day29: 405 neurons, 40 trials, 60 tail frames; 0.43 s
  QLAK-CA1-74_day30: 391 neurons, 40 trials, 60 tail frames; 0.41 s
Loaded QLAK-CA1-75 in 15.97 s
  QLAK-CA1-75_day00: 356 neurons, 40 trials, 71 tail frames; 0.38 s
  QLAK-CA1-75_day01: 263 neurons, 40 trials, 71 tail frames; 0.28 s
  QLAK-CA1-75_day02: 294 neurons, 40 trials, 71 tail frames; 0.31 s
  QLAK-CA1-75_day03: 285 neurons, 40 trials, 71 tail frames; 0.30 s
  QLAK-CA1-75_day04: 368 neurons, 40 trials, 71 tail frames; 0.39 s
  QLAK-CA1-75_day05: 288 neurons, 40 trials, 71 tail frames; 0.31 s
  QLAK-CA1-75_day06: 330 neurons, 40 trials, 71 tail frames; 0.35 s
  QLAK-CA1-75_day07: 438 neurons, 40 trials, 71 tail frames; 0.46 s
  QLAK-CA1-75_day08: 393 neurons, 40 trials, 71 tail frames; 0.41 s
  QLAK-CA1-75_day09: 384 neurons, 40 trials, 71 tail frames; 0.41 s
  QLAK-CA1-75_day10: 396 neurons, 40 trials, 71 tail frames; 0.42 s
  QLAK-CA1-75_day11: 344 neurons, 40 trials, 71 tail frames; 0.37 s
  QLAK-CA1-75_day12: 344 neurons, 40 trials, 71 tail frames; 0.36 s
  QLAK-CA1-75_day13: 395 neurons, 40 trials, 71 tail frames; 0.42 s
  QLAK-CA1-75_day14: 433 neurons, 40 trials, 71 tail frames; 0.46 s
  QLAK-CA1-75_day15: 389 neurons, 40 trials, 71 tail frames; 0.42 s
  QLAK-CA1-75_day16: 419 neurons, 40 trials, 71 tail frames; 0.44 s
  QLAK-CA1-75_day17: 442 neurons, 40 trials, 71 tail frames; 0.47 s
  QLAK-CA1-75_day18: 480 neurons, 40 trials, 71 tail frames; 0.52 s
  QLAK-CA1-75_day19: 435 neurons, 40 trials, 71 tail frames; 0.46 s
  QLAK-CA1-75_day20: 436 neurons, 40 trials, 71 tail frames; 0.46 s
  QLAK-CA1-75_day21: 424 neurons, 40 trials, 71 tail frames; 0.45 s
  QLAK-CA1-75_day22: 450 neurons, 40 trials, 71 tail frames; 0.48 s
  QLAK-CA1-75_day23: 421 neurons, 40 trials, 71 tail frames; 0.45 s
  QLAK-CA1-75_day24: 501 neurons, 40 trials, 71 tail frames; 0.54 s
  QLAK-CA1-75_day25: 420 neurons, 40 trials, 71 tail frames; 0.45 s
  QLAK-CA1-75_day26: 393 neurons, 40 trials, 71 tail frames; 0.42 s
  QLAK-CA1-75_day27: 487 neurons, 40 trials, 71 tail frames; 0.52 s
  QLAK-CA1-75_day28: 499 neurons, 40 trials, 71 tail frames; 0.54 s
  QLAK-CA1-75_day29: 535 neurons, 40 trials, 71 tail frames; 0.58 s
  QLAK-CA1-75_day30: 514 neurons, 40 trials, 71 tail frames; 0.55 s
Converted 207 sessions and 8187 trials
Session-neuron total: 69744
Position class counts: [489566, 370439, 568320, 483825, 281301, 693665, 663743, 377493, 983848]
Position class fractions: [0.099663, 0.075412, 0.115696, 0.098495, 0.057266, 0.141213, 0.135121, 0.076848, 0.200287]
Samples assigned to a blocked partition: 152/4912200 (0.003094%)
Conversion computation time: 161.29 s
Saved /app/converted_data.pkl (6.205 GiB) in 5.63 s
