Mode: full; sessions: 152
Paper-matched neural processing: maximin dF/F + OASIS at 15.5078125 Hz
[  1/152] m11_ses-03: 154 neurons, 80 trials, 14282 samples, 0.46s
[ 89/152] m18_ses-07: 1724 neurons, 80 trials, 17917 samples, 4.07s
[ 90/152] m18_ses-08: 2312 neurons, 80 trials, 18113 samples, 5.43s
[ 91/152] m18_ses-09: 1685 neurons, 80 trials, 17243 samples, 3.52s
[ 92/152] m18_ses-10: 1890 neurons, 80 trials, 15861 samples, 3.94s
[ 93/152] m18_ses-11: 1373 neurons, 80 trials, 16948 samples, 3.15s
[ 94/152] m18_ses-12: 1922 neurons, 80 trials, 16027 samples, 3.61s
[ 95/152] m18_ses-13: 1428 neurons, 80 trials, 14130 samples, 2.84s
[ 96/152] m18_ses-14: 1944 neurons, 80 trials, 16154 samples, 4.01s
[ 97/152] m19_ses-01: 526 neurons, 80 trials, 20010 samples, 1.26s
[ 98/152] m19_ses-02: 405 neurons, 80 trials, 18513 samples, 0.97s
[ 99/152] m19_ses-03: 463 neurons, 80 trials, 23539 samples, 1.31s
[100/152] m19_ses-04: 549 neurons, 80 trials, 25547 samples, 1.70s
[101/152] m19_ses-05: 470 neurons, 80 trials, 23839 samples, 1.48s
[102/152] m19_ses-06: 503 neurons, 80 trials, 18668 samples, 1.33s
[103/152] m19_ses-07: 595 neurons, 80 trials, 22317 samples, 1.62s
[104/152] m19_ses-08: 565 neurons, 80 trials, 23509 samples, 1.60s
[105/152] m19_ses-09: 427 neurons, 80 trials, 18483 samples, 1.08s
[106/152] m19_ses-10: 464 neurons, 80 trials, 25492 samples, 1.65s
[107/152] m19_ses-11: 369 neurons, 80 trials, 20189 samples, 1.14s
[108/152] m19_ses-12: 555 neurons, 80 trials, 20835 samples, 1.59s
[109/152] m19_ses-13: 422 neurons, 80 trials, 17057 samples, 1.07s
[110/152] m19_ses-14: 587 neurons, 80 trials, 17087 samples, 1.60s
[111/152] m3_ses-01: 1013 neurons, 80 trials, 27617 samples, 3.91s
[112/152] m3_ses-02: 882 neurons, 80 trials, 22802 samples, 2.91s
[113/152] m3_ses-03: 1053 neurons, 80 trials, 20449 samples, 3.16s
[114/152] m3_ses-04: 811 neurons, 80 trials, 22668 samples, 2.59s
[115/152] m3_ses-05: 1019 neurons, 80 trials, 26985 samples, 3.13s
[116/152] m3_ses-06: 811 neurons, 80 trials, 19492 samples, 1.93s
[117/152] m3_ses-07: 782 neurons, 80 trials, 19030 samples, 2.09s
[118/152] m3_ses-08: 778 neurons, 80 trials, 22598 samples, 2.29s
[119/152] m3_ses-09: 764 neurons, 80 trials, 20611 samples, 2.82s
[120/152] m3_ses-10: 928 neurons, 89 trials, 17965 samples, 2.57s
[121/152] m3_ses-11: 997 neurons, 80 trials, 19182 samples, 2.64s
[122/152] m3_ses-12: 1030 neurons, 80 trials, 17506 samples, 2.45s
[123/152] m3_ses-13: 980 neurons, 80 trials, 12382 samples, 2.02s
[124/152] m3_ses-14: 1050 neurons, 100 trials, 15748 samples, 2.42s
[125/152] m4_ses-01: 980 neurons, 80 trials, 30580 samples, 3.45s
[126/152] m4_ses-02: 909 neurons, 79 trials, 26962 samples, 3.01s
[127/152] m4_ses-03: 1023 neurons, 75 trials, 31967 samples, 3.43s
[128/152] m4_ses-04: 1016 neurons, 40 trials, 24054 samples, 3.46s
[129/152] m4_ses-05: 1066 neurons, 80 trials, 31404 samples, 3.49s
[130/152] m4_ses-06: 1067 neurons, 79 trials, 23728 samples, 3.28s
[131/152] m4_ses-07: 1003 neurons, 71 trials, 20169 samples, 3.19s
[132/152] m4_ses-08: 1285 neurons, 80 trials, 28023 samples, 3.85s
[133/152] m4_ses-09: 1014 neurons, 50 trials, 21382 samples, 3.54s
[134/152] m4_ses-10: 1100 neurons, 79 trials, 29500 samples, 4.05s
[135/152] m4_ses-11: 990 neurons, 80 trials, 23826 samples, 3.12s
[136/152] m4_ses-12: 1038 neurons, 80 trials, 31813 samples, 4.21s
[137/152] m4_ses-13: 876 neurons, 79 trials, 30180 samples, 3.07s
[138/152] m4_ses-14: 1061 neurons, 45 trials, 23639 samples, 4.65s
[139/152] m7_ses-01: 1297 neurons, 99 trials, 19423 samples, 3.56s
[140/152] m7_ses-02: 1186 neurons, 80 trials, 17000 samples, 2.85s
[141/152] m7_ses-03: 1155 neurons, 100 trials, 20876 samples, 3.11s
[142/152] m7_ses-04: 1013 neurons, 79 trials, 13732 samples, 2.04s
[143/152] m7_ses-05: 1111 neurons, 80 trials, 16566 samples, 2.07s
[144/152] m7_ses-06: 1142 neurons, 80 trials, 16148 samples, 2.14s
[145/152] m7_ses-07: 1020 neurons, 100 trials, 14602 samples, 2.04s
[146/152] m7_ses-08: 1034 neurons, 99 trials, 14673 samples, 1.97s
[147/152] m7_ses-09: 900 neurons, 80 trials, 12524 samples, 1.61s
[148/152] m7_ses-10: 886 neurons, 80 trials, 14456 samples, 1.81s
[149/152] m7_ses-11: 973 neurons, 80 trials, 12561 samples, 1.81s
[150/152] m7_ses-12: 969 neurons, 100 trials, 16402 samples, 2.13s
[151/152] m7_ses-13: 988 neurons, 80 trials, 13057 samples, 1.90s
[152/152] m7_ses-14: 1192 neurons, 100 trials, 21054 samples, 2.66s
Conversion statistics: {'sessions': 152, 'subjects': 11, 'trials': 12135, 'samples': 2576026, 'cell_session_instances': 138276, 'neurons_per_session_min': 154, 'neurons_per_session_mean': 909.7105263157895, 'neurons_per_session_max': 2323, 'output_distributions': [[0.25126842663855103, 0.10196015102332041, 0.07326362389199488, 0.2384595497095138, 0.020712523864277767, 0.07178304877357604, 0.24255267609876607], [0.21200834153071435, 0.1767392875693025, 0.23121234024811863, 0.2264142520300649, 0.15362577862179963], [0.11657568673608108, 0.08735043823315448, 0.13411976431914896, 0.3191939832905413, 0.34276012742107415], [0.7774195602063023, 0.22258043979369774], [0.33159020910503234, 0.33588325583670353, 0.3325265350582642], [0.15771269389361753, 0.8422873061063825]]}
Wrote /app/converted_data.pkl (8.865 GiB) in 8.40s; total 350.08s
