Sessions to convert: 174 (from 202 experiments)
[  1/174] session 775289198  neurons=89 trials=39 T=9583 load=4.8s  (elapsed 5s, 5.0s/session, eta 862s)
[ 83/174] session 884359468  neurons=81 trials=206 T=54434 load=3.5s  (elapsed 44s, 0.5s/session, eta 49s)
[ 84/174] session 885401643  neurons=490 trials=288 T=76124 load=12.5s  (elapsed 44s, 0.5s/session, eta 48s)
[ 85/174] session 888190799  neurons=85 trials=149 T=37568 load=5.2s  (elapsed 44s, 0.5s/session, eta 47s)
[ 86/174] session 888940531  neurons=242 trials=250 T=65758 load=5.6s  (elapsed 44s, 0.5s/session, eta 46s)
[ 87/174] session 889179793  neurons=83 trials=186 T=48128 load=3.6s  (elapsed 44s, 0.5s/session, eta 44s)
[ 88/174] session 889189329  neurons=482 trials=323 T=86478 load=7.8s  (elapsed 44s, 0.5s/session, eta 43s)
[ 89/174] session 889235128  neurons=164 trials=339 T=89528 load=4.7s  (elapsed 44s, 0.5s/session, eta 42s)
[ 90/174] session 891193996  neurons=230 trials=220 T=56424 load=5.1s  (elapsed 44s, 0.5s/session, eta 42s)
[ 91/174] session 891465652  neurons=115 trials=380 T=102271 load=3.8s  (elapsed 44s, 0.5s/session, eta 41s)
[ 92/174] session 892217026  neurons=254 trials=232 T=60375 load=6.8s  (elapsed 44s, 0.5s/session, eta 40s)
[ 93/174] session 892423647  neurons=134 trials=356 T=95135 load=4.1s  (elapsed 44s, 0.5s/session, eta 39s)
[ 94/174] session 893346385  neurons=560 trials=362 T=95904 load=9.1s  (elapsed 48s, 0.5s/session, eta 41s)
[ 95/174] session 893937838  neurons=245 trials=205 T=54513 load=5.1s  (elapsed 48s, 0.5s/session, eta 40s)
[ 96/174] session 894204946  neurons=158 trials=330 T=88445 load=4.5s  (elapsed 48s, 0.5s/session, eta 39s)
[ 97/174] session 895003340  neurons=504 trials=368 T=97516 load=7.8s  (elapsed 49s, 0.5s/session, eta 39s)
[ 98/174] session 895588149  neurons=558 trials=307 T=80046 load=8.2s  (elapsed 49s, 0.5s/session, eta 38s)
[ 99/174] session 934576432  neurons=197 trials=300 T=79009 load=4.3s  (elapsed 49s, 0.5s/session, eta 37s)
[100/174] session 935554523  neurons=194 trials=263 T=67983 load=4.5s  (elapsed 49s, 0.5s/session, eta 36s)
[101/174] session 937364655  neurons=18 trials=79 T=18607 load=3.0s  (elapsed 49s, 0.5s/session, eta 36s)
[102/174] session 938175546  neurons=95 trials=348 T=92809 load=3.7s  (elapsed 49s, 0.5s/session, eta 35s)
[103/174] session 939520170  neurons=180 trials=257 T=68490 load=4.5s  (elapsed 49s, 0.5s/session, eta 34s)
[104/174] session 939524851  neurons=23 trials=117 T=29068 load=3.0s  (elapsed 49s, 0.5s/session, eta 33s)
[105/174] session 940446507  neurons=69 trials=334 T=88469 load=3.3s  (elapsed 49s, 0.5s/session, eta 32s)
[106/174] session 940447433  neurons=120 trials=173 T=46580 load=4.5s  (elapsed 49s, 0.5s/session, eta 32s)
[107/174] session 941300832  neurons=88 trials=379 T=100979 load=3.9s  (elapsed 49s, 0.5s/session, eta 31s)
[108/174] session 943299247  neurons=39 trials=363 T=97931 load=3.5s  (elapsed 49s, 0.5s/session, eta 30s)
[109/174] session 944810835  neurons=9 trials=81 T=19221 load=2.6s  (elapsed 49s, 0.5s/session, eta 29s)
[110/174] session 945889501  neurons=381 trials=373 T=99431 load=5.9s  (elapsed 51s, 0.5s/session, eta 30s)
[111/174] session 946951902  neurons=12 trials=105 T=27070 load=2.8s  (elapsed 51s, 0.5s/session, eta 29s)
[112/174] session 947174352  neurons=354 trials=338 T=90544 load=5.3s  (elapsed 51s, 0.5s/session, eta 28s)
[113/174] session 948090163  neurons=14 trials=117 T=29356 load=2.7s  (elapsed 51s, 0.5s/session, eta 28s)
[114/174] session 948188768  neurons=451 trials=378 T=100504 load=6.8s  (elapsed 53s, 0.5s/session, eta 28s)
[115/174] session 949209988  neurons=17 trials=248 T=63814 load=3.0s  (elapsed 53s, 0.5s/session, eta 27s)
[116/174] session 949356610  neurons=392 trials=286 T=75677 load=6.4s  (elapsed 54s, 0.5s/session, eta 27s)
[117/174] session 951410079  neurons=88 trials=209 T=55577 load=17.8s  (elapsed 65s, 0.6s/session, eta 31s)
[118/174] session 951556788  neurons=363 trials=370 T=101216 load=6.3s  (elapsed 65s, 0.5s/session, eta 31s)
[119/174] session 952434025  neurons=14 trials=279 T=72868 load=2.8s  (elapsed 65s, 0.5s/session, eta 30s)
[120/174] session 952690419  neurons=360 trials=257 T=67816 load=5.7s  (elapsed 65s, 0.5s/session, eta 29s)
[121/174] session 954800562  neurons=340 trials=92 T=22635 load=5.9s  (elapsed 65s, 0.5s/session, eta 28s)
[122/174] session 954954402  neurons=67 trials=309 T=81301 load=18.6s  (elapsed 67s, 0.5s/session, eta 29s)
[123/174] session 955775716  neurons=34 trials=265 T=68530 load=7.8s  (elapsed 67s, 0.5s/session, eta 28s)
[124/174] session 956121729  neurons=549 trials=138 T=35854 load=7.5s  (elapsed 67s, 0.5s/session, eta 27s)
[125/174] session 957020350  neurons=78 trials=287 T=75352 load=18.6s  (elapsed 68s, 0.5s/session, eta 27s)
[126/174] session 957247123  neurons=422 trials=216 T=57826 load=6.3s  (elapsed 68s, 0.5s/session, eta 26s)
[127/174] session 958105827  neurons=43 trials=239 T=61601 load=13.0s  (elapsed 68s, 0.5s/session, eta 25s)
[128/174] session 959458018  neurons=37 trials=196 T=51736 load=13.2s  (elapsed 68s, 0.5s/session, eta 24s)
[129/174] session 960749169  neurons=13 trials=394 T=106795 load=2.6s  (elapsed 68s, 0.5s/session, eta 24s)
[130/174] session 962206869  neurons=11 trials=217 T=56548 load=2.8s  (elapsed 68s, 0.5s/session, eta 23s)
[131/174] session 964912357  neurons=15 trials=181 T=47138 load=2.8s  (elapsed 68s, 0.5s/session, eta 22s)
[132/174] session 966603493  neurons=18 trials=107 T=26033 load=2.9s  (elapsed 68s, 0.5s/session, eta 22s)
[133/174] session 972293086  neurons=511 trials=269 T=71375 load=6.7s  (elapsed 68s, 0.5s/session, eta 21s)
[134/174] session 974019098  neurons=438 trials=189 T=48211 load=7.1s  (elapsed 68s, 0.5s/session, eta 20s)
[135/174] session 974479344  neurons=517 trials=224 T=59928 load=8.2s  (elapsed 68s, 0.5s/session, eta 20s)
[136/174] session 976354690  neurons=555 trials=258 T=68304 load=7.3s  (elapsed 68s, 0.5s/session, eta 19s)
[137/174] session 1006901110  neurons=13 trials=365 T=96270 load=2.7s  (elapsed 68s, 0.5s/session, eta 18s)
[138/174] session 1007216425  neurons=9 trials=291 T=77439 load=2.7s  (elapsed 68s, 0.5s/session, eta 18s)
[139/174] session 1008005573  neurons=9 trials=305 T=80451 load=2.6s  (elapsed 68s, 0.5s/session, eta 17s)
[140/174] session 1008813715  neurons=6 trials=215 T=56049 load=2.7s  (elapsed 68s, 0.5s/session, eta 16s)
[141/174] session 1042249629  neurons=22 trials=229 T=59269 load=2.7s  (elapsed 68s, 0.5s/session, eta 16s)
[142/174] session 1042505240  neurons=20 trials=205 T=53248 load=3.0s  (elapsed 68s, 0.5s/session, eta 15s)
[143/174] session 1043752192  neurons=18 trials=147 T=36901 load=2.7s  (elapsed 68s, 0.5s/session, eta 15s)
[144/174] session 1043989533  neurons=18 trials=338 T=90869 load=2.8s  (elapsed 68s, 0.5s/session, eta 14s)
[145/174] session 1044580813  neurons=16 trials=162 T=40995 load=2.9s  (elapsed 68s, 0.5s/session, eta 14s)
[146/174] session 1050246780  neurons=10 trials=336 T=88534 load=2.9s  (elapsed 68s, 0.5s/session, eta 13s)
[147/174] session 1050957017  neurons=8 trials=230 T=59645 load=2.6s  (elapsed 68s, 0.5s/session, eta 12s)
[148/174] session 1051119110  neurons=7 trials=334 T=88573 load=2.8s  (elapsed 68s, 0.5s/session, eta 12s)
[149/174] session 1051327401  neurons=7 trials=317 T=84757 load=2.7s  (elapsed 68s, 0.5s/session, eta 11s)
[150/174] session 1052307202  neurons=10 trials=349 T=93391 load=2.7s  (elapsed 68s, 0.5s/session, eta 11s)
[151/174] session 1052482256  neurons=18 trials=314 T=83091 load=2.6s  (elapsed 68s, 0.4s/session, eta 10s)
[152/174] session 1053465359  neurons=36 trials=354 T=94739 load=2.7s  (elapsed 68s, 0.4s/session, eta 10s)
[153/174] session 1053882120  neurons=13 trials=319 T=85658 load=2.6s  (elapsed 68s, 0.4s/session, eta 9s)
[154/174] session 1054703410  neurons=37 trials=319 T=85962 load=2.8s  (elapsed 68s, 0.4s/session, eta 9s)
[155/174] session 1065382549  neurons=30 trials=318 T=83902 load=3.1s  (elapsed 68s, 0.4s/session, eta 8s)
[156/174] session 1065384473  neurons=20 trials=95 T=23563 load=3.1s  (elapsed 68s, 0.4s/session, eta 8s)
[157/174] session 1065818402  neurons=21 trials=180 T=46953 load=2.7s  (elapsed 68s, 0.4s/session, eta 7s)
[158/174] session 1066943402  neurons=29 trials=286 T=75549 load=3.0s  (elapsed 68s, 0.4s/session, eta 7s)
[159/174] session 1066944927  neurons=18 trials=288 T=75920 load=2.7s  (elapsed 68s, 0.4s/session, eta 6s)
[160/174] session 1067593227  neurons=18 trials=249 T=64592 load=2.8s  (elapsed 68s, 0.4s/session, eta 6s)
[161/174] session 1067604782  neurons=25 trials=218 T=57624 load=2.9s  (elapsed 68s, 0.4s/session, eta 5s)
[162/174] session 1069224939  neurons=23 trials=259 T=67439 load=2.8s  (elapsed 68s, 0.4s/session, eta 5s)
[163/174] session 1070970140  neurons=26 trials=211 T=54964 load=2.7s  (elapsed 68s, 0.4s/session, eta 5s)
[164/174] session 1071202230  neurons=23 trials=271 T=71771 load=2.8s  (elapsed 68s, 0.4s/session, eta 4s)
[165/174] session 1081459617  neurons=20 trials=262 T=69611 load=2.8s  (elapsed 68s, 0.4s/session, eta 4s)
[166/174] session 1082325825  neurons=22 trials=227 T=58894 load=3.0s  (elapsed 68s, 0.4s/session, eta 3s)
[167/174] session 1082748382  neurons=21 trials=266 T=70581 load=2.6s  (elapsed 68s, 0.4s/session, eta 3s)
[168/174] session 1082988691  neurons=18 trials=225 T=59652 load=2.6s  (elapsed 68s, 0.4s/session, eta 2s)
[169/174] session 1083188691  neurons=10 trials=269 T=70953 load=2.6s  (elapsed 68s, 0.4s/session, eta 2s)
[170/174] session 1084241786  neurons=15 trials=318 T=82917 load=2.6s  (elapsed 68s, 0.4s/session, eta 2s)
[171/174] session 1084385630  neurons=10 trials=251 T=66532 load=2.8s  (elapsed 68s, 0.4s/session, eta 1s)
[172/174] session 1084882685  neurons=13 trials=255 T=66714 load=2.7s  (elapsed 69s, 0.4s/session, eta 1s)
[173/174] session 1085675084  neurons=17 trials=131 T=33063 load=2.6s  (elapsed 69s, 0.4s/session, eta 0s)
[174/174] session 1085943021  neurons=20 trials=131 T=32499 load=2.8s  (elapsed 69s, 0.4s/session, eta 0s)

Converted 171 sessions, 3 excluded
  excluded session 795625712: no eye tracking data
  excluded session 805989030: no eye tracking data
  excluded session 832881662: no eye tracking data

Summary: 171 sessions, 38 mice, 29168 neurons, 43975 trials, 11583870 timepoints
  neurons/session: mean 170.6 min 6 max 666
  trials/session:  mean 257.2 min 39 max 409
  brain regions: VISl=162, VISp=29006
  image_identity: gray=0.6701, im000=0.0197, im031=0.0201, im035=0.0199, im045=0.0200, im054=0.0199, im061=0.0211, im062=0.0214, im063=0.0215, im065=0.0212, im066=0.0214, im069=0.0212, im073=0.0199, im075=0.0202, im077=0.0211, im085=0.0215, im106=0.0198
  image_change: no_change=0.9748, change=0.0252
  running_speed_quintile: run_q0=0.2000, run_q1=0.2000, run_q2=0.2000, run_q3=0.2000, run_q4=0.2000
  pupil_diameter_quintile: pupil_q0=0.2000, pupil_q1=0.2000, pupil_q2=0.2000, pupil_q3=0.2000, pupil_q4=0.2000
  trial_outcome: hit=0.3131, miss=0.5615, false_alarm=0.0182, correct_reject=0.1071

Writing /app/converted_data.pkl ...
Wrote /app/converted_data.pkl (8.83 GB) in 78.7 s total
