converting 459 sessions with 24 workers
[1/459] 21d21fc3-4201-4edc-802a-c67b61952548   61u  369tr   3.0s (elapsed 0.1m, eta 25.9m)
[74/459] 6364ff7f-6471-415a-ab9e-632a12052690  115u  388tr   4.6s (elapsed 0.3m, eta 1.6m)
[75/459] 35eeb752-8f4f-4040-9714-ba0f5b7ccdfe  101u  538tr   3.5s (elapsed 0.3m, eta 1.5m)
[76/459] 1191f865-b10a-45c8-9c48-24a980fd9402  243u  678tr   5.0s (elapsed 0.3m, eta 1.5m)
[77/459] ca4ecb4c-4b60-4723-9b9e-2c54a6290a53  128u  226tr   4.0s (elapsed 0.3m, eta 1.5m)
[78/459] bb8d9451-fdbd-4f46-b52e-9290e8f84d2e  266u  296tr  12.1s (elapsed 0.3m, eta 1.5m)
[79/459] f312aaec-3b6f-44b3-86b4-3a0c119c0438  180u  462tr   7.3s (elapsed 0.3m, eta 1.5m)
[80/459] 15b69921-d471-4ded-8814-2adad954bcd8  127u  610tr   2.5s (elapsed 0.3m, eta 1.5m)
[81/459] 11163613-a6c9-4975-9586-84dc00481547  110u  593tr   2.5s (elapsed 0.3m, eta 1.5m)
[82/459] c46b8def-620d-4d70-9397-be5694255f73  223u  496tr   3.5s (elapsed 0.3m, eta 1.5m)
[83/459] 97c1d08d-57b4-4595-8052-91eb84ebfd74  136u  565tr   4.1s (elapsed 0.3m, eta 1.4m)
[84/459] d57df551-6dcb-4242-9c72-b806cff5613a   45u  579tr   2.2s (elapsed 0.3m, eta 1.4m)
[85/459] 2e6e179c-fccc-4e8f-9448-ce5b6858a183  160u  444tr   6.2s (elapsed 0.3m, eta 1.4m)
[86/459] 004d8fd5-41e7-4f1b-a45b-0d4ad76fe446  116u  198tr   4.8s (elapsed 0.3m, eta 1.4m)
[87/459] 5ae68c54-2897-4d3a-8120-426150704385  129u  204tr   3.0s (elapsed 0.3m, eta 1.4m)
[88/459] 824cf03d-4012-4ab1-b499-c83a92c5589e   62u  585tr   2.1s (elapsed 0.3m, eta 1.4m)
[89/459] 810b1e07-009e-4ebe-930a-915e4cd8ece4  301u  168tr   9.1s (elapsed 0.3m, eta 1.4m)
[90/459] 0c828385-6dd6-4842-a702-c5075f5f5e81  120u  467tr   2.2s (elapsed 0.3m, eta 1.4m)
[91/459] 03d9a098-07bf-4765-88b7-85f8d8f620cc   82u  372tr   2.5s (elapsed 0.3m, eta 1.4m)
[92/459] a7eba2cf-427f-4df9-879b-e53e962eae18  271u  285tr   3.7s (elapsed 0.3m, eta 1.3m)
[93/459] 5455a21c-1be7-4cae-ae8e-8853a8d5f55e   59u  358tr   2.0s (elapsed 0.3m, eta 1.3m)
[94/459] 19e66dc9-bf9f-430b-9d6a-acfa85de6fb7  311u  412tr   3.3s (elapsed 0.3m, eta 1.3m)
[95/459] ebce500b-c530-47de-8cb1-963c552703ea  282u  398tr   3.7s (elapsed 0.3m, eta 1.3m)
[96/459] 3537d970-f515-4786-853f-23de525e110f  214u  341tr   2.5s (elapsed 0.4m, eta 1.3m)
[97/459] bda2faf5-9563-4940-a80f-ce444259e47b  192u  311tr   1.9s (elapsed 0.4m, eta 1.3m)
[98/459] 8d316998-28c3-4265-b029-e2ca82375b2f  226u  399tr   2.1s (elapsed 0.4m, eta 1.3m)
[99/459] fa8ad50d-76f2-45fa-a52f-08fe3d942345    8u  267tr   2.7s (elapsed 0.4m, eta 1.3m)
[100/459] 7f5df7eb-cf36-4589-a20a-14b535441142  343u  347tr   4.0s (elapsed 0.4m, eta 1.3m)
[101/459] 19b44992-d527-4a12-8bda-aa11379cb08c  187u  289tr   4.1s (elapsed 0.4m, eta 1.3m)
[102/459] 687017d4-c9fc-458f-a7d5-0979fe1a7470   84u  257tr   2.3s (elapsed 0.4m, eta 1.3m)
[103/459] 1f095590-6669-46c9-986b-ccaf0620c5e9   98u  578tr   5.6s (elapsed 0.4m, eta 1.3m)
[104/459] 23c75e0b-05d8-452e-8efb-a3687ab94079   88u  313tr   3.1s (elapsed 0.4m, eta 1.3m)
[105/459] ebc9392c-1ecb-4b4b-a545-4e3d70d23611  199u  327tr   4.8s (elapsed 0.4m, eta 1.3m)
[106/459] 32d27583-56aa-4510-bc03-669036edad20  148u  515tr   5.1s (elapsed 0.4m, eta 1.3m)
[107/459] 91bac580-76ed-41ab-ac07-89051f8d7f6e   71u  258tr   3.8s (elapsed 0.4m, eta 1.3m)
[108/459] dc962048-89bb-4e6a-96a9-b062a2be1426  158u  262tr   3.5s (elapsed 0.4m, eta 1.3m)
[109/459] b9c205c3-feac-485b-a89d-afc96d9cb280   89u  410tr   2.2s (elapsed 0.4m, eta 1.3m)
[110/459] 6f36868f-5cc1-450c-82fa-6b9829ce0cfe  135u  603tr   4.7s (elapsed 0.4m, eta 1.3m)
[111/459] 8a1cf4ef-06e3-4c72-9bc7-e1baa189841b  184u  241tr   3.4s (elapsed 0.4m, eta 1.2m)
[112/459] e2b845a1-e313-4a08-bc61-a5f662ed295e  280u  290tr   4.7s (elapsed 0.4m, eta 1.2m)
[113/459] 0841d188-8ef2-4f20-9828-76a94d5343a4  120u  286tr   3.7s (elapsed 0.4m, eta 1.2m)
[114/459] 16693458-0801-4d35-a3f1-9115c7e5acfd  258u  353tr   3.6s (elapsed 0.4m, eta 1.2m)
[115/459] 6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4   81u  324tr   2.8s (elapsed 0.4m, eta 1.2m)
[116/459] bb099402-fb31-4cfd-824e-1c97530a0875  204u  444tr   6.9s (elapsed 0.4m, eta 1.2m)
[117/459] e1931de1-cf7b-49af-af33-2ade15e8abe7  144u  529tr   3.8s (elapsed 0.4m, eta 1.2m)
[118/459] f99ac31f-171b-4208-a55d-5644c0ad51c3  298u  407tr   6.3s (elapsed 0.4m, eta 1.2m)
[119/459] 111c1762-7908-47e0-9f40-2f2ee55b6505  328u  365tr   7.5s (elapsed 0.4m, eta 1.2m)
[120/459] 15f742e1-1043-45c9-9504-f1e8a53c1744   84u  482tr   3.1s (elapsed 0.4m, eta 1.2m)
[121/459] a4000c2f-fa75-4b3e-8f06-a7cf599b87ad  203u  501tr   3.1s (elapsed 0.4m, eta 1.2m)
[122/459] a92c4b1d-46bd-457e-a1f4-414265f0e2d4  118u  578tr   3.2s (elapsed 0.4m, eta 1.2m)
[123/459] 8a3a0197-b40a-449f-be55-c00b23253bbf  335u  282tr   8.0s (elapsed 0.4m, eta 1.2m)
[124/459] f10efe41-0dc0-44d0-8f26-5ff68dca23e9  396u  389tr  13.2s (elapsed 0.4m, eta 1.2m)
[125/459] 16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1  103u  362tr   4.8s (elapsed 0.4m, eta 1.2m)
[126/459] SKIP 571d3ffe-54a5-473d-a265-5dc373eb7efc: RuntimeError: no whisker motion energy (left or right)
[127/459] 781b35fd-e1f0-4d14-b2bb-95b7263082bb  192u  323tr   3.4s (elapsed 0.5m, eta 1.2m)
[128/459] 0a018f12-ee06-4b11-97aa-bbbff5448e9f  122u  306tr   1.9s (elapsed 0.5m, eta 1.2m)
[129/459] 0ac8d013-b91e-4732-bc7b-a1164ff3e445   94u  674tr   3.3s (elapsed 0.5m, eta 1.2m)
[130/459] e5c75b62-6871-4135-b3d0-f6464c2d90c0   87u  438tr   3.6s (elapsed 0.5m, eta 1.2m)
[131/459] dd87e278-999d-478b-8cbd-b5bf92b84763  139u  555tr   5.3s (elapsed 0.5m, eta 1.1m)
[132/459] 9468fa93-21ae-4984-955c-e8402e280c83  147u  366tr   3.8s (elapsed 0.5m, eta 1.1m)
[133/459] 2bdf206a-820f-402f-920a-9e86cd5388a4  346u  422tr   8.2s (elapsed 0.5m, eta 1.1m)
[134/459] a6fe44a8-07ab-49b8-81f9-e18575aa85cc   92u  459tr   3.9s (elapsed 0.5m, eta 1.1m)
[135/459] aad23144-0e52-4eac-80c5-c4ee2decb198  258u  483tr   4.2s (elapsed 0.5m, eta 1.1m)
[136/459] cc45c568-c3b9-4f74-836e-c87762e898c8  196u  524tr   4.7s (elapsed 0.5m, eta 1.1m)
[137/459] 4503697e-af44-47d9-898d-4924be990240   22u  304tr   2.3s (elapsed 0.5m, eta 1.1m)
[138/459] 8c552ddc-813e-4035-81cc-3971b57efe65  142u  329tr   4.6s (elapsed 0.5m, eta 1.1m)
[139/459] 69c9a415-f7fa-4208-887b-1417c1479b48  179u  454tr   3.8s (elapsed 0.5m, eta 1.1m)
[140/459] dfbe628d-365b-461c-a07f-8b9911ba83aa  331u  511tr   4.1s (elapsed 0.5m, eta 1.1m)
[141/459] SKIP ac7d3064-7f09-48a3-88d2-e86a4eb86461: RuntimeError: no whisker motion energy (left or right)
[142/459] SKIP 872ce8ff-9fb3-485c-be00-bc5479e0095b: RuntimeError: no whisker motion energy (left or right)
[143/459] b22f694e-4a34-4142-ab9d-2556c3487086  271u  315tr   3.2s (elapsed 0.5m, eta 1.1m)
[144/459] SKIP 7082d8ff-255a-47d7-a839-bf093483ec30: RuntimeError: no whisker motion energy (left or right)
[145/459] ffef0311-8ffa-49e3-a857-b3adf6d86e12   81u  401tr   3.2s (elapsed 0.5m, eta 1.1m)
[146/459] c8d46ee6-eb68-4535-8756-7c9aa32f10e4  131u  326tr   2.6s (elapsed 0.5m, eta 1.1m)
[147/459] a2701b93-d8e1-47e9-a819-f1063046f3e7   22u  412tr   2.2s (elapsed 0.5m, eta 1.1m)
[148/459] aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf  151u  484tr   5.3s (elapsed 0.5m, eta 1.1m)
[149/459] db4df448-e449-4a6f-a0e7-288711e7a75a  108u  288tr   2.1s (elapsed 0.5m, eta 1.0m)
[150/459] 196a2adf-ff83-49b2-823a-33f990049c2e  104u  395tr   3.1s (elapsed 0.5m, eta 1.0m)
[151/459] 446f4724-1690-49f9-819a-2bd8e2ea88ce   78u  532tr   2.6s (elapsed 0.5m, eta 1.0m)
[152/459] 07dc4b76-5b93-4a03-82a0-b3d9cc73f412  199u  441tr   6.8s (elapsed 0.5m, eta 1.0m)
[153/459] 752456f3-9f47-4fbf-bd44-9d131c0f41aa   98u  297tr   3.3s (elapsed 0.5m, eta 1.0m)
[154/459] 0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9  167u  288tr   2.8s (elapsed 0.5m, eta 1.0m)
[155/459] ee13c19e-2790-4418-97ca-48f02e8013bb   58u  231tr   2.6s (elapsed 0.5m, eta 1.0m)
[156/459] 6b0b5d24-bcda-4053-a59c-beaa1fe03b8f  118u  410tr   3.4s (elapsed 0.5m, eta 1.0m)
[157/459] 78b4fff5-c5ec-44d9-b5f9-d59493063f00  116u  627tr   3.8s (elapsed 0.5m, eta 1.0m)
[158/459] 1b715600-0cbc-442c-bd00-5b0ac2865de1  120u  248tr   4.4s (elapsed 0.5m, eta 1.0m)
[159/459] 158d5d35-a2ab-4a76-87b0-51048c5d5283   76u  261tr   1.8s (elapsed 0.5m, eta 1.0m)
[160/459] 30e5937e-e86a-47e6-93ae-d2ae3877ff8e  104u  320tr   1.7s (elapsed 0.5m, eta 1.0m)
[161/459] 413a6825-2144-4a50-b3fc-cf38ddd6fd1a   39u  326tr   1.8s (elapsed 0.5m, eta 1.0m)
[162/459] 3c851386-e92d-4533-8d55-89a46f0e7384   66u  268tr   2.7s (elapsed 0.5m, eta 1.0m)
[163/459] e45481fa-be22-4365-972c-e7404ed8ab5a  159u  293tr   5.0s (elapsed 0.5m, eta 1.0m)
[164/459] 3f859b5c-e73a-4044-b49e-34bb81e96715  268u  326tr   4.6s (elapsed 0.5m, eta 1.0m)
[165/459] bb6a5aae-2431-401d-8f6a-9fdd6de655a9   89u  273tr   1.6s (elapsed 0.5m, eta 1.0m)
[166/459] 8928f98a-b411-497e-aa4b-aa752434686d  236u  470tr   4.4s (elapsed 0.5m, eta 0.9m)
[167/459] a19c7a3a-7261-42ce-95d5-1f4ca46007ed   45u  392tr   2.4s (elapsed 0.5m, eta 0.9m)
[168/459] 3dd347df-f14e-40d5-9ff2-9c49f84d2157   91u  237tr   3.8s (elapsed 0.5m, eta 0.9m)
[169/459] cf43dbb1-6992-40ec-a5f9-e8e838d0f643   33u  316tr   1.8s (elapsed 0.5m, eta 0.9m)
[170/459] 7bee9f09-a238-42cf-b499-f51f765c6ded   72u  348tr   2.0s (elapsed 0.5m, eta 0.9m)
[171/459] 36280321-555b-446d-9b7d-c2e17991e090   55u  427tr   2.0s (elapsed 0.5m, eta 0.9m)
[172/459] 4fa70097-8101-4f10-b585-db39429c5ed0  103u  335tr   2.5s (elapsed 0.5m, eta 0.9m)
[173/459] 741979ce-3f10-443a-8526-2275620c8473   58u  518tr   2.0s (elapsed 0.5m, eta 0.9m)
[174/459] 90d1e82c-c96f-496c-ad4e-ee3f02067f25   94u  387tr   2.5s (elapsed 0.5m, eta 0.9m)
[175/459] 931a70ae-90ee-448e-bedb-9d41f3eda647  101u  380tr   2.4s (elapsed 0.5m, eta 0.9m)
[176/459] e5c772cd-9c92-47ab-9525-d618b66a9b5d   97u  379tr   2.9s (elapsed 0.5m, eta 0.9m)
[177/459] 2f63c555-eb74-4d8d-ada5-5c3ecf3b46be   34u  255tr   2.3s (elapsed 0.6m, eta 0.9m)
[178/459] 6668c4a0-70a4-4012-a7da-709660971d7a  295u  304tr   3.3s (elapsed 0.6m, eta 0.9m)
[179/459] f819d499-8bf7-4da0-a431-15377a8319d5  131u  254tr   6.1s (elapsed 0.6m, eta 0.9m)
[180/459] 02fbb6da-3034-47d6-a61b-7d06c796a830   88u  446tr   3.3s (elapsed 0.6m, eta 0.9m)
[181/459] 9a629642-3a9c-42ed-b70a-532db0e86199  127u  267tr   2.9s (elapsed 0.6m, eta 0.9m)
[182/459] f25642c6-27a5-4a97-9ea0-06652db79fbd  135u  327tr   2.8s (elapsed 0.6m, eta 0.9m)
[183/459] 7622da34-51b6-4661-98ae-a57d40806008   42u  461tr   2.9s (elapsed 0.6m, eta 0.9m)
[184/459] e535fb62-e245-4a48-b119-88ce62a6fe67   86u  338tr   3.7s (elapsed 0.6m, eta 0.9m)
[185/459] ee8b36de-779f-4dea-901f-e0141c95722b  214u  419tr   3.3s (elapsed 0.6m, eta 0.9m)
[186/459] cde63527-7f5a-4cc3-8ac2-215d82e7da26   80u  407tr   2.7s (elapsed 0.6m, eta 0.9m)
[187/459] bd456d8f-d36e-434a-8051-ff3997253802  221u  507tr   3.5s (elapsed 0.6m, eta 0.9m)
[188/459] b39752db-abdb-47ab-ae78-e8608bbf50ed  147u  490tr   4.0s (elapsed 0.6m, eta 0.9m)
[189/459] 9a6e127b-bb07-4be2-92e2-53dd858c2762  100u  434tr   1.7s (elapsed 0.6m, eta 0.9m)
[190/459] b658bc7d-07cd-4203-8a25-7b16b549851b  133u  794tr   4.8s (elapsed 0.6m, eta 0.9m)
[191/459] 1b9e349e-93f2-41cc-a4b5-b212d7ddc8df  179u  926tr   9.0s (elapsed 0.6m, eta 0.9m)
[192/459] 64977c74-9c04-437a-9ea1-50386c4996db   62u  498tr   2.8s (elapsed 0.6m, eta 0.9m)
[193/459] 1d4a7bd6-296a-48b9-b20e-bd0ac80750a5   10u  232tr   1.9s (elapsed 0.6m, eta 0.9m)
[194/459] 90e524a2-aa63-47ce-b5b8-1b1941a1223a  129u  331tr   2.0s (elapsed 0.6m, eta 0.9m)
[195/459] 4720c98a-a305-4fba-affb-bbfa00a724a4  164u  532tr   6.2s (elapsed 0.6m, eta 0.8m)
[196/459] 09156021-9a1d-4e1d-ae59-48cbde3c5d42   81u  431tr   2.1s (elapsed 0.6m, eta 0.8m)
[197/459] aa20388b-9ea3-4506-92f1-3c2be84b85db  185u  305tr   5.4s (elapsed 0.6m, eta 0.8m)
[198/459] e8b4fda3-7fe4-4706-8ec2-91036cfee6bd  162u  386tr   5.3s (elapsed 0.6m, eta 0.8m)
[199/459] 54238fd6-d2d0-4408-b1a9-d19d24fd29ce  215u  427tr   5.4s (elapsed 0.6m, eta 0.8m)
[200/459] c3d9b6fb-7fa9-4413-a364-92a54df0fc5d  141u  374tr   6.1s (elapsed 0.6m, eta 0.8m)
[201/459] 10fac7a1-919d-4ca7-83c4-4675bd8d9416   89u  396tr   2.5s (elapsed 0.6m, eta 0.8m)
[202/459] 2e22c1fc-eec6-4856-85a0-7dba8668f646  239u  349tr   5.0s (elapsed 0.6m, eta 0.8m)
[203/459] f7335a49-4a98-46d2-a8ce-d041d2eac1d6  236u  185tr   5.9s (elapsed 0.6m, eta 0.8m)
[204/459] e012d3e3-fdbc-4661-9ffa-5fa284e4e706  150u  466tr   5.2s (elapsed 0.7m, eta 0.8m)
[205/459] d23a44ef-1402-4ed7-97f5-47e9a7a504d9  325u  286tr   6.5s (elapsed 0.7m, eta 0.8m)
[206/459] f27e6cd6-cdd3-4524-b8e3-8146046e2a7d   89u  284tr   2.0s (elapsed 0.7m, eta 0.8m)
[207/459] 58c4bf97-ec3b-45b4-9db4-d5d9515d5b00  130u  244tr   2.9s (elapsed 0.7m, eta 0.8m)
[208/459] 9fe512b8-92a8-4642-83b6-01158ab66c3c  130u  501tr   5.7s (elapsed 0.7m, eta 0.8m)
[209/459] 4a45c8ba-db6f-4f11-9403-56e06a33dfa4  398u  209tr   6.4s (elapsed 0.7m, eta 0.8m)
[210/459] 68775ca0-b056-48d5-b6ae-a4c2a76ae48f   97u  563tr   2.6s (elapsed 0.7m, eta 0.8m)
[211/459] 9eec761e-9762-4897-b308-a3a08c311e69  211u  493tr   6.2s (elapsed 0.7m, eta 0.8m)
[212/459] 948fd27b-507b-41b3-bdf8-f9f5f0af8e0b  140u  383tr   5.6s (elapsed 0.7m, eta 0.8m)
[213/459] 30af8629-7b96-45b7-8778-374720ddbc5e   63u  304tr   1.9s (elapsed 0.7m, eta 0.8m)
[214/459] 8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef   39u  288tr   3.1s (elapsed 0.7m, eta 0.8m)
[215/459] 26aa51ff-968c-42e4-85c8-8ff47d19254d  143u  338tr   6.0s (elapsed 0.7m, eta 0.8m)
[216/459] 5339812f-8b91-40ba-9d8f-a559563cc46b  280u  285tr   8.1s (elapsed 0.7m, eta 0.8m)
[217/459] 1b61b7f2-a599-4e40-abd6-3e758d2c9e25   29u  537tr   3.0s (elapsed 0.7m, eta 0.8m)
[218/459] 251ece37-7798-477c-8a06-2845d4aa270c  192u  356tr   8.0s (elapsed 0.7m, eta 0.7m)
