Converting 152 sessions with 12 workers (neural signal: dff)
[1/152] m11_day03 Env1_LocationB_to_A      cells   154 (iscell   155, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.93 kt=0 | load 0.2s dff 0.2s tot 0.5s | elapsed 4s
[35/152] m13_day09 Env2_LocationA           cells   557 (iscell   557, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.76 kt=0 | load 0.4s dff 0.8s tot 1.3s | elapsed 11s
[36/152] m13_day10 Env2_LocationA_to_B      cells   603 (iscell   603, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 0.5s dff 1.1s tot 1.7s | elapsed 11s
[37/152] m13_day11 Env2_LocationB           cells   657 (iscell   657, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.82 kt=0 | load 0.7s dff 1.4s tot 2.3s | elapsed 11s
[38/152] m13_day12 Env2_LocationB_to_C      cells   595 (iscell   595, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.76 kt=0 | load 0.6s dff 1.0s tot 1.7s | elapsed 11s
[39/152] m13_day13 Env2_LocationC           cells   479 (iscell   479, int   0)  trials  60/ 60 (lick-err 0, nan 0) rew 0.82 kt=0 | load 0.3s dff 0.5s tot 0.9s | elapsed 11s
[40/152] m13_day14 Env2_LocationC_to_A      cells   749 (iscell   749, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=1 | load 0.6s dff 1.7s tot 2.5s | elapsed 12s
[41/152] m14_day01 Env1_LocationA           cells   981 (iscell   981, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=1 | load 0.8s dff 2.6s tot 3.7s | elapsed 13s
[42/152] m14_day02 Env1_LocationA           cells   591 (iscell   592, int   1)  trials  73/ 80 (lick-err 7, nan 0) rew 0.86 kt=0 | load 0.5s dff 1.2s tot 1.8s | elapsed 13s
[43/152] m14_day03 Env1_LocationA_to_B      cells   753 (iscell   753, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.79 kt=0 | load 0.4s dff 1.5s tot 2.1s | elapsed 13s
[44/152] m14_day04 Env1_LocationB           cells   647 (iscell   648, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.5s dff 1.0s tot 1.6s | elapsed 13s
[45/152] m14_day05 Env1_LocationB_to_C      cells   603 (iscell   603, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=0 | load 0.4s dff 0.9s tot 1.4s | elapsed 13s
[46/152] m14_day06 Env1_LocationC           cells   615 (iscell   619, int   4)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.3s dff 0.9s tot 1.4s | elapsed 13s
[47/152] m14_day07 Env1_LocationC_to_A      cells   927 (iscell   927, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=1 | load 0.6s dff 1.9s tot 2.6s | elapsed 13s
[48/152] m14_day08 Env1_A_to_Env2_C         cells   990 (iscell   990, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=1 | load 0.6s dff 2.0s tot 2.8s | elapsed 14s
[49/152] m14_day09 Env2_LocationC           cells   499 (iscell   500, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.4s dff 0.7s tot 1.1s | elapsed 14s
[50/152] m14_day10 Env2_LocationC_to_B      cells   727 (iscell   727, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=0 | load 0.6s dff 0.9s tot 1.6s | elapsed 14s
[51/152] m14_day11 Env2_LocationB           cells   554 (iscell   554, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.5s dff 0.8s tot 1.4s | elapsed 14s
[52/152] m14_day12 Env2_LocationB_to_A      cells   609 (iscell   611, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=0 | load 0.5s dff 0.7s tot 1.3s | elapsed 14s
[53/152] m14_day13 Env2_LocationA           cells   470 (iscell   483, int  13)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.5s dff 0.5s tot 1.0s | elapsed 14s
[54/152] m14_day14 Env2_LocationA_to_C      cells   874 (iscell   876, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=1 | load 0.6s dff 1.7s tot 2.5s | elapsed 14s
[55/152] m15_day01 Env1_LocationA           cells  1133 (iscell  1133, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=1 | load 0.7s dff 3.1s tot 4.0s | elapsed 16s
[56/152] m15_day02 Env1_LocationA           cells  1042 (iscell  1045, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.6s dff 1.8s tot 2.5s | elapsed 16s
[57/152] m15_day03 Env1_LocationA_to_C      cells  1426 (iscell  1426, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 0.9s dff 3.5s tot 4.7s | elapsed 17s
[58/152] m15_day04 Env1_LocationC           cells  1167 (iscell  1167, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=0 | load 0.7s dff 2.6s tot 3.6s | elapsed 17s
[59/152] m15_day05 Env1_LocationC_to_B      cells  1483 (iscell  1483, int   0)  trials  74/ 80 (lick-err 6, nan 0) rew 0.86 kt=1 | load 1.0s dff 3.6s tot 4.9s | elapsed 18s
[60/152] m15_day06 Env1_LocationB           cells  1041 (iscell  1041, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.78 kt=0 | load 0.6s dff 1.5s tot 2.3s | elapsed 18s
[61/152] m15_day07 Env1_LocationB_to_A      cells  1308 (iscell  1308, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=1 | load 0.5s dff 2.6s tot 3.3s | elapsed 18s
[62/152] m15_day08 Env1_A_to_Env2_B         cells  1307 (iscell  1307, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 0.5s dff 2.6s tot 3.4s | elapsed 18s
[63/152] m15_day09 Env2_LocationB           cells  1070 (iscell  1070, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 0.6s dff 1.4s tot 2.1s | elapsed 18s
[64/152] m15_day10 Env2_LocationB_to_C      cells  1283 (iscell  1283, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=1 | load 0.8s dff 2.7s tot 3.8s | elapsed 18s
[65/152] m15_day11 Env2_LocationC           cells   754 (iscell   754, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.5s dff 1.1s tot 1.7s | elapsed 18s
[66/152] m15_day12 Env2_LocationC_to_A      cells  1127 (iscell  1127, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=1 | load 0.6s dff 2.0s tot 2.8s | elapsed 18s
[67/152] m15_day13 Env2_LocationA           cells   875 (iscell   875, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.89 kt=0 | load 0.4s dff 1.1s tot 1.6s | elapsed 18s
[68/152] m15_day14 Env2_LocationA_to_B      cells  1195 (iscell  1195, int   0)  trials  78/ 80 (lick-err 2, nan 0) rew 0.85 kt=1 | load 0.6s dff 2.8s tot 3.6s | elapsed 19s
[69/152] m17_day01 Env2_LocationB           cells   590 (iscell   591, int   1)  trials  79/ 80 (lick-err 1, nan 0) rew 0.82 kt=1 | load 0.6s dff 1.5s tot 2.2s | elapsed 19s
[70/152] m17_day02 Env2_LocationB           cells   440 (iscell   442, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 1.0s dff 0.7s tot 1.8s | elapsed 19s
[71/152] m17_day03 Env2_LocationB_to_C      cells   676 (iscell   676, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.86 kt=1 | load 0.9s dff 1.6s tot 2.7s | elapsed 19s
[72/152] m17_day04 Env2_LocationC           cells   504 (iscell   506, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.79 kt=0 | load 0.9s dff 0.9s tot 1.9s | elapsed 19s
[73/152] m17_day05 Env2_LocationC_to_A      cells   838 (iscell   838, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=1 | load 1.0s dff 2.5s tot 3.8s | elapsed 20s
[74/152] m17_day06 Env2_LocationA           cells   491 (iscell   491, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.81 kt=0 | load 0.9s dff 1.4s tot 2.5s | elapsed 20s
[75/152] m17_day07 Env2_LocationA_to_B      cells   690 (iscell   690, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=1 | load 1.0s dff 2.2s tot 3.4s | elapsed 20s
[76/152] m17_day08 Env2_B_to_Env1_A         cells   588 (iscell   593, int   5)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 0.7s dff 1.4s tot 2.3s | elapsed 20s
[77/152] m17_day09 Env1_LocationA           cells   539 (iscell   539, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.86 kt=0 | load 1.1s dff 1.4s tot 2.7s | elapsed 20s
[78/152] m17_day10 Env1_LocationA_to_C      cells   677 (iscell   683, int   6)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=1 | load 1.1s dff 1.8s tot 3.1s | elapsed 20s
[79/152] m17_day11 Env1_LocationC           cells   621 (iscell   629, int   8)  trials  80/ 80 (lick-err 0, nan 0) rew 0.93 kt=0 | load 0.6s dff 1.0s tot 1.7s | elapsed 20s
[80/152] m17_day12 Env1_LocationC_to_B      cells   742 (iscell   747, int   5)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=1 | load 0.9s dff 1.7s tot 2.8s | elapsed 21s
[81/152] m17_day13 Env1_LocationB           cells   465 (iscell   468, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=0 | load 0.8s dff 0.8s tot 1.7s | elapsed 21s
[82/152] m17_day14 Env1_LocationB_to_A      cells   767 (iscell   770, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.96 kt=1 | load 0.6s dff 1.6s tot 2.4s | elapsed 21s
[83/152] m18_day01 Env2_LocationA           cells  2281 (iscell  2281, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=1 | load 1.5s dff 5.7s tot 7.7s | elapsed 27s
[84/152] m18_day02 Env2_LocationA           cells  1636 (iscell  1639, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 1.4s dff 3.0s tot 4.8s | elapsed 27s
[85/152] m18_day03 Env2_LocationA_to_B      cells  2320 (iscell  2341, int  21)  trials  76/ 80 (lick-err 4, nan 0) rew 0.81 kt=1 | load 2.1s dff 7.1s tot 9.8s | elapsed 30s
[86/152] m18_day04 Env2_LocationB           cells  1631 (iscell  1634, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 1.1s dff 3.6s tot 5.0s | elapsed 30s
[87/152] m18_day05 Env2_LocationB_to_C      cells  2107 (iscell  2115, int   8)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 1.7s dff 6.7s tot 9.0s | elapsed 30s
[88/152] m18_day06 Env2_LocationC           cells  1368 (iscell  1378, int  10)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 1.1s dff 2.8s tot 4.2s | elapsed 30s
[89/152] m18_day07 Env2_LocationC_to_A      cells  1724 (iscell  1726, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=1 | load 1.4s dff 4.4s tot 6.2s | elapsed 30s
[90/152] m18_day08 Env2_A_to_Env1_C         cells  2313 (iscell  2314, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=1 | load 1.7s dff 6.1s tot 8.3s | elapsed 30s
[91/152] m18_day09 Env1_LocationC           cells  1685 (iscell  1696, int  11)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 1.2s dff 3.1s tot 4.7s | elapsed 30s
[92/152] m18_day10 Env1_LocationC_to_B      cells  1891 (iscell  1899, int   8)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=1 | load 1.4s dff 4.4s tot 6.2s | elapsed 30s
[93/152] m18_day11 Env1_LocationB           cells  1373 (iscell  1382, int   9)  trials  80/ 80 (lick-err 0, nan 0) rew 0.75 kt=0 | load 1.3s dff 2.6s tot 4.2s | elapsed 30s
[94/152] m18_day12 Env1_LocationB_to_A      cells  1917 (iscell  1927, int  10)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=1 | load 1.4s dff 4.6s tot 6.4s | elapsed 30s
[95/152] m18_day13 Env1_LocationA           cells  1428 (iscell  1433, int   5)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 1.0s dff 2.3s tot 3.5s | elapsed 30s
[96/152] m18_day14 Env1_LocationA_to_C      cells  1951 (iscell  1955, int   4)  trials  80/ 80 (lick-err 0, nan 0) rew 0.93 kt=1 | load 1.3s dff 4.8s tot 6.5s | elapsed 31s
[97/152] m19_day01 Env1_LocationC           cells   528 (iscell   528, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=1 | load 0.3s dff 1.5s tot 2.0s | elapsed 31s
[98/152] m19_day02 Env1_LocationC           cells   405 (iscell   407, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 0.4s dff 0.8s tot 1.3s | elapsed 31s
[99/152] m19_day03 Env1_LocationC_to_B      cells   463 (iscell   465, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=1 | load 0.4s dff 1.4s tot 2.0s | elapsed 31s
[100/152] m19_day04 Env1_LocationB           cells   549 (iscell   550, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.5s dff 1.6s tot 2.2s | elapsed 31s
[101/152] m19_day05 Env1_LocationB_to_A      cells   472 (iscell   472, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=1 | load 0.4s dff 1.6s tot 2.2s | elapsed 31s
[102/152] m19_day06 Env1_LocationA           cells   503 (iscell   504, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 0.4s dff 1.0s tot 1.6s | elapsed 31s
[103/152] m19_day07 Env1_LocationA_to_C      cells   596 (iscell   596, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.75 kt=1 | load 0.6s dff 1.9s tot 2.6s | elapsed 31s
[104/152] m19_day08 Env1_C_to_Env2_A         cells   565 (iscell   566, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=1 | load 0.6s dff 1.8s tot 2.5s | elapsed 31s
[105/152] m19_day09 Env2_LocationA           cells   427 (iscell   434, int   7)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=0 | load 0.4s dff 0.9s tot 1.4s | elapsed 31s
[106/152] m19_day10 Env2_LocationA_to_B      cells   467 (iscell   469, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=1 | load 0.5s dff 1.6s tot 2.3s | elapsed 31s
[107/152] m19_day11 Env2_LocationB           cells   369 (iscell   378, int   9)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=0 | load 0.4s dff 0.9s tot 1.3s | elapsed 31s
[108/152] m19_day12 Env2_LocationB_to_C      cells   556 (iscell   558, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=1 | load 0.7s dff 1.7s tot 2.5s | elapsed 31s
[109/152] m19_day13 Env2_LocationC           cells   422 (iscell   428, int   6)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.3s dff 0.8s tot 1.2s | elapsed 31s
[110/152] m19_day14 Env2_LocationC_to_A      cells   589 (iscell   589, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=1 | load 0.5s dff 1.5s tot 2.1s | elapsed 31s
[111/152] m3_day01 Env1_LocationC           cells  1013 (iscell  1052, int  39)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=0 | load 1.3s dff 3.3s tot 4.9s | elapsed 34s
[112/152] m3_day02 Env1_LocationC           cells   882 (iscell   917, int  35)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=0 | load 1.1s dff 2.2s tot 3.6s | elapsed 34s
[113/152] m3_day03 Env1_LocationC_to_A      cells  1053 (iscell  1059, int   6)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 1.1s dff 2.4s tot 3.7s | elapsed 34s
[114/152] m3_day04 Env1_LocationA           cells   811 (iscell   814, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.82 kt=0 | load 0.9s dff 2.0s tot 3.1s | elapsed 34s
[115/152] m3_day05 Env1_LocationA_to_B      cells  1019 (iscell  1022, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 1.6s dff 3.0s tot 4.9s | elapsed 35s
[116/152] m3_day06 Env1_LocationB           cells   811 (iscell   818, int   7)  trials  80/ 80 (lick-err 0, nan 0) rew 0.82 kt=0 | load 1.0s dff 1.7s tot 2.9s | elapsed 35s
[117/152] m3_day07 Env1_LocationB_to_C      cells   782 (iscell   787, int   5)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=0 | load 1.0s dff 1.6s tot 2.7s | elapsed 35s
[118/152] m3_day08 Env1_C_to_Env2_B         cells   778 (iscell   783, int   5)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 1.0s dff 2.0s tot 3.1s | elapsed 35s
[119/152] m3_day09 Env2_LocationB           cells   764 (iscell   768, int   4)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.9s dff 1.7s tot 2.8s | elapsed 35s
[120/152] m3_day10 Env2_LocationB_to_A      cells   928 (iscell   930, int   2)  trials  89/ 90 (lick-err 1, nan 0) rew 0.81 kt=0 | load 0.9s dff 2.0s tot 3.1s | elapsed 35s
[121/152] m3_day11 Env2_LocationA           cells   997 (iscell  1000, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.89 kt=0 | load 0.6s dff 2.2s tot 3.1s | elapsed 35s
[122/152] m3_day12 Env2_LocationA_to_C      cells  1030 (iscell  1030, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.9s dff 2.1s tot 3.3s | elapsed 35s
[123/152] m3_day13 Env2_LocationC           cells   980 (iscell   980, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 0.7s dff 1.5s tot 2.3s | elapsed 35s
[124/152] m3_day14 Env2_LocationC_to_B      cells  1050 (iscell  1050, int   0)  trials 100/100 (lick-err 0, nan 0) rew 0.88 kt=0 | load 0.8s dff 1.9s tot 3.0s | elapsed 36s
[125/152] m4_day01 Env1_LocationB           cells   980 (iscell   983, int   3)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 1.2s dff 3.3s tot 4.8s | elapsed 38s
[126/152] m4_day02 Env1_LocationB           cells   909 (iscell   926, int  17)  trials  79/ 80 (lick-err 1, nan 0) rew 0.89 kt=0 | load 1.1s dff 2.7s tot 4.0s | elapsed 38s
[127/152] m4_day03 Env1_LocationB_to_A      cells  1023 (iscell  1031, int   8)  trials  75/ 75 (lick-err 0, nan 0) rew 0.88 kt=0 | load 1.3s dff 3.4s tot 4.9s | elapsed 39s
[128/152] m4_day04 Env1_LocationA           cells  1016 (iscell  1016, int   0)  trials  40/ 41 (lick-err 1, nan 0) rew 0.85 kt=0 | load 1.4s dff 2.7s tot 4.3s | elapsed 39s
[129/152] m4_day05 Env1_LocationA_to_C      cells  1066 (iscell  1066, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.75 kt=0 | load 1.2s dff 3.6s tot 5.2s | elapsed 40s
[130/152] m4_day06 Env1_LocationC           cells  1067 (iscell  1068, int   1)  trials  79/ 80 (lick-err 1, nan 0) rew 0.86 kt=0 | load 1.3s dff 3.1s tot 4.7s | elapsed 40s
[131/152] m4_day07 Env1_LocationC_to_B      cells  1003 (iscell  1011, int   8)  trials  71/ 80 (lick-err 9, nan 0) rew 0.86 kt=0 | load 1.0s dff 2.9s tot 4.2s | elapsed 40s
[132/152] m4_day08 Env1_B_to_Env2_C         cells  1285 (iscell  1287, int   2)  trials  80/ 80 (lick-err 0, nan 0) rew 0.86 kt=0 | load 1.3s dff 4.1s tot 5.8s | elapsed 41s
[133/152] m4_day09 Env2_LocationC           cells  1014 (iscell  1019, int   5)  trials  50/ 50 (lick-err 0, nan 0) rew 0.96 kt=0 | load 1.2s dff 2.3s tot 3.8s | elapsed 41s
