[setup] excluded 3 active sessions missing eye-tracking pupil data
[pass1] 062/199 session 864370674: 378 valid trials in 0.77s
[pass1] 063/199 session 871155338: 267 valid trials in 0.67s
[pass1] 064/199 session 872433717: 189 valid trials in 0.54s
[pass1] 065/199 session 873154932: 334 valid trials in 0.54s
[pass1] 066/199 session 873156540: 200 valid trials in 0.58s
[pass1] 067/199 session 873968820: 279 valid trials in 0.52s
[pass1] 068/199 session 873972085: 215 valid trials in 0.60s
[pass1] 069/199 session 877018118: 324 valid trials in 0.55s
[pass1] 070/199 session 877691075: 372 valid trials in 0.57s
[pass1] 071/199 session 878358326: 343 valid trials in 0.51s
[pass1] 072/199 session 878363088: 200 valid trials in 0.55s
[pass1] 073/199 session 879331157: 252 valid trials in 0.62s
[pass1] 074/199 session 879332693: 304 valid trials in 0.72s
[pass1] 075/199 session 880375092: 291 valid trials in 0.70s
[pass1] 076/199 session 880961028: 230 valid trials in 0.62s
[pass1] 077/199 session 881881171: 307 valid trials in 0.76s
[pass1] 078/199 session 882935355: 291 valid trials in 0.76s
[pass1] 079/199 session 884221469: 347 valid trials in 0.54s
[pass1] 080/199 session 885067844: 206 valid trials in 0.46s
[pass1] 081/199 session 885933191: 288 valid trials in 0.54s
[pass1] 082/199 session 888666698: 149 valid trials in 0.43s
[pass1] 083/199 session 889771676: 250 valid trials in 0.51s
[pass1] 084/199 session 889772922: 339 valid trials in 0.82s
[pass1] 085/199 session 889775742: 186 valid trials in 0.43s
[pass1] 086/199 session 889777243: 323 valid trials in 0.57s
[pass1] 087/199 session 891994418: 220 valid trials in 0.45s
[pass1] 088/199 session 891996193: 380 valid trials in 0.87s
[pass1] 089/199 session 892799212: 232 valid trials in 0.45s
[pass1] 090/199 session 892805315: 356 valid trials in 0.85s
[pass1] 091/199 session 893830436: 362 valid trials in 0.57s
[pass1] 092/199 session 894726001: 330 valid trials in 0.82s
[pass1] 093/199 session 894727297: 205 valid trials in 0.44s
[pass1] 094/199 session 895422187: 368 valid trials in 0.57s
[pass1] 095/199 session 896160394: 307 valid trials in 0.57s
[pass1] 096/199 session 935440133: 300 valid trials in 0.50s
[pass1] 097/199 session 936494970: 263 valid trials in 0.48s
[pass1] 098/199 session 938003662: 79 valid trials in 0.35s
[pass1] 099/199 session 939327156: 348 valid trials in 0.82s
[pass1] 100/199 session 940352367: 257 valid trials in 0.48s
[pass1] 101/199 session 940352989: 117 valid trials in 0.39s
[pass1] 102/199 session 940852112: 173 valid trials in 0.44s
[pass1] 103/199 session 940852658: 334 valid trials in 0.78s
[pass1] 104/199 session 942043482: 379 valid trials in 0.86s
[pass1] 105/199 session 944366183: 363 valid trials in 0.82s
[pass1] 106/199 session 945473009: 81 valid trials in 0.32s
[pass1] 107/199 session 946476556: 373 valid trials in 0.85s
[pass1] 108/199 session 947716576: 105 valid trials in 0.32s
[pass1] 109/199 session 947724724: 338 valid trials in 0.84s
[pass1] 110/199 session 948507789: 117 valid trials in 0.34s
[pass1] 111/199 session 948514870: 378 valid trials in 0.89s
[pass1] 112/199 session 949637002: 286 valid trials in 0.82s
[pass1] 113/199 session 950833329: 248 valid trials in 0.49s
[pass1] 114/199 session 951932454: 370 valid trials in 0.86s
[pass1] 115/199 session 951980471: 209 valid trials in 0.44s
[pass1] 116/199 session 951980473: 209 valid trials in 0.43s
[pass1] 117/199 session 951980475: 209 valid trials in 0.45s
[pass1] 118/199 session 951980479: 209 valid trials in 0.47s
[pass1] 119/199 session 951980481: 209 valid trials in 0.43s
[pass1] 120/199 session 951980484: 209 valid trials in 0.44s
[pass1] 121/199 session 951980486: 209 valid trials in 0.45s
[pass1] 122/199 session 953443028: 279 valid trials in 0.53s
[pass1] 123/199 session 953452368: 257 valid trials in 0.77s
[pass1] 124/199 session 955278565: 92 valid trials in 0.40s
[pass1] 125/199 session 956820482: 138 valid trials in 0.51s
[pass1] 126/199 session 956941841: 265 valid trials in 0.48s
[pass1] 127/199 session 956941844: 265 valid trials in 0.50s
[pass1] 128/199 session 956941846: 265 valid trials in 0.52s
[pass1] 129/199 session 957655294: 216 valid trials in 0.61s
[pass1] 130/199 session 957759562: 287 valid trials in 0.48s
[pass1] 131/199 session 957759564: 287 valid trials in 0.47s
[pass1] 132/199 session 957759566: 287 valid trials in 0.48s
[pass1] 133/199 session 957759570: 287 valid trials in 0.48s
[pass1] 134/199 session 957759572: 287 valid trials in 0.48s
[pass1] 135/199 session 957759574: 287 valid trials in 0.47s
[pass1] 136/199 session 957759576: 287 valid trials in 0.48s
[pass1] 137/199 session 958527464: 309 valid trials in 0.48s
[pass1] 138/199 session 958527471: 309 valid trials in 0.48s
[pass1] 139/199 session 958527474: 309 valid trials in 0.50s
[pass1] 140/199 session 958527479: 309 valid trials in 0.49s
[pass1] 141/199 session 958527481: 309 valid trials in 0.51s
[pass1] 142/199 session 958527485: 309 valid trials in 0.50s
[pass1] 143/199 session 958527488: 309 valid trials in 0.51s
[pass1] 144/199 session 958741219: 239 valid trials in 0.47s
[pass1] 145/199 session 958741222: 239 valid trials in 0.46s
[pass1] 146/199 session 958741230: 239 valid trials in 0.46s
[pass1] 147/199 session 958741232: 239 valid trials in 0.47s
[pass1] 148/199 session 958741234: 239 valid trials in 0.48s
[pass1] 149/199 session 960410023: 196 valid trials in 0.45s
[pass1] 150/199 session 960410026: 196 valid trials in 0.43s
[pass1] 151/199 session 960410028: 196 valid trials in 0.42s
[pass1] 152/199 session 960410038: 196 valid trials in 0.47s
[pass1] 153/199 session 960410042: 196 valid trials in 0.47s
[pass1] 154/199 session 960957793: 394 valid trials in 0.58s
[pass1] 155/199 session 962471831: 217 valid trials in 0.43s
[pass1] 156/199 session 965228792: 181 valid trials in 0.42s
[pass1] 157/199 session 967005387: 107 valid trials in 0.37s
[pass1] 158/199 session 972701564: 269 valid trials in 0.56s
[pass1] 159/199 session 974384470: 189 valid trials in 0.43s
[pass1] 160/199 session 974945686: 224 valid trials in 0.48s
[pass1] 161/199 session 977132456: 258 valid trials in 0.51s
[pass1] 162/199 session 1007107386: 365 valid trials in 0.59s
[pass1] 163/199 session 1007372463: 291 valid trials in 0.49s
[pass1] 164/199 session 1008318518: 305 valid trials in 0.49s
[pass1] 165/199 session 1009114207: 215 valid trials in 0.48s
[pass1] 166/199 session 1042387068: 229 valid trials in 0.48s
[pass1] 167/199 session 1042639868: 205 valid trials in 0.45s
[pass1] 168/199 session 1043831389: 147 valid trials in 0.39s
[pass1] 169/199 session 1044095203: 338 valid trials in 0.48s
[pass1] 170/199 session 1044678595: 162 valid trials in 0.43s
[pass1] 171/199 session 1050406399: 336 valid trials in 0.52s
[pass1] 172/199 session 1051009897: 230 valid trials in 0.46s
[pass1] 173/199 session 1051217227: 334 valid trials in 0.52s
[pass1] 174/199 session 1051423446: 317 valid trials in 0.51s
[pass1] 175/199 session 1052391266: 349 valid trials in 0.55s
[pass1] 176/199 session 1052609309: 314 valid trials in 0.51s
[pass1] 177/199 session 1053605418: 354 valid trials in 0.52s
[pass1] 178/199 session 1053997501: 319 valid trials in 0.48s
[pass1] 179/199 session 1054813047: 319 valid trials in 0.52s
[pass1] 180/199 session 1065523118: 318 valid trials in 0.54s
[pass1] 181/199 session 1065523124: 95 valid trials in 0.35s
[pass1] 182/199 session 1065966776: 180 valid trials in 0.43s
[pass1] 183/199 session 1067133170: 286 valid trials in 0.53s
[pass1] 184/199 session 1067133175: 288 valid trials in 0.50s
[pass1] 185/199 session 1067647876: 218 valid trials in 0.48s
[pass1] 186/199 session 1067648397: 249 valid trials in 0.48s
[pass1] 187/199 session 1069286452: 259 valid trials in 0.50s
[pass1] 188/199 session 1071070929: 211 valid trials in 0.44s
[pass1] 189/199 session 1071440875: 271 valid trials in 0.50s
[pass1] 190/199 session 1081536273: 262 valid trials in 0.53s
[pass1] 191/199 session 1082414357: 227 valid trials in 0.48s
[pass1] 192/199 session 1082818566: 266 valid trials in 0.51s
[pass1] 193/199 session 1083070132: 225 valid trials in 0.48s
[pass1] 194/199 session 1083296280: 269 valid trials in 0.50s
[pass1] 195/199 session 1084305603: 318 valid trials in 0.54s
[pass1] 196/199 session 1084795752: 251 valid trials in 0.47s
[pass1] 197/199 session 1085000574: 255 valid trials in 0.49s
[pass1] 198/199 session 1085816655: 131 valid trials in 0.38s
[pass1] 199/199 session 1086048031: 131 valid trials in 0.36s
[pass1] collected global stats from 199 sessions in 106.36s
[pass1] running edges: [-4.11145268e-03  3.03314120e-01  1.57756763e+01  3.34441864e+01]
[pass1] pupil edges: [36.91321182 41.90304718 46.43857193 52.71950455]
[pass1] image categories: 17
[setup] native ophys dt range: 0.03230674347497374 0.09323473588493014
[setup] valid trial count range: 39 409
[pass2] 001/199 session 775614751: 39 trials, 89 neurons, 9316 bins in 0.67s
[pass2] 002/199 session 788490510: 190 trials, 142 neurons, 47380 bins in 1.13s
[pass2] 003/199 session 792813858: 151 trials, 208 neurons, 37129 bins in 1.29s
[pass2] 004/199 session 792815735: 188 trials, 27 neurons, 47611 bins in 0.64s
[pass2] 005/199 session 794381992: 155 trials, 199 neurons, 37048 bins in 1.23s
[pass2] 006/199 session 795073741: 112 trials, 45 neurons, 27777 bins in 0.63s
[pass2] 007/199 session 795076128: 166 trials, 221 neurons, 40557 bins in 1.38s
[pass2] 008/199 session 796105304: 172 trials, 190 neurons, 41626 bins in 1.23s
[pass2] 009/199 session 796308505: 225 trials, 49 neurons, 55951 bins in 0.85s
[pass2] 010/199 session 803736273: 242 trials, 39 neurons, 60718 bins in 0.81s
[pass2] 011/199 session 805784331: 180 trials, 22 neurons, 44824 bins in 0.64s
[pass2] 012/199 session 806455766: 234 trials, 251 neurons, 59428 bins in 1.56s
[pass2] 013/199 session 807752719: 176 trials, 194 neurons, 44546 bins in 1.30s
[pass2] 014/199 session 807753334: 230 trials, 286 neurons, 57856 bins in 1.66s
[pass2] 015/199 session 808619543: 251 trials, 196 neurons, 65787 bins in 1.31s
[pass2] 016/199 session 808621034: 267 trials, 302 neurons, 67802 bins in 1.78s
[pass2] 017/199 session 808621958: 129 trials, 46 neurons, 31960 bins in 0.69s
[pass2] 018/199 session 809501118: 195 trials, 200 neurons, 48348 bins in 1.30s
[pass2] 019/199 session 813083478: 293 trials, 212 neurons, 73914 bins in 1.51s
[pass2] 020/199 session 817267785: 315 trials, 164 neurons, 80914 bins in 1.33s
[pass2] 021/199 session 820307518: 285 trials, 122 neurons, 73976 bins in 1.12s
[pass2] 022/199 session 822024770: 260 trials, 436 neurons, 66487 bins in 2.50s
[pass2] 023/199 session 822647135: 307 trials, 167 neurons, 77689 bins in 1.34s
[pass2] 024/199 session 823392290: 293 trials, 410 neurons, 75377 bins in 2.51s
[pass2] 025/199 session 825120601: 312 trials, 504 neurons, 80006 bins in 2.75s
[pass2] 026/199 session 825130141: 228 trials, 110 neurons, 58158 bins in 0.98s
[pass2] 027/199 session 826585773: 338 trials, 483 neurons, 88398 bins in 2.80s
[pass2] 028/199 session 826587940: 396 trials, 29 neurons, 102623 bins in 0.91s
[pass2] 029/199 session 830093338: 397 trials, 22 neurons, 103539 bins in 0.88s
[pass2] 030/199 session 830700781: 293 trials, 157 neurons, 76636 bins in 1.24s
[pass2] 031/199 session 832115263: 409 trials, 20 neurons, 105441 bins in 0.83s
[pass2] 032/199 session 833629926: 271 trials, 161 neurons, 68750 bins in 1.25s
[pass2] 033/199 session 834279496: 302 trials, 162 neurons, 76920 bins in 1.23s
[pass2] 034/199 session 835006071: 270 trials, 146 neurons, 68994 bins in 1.19s
[pass2] 035/199 session 836258936: 293 trials, 143 neurons, 74806 bins in 1.19s
[pass2] 036/199 session 836258957: 381 trials, 13 neurons, 99883 bins in 0.81s
[pass2] 037/199 session 842973730: 146 trials, 136 neurons, 35732 bins in 0.88s
[pass2] 038/199 session 842975542: 213 trials, 429 neurons, 54587 bins in 1.94s
[pass2] 039/199 session 844395446: 145 trials, 426 neurons, 35431 bins in 1.84s
[pass2] 040/199 session 845037476: 185 trials, 556 neurons, 47272 bins in 2.58s
[pass2] 041/199 session 846487947: 263 trials, 537 neurons, 67947 bins in 2.65s
[pass2] 042/199 session 847125577: 268 trials, 151 neurons, 69465 bins in 1.40s
[pass2] 043/199 session 848692970: 274 trials, 209 neurons, 71563 bins in 1.49s
[pass2] 044/199 session 848694639: 254 trials, 48 neurons, 64251 bins in 0.98s
[pass2] 045/199 session 848697604: 286 trials, 188 neurons, 73657 bins in 1.53s
[pass2] 046/199 session 848697625: 263 trials, 123 neurons, 67599 bins in 1.25s
[pass2] 047/199 session 850479305: 228 trials, 120 neurons, 59045 bins in 1.15s
[pass2] 048/199 session 850489605: 279 trials, 242 neurons, 72302 bins in 1.55s
[pass2] 049/199 session 851056106: 279 trials, 233 neurons, 72556 bins in 1.57s
[pass2] 050/199 session 851060467: 265 trials, 125 neurons, 67552 bins in 1.25s
[pass2] 051/199 session 852691524: 231 trials, 127 neurons, 60074 bins in 1.26s
[pass2] 052/199 session 853328115: 290 trials, 64 neurons, 74683 bins in 0.91s
[pass2] 053/199 session 853962951: 327 trials, 49 neurons, 85757 bins in 0.92s
[pass2] 054/199 session 853962969: 251 trials, 209 neurons, 63631 bins in 1.38s
[pass2] 055/199 session 855577488: 329 trials, 62 neurons, 85364 bins in 0.98s
[pass2] 056/199 session 856096766: 246 trials, 151 neurons, 63182 bins in 1.39s
[pass2] 057/199 session 856938751: 184 trials, 184 neurons, 45956 bins in 1.32s
[pass2] 058/199 session 857658471: 280 trials, 63 neurons, 73260 bins in 0.97s
[pass2] 059/199 session 857660011: 270 trials, 171 neurons, 69502 bins in 1.56s
[pass2] 060/199 session 859147033: 189 trials, 108 neurons, 48052 bins in 0.91s
[pass2] 061/199 session 862848066: 387 trials, 156 neurons, 99735 bins in 1.77s
[pass2] 062/199 session 864370674: 378 trials, 175 neurons, 97252 bins in 1.84s
[pass2] 063/199 session 871155338: 267 trials, 65 neurons, 68289 bins in 1.27s
[pass2] 064/199 session 872433717: 189 trials, 98 neurons, 46131 bins in 1.08s
[pass2] 065/199 session 873154932: 334 trials, 557 neurons, 85928 bins in 3.01s
[pass2] 066/199 session 873156540: 200 trials, 77 neurons, 49857 bins in 1.04s
[pass2] 067/199 session 873968820: 279 trials, 604 neurons, 71776 bins in 3.06s
[pass2] 068/199 session 873972085: 215 trials, 85 neurons, 55284 bins in 1.09s
[pass2] 069/199 session 877018118: 324 trials, 666 neurons, 84227 bins in 3.42s
[pass2] 070/199 session 877691075: 372 trials, 469 neurons, 96227 bins in 2.58s
[pass2] 071/199 session 878358326: 343 trials, 556 neurons, 88843 bins in 2.59s
[pass2] 072/199 session 878363088: 200 trials, 52 neurons, 50321 bins in 0.74s
[pass2] 073/199 session 879331157: 252 trials, 83 neurons, 65912 bins in 0.83s
[pass2] 074/199 session 879332693: 304 trials, 415 neurons, 77657 bins in 1.91s
[pass2] 075/199 session 880375092: 291 trials, 511 neurons, 75664 bins in 2.14s
[pass2] 076/199 session 880961028: 230 trials, 98 neurons, 57783 bins in 0.89s
[pass2] 077/199 session 881881171: 307 trials, 457 neurons, 79686 bins in 2.11s
[pass2] 078/199 session 882935355: 291 trials, 463 neurons, 75328 bins in 2.01s
[pass2] 079/199 session 884221469: 347 trials, 516 neurons, 89787 bins in 2.10s
[pass2] 080/199 session 885067844: 206 trials, 81 neurons, 52900 bins in 0.69s
[pass2] 081/199 session 885933191: 288 trials, 490 neurons, 73982 bins in 2.36s
[pass2] 082/199 session 888666698: 149 trials, 85 neurons, 36519 bins in 0.81s
[pass2] 083/199 session 889771676: 250 trials, 242 neurons, 63916 bins in 1.57s
[pass2] 084/199 session 889772922: 339 trials, 164 neurons, 87016 bins in 1.69s
[pass2] 085/199 session 889775742: 186 trials, 83 neurons, 46784 bins in 0.87s
[pass2] 086/199 session 889777243: 323 trials, 482 neurons, 84021 bins in 2.68s
[pass2] 087/199 session 891994418: 220 trials, 230 neurons, 54850 bins in 1.46s
[pass2] 088/199 session 891996193: 380 trials, 115 neurons, 99373 bins in 1.59s
[pass2] 089/199 session 892799212: 232 trials, 254 neurons, 58676 bins in 1.59s
[pass2] 090/199 session 892805315: 356 trials, 134 neurons, 92443 bins in 1.60s
[pass2] 091/199 session 893830436: 362 trials, 560 neurons, 93198 bins in 2.98s
[pass2] 092/199 session 894726001: 330 trials, 158 neurons, 85952 bins in 1.63s
[pass2] 093/199 session 894727297: 205 trials, 245 neurons, 52975 bins in 1.51s
[pass2] 094/199 session 895422187: 368 trials, 504 neurons, 94772 bins in 2.68s
[pass2] 095/199 session 896160394: 307 trials, 558 neurons, 77807 bins in 2.75s
[pass2] 096/199 session 935440133: 300 trials, 197 neurons, 76786 bins in 1.54s
[pass2] 097/199 session 936494970: 263 trials, 194 neurons, 66082 bins in 1.41s
[pass2] 098/199 session 938003662: 79 trials, 18 neurons, 18098 bins in 0.57s
[pass2] 099/199 session 939327156: 348 trials, 95 neurons, 90196 bins in 1.40s
[pass2] 100/199 session 940352367: 257 trials, 180 neurons, 66560 bins in 1.29s
[pass2] 101/199 session 940352989: 117 trials, 23 neurons, 28258 bins in 0.59s
[pass2] 102/199 session 940852112: 173 trials, 120 neurons, 45259 bins in 0.96s
[pass2] 103/199 session 940852658: 334 trials, 69 neurons, 85974 bins in 1.25s
[pass2] 104/199 session 942043482: 379 trials, 88 neurons, 98137 bins in 1.39s
[pass2] 105/199 session 944366183: 363 trials, 39 neurons, 95172 bins in 1.18s
[pass2] 106/199 session 945473009: 81 trials, 9 neurons, 18696 bins in 0.47s
[pass2] 107/199 session 946476556: 373 trials, 381 neurons, 96632 bins in 2.54s
[pass2] 108/199 session 947716576: 105 trials, 12 neurons, 26309 bins in 0.51s
[pass2] 109/199 session 947724724: 338 trials, 354 neurons, 87983 bins in 2.38s
[pass2] 110/199 session 948507789: 117 trials, 14 neurons, 28543 bins in 0.54s
[pass2] 111/199 session 948514870: 378 trials, 451 neurons, 97660 bins in 2.85s
[pass2] 112/199 session 949637002: 286 trials, 392 neurons, 73545 bins in 2.36s
[pass2] 113/199 session 950833329: 248 trials, 17 neurons, 62037 bins in 0.74s
[pass2] 114/199 session 951932454: 370 trials, 363 neurons, 98339 bins in 2.42s
[pass2] 115/199 session 951980471: 209 trials, 12 neurons, 54017 bins in 0.56s
[pass2] 116/199 session 951980473: 209 trials, 12 neurons, 54017 bins in 0.60s
[pass2] 117/199 session 951980475: 209 trials, 12 neurons, 54017 bins in 0.60s
[pass2] 118/199 session 951980479: 209 trials, 22 neurons, 54017 bins in 0.63s
[pass2] 119/199 session 951980481: 209 trials, 14 neurons, 54017 bins in 0.59s
[pass2] 120/199 session 951980484: 209 trials, 6 neurons, 54017 bins in 0.57s
[pass2] 121/199 session 951980486: 209 trials, 10 neurons, 54017 bins in 0.59s
[pass2] 122/199 session 953443028: 279 trials, 14 neurons, 70834 bins in 0.73s
[pass2] 123/199 session 953452368: 257 trials, 360 neurons, 65899 bins in 2.15s
[pass2] 124/199 session 955278565: 92 trials, 340 neurons, 22009 bins in 1.67s
[pass2] 125/199 session 956820482: 138 trials, 549 neurons, 34852 bins in 2.49s
[pass2] 126/199 session 956941841: 265 trials, 8 neurons, 66623 bins in 0.64s
[pass2] 127/199 session 956941844: 265 trials, 17 neurons, 66623 bins in 0.68s
[pass2] 128/199 session 956941846: 265 trials, 9 neurons, 66623 bins in 0.64s
[pass2] 129/199 session 957655294: 216 trials, 422 neurons, 56197 bins in 2.29s
[pass2] 130/199 session 957759562: 287 trials, 8 neurons, 73248 bins in 0.66s
[pass2] 131/199 session 957759564: 287 trials, 12 neurons, 73248 bins in 0.67s
[pass2] 132/199 session 957759566: 287 trials, 12 neurons, 73248 bins in 0.66s
[pass2] 133/199 session 957759570: 287 trials, 23 neurons, 73248 bins in 0.72s
[pass2] 134/199 session 957759572: 287 trials, 8 neurons, 73248 bins in 0.68s
[pass2] 135/199 session 957759574: 287 trials, 9 neurons, 73248 bins in 0.67s
[pass2] 136/199 session 957759576: 287 trials, 6 neurons, 73248 bins in 0.68s
[pass2] 137/199 session 958527464: 309 trials, 11 neurons, 79027 bins in 0.68s
[pass2] 138/199 session 958527471: 309 trials, 10 neurons, 79027 bins in 0.71s
[pass2] 139/199 session 958527474: 309 trials, 13 neurons, 79027 bins in 0.73s
[pass2] 140/199 session 958527479: 309 trials, 15 neurons, 79027 bins in 0.76s
[pass2] 141/199 session 958527481: 309 trials, 6 neurons, 79027 bins in 0.72s
[pass2] 142/199 session 958527485: 309 trials, 7 neurons, 79027 bins in 0.69s
[pass2] 143/199 session 958527488: 309 trials, 5 neurons, 79027 bins in 0.70s
[pass2] 144/199 session 958741219: 239 trials, 8 neurons, 59885 bins in 0.61s
[pass2] 145/199 session 958741222: 239 trials, 16 neurons, 59885 bins in 0.63s
[pass2] 146/199 session 958741230: 239 trials, 7 neurons, 59885 bins in 0.62s
[pass2] 147/199 session 958741232: 239 trials, 8 neurons, 59885 bins in 0.60s
[pass2] 148/199 session 958741234: 239 trials, 4 neurons, 59885 bins in 0.62s
[pass2] 149/199 session 960410023: 196 trials, 8 neurons, 50286 bins in 0.58s
[pass2] 150/199 session 960410026: 196 trials, 7 neurons, 50286 bins in 0.57s
[pass2] 151/199 session 960410028: 196 trials, 10 neurons, 50286 bins in 0.58s
[pass2] 152/199 session 960410038: 196 trials, 8 neurons, 50286 bins in 0.59s
[pass2] 153/199 session 960410042: 196 trials, 4 neurons, 50286 bins in 0.59s
[pass2] 154/199 session 960957793: 394 trials, 13 neurons, 103771 bins in 0.87s
[pass2] 155/199 session 962471831: 217 trials, 11 neurons, 54960 bins in 0.70s
[pass2] 156/199 session 965228792: 181 trials, 15 neurons, 45815 bins in 0.66s
[pass2] 157/199 session 967005387: 107 trials, 18 neurons, 25313 bins in 0.56s
[pass2] 158/199 session 972701564: 269 trials, 511 neurons, 69368 bins in 2.70s
[pass2] 159/199 session 974384470: 189 trials, 438 neurons, 46864 bins in 2.16s
[pass2] 160/199 session 974945686: 224 trials, 517 neurons, 58242 bins in 2.52s
[pass2] 161/199 session 977132456: 258 trials, 555 neurons, 66387 bins in 2.68s
[pass2] 162/199 session 1007107386: 365 trials, 13 neurons, 93551 bins in 0.77s
[pass2] 163/199 session 1007372463: 291 trials, 9 neurons, 75248 bins in 0.66s
[pass2] 164/199 session 1008318518: 305 trials, 9 neurons, 78181 bins in 0.71s
[pass2] 165/199 session 1009114207: 215 trials, 6 neurons, 54481 bins in 0.60s
[pass2] 166/199 session 1042387068: 229 trials, 22 neurons, 57621 bins in 0.69s
[pass2] 167/199 session 1042639868: 205 trials, 20 neurons, 51766 bins in 0.66s
[pass2] 168/199 session 1043831389: 147 trials, 18 neurons, 35886 bins in 0.56s
[pass2] 169/199 session 1044095203: 338 trials, 18 neurons, 88308 bins in 0.73s
[pass2] 170/199 session 1044678595: 162 trials, 16 neurons, 39862 bins in 0.70s
[pass2] 171/199 session 1050406399: 336 trials, 10 neurons, 86057 bins in 0.79s
[pass2] 172/199 session 1051009897: 230 trials, 8 neurons, 57982 bins in 0.65s
[pass2] 173/199 session 1051217227: 334 trials, 7 neurons, 86084 bins in 0.78s
[pass2] 174/199 session 1051423446: 317 trials, 7 neurons, 82368 bins in 0.67s
[pass2] 175/199 session 1052391266: 349 trials, 10 neurons, 90775 bins in 0.81s
[pass2] 176/199 session 1052609309: 314 trials, 18 neurons, 80766 bins in 0.76s
[pass2] 177/199 session 1053605418: 354 trials, 36 neurons, 92075 bins in 0.89s
[pass2] 178/199 session 1053997501: 319 trials, 13 neurons, 83243 bins in 0.76s
[pass2] 179/199 session 1054813047: 319 trials, 37 neurons, 83537 bins in 0.84s
[pass2] 180/199 session 1065523118: 318 trials, 30 neurons, 81545 bins in 0.86s
[pass2] 181/199 session 1065523124: 95 trials, 20 neurons, 22912 bins in 0.52s
[pass2] 182/199 session 1065966776: 180 trials, 21 neurons, 45645 bins in 0.66s
[pass2] 183/199 session 1067133170: 286 trials, 29 neurons, 73428 bins in 0.83s
[pass2] 184/199 session 1067133175: 288 trials, 18 neurons, 73798 bins in 0.80s
