Converting all sessions from 7 animal file(s)...
  [QLAK-CA1-51 day  0] env=square     cells 554 -> reg 113 -> kept 112 | 24073 bins, 60.2% running | 40 trials | 0.51s
  [QLAK-CA1-08 day 23] env=u          cells 515 -> reg 227 -> kept 226 | 23955 bins, 46.5% running | 39 trials | 0.68s
  [QLAK-CA1-30 day 13] env=l          cells 875 -> reg 350 -> kept 341 | 23955 bins, 45.5% running | 40 trials | 1.12s
  [QLAK-CA1-56 day 14] env=rectangle  cells 862 -> reg 379 -> kept 374 | 24030 bins, 50.2% running | 40 trials | 1.15s
  [QLAK-CA1-75 day 13] env=l          cells 952 -> reg 395 -> kept 386 | 24023 bins, 48.7% running | 40 trials | 1.22s
  [QLAK-CA1-74 day 17] env=rectangle  cells 713 -> reg 258 -> kept 250 | 24020 bins, 27.6% running | 29 trials | 0.86s
  [QLAK-CA1-50 day 14] env=u          cells 942 -> reg 434 -> kept 430 | 23955 bins, 59.7% running | 40 trials | 1.27s
  [QLAK-CA1-08 day 24] env=rectangle  cells 515 -> reg 239 -> kept 233 | 23955 bins, 46.3% running | 40 trials | 0.70s
  [QLAK-CA1-30 day 14] env=glenn      cells 875 -> reg 378 -> kept 373 | 23955 bins, 41.4% running | 40 trials | 1.16s
  [QLAK-CA1-56 day 15] env=i          cells 862 -> reg 391 -> kept 386 | 24030 bins, 56.7% running | 40 trials | 1.16s
  [QLAK-CA1-08 day 25] env=+          cells 515 -> reg 235 -> kept 227 | 23955 bins, 47.0% running | 40 trials | 0.69s
  [QLAK-CA1-74 day 18] env=glenn      cells 713 -> reg 321 -> kept 318 | 24020 bins, 62.7% running | 40 trials | 0.96s
  [QLAK-CA1-75 day 14] env=i          cells 952 -> reg 433 -> kept 429 | 24023 bins, 43.8% running | 40 trials | 1.28s
  [QLAK-CA1-50 day 15] env=t          cells 942 -> reg 375 -> kept 370 | 23955 bins, 57.9% running | 40 trials | 1.18s
  [QLAK-CA1-08 day 26] env=i          cells 515 -> reg 237 -> kept 232 | 23955 bins, 45.6% running | 38 trials | 0.69s
  [QLAK-CA1-30 day 15] env=i          cells 875 -> reg 340 -> kept 334 | 23955 bins, 47.8% running | 40 trials | 1.12s
  [QLAK-CA1-74 day 19] env=u          cells 713 -> reg 339 -> kept 335 | 24020 bins, 60.3% running | 39 trials | 0.99s
  [QLAK-CA1-56 day 16] env=+          cells 862 -> reg 377 -> kept 373 | 24030 bins, 53.0% running | 40 trials | 1.15s
  [QLAK-CA1-08 day 27] env=l          cells 515 -> reg 230 -> kept 226 | 23955 bins, 50.2% running | 40 trials | 0.68s
  [QLAK-CA1-75 day 15] env=+          cells 952 -> reg 389 -> kept 383 | 24023 bins, 45.3% running | 40 trials | 1.24s
  [QLAK-CA1-50 day 16] env=rectangle  cells 942 -> reg 430 -> kept 428 | 23955 bins, 63.6% running | 40 trials | 1.24s
  [QLAK-CA1-74 day 20] env=square     cells 713 -> reg 328 -> kept 325 | 24020 bins, 46.6% running | 39 trials | 0.97s
  [QLAK-CA1-08 day 28] env=bit donut  cells 515 -> reg 236 -> kept 232 | 23955 bins, 46.4% running | 38 trials | 0.69s
  [QLAK-CA1-30 day 16] env=u          cells 875 -> reg 400 -> kept 395 | 23955 bins, 48.1% running | 40 trials | 1.18s
  [QLAK-CA1-56 day 17] env=o          cells 862 -> reg 395 -> kept 392 | 24030 bins, 48.1% running | 40 trials | 1.16s
  [QLAK-CA1-08 day 29] env=glenn      cells 515 -> reg 254 -> kept 250 | 23955 bins, 43.3% running | 37 trials | 0.72s
  [QLAK-CA1-75 day 16] env=t          cells 952 -> reg 419 -> kept 413 | 24023 bins, 46.2% running | 39 trials | 1.27s
  [QLAK-CA1-50 day 17] env=glenn      cells 942 -> reg 457 -> kept 455 | 23955 bins, 61.6% running | 40 trials | 1.26s
  [QLAK-CA1-74 day 21] env=t          cells 713 -> reg 361 -> kept 358 | 24020 bins, 54.4% running | 37 trials | 1.01s
  [QLAK-CA1-30 day 17] env=bit donut  cells 875 -> reg 390 -> kept 383 | 23955 bins, 42.8% running | 40 trials | 1.19s
  [QLAK-CA1-56 day 18] env=u          cells 862 -> reg 437 -> kept 432 | 24030 bins, 56.2% running | 40 trials | 1.20s
  [QLAK-CA1-08 day 30] env=square     cells 515 -> reg 251 -> kept 248 | 23955 bins, 40.8% running | 39 trials | 0.70s
[QLAK-CA1-08] 31 sessions in 20.4s
  [QLAK-CA1-74 day 22] env=bit donut  cells 713 -> reg 389 -> kept 387 | 24020 bins, 61.6% running | 40 trials | 1.06s
  [QLAK-CA1-75 day 17] env=bit donut  cells 952 -> reg 442 -> kept 431 | 24023 bins, 45.6% running | 40 trials | 1.30s
  [QLAK-CA1-50 day 18] env=i          cells 942 -> reg 479 -> kept 478 | 23955 bins, 60.9% running | 40 trials | 1.32s
  [QLAK-CA1-30 day 18] env=rectangle  cells 875 -> reg 378 -> kept 370 | 23955 bins, 43.4% running | 40 trials | 1.17s
  [QLAK-CA1-56 day 19] env=t          cells 862 -> reg 428 -> kept 427 | 24030 bins, 60.2% running | 40 trials | 1.22s
  [QLAK-CA1-74 day 23] env=+          cells 713 -> reg 344 -> kept 342 | 24020 bins, 51.3% running | 39 trials | 0.99s
  [QLAK-CA1-75 day 18] env=o          cells 952 -> reg 480 -> kept 477 | 24023 bins, 53.2% running | 40 trials | 1.35s
  [QLAK-CA1-50 day 19] env=l          cells 942 -> reg 452 -> kept 452 | 23955 bins, 64.9% running | 40 trials | 1.28s
  [QLAK-CA1-30 day 19] env=t          cells 875 -> reg 375 -> kept 363 | 23955 bins, 39.5% running | 40 trials | 1.15s
  [QLAK-CA1-56 day 20] env=square     cells 862 -> reg 406 -> kept 403 | 24030 bins, 45.7% running | 40 trials | 1.20s
  [QLAK-CA1-74 day 24] env=o          cells 713 -> reg 359 -> kept 355 | 24020 bins, 48.6% running | 38 trials | 1.00s
  [QLAK-CA1-50 day 20] env=square     cells 942 -> reg 409 -> kept 407 | 23955 bins, 62.2% running | 40 trials | 1.22s
  [QLAK-CA1-75 day 19] env=u          cells 952 -> reg 435 -> kept 433 | 24023 bins, 51.8% running | 40 trials | 1.29s
  [QLAK-CA1-30 day 20] env=square     cells 875 -> reg 392 -> kept 389 | 23955 bins, 53.0% running | 40 trials | 1.19s
  [QLAK-CA1-74 day 25] env=i          cells 713 -> reg 315 -> kept 311 | 24020 bins, 42.0% running | 37 trials | 0.95s
  [QLAK-CA1-56 day 21] env=l          cells 862 -> reg 438 -> kept 433 | 24030 bins, 44.9% running | 40 trials | 1.23s
  [QLAK-CA1-74 day 26] env=l          cells 713 -> reg 294 -> kept 287 | 24020 bins, 35.1% running | 30 trials | 0.90s
  [QLAK-CA1-30 day 21] env=o          cells 875 -> reg 405 -> kept 400 | 23955 bins, 50.0% running | 40 trials | 1.18s
  [QLAK-CA1-75 day 20] env=square     cells 952 -> reg 436 -> kept 433 | 24023 bins, 47.1% running | 40 trials | 1.29s
  [QLAK-CA1-50 day 21] env=+          cells 942 -> reg 519 -> kept 518 | 23955 bins, 66.3% running | 40 trials | 1.37s
  [QLAK-CA1-56 day 22] env=bit donut  cells 862 -> reg 423 -> kept 420 | 24030 bins, 44.3% running | 40 trials | 1.20s
  [QLAK-CA1-74 day 27] env=rectangle  cells 713 -> reg 300 -> kept 291 | 24020 bins, 23.2% running | 25 trials | 0.91s
  [QLAK-CA1-30 day 22] env=+          cells 875 -> reg 370 -> kept 360 | 23955 bins, 35.7% running | 37 trials | 1.13s
  [QLAK-CA1-75 day 21] env=rectangle  cells 952 -> reg 424 -> kept 420 | 24023 bins, 49.4% running | 40 trials | 1.25s
  [QLAK-CA1-50 day 22] env=bit donut  cells 942 -> reg 502 -> kept 500 | 23955 bins, 63.0% running | 40 trials | 1.34s
  [QLAK-CA1-56 day 23] env=glenn      cells 862 -> reg 436 -> kept 430 | 24030 bins, 48.4% running | 40 trials | 1.23s
  [QLAK-CA1-74 day 28] env=glenn      cells 713 -> reg 370 -> kept 363 | 24020 bins, 56.5% running | 38 trials | 1.01s
  [QLAK-CA1-30 day 23] env=l          cells 875 -> reg 395 -> kept 391 | 23955 bins, 40.1% running | 40 trials | 1.20s
  [QLAK-CA1-75 day 22] env=glenn      cells 952 -> reg 450 -> kept 446 | 24023 bins, 45.6% running | 40 trials | 1.31s
  [QLAK-CA1-56 day 24] env=rectangle  cells 862 -> reg 452 -> kept 443 | 24030 bins, 48.6% running | 40 trials | 1.26s
  [QLAK-CA1-50 day 23] env=o          cells 942 -> reg 501 -> kept 500 | 23955 bins, 61.6% running | 40 trials | 1.34s
  [QLAK-CA1-74 day 29] env=u          cells 713 -> reg 405 -> kept 401 | 24020 bins, 75.3% running | 40 trials | 1.08s
  [QLAK-CA1-30 day 24] env=glenn      cells 875 -> reg 388 -> kept 380 | 23955 bins, 53.0% running | 40 trials | 1.19s
  [QLAK-CA1-75 day 23] env=l          cells 952 -> reg 421 -> kept 414 | 24023 bins, 48.0% running | 39 trials | 1.26s
  [QLAK-CA1-74 day 30] env=square     cells 713 -> reg 391 -> kept 388 | 24020 bins, 66.4% running | 40 trials | 1.05s
[QLAK-CA1-74] 31 sessions in 28.8s
  [QLAK-CA1-56 day 25] env=i          cells 862 -> reg 472 -> kept 464 | 24030 bins, 51.4% running | 40 trials | 1.25s
  [QLAK-CA1-50 day 24] env=u          cells 942 -> reg 493 -> kept 490 | 23955 bins, 65.3% running | 40 trials | 1.35s
  [QLAK-CA1-30 day 25] env=i          cells 875 -> reg 417 -> kept 410 | 23955 bins, 47.9% running | 40 trials | 1.22s
  [QLAK-CA1-56 day 26] env=+          cells 862 -> reg 444 -> kept 440 | 24030 bins, 51.4% running | 40 trials | 1.23s
  [QLAK-CA1-75 day 24] env=i          cells 952 -> reg 501 -> kept 497 | 24023 bins, 46.7% running | 40 trials | 1.38s
  [QLAK-CA1-50 day 25] env=t          cells 942 -> reg 445 -> kept 444 | 23955 bins, 71.2% running | 40 trials | 1.29s
  [QLAK-CA1-30 day 26] env=u          cells 875 -> reg 421 -> kept 417 | 23955 bins, 51.9% running | 40 trials | 1.21s
  [QLAK-CA1-56 day 27] env=o          cells 862 -> reg 481 -> kept 481 | 24030 bins, 52.6% running | 40 trials | 1.27s
  [QLAK-CA1-75 day 25] env=+          cells 952 -> reg 420 -> kept 416 | 24023 bins, 47.9% running | 40 trials | 1.27s
  [QLAK-CA1-50 day 26] env=rectangle  cells 942 -> reg 488 -> kept 487 | 23955 bins, 52.4% running | 40 trials | 1.33s
  [QLAK-CA1-30 day 27] env=bit donut  cells 875 -> reg 422 -> kept 418 | 23955 bins, 47.5% running | 40 trials | 1.22s
  [QLAK-CA1-75 day 26] env=t          cells 952 -> reg 393 -> kept 387 | 24023 bins, 31.6% running | 39 trials | 1.22s
  [QLAK-CA1-56 day 28] env=u          cells 862 -> reg 485 -> kept 483 | 24030 bins, 48.0% running | 40 trials | 1.30s
  [QLAK-CA1-50 day 27] env=glenn      cells 942 -> reg 523 -> kept 522 | 23955 bins, 67.2% running | 40 trials | 1.40s
  [QLAK-CA1-30 day 28] env=rectangle  cells 875 -> reg 360 -> kept 355 | 23955 bins, 41.8% running | 40 trials | 1.14s
  [QLAK-CA1-75 day 27] env=bit donut  cells 952 -> reg 487 -> kept 485 | 24023 bins, 42.2% running | 39 trials | 1.33s
  [QLAK-CA1-56 day 29] env=t          cells 862 -> reg 507 -> kept 503 | 24030 bins, 53.0% running | 40 trials | 1.34s
  [QLAK-CA1-50 day 28] env=i          cells 942 -> reg 492 -> kept 486 | 23955 bins, 52.7% running | 40 trials | 1.34s
  [QLAK-CA1-30 day 29] env=t          cells 875 -> reg 397 -> kept 389 | 23955 bins, 47.0% running | 40 trials | 1.20s
  [QLAK-CA1-75 day 28] env=o          cells 952 -> reg 499 -> kept 493 | 24023 bins, 45.3% running | 39 trials | 1.35s
  [QLAK-CA1-56 day 30] env=square     cells 862 -> reg 529 -> kept 526 | 24030 bins, 47.7% running | 40 trials | 1.37s
[QLAK-CA1-56] 31 sessions in 35.4s
  [QLAK-CA1-30 day 30] env=square     cells 875 -> reg 396 -> kept 389 | 23955 bins, 42.5% running | 40 trials | 1.19s
[QLAK-CA1-30] 31 sessions in 35.7s
