nohup: ignoring input
Converting 152 sessions with 12 workers (signal=dff)
[1/152] sub-m11_ses-03_behavior+ophys.nwb cells=154 (iscell 155, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.7s
[34/152] sub-m13_ses-08_behavior+ophys.nwb cells=707 (iscell 707, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.8s
[35/152] sub-m13_ses-09_behavior+ophys.nwb cells=557 (iscell 557, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.9s
[36/152] sub-m13_ses-10_behavior+ophys.nwb cells=603 (iscell 603, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.4s
[37/152] sub-m13_ses-11_behavior+ophys.nwb cells=657 (iscell 657, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.4s
[38/152] sub-m13_ses-12_behavior+ophys.nwb cells=595 (iscell 595, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.1s
[39/152] sub-m13_ses-13_behavior+ophys.nwb cells=479 (iscell 479, interneurons 0) trials=59/60 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=5.7s
[40/152] sub-m13_ses-14_behavior+ophys.nwb cells=749 (iscell 749, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.0s
[41/152] sub-m14_ses-01_behavior+ophys.nwb cells=981 (iscell 981, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.1s
[42/152] sub-m14_ses-02_behavior+ophys.nwb cells=591 (iscell 592, interneurons 1) trials=72/80 drops={'first': 1, 'lick': 7, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.3s
[43/152] sub-m14_ses-03_behavior+ophys.nwb cells=753 (iscell 753, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.5s
[44/152] sub-m14_ses-04_behavior+ophys.nwb cells=647 (iscell 648, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.4s
[45/152] sub-m14_ses-05_behavior+ophys.nwb cells=603 (iscell 603, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[46/152] sub-m14_ses-06_behavior+ophys.nwb cells=615 (iscell 619, interneurons 4) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.7s
[47/152] sub-m14_ses-07_behavior+ophys.nwb cells=927 (iscell 927, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.2s
[48/152] sub-m14_ses-08_behavior+ophys.nwb cells=989 (iscell 990, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.1s
[49/152] sub-m14_ses-09_behavior+ophys.nwb cells=499 (iscell 500, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.5s
[50/152] sub-m14_ses-10_behavior+ophys.nwb cells=727 (iscell 727, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.1s
[51/152] sub-m14_ses-11_behavior+ophys.nwb cells=554 (iscell 554, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.9s
[52/152] sub-m14_ses-12_behavior+ophys.nwb cells=609 (iscell 611, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.5s
[53/152] sub-m14_ses-13_behavior+ophys.nwb cells=470 (iscell 483, interneurons 13) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.0s
[54/152] sub-m14_ses-14_behavior+ophys.nwb cells=874 (iscell 876, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.0s
[55/152] sub-m15_ses-01_behavior+ophys.nwb cells=1133 (iscell 1133, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.1s
[56/152] sub-m15_ses-02_behavior+ophys.nwb cells=1042 (iscell 1045, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.3s
[57/152] sub-m15_ses-03_behavior+ophys.nwb cells=1426 (iscell 1426, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.1s
[58/152] sub-m15_ses-04_behavior+ophys.nwb cells=1167 (iscell 1167, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=12.7s
[59/152] sub-m15_ses-05_behavior+ophys.nwb cells=1483 (iscell 1483, interneurons 0) trials=73/80 drops={'first': 1, 'lick': 6, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.1s
[60/152] sub-m15_ses-06_behavior+ophys.nwb cells=1041 (iscell 1041, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.5s
[61/152] sub-m15_ses-07_behavior+ophys.nwb cells=1308 (iscell 1308, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.9s
[62/152] sub-m15_ses-08_behavior+ophys.nwb cells=1307 (iscell 1307, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.9s
[63/152] sub-m15_ses-09_behavior+ophys.nwb cells=1070 (iscell 1070, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.0s
[64/152] sub-m15_ses-10_behavior+ophys.nwb cells=1282 (iscell 1283, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.2s
[65/152] sub-m15_ses-11_behavior+ophys.nwb cells=754 (iscell 754, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.1s
[66/152] sub-m15_ses-12_behavior+ophys.nwb cells=1127 (iscell 1127, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.2s
[67/152] sub-m15_ses-13_behavior+ophys.nwb cells=875 (iscell 875, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.4s
[68/152] sub-m15_ses-14_behavior+ophys.nwb cells=1195 (iscell 1195, interneurons 0) trials=77/80 drops={'first': 1, 'lick': 2, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[69/152] sub-m17_ses-01_behavior+ophys.nwb cells=590 (iscell 591, interneurons 1) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.4s
[70/152] sub-m17_ses-02_behavior+ophys.nwb cells=440 (iscell 442, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.6s
[71/152] sub-m17_ses-03_behavior+ophys.nwb cells=676 (iscell 676, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.9s
[72/152] sub-m17_ses-04_behavior+ophys.nwb cells=504 (iscell 506, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.6s
[73/152] sub-m17_ses-05_behavior+ophys.nwb cells=838 (iscell 838, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.4s
[74/152] sub-m17_ses-06_behavior+ophys.nwb cells=491 (iscell 491, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.1s
[75/152] sub-m17_ses-07_behavior+ophys.nwb cells=690 (iscell 690, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.0s
[76/152] sub-m17_ses-08_behavior+ophys.nwb cells=587 (iscell 593, interneurons 6) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.0s
[77/152] sub-m17_ses-09_behavior+ophys.nwb cells=539 (iscell 539, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.7s
[78/152] sub-m17_ses-10_behavior+ophys.nwb cells=679 (iscell 683, interneurons 4) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.4s
[79/152] sub-m17_ses-11_behavior+ophys.nwb cells=621 (iscell 629, interneurons 8) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[80/152] sub-m17_ses-12_behavior+ophys.nwb cells=739 (iscell 747, interneurons 8) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.3s
[81/152] sub-m17_ses-13_behavior+ophys.nwb cells=465 (iscell 468, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.0s
[82/152] sub-m17_ses-14_behavior+ophys.nwb cells=766 (iscell 770, interneurons 4) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.0s
[83/152] sub-m18_ses-01_behavior+ophys.nwb cells=2281 (iscell 2281, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.4s
[84/152] sub-m18_ses-02_behavior+ophys.nwb cells=1636 (iscell 1639, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.3s
[85/152] sub-m18_ses-03_behavior+ophys.nwb cells=2323 (iscell 2341, interneurons 18) trials=75/80 drops={'first': 1, 'lick': 4, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=21.9s
[86/152] sub-m18_ses-04_behavior+ophys.nwb cells=1631 (iscell 1634, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=12.5s
[87/152] sub-m18_ses-05_behavior+ophys.nwb cells=2106 (iscell 2115, interneurons 9) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=19.7s
[88/152] sub-m18_ses-06_behavior+ophys.nwb cells=1368 (iscell 1378, interneurons 10) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.1s
[89/152] sub-m18_ses-07_behavior+ophys.nwb cells=1724 (iscell 1726, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.7s
[90/152] sub-m18_ses-08_behavior+ophys.nwb cells=2312 (iscell 2314, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=19.7s
[91/152] sub-m18_ses-09_behavior+ophys.nwb cells=1685 (iscell 1696, interneurons 11) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.5s
[92/152] sub-m18_ses-10_behavior+ophys.nwb cells=1890 (iscell 1899, interneurons 9) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.8s
[93/152] sub-m18_ses-11_behavior+ophys.nwb cells=1373 (iscell 1382, interneurons 9) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.8s
[94/152] sub-m18_ses-12_behavior+ophys.nwb cells=1922 (iscell 1927, interneurons 5) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=12.5s
[95/152] sub-m18_ses-13_behavior+ophys.nwb cells=1428 (iscell 1433, interneurons 5) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.6s
[96/152] sub-m18_ses-14_behavior+ophys.nwb cells=1944 (iscell 1955, interneurons 11) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=12.6s
[97/152] sub-m19_ses-01_behavior+ophys.nwb cells=526 (iscell 528, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.8s
[98/152] sub-m19_ses-02_behavior+ophys.nwb cells=405 (iscell 407, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.9s
[99/152] sub-m19_ses-03_behavior+ophys.nwb cells=463 (iscell 465, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.5s
[100/152] sub-m19_ses-04_behavior+ophys.nwb cells=549 (iscell 550, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.9s
[101/152] sub-m19_ses-05_behavior+ophys.nwb cells=470 (iscell 472, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.6s
[102/152] sub-m19_ses-06_behavior+ophys.nwb cells=503 (iscell 504, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.0s
[103/152] sub-m19_ses-07_behavior+ophys.nwb cells=595 (iscell 596, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.3s
[104/152] sub-m19_ses-08_behavior+ophys.nwb cells=565 (iscell 566, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.0s
[105/152] sub-m19_ses-09_behavior+ophys.nwb cells=427 (iscell 434, interneurons 7) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.8s
[106/152] sub-m19_ses-10_behavior+ophys.nwb cells=464 (iscell 469, interneurons 5) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.3s
[107/152] sub-m19_ses-11_behavior+ophys.nwb cells=369 (iscell 378, interneurons 9) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.4s
[108/152] sub-m19_ses-12_behavior+ophys.nwb cells=555 (iscell 558, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.2s
[109/152] sub-m19_ses-13_behavior+ophys.nwb cells=422 (iscell 428, interneurons 6) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.4s
[110/152] sub-m19_ses-14_behavior+ophys.nwb cells=587 (iscell 589, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.5s
[111/152] sub-m3_ses-01_behavior+ophys.nwb cells=1013 (iscell 1052, interneurons 39) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=15.8s
[112/152] sub-m3_ses-02_behavior+ophys.nwb cells=882 (iscell 917, interneurons 35) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.2s
[113/152] sub-m3_ses-03_behavior+ophys.nwb cells=1053 (iscell 1059, interneurons 6) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.5s
[114/152] sub-m3_ses-04_behavior+ophys.nwb cells=811 (iscell 814, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=12.0s
[115/152] sub-m3_ses-05_behavior+ophys.nwb cells=1019 (iscell 1022, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.2s
[116/152] sub-m3_ses-06_behavior+ophys.nwb cells=811 (iscell 818, interneurons 7) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.2s
[117/152] sub-m3_ses-07_behavior+ophys.nwb cells=782 (iscell 787, interneurons 5) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.1s
[118/152] sub-m3_ses-08_behavior+ophys.nwb cells=778 (iscell 783, interneurons 5) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.7s
[119/152] sub-m3_ses-09_behavior+ophys.nwb cells=764 (iscell 768, interneurons 4) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.2s
[120/152] sub-m3_ses-10_behavior+ophys.nwb cells=928 (iscell 930, interneurons 2) trials=88/90 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.9s
[121/152] sub-m3_ses-11_behavior+ophys.nwb cells=997 (iscell 1000, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.0s
[122/152] sub-m3_ses-12_behavior+ophys.nwb cells=1030 (iscell 1030, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.6s
[123/152] sub-m3_ses-13_behavior+ophys.nwb cells=980 (iscell 980, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.3s
