processing 152 sessions
[ 12.1 s] sub-m11_ses-03_behavior+ophys.nwb: 154 cells (155 iscell, 1 interneurons), 79/80 trials kept  (load 0.2s dff 7.8s)
[ 45.4 s] sub-m13_ses-11_behavior+ophys.nwb: 657 cells (657 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 2.3s)
[ 47.7 s] sub-m13_ses-12_behavior+ophys.nwb: 595 cells (595 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 2.4s)
[ 47.7 s] sub-m13_ses-13_behavior+ophys.nwb: 479 cells (479 iscell, 0 interneurons), 59/60 trials kept  (load 0.4s dff 1.7s)
[ 53.2 s] sub-m13_ses-14_behavior+ophys.nwb: 749 cells (749 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 5.5s)
[ 55.0 s] sub-m14_ses-01_behavior+ophys.nwb: 981 cells (981 iscell, 0 interneurons), 79/80 trials kept  (load 1.5s dff 7.3s)
[ 55.0 s] sub-m14_ses-02_behavior+ophys.nwb: 591 cells (592 iscell, 1 interneurons), 72/80 trials kept  (load 0.7s dff 6.5s)
[ 55.0 s] sub-m14_ses-03_behavior+ophys.nwb: 753 cells (753 iscell, 0 interneurons), 79/80 trials kept  (load 0.8s dff 7.1s)
[ 55.0 s] sub-m14_ses-04_behavior+ophys.nwb: 647 cells (648 iscell, 1 interneurons), 79/80 trials kept  (load 0.8s dff 4.9s)
[ 55.0 s] sub-m14_ses-05_behavior+ophys.nwb: 603 cells (603 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 5.1s)
[ 55.0 s] sub-m14_ses-06_behavior+ophys.nwb: 614 cells (619 iscell, 5 interneurons), 79/80 trials kept  (load 0.7s dff 6.3s)
[ 55.0 s] sub-m14_ses-07_behavior+ophys.nwb: 927 cells (927 iscell, 0 interneurons), 79/80 trials kept  (load 1.0s dff 4.2s)
[ 55.0 s] sub-m14_ses-08_behavior+ophys.nwb: 989 cells (990 iscell, 1 interneurons), 79/80 trials kept  (load 0.9s dff 6.7s)
[ 57.5 s] sub-m14_ses-09_behavior+ophys.nwb: 499 cells (500 iscell, 1 interneurons), 79/80 trials kept  (load 0.4s dff 1.6s)
[ 62.2 s] sub-m14_ses-10_behavior+ophys.nwb: 727 cells (727 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 3.3s)
[ 62.2 s] sub-m14_ses-11_behavior+ophys.nwb: 554 cells (554 iscell, 0 interneurons), 79/80 trials kept  (load 0.5s dff 2.4s)
[ 62.2 s] sub-m14_ses-12_behavior+ophys.nwb: 609 cells (611 iscell, 2 interneurons), 79/80 trials kept  (load 0.5s dff 2.5s)
[ 62.5 s] sub-m14_ses-13_behavior+ophys.nwb: 468 cells (483 iscell, 15 interneurons), 79/80 trials kept  (load 0.5s dff 2.9s)
[ 63.3 s] sub-m14_ses-14_behavior+ophys.nwb: 875 cells (876 iscell, 1 interneurons), 79/80 trials kept  (load 0.8s dff 3.1s)
[ 67.1 s] sub-m15_ses-01_behavior+ophys.nwb: 1133 cells (1133 iscell, 0 interneurons), 79/80 trials kept  (load 1.3s dff 5.3s)
[ 67.1 s] sub-m15_ses-02_behavior+ophys.nwb: 1041 cells (1045 iscell, 4 interneurons), 79/80 trials kept  (load 1.3s dff 4.5s)
[ 67.6 s] sub-m15_ses-03_behavior+ophys.nwb: 1426 cells (1426 iscell, 0 interneurons), 79/80 trials kept  (load 1.5s dff 5.8s)
[ 68.3 s] sub-m15_ses-04_behavior+ophys.nwb: 1167 cells (1167 iscell, 0 interneurons), 79/80 trials kept  (load 1.4s dff 5.7s)
[ 69.6 s] sub-m15_ses-05_behavior+ophys.nwb: 1483 cells (1483 iscell, 0 interneurons), 73/80 trials kept  (load 1.1s dff 5.7s)
[ 69.6 s] sub-m15_ses-06_behavior+ophys.nwb: 1041 cells (1041 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 4.4s)
[ 69.9 s] sub-m15_ses-07_behavior+ophys.nwb: 1308 cells (1308 iscell, 0 interneurons), 79/80 trials kept  (load 1.0s dff 4.1s)
[ 75.7 s] sub-m15_ses-08_behavior+ophys.nwb: 1307 cells (1307 iscell, 0 interneurons), 79/80 trials kept  (load 0.8s dff 4.2s)
[ 75.7 s] sub-m15_ses-09_behavior+ophys.nwb: 1070 cells (1070 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 3.1s)
[ 76.7 s] sub-m15_ses-10_behavior+ophys.nwb: 1282 cells (1283 iscell, 1 interneurons), 79/80 trials kept  (load 0.7s dff 4.9s)
[ 76.7 s] sub-m15_ses-11_behavior+ophys.nwb: 754 cells (754 iscell, 0 interneurons), 79/80 trials kept  (load 0.5s dff 3.3s)
[ 76.7 s] sub-m15_ses-12_behavior+ophys.nwb: 1127 cells (1127 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 3.8s)
[ 76.8 s] sub-m15_ses-13_behavior+ophys.nwb: 875 cells (875 iscell, 0 interneurons), 78/80 trials kept  (load 0.8s dff 3.1s)
[ 80.9 s] sub-m15_ses-14_behavior+ophys.nwb: 1195 cells (1195 iscell, 0 interneurons), 77/80 trials kept  (load 1.2s dff 4.6s)
[ 80.9 s] sub-m17_ses-01_behavior+ophys.nwb: 589 cells (591 iscell, 1 interneurons), 78/80 trials kept  (load 1.1s dff 2.4s)
[ 80.9 s] sub-m17_ses-02_behavior+ophys.nwb: 440 cells (442 iscell, 2 interneurons), 79/80 trials kept  (load 1.9s dff 3.1s)
[ 81.1 s] sub-m17_ses-03_behavior+ophys.nwb: 676 cells (676 iscell, 0 interneurons), 78/80 trials kept  (load 1.1s dff 3.6s)
  NOTE sub-m17_ses-04_behavior+ophys.nwb: ophys has 22791 frames, behaviour 22790; truncating to 22790
[ 81.9 s] sub-m17_ses-04_behavior+ophys.nwb: 502 cells (506 iscell, 3 interneurons), 79/80 trials kept  (load 1.2s dff 2.9s)
[ 83.1 s] sub-m17_ses-05_behavior+ophys.nwb: 838 cells (838 iscell, 0 interneurons), 79/80 trials kept  (load 1.6s dff 3.5s)
  NOTE sub-m17_ses-06_behavior+ophys.nwb: ophys has 32673 frames, behaviour 32672; truncating to 32672
[ 87.9 s] sub-m17_ses-06_behavior+ophys.nwb: 491 cells (491 iscell, 0 interneurons), 78/80 trials kept  (load 1.1s dff 3.0s)
[ 90.7 s] sub-m17_ses-07_behavior+ophys.nwb: 689 cells (690 iscell, 0 interneurons), 79/80 trials kept  (load 1.0s dff 5.2s)
[ 90.7 s] sub-m17_ses-08_behavior+ophys.nwb: 587 cells (593 iscell, 6 interneurons), 79/80 trials kept  (load 0.9s dff 2.7s)
[ 90.7 s] sub-m17_ses-09_behavior+ophys.nwb: 539 cells (539 iscell, 0 interneurons), 78/80 trials kept  (load 1.3s dff 4.3s)
[ 91.1 s] sub-m17_ses-10_behavior+ophys.nwb: 679 cells (683 iscell, 4 interneurons), 79/80 trials kept  (load 1.2s dff 5.7s)
[ 91.1 s] sub-m17_ses-11_behavior+ophys.nwb: 620 cells (629 iscell, 9 interneurons), 79/80 trials kept  (load 0.9s dff 4.6s)
[ 91.4 s] sub-m17_ses-12_behavior+ophys.nwb: 739 cells (747 iscell, 8 interneurons), 79/80 trials kept  (load 1.5s dff 4.4s)
[ 91.6 s] sub-m17_ses-13_behavior+ophys.nwb: 464 cells (468 iscell, 3 interneurons), 79/80 trials kept  (load 1.3s dff 3.9s)
[ 92.1 s] sub-m17_ses-14_behavior+ophys.nwb: 766 cells (770 iscell, 4 interneurons), 79/80 trials kept  (load 1.3s dff 3.7s)
  NOTE sub-m18_ses-01_behavior+ophys.nwb: ophys has 22795 frames, behaviour 22794; truncating to 22794
[ 99.2 s] sub-m18_ses-01_behavior+ophys.nwb: 2278 cells (2281 iscell, 0 interneurons), 79/80 trials kept  (load 3.7s dff 6.9s)
[ 99.2 s] sub-m18_ses-02_behavior+ophys.nwb: 1634 cells (1639 iscell, 5 interneurons), 79/80 trials kept  (load 3.3s dff 5.0s)
[104.1 s] sub-m18_ses-03_behavior+ophys.nwb: 2319 cells (2341 iscell, 18 interneurons), 75/80 trials kept  (load 2.9s dff 8.2s)
[107.6 s] sub-m18_ses-04_behavior+ophys.nwb: 1631 cells (1634 iscell, 3 interneurons), 79/80 trials kept  (load 2.6s dff 7.4s)
  NOTE sub-m18_ses-07_behavior+ophys.nwb: ophys has 23446 frames, behaviour 23445; truncating to 23445
  NOTE sub-m18_ses-11_behavior+ophys.nwb: ophys has 23540 frames, behaviour 23539; truncating to 23539
  NOTE sub-m18_ses-05_behavior+ophys.nwb: ophys has 30161 frames, behaviour 30160; truncating to 30160
[111.0 s] sub-m18_ses-05_behavior+ophys.nwb: 2107 cells (2115 iscell, 8 interneurons), 79/80 trials kept  (load 2.9s dff 9.9s)
[111.0 s] sub-m18_ses-06_behavior+ophys.nwb: 1367 cells (1378 iscell, 11 interneurons), 79/80 trials kept  (load 2.1s dff 4.6s)
[111.0 s] sub-m18_ses-07_behavior+ophys.nwb: 1724 cells (1726 iscell, 2 interneurons), 79/80 trials kept  (load 3.4s dff 7.1s)
  NOTE sub-m18_ses-10_behavior+ophys.nwb: ophys has 21621 frames, behaviour 21620; truncating to 21620
  NOTE sub-m18_ses-12_behavior+ophys.nwb: ophys has 22059 frames, behaviour 22058; truncating to 22058
  NOTE sub-m18_ses-13_behavior+ophys.nwb: ophys has 19821 frames, behaviour 19820; truncating to 19820
[115.3 s] sub-m18_ses-08_behavior+ophys.nwb: 2312 cells (2314 iscell, 2 interneurons), 79/80 trials kept  (load 3.2s dff 13.3s)
[115.3 s] sub-m18_ses-09_behavior+ophys.nwb: 1684 cells (1696 iscell, 12 interneurons), 79/80 trials kept  (load 2.4s dff 9.0s)
[115.3 s] sub-m18_ses-10_behavior+ophys.nwb: 1890 cells (1899 iscell, 9 interneurons), 79/80 trials kept  (load 3.5s dff 9.8s)
[115.3 s] sub-m18_ses-11_behavior+ophys.nwb: 1373 cells (1382 iscell, 9 interneurons), 79/80 trials kept  (load 1.9s dff 8.4s)
[115.3 s] sub-m18_ses-12_behavior+ophys.nwb: 1909 cells (1927 iscell, 5 interneurons), 79/80 trials kept  (load 3.6s dff 9.2s)
[115.3 s] sub-m18_ses-13_behavior+ophys.nwb: 1427 cells (1433 iscell, 6 interneurons), 79/80 trials kept  (load 3.3s dff 5.7s)
  NOTE sub-m18_ses-14_behavior+ophys.nwb: ophys has 21672 frames, behaviour 21671; truncating to 21671
[116.5 s] sub-m18_ses-14_behavior+ophys.nwb: 1943 cells (1955 iscell, 11 interneurons), 79/80 trials kept  (load 3.1s dff 7.1s)
[116.5 s] sub-m19_ses-01_behavior+ophys.nwb: 526 cells (528 iscell, 2 interneurons), 79/80 trials kept  (load 0.7s dff 3.1s)
[116.5 s] sub-m19_ses-02_behavior+ophys.nwb: 405 cells (407 iscell, 2 interneurons), 79/80 trials kept  (load 0.5s dff 2.9s)
[119.0 s] sub-m19_ses-03_behavior+ophys.nwb: 463 cells (465 iscell, 2 interneurons), 79/80 trials kept  (load 0.5s dff 2.1s)
[121.6 s] sub-m19_ses-04_behavior+ophys.nwb: 549 cells (550 iscell, 1 interneurons), 79/80 trials kept  (load 0.6s dff 3.6s)
[121.6 s] sub-m19_ses-05_behavior+ophys.nwb: 470 cells (472 iscell, 2 interneurons), 79/80 trials kept  (load 0.5s dff 2.9s)
[121.6 s] sub-m19_ses-06_behavior+ophys.nwb: 503 cells (504 iscell, 1 interneurons), 79/80 trials kept  (load 0.5s dff 3.2s)
[123.3 s] sub-m19_ses-07_behavior+ophys.nwb: 595 cells (596 iscell, 1 interneurons), 79/80 trials kept  (load 0.7s dff 4.1s)
[123.8 s] sub-m19_ses-08_behavior+ophys.nwb: 566 cells (566 iscell, 0 interneurons), 79/80 trials kept  (load 0.8s dff 4.3s)
[123.8 s] sub-m19_ses-09_behavior+ophys.nwb: 427 cells (434 iscell, 7 interneurons), 79/80 trials kept  (load 0.7s dff 3.4s)
[124.5 s] sub-m19_ses-10_behavior+ophys.nwb: 464 cells (469 iscell, 5 interneurons), 79/80 trials kept  (load 0.7s dff 3.4s)
[126.1 s] sub-m19_ses-11_behavior+ophys.nwb: 369 cells (378 iscell, 9 interneurons), 79/80 trials kept  (load 0.6s dff 2.4s)
[127.3 s] sub-m19_ses-12_behavior+ophys.nwb: 555 cells (558 iscell, 3 interneurons), 79/80 trials kept  (load 0.8s dff 3.4s)
[127.3 s] sub-m19_ses-13_behavior+ophys.nwb: 421 cells (428 iscell, 7 interneurons), 79/80 trials kept  (load 0.5s dff 2.7s)
[127.9 s] sub-m19_ses-14_behavior+ophys.nwb: 587 cells (589 iscell, 2 interneurons), 79/80 trials kept  (load 0.8s dff 2.7s)
[137.8 s] sub-m3_ses-01_behavior+ophys.nwb: 1014 cells (1052 iscell, 38 interneurons), 79/80 trials kept  (load 1.8s dff 6.8s)
[137.8 s] sub-m3_ses-02_behavior+ophys.nwb: 883 cells (917 iscell, 34 interneurons), 79/80 trials kept  (load 1.4s dff 3.3s)
[137.8 s] sub-m3_ses-03_behavior+ophys.nwb: 1053 cells (1059 iscell, 6 interneurons), 79/80 trials kept  (load 1.1s dff 5.0s)
[137.8 s] sub-m3_ses-04_behavior+ophys.nwb: 811 cells (814 iscell, 3 interneurons), 79/80 trials kept  (load 1.3s dff 4.9s)
[141.6 s] sub-m3_ses-05_behavior+ophys.nwb: 1019 cells (1022 iscell, 3 interneurons), 79/80 trials kept  (load 2.1s dff 7.6s)
[141.6 s] sub-m3_ses-06_behavior+ophys.nwb: 810 cells (818 iscell, 8 interneurons), 79/80 trials kept  (load 1.4s dff 5.1s)
[141.6 s] sub-m3_ses-07_behavior+ophys.nwb: 782 cells (787 iscell, 5 interneurons), 79/80 trials kept  (load 1.0s dff 4.7s)
[141.6 s] sub-m3_ses-08_behavior+ophys.nwb: 778 cells (783 iscell, 5 interneurons), 79/80 trials kept  (load 1.1s dff 5.5s)
[141.6 s] sub-m3_ses-09_behavior+ophys.nwb: 764 cells (768 iscell, 4 interneurons), 79/80 trials kept  (load 2.5s dff 6.0s)
[141.6 s] sub-m3_ses-10_behavior+ophys.nwb: 928 cells (930 iscell, 2 interneurons), 88/90 trials kept  (load 2.6s dff 5.3s)
[142.3 s] sub-m3_ses-11_behavior+ophys.nwb: 997 cells (1000 iscell, 3 interneurons), 79/80 trials kept  (load 3.7s dff 5.7s)
[142.3 s] sub-m3_ses-12_behavior+ophys.nwb: 1030 cells (1030 iscell, 0 interneurons), 79/80 trials kept  (load 3.5s dff 5.1s)
[146.3 s] sub-m3_ses-13_behavior+ophys.nwb: 980 cells (980 iscell, 0 interneurons), 79/80 trials kept  (load 1.0s dff 2.2s)
[148.7 s] sub-m3_ses-14_behavior+ophys.nwb: 1050 cells (1050 iscell, 0 interneurons), 99/100 trials kept  (load 1.0s dff 3.4s)
[153.3 s] sub-m4_ses-01_behavior+ophys.nwb: 980 cells (983 iscell, 3 interneurons), 79/80 trials kept  (load 1.9s dff 6.1s)
[154.4 s] sub-m4_ses-02_behavior+ophys.nwb: 909 cells (926 iscell, 17 interneurons), 78/80 trials kept  (load 1.9s dff 6.1s)
[154.4 s] sub-m4_ses-03_behavior+ophys.nwb: 1023 cells (1031 iscell, 8 interneurons), 74/75 trials kept  (load 1.8s dff 6.1s)
[154.4 s] sub-m4_ses-04_behavior+ophys.nwb: 1016 cells (1016 iscell, 0 interneurons), 39/41 trials kept  (load 1.7s dff 3.6s)
[155.1 s] sub-m4_ses-05_behavior+ophys.nwb: 1066 cells (1066 iscell, 0 interneurons), 79/80 trials kept  (load 1.9s dff 7.0s)
[155.1 s] sub-m4_ses-06_behavior+ophys.nwb: 1067 cells (1068 iscell, 1 interneurons), 78/80 trials kept  (load 1.7s dff 6.5s)
[155.1 s] sub-m4_ses-07_behavior+ophys.nwb: 1003 cells (1011 iscell, 8 interneurons), 70/80 trials kept  (load 1.8s dff 6.0s)
[156.5 s] sub-m4_ses-08_behavior+ophys.nwb: 1285 cells (1287 iscell, 2 interneurons), 79/80 trials kept  (load 1.9s dff 6.9s)
[158.1 s] sub-m4_ses-09_behavior+ophys.nwb: 1014 cells (1019 iscell, 5 interneurons), 49/50 trials kept  (load 2.7s dff 6.6s)
[162.5 s] sub-m4_ses-10_behavior+ophys.nwb: 1100 cells (1100 iscell, 0 interneurons), 78/80 trials kept  (load 6.1s dff 7.8s)
[162.7 s] sub-m4_ses-11_behavior+ophys.nwb: 990 cells (990 iscell, 0 interneurons), 79/80 trials kept  (load 3.3s dff 5.4s)
[169.3 s] sub-m4_ses-12_behavior+ophys.nwb: 1038 cells (1039 iscell, 1 interneurons), 79/80 trials kept  (load 2.6s dff 8.2s)
[171.5 s] sub-m4_ses-13_behavior+ophys.nwb: 876 cells (886 iscell, 10 interneurons), 78/80 trials kept  (load 2.6s dff 9.4s)
[172.9 s] sub-m4_ses-14_behavior+ophys.nwb: 1061 cells (1066 iscell, 5 interneurons), 44/80 trials kept  (load 3.3s dff 9.9s)
[172.9 s] sub-m7_ses-01_behavior+ophys.nwb: 1297 cells (1298 iscell, 1 interneurons), 98/100 trials kept  (load 2.7s dff 7.4s)
[172.9 s] sub-m7_ses-02_behavior+ophys.nwb: 1186 cells (1186 iscell, 0 interneurons), 79/80 trials kept  (load 2.2s dff 5.1s)
[172.9 s] sub-m7_ses-03_behavior+ophys.nwb: 1155 cells (1155 iscell, 0 interneurons), 99/100 trials kept  (load 2.6s dff 7.6s)
[172.9 s] sub-m7_ses-04_behavior+ophys.nwb: 1013 cells (1013 iscell, 0 interneurons), 78/80 trials kept  (load 1.5s dff 2.5s)
[172.9 s] sub-m7_ses-05_behavior+ophys.nwb: 1111 cells (1111 iscell, 0 interneurons), 79/80 trials kept  (load 2.2s dff 6.8s)
[172.9 s] sub-m7_ses-06_behavior+ophys.nwb: 1142 cells (1142 iscell, 0 interneurons), 79/80 trials kept  (load 1.1s dff 5.6s)
[172.9 s] sub-m7_ses-07_behavior+ophys.nwb: 1020 cells (1020 iscell, 0 interneurons), 99/100 trials kept  (load 1.9s dff 5.9s)
[177.1 s] sub-m7_ses-08_behavior+ophys.nwb: 1034 cells (1034 iscell, 0 interneurons), 98/100 trials kept  (load 1.1s dff 3.5s)
[177.1 s] sub-m7_ses-09_behavior+ophys.nwb: 900 cells (900 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 2.3s)
[177.4 s] sub-m7_ses-10_behavior+ophys.nwb: 886 cells (886 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 3.0s)
[178.8 s] sub-m7_ses-11_behavior+ophys.nwb: 973 cells (973 iscell, 0 interneurons), 79/80 trials kept  (load 1.0s dff 2.3s)
[181.7 s] sub-m7_ses-12_behavior+ophys.nwb: 969 cells (969 iscell, 0 interneurons), 99/100 trials kept  (load 1.1s dff 4.0s)
[181.7 s] sub-m7_ses-13_behavior+ophys.nwb: 988 cells (988 iscell, 0 interneurons), 79/80 trials kept  (load 1.2s dff 3.3s)
[184.6 s] sub-m7_ses-14_behavior+ophys.nwb: 1192 cells (1192 iscell, 0 interneurons), 99/100 trials kept  (load 2.5s dff 4.9s)
kept 152 sessions with >= 2 trials

=== conversion summary ===
sessions 152, subjects 11, trials 11983, neurons 138244, frames 2533868
iscell total 138678, interneurons excluded 409 (0.29%), unstable-baseline cells excluded 25 (0.018%), neurons kept 138244
trials raw 12216, lick-error 81, kept 11983
reward rate 0.847
median reward-zone onset error 0.78 cm (expect 0-15)
dF/F range [-15.99, 37.25], max event 7.13
output reward_zone_distance   distribution [0.255, 0.1021, 0.0739, 0.239, 0.0207, 0.0715, 0.2377]
output position               distribution [0.2165, 0.1761, 0.2316, 0.2269, 0.1489]
output speed                  distribution [0.1172, 0.0872, 0.1328, 0.3161, 0.3467]
output lick                   distribution [0.7775, 0.2225]
output reward_zone_location   distribution [0.3314, 0.3361, 0.3325]
output reward_outcome         distribution [0.1573, 0.8427]
input  time_from_trial_start  range [-0.064, 216.472]
input  environment            range [0.000, 1.000]
input  trial_number           range [1.000, 99.000]
input  previous_trial_outcome range [0.000, 1.000]
time_bin_size 64.4836 ms, off_start -0.0645 s
wrote /app/converted_data.pkl (9.47 GB) in 14.5 s; total 199.3 s
