459 sessions to process, 32 workers
[1/459] 03cf52f6-fba6-4743-a42e-dd1ac3072343 SKIP: no whisker motion energy (neither camera)  (0.8s; elapsed 1s, eta 396s)
[36/459] 195443eb-08e9-4a18-a7e1-d105b2ce1429 618 trials, 10 neurons  (2.9s; elapsed 6s, eta 69s)
[37/459] 15f742e1-1043-45c9-9504-f1e8a53c1744 482 trials, 84 neurons  (3.3s; elapsed 6s, eta 68s)
[38/459] 0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde 618 trials, 267 neurons  (6.1s; elapsed 6s, eta 71s)
[39/459] 16693458-0801-4d35-a3f1-9115c7e5acfd 353 trials, 258 neurons  (4.0s; elapsed 7s, eta 73s)
[40/459] 1d4a7bd6-296a-48b9-b20e-bd0ac80750a5 232 trials, 10 neurons  (2.0s; elapsed 7s, eta 71s)
[41/459] 196a2adf-ff83-49b2-823a-33f990049c2e 395 trials, 104 neurons  (3.9s; elapsed 7s, eta 70s)
[42/459] 16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1 362 trials, 103 neurons  (4.1s; elapsed 7s, eta 68s)
[43/459] 09b2c4d1-058d-4c84-9fd4-97530f85baf6 421 trials, 245 neurons  (6.7s; elapsed 7s, eta 67s)
[44/459] 1191f865-b10a-45c8-9c48-24a980fd9402 678 trials, 243 neurons  (6.7s; elapsed 7s, eta 67s)
[45/459] 1b61b7f2-a599-4e40-abd6-3e758d2c9e25 537 trials, 29 neurons  (3.6s; elapsed 7s, eta 66s)
[46/459] 1928bf72-2002-46a6-8930-728420402e01 397 trials, 140 neurons  (4.2s; elapsed 7s, eta 64s)
[47/459] 21d21fc3-4201-4edc-802a-c67b61952548 369 trials, 61 neurons  (1.9s; elapsed 7s, eta 63s)
[48/459] 2038e95d-64d4-4ecb-83d0-1308d3c598f8 346 trials, 126 neurons  (2.1s; elapsed 7s, eta 62s)
[49/459] 19e66dc9-bf9f-430b-9d6a-acfa85de6fb7 412 trials, 311 neurons  (4.2s; elapsed 8s, eta 63s)
[50/459] 233617ec-c5cf-4eda-afc8-3b1d94f36d73 361 trials, 74 neurons  (1.8s; elapsed 8s, eta 62s)
[51/459] 1b715600-0cbc-442c-bd00-5b0ac2865de1 248 trials, 120 neurons  (3.7s; elapsed 8s, eta 61s)
[52/459] 1ca83b26-30fc-4350-a616-c38b7d00d240 434 trials, 96 neurons  (3.3s; elapsed 8s, eta 63s)
[53/459] 21e16736-fd59-44c7-b938-9b1333d25da8 346 trials, 90 neurons  (2.9s; elapsed 8s, eta 62s)
[54/459] 1f095590-6669-46c9-986b-ccaf0620c5e9 578 trials, 98 neurons  (3.1s; elapsed 8s, eta 62s)
[55/459] 09394481-8dd2-4d5c-9327-f2753ede92d7 435 trials, 326 neurons  (8.1s; elapsed 8s, eta 62s)
[56/459] 19b44992-d527-4a12-8bda-aa11379cb08c 289 trials, 187 neurons  (5.3s; elapsed 8s, eta 61s)
[57/459] 2584ce3c-db10-4076-89cb-5d313138dd38 428 trials, 247 neurons  (2.0s; elapsed 9s, eta 60s)
[58/459] 23c75e0b-05d8-452e-8efb-a3687ab94079 313 trials, 88 neurons  (2.9s; elapsed 9s, eta 61s)
[59/459] 1eac875c-feaa-4a30-b148-059b954b11d8 612 trials, 123 neurons  (3.8s; elapsed 9s, eta 60s)
[60/459] 1dbba733-24a4-4400-9436-53f1bd8428e8 406 trials, 250 neurons  (4.3s; elapsed 9s, eta 61s)
[61/459] 15948667-747b-4702-9d53-354ac70e9119 183 trials, 210 neurons  (6.6s; elapsed 9s, eta 60s)
[62/459] 1e45d992-c356-40e1-9be1-a506d944896f 414 trials, 173 neurons  (4.4s; elapsed 9s, eta 60s)
[63/459] 283ecb4c-e529-409c-9f0a-8ea5191dcf50 330 trials, 42 neurons  (2.3s; elapsed 9s, eta 60s)
[64/459] 28338153-4113-485b-835b-91cb96d984f2 710 trials, 99 neurons  (2.4s; elapsed 10s, eta 59s)
[65/459] 2ab7d2c2-bcb7-4ae6-9626-f3786c22d970 307 trials, 32 neurons  (1.9s; elapsed 10s, eta 58s)
[66/459] 1a507308-c63a-4e02-8f32-3239a07dc578 379 trials, 373 neurons  (6.4s; elapsed 10s, eta 58s)
[67/459] 22e04698-b974-4805-b241-3b547dbf37bf 299 trials, 136 neurons  (4.2s; elapsed 10s, eta 57s)
[68/459] 25f77e81-c1af-46ab-8686-73ac3d67c4a7 505 trials, 122 neurons  (2.8s; elapsed 10s, eta 57s)
[69/459] 239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a 360 trials, 104 neurons  (4.2s; elapsed 10s, eta 57s)
[70/459] 1ec23a70-b94b-4e9c-a0df-8c2151da3761 1085 trials, 247 neurons  (5.1s; elapsed 10s, eta 58s)
[71/459] 2d9bfc10-59fb-424a-b699-7c42f86c7871 466 trials, 92 neurons  (2.0s; elapsed 10s, eta 57s)
[72/459] 239dd3c9-35f3-4462-95ee-91b822a22e6b 255 trials, 155 neurons  (4.6s; elapsed 10s, eta 56s)
[73/459] 29a6def1-fc5c-4eea-ac48-47e9b053dcb5 633 trials, 100 neurons  (2.9s; elapsed 11s, eta 56s)
[74/459] 288bfbf3-3700-4abe-b6e4-130b5c541e61 347 trials, 48 neurons  (3.4s; elapsed 11s, eta 55s)
[75/459] 27ef44c0-acb2-4220-b776-477d0d5abd35 466 trials, 181 neurons  (3.7s; elapsed 11s, eta 55s)
[76/459] 30e5937e-e86a-47e6-93ae-d2ae3877ff8e 320 trials, 104 neurons  (1.8s; elapsed 11s, eta 54s)
[77/459] 20c112a1-8a42-44e0-a4cd-e5b932f7bda9 439 trials, 203 neurons  (5.5s; elapsed 11s, eta 54s)
[78/459] 30af8629-7b96-45b7-8778-374720ddbc5e 304 trials, 63 neurons  (1.9s; elapsed 11s, eta 53s)
[79/459] 26aa51ff-968c-42e4-85c8-8ff47d19254d 338 trials, 143 neurons  (4.1s; elapsed 11s, eta 53s)
[80/459] 2f63c555-eb74-4d8d-ada5-5c3ecf3b46be 255 trials, 34 neurons  (2.5s; elapsed 11s, eta 52s)
[81/459] 28741f91-c837-4147-939e-918d38d849f2 270 trials, 105 neurons  (4.0s; elapsed 11s, eta 52s)
[82/459] 280ee768-f7b8-4c6c-9ea0-48ca75d6b6f3 730 trials, 106 neurons  (4.1s; elapsed 11s, eta 52s)
[83/459] 36280321-555b-446d-9b7d-c2e17991e090 427 trials, 55 neurons  (1.8s; elapsed 11s, eta 51s)
[84/459] 251ece37-7798-477c-8a06-2845d4aa270c 356 trials, 192 neurons  (5.3s; elapsed 11s, eta 51s)
[85/459] 259927fd-7563-4b03-bc5d-17b4d0fa7a55 499 trials, 298 neurons  (4.6s; elapsed 12s, eta 51s)
[86/459] 1b9e349e-93f2-41cc-a4b5-b212d7ddc8df 926 trials, 179 neurons  (7.0s; elapsed 12s, eta 51s)
[87/459] 35eeb752-8f4f-4040-9714-ba0f5b7ccdfe 538 trials, 101 neurons  (2.2s; elapsed 12s, eta 50s)
[88/459] 2c44a360-5a56-4971-8009-f469fb59de98 333 trials, 270 neurons  (3.6s; elapsed 12s, eta 50s)
[89/459] 25d1920e-a2af-4b6c-9f2e-fc6c65576544 217 trials, 223 neurons  (5.0s; elapsed 12s, eta 49s)
[90/459] 37ac03f1-9831-4a30-90fc-a59e635b98bd 309 trials, 71 neurons  (1.9s; elapsed 12s, eta 49s)
[91/459] 3537d970-f515-4786-853f-23de525e110f 341 trials, 214 neurons  (2.6s; elapsed 12s, eta 48s)
[92/459] 36573e0b-ddd6-4504-94ec-9a23c877486c 278 trials, 50 neurons  (2.1s; elapsed 12s, eta 48s)
[93/459] 3638d102-e8b6-4230-8742-e548cd87a949 394 trials, 83 neurons  (2.2s; elapsed 12s, eta 47s)
[94/459] 3a3ea015-b5f4-4e8b-b189-9364d1fc7435 262 trials, 2 neurons  (1.6s; elapsed 12s, eta 47s)
[95/459] 2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e 192 trials, 116 neurons  (4.1s; elapsed 12s, eta 47s)
[96/459] 32d27583-56aa-4510-bc03-669036edad20 515 trials, 148 neurons  (3.2s; elapsed 12s, eta 47s)
[97/459] 3c851386-e92d-4533-8d55-89a46f0e7384 268 trials, 66 neurons  (1.8s; elapsed 13s, eta 47s)
[98/459] 37bbc17f-8dec-4fa8-97fd-e23a5c6bad1f 480 trials, 39 neurons  (2.3s; elapsed 13s, eta 47s)
[99/459] 3bb54985-77b2-421d-9d1f-46185be51216 453 trials, 10 neurons  (2.2s; elapsed 13s, eta 46s)
[100/459] 3f6e25ae-c007-4dc3-aa77-450fd5705046 216 trials, 133 neurons  (1.7s; elapsed 13s, eta 46s)
[101/459] 2e6e179c-fccc-4e8f-9448-ce5b6858a183 444 trials, 160 neurons  (4.4s; elapsed 13s, eta 46s)
[102/459] 2bdf206a-820f-402f-920a-9e86cd5388a4 422 trials, 346 neurons  (5.3s; elapsed 13s, eta 46s)
[103/459] 35ed605c-1a1a-47b1-86ff-2b56144f55af 403 trials, 186 neurons  (3.6s; elapsed 13s, eta 45s)
[104/459] 413a6825-2144-4a50-b3fc-cf38ddd6fd1a 326 trials, 39 neurons  (1.7s; elapsed 13s, eta 45s)
[105/459] 3dd347df-f14e-40d5-9ff2-9c49f84d2157 237 trials, 91 neurons  (2.4s; elapsed 13s, eta 45s)
[106/459] 3e7ae7c0-fe8b-487c-9354-036236fa1010 402 trials, 27 neurons  (2.3s; elapsed 13s, eta 44s)
[107/459] 360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7 367 trials, 147 neurons  (3.8s; elapsed 13s, eta 44s)
[108/459] 4546cd60-fa2a-4d20-a9b6-d091e01d16f2 310 trials, 16 neurons  (1.6s; elapsed 13s, eta 44s)
[109/459] 4503697e-af44-47d9-898d-4924be990240 304 trials, 22 neurons  (1.8s; elapsed 14s, eta 43s)
[110/459] 4d8c7767-981c-4347-8e5e-5d5fffe38534 SKIP: no whisker motion energy (neither camera)  (0.6s; elapsed 14s, eta 43s)
[111/459] 3f71aa98-08c6-4e79-b4c8-00eae4f03eff 467 trials, 142 neurons  (2.4s; elapsed 14s, eta 43s)
[112/459] 446f4724-1690-49f9-819a-2bd8e2ea88ce 532 trials, 78 neurons  (2.1s; elapsed 14s, eta 43s)
[113/459] 49250fba-801c-4867-a0a7-a1e19538cb61 378 trials, 22 neurons  (2.0s; elapsed 14s, eta 43s)
[114/459] 2e22c1fc-eec6-4856-85a0-7dba8668f646 349 trials, 239 neurons  (5.7s; elapsed 14s, eta 43s)
[115/459] 4364a246-f8d7-4ce7-ba23-a098104b96e4 147 trials, 163 neurons  (2.5s; elapsed 14s, eta 42s)
[116/459] 49368f16-de69-4647-9a7a-761e94517821 398 trials, 99 neurons  (2.1s; elapsed 14s, eta 42s)
[117/459] 3e6a97d3-3991-49e2-b346-6948cb4580fb 422 trials, 147 neurons  (3.6s; elapsed 15s, eta 42s)
[118/459] 46794e05-3f6a-4d35-afb3-9165091a5a74 535 trials, 79 neurons  (2.6s; elapsed 15s, eta 42s)
[119/459] 4aa1d525-5c7d-4c50-a147-ec53a9014812 370 trials, 141 neurons  (2.0s; elapsed 15s, eta 42s)
[120/459] 3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b 446 trials, 157 neurons  (4.0s; elapsed 15s, eta 42s)
[121/459] 4e560423-5caf-4cda-8511-d1ab4cd2bf7d 442 trials, 7 neurons  (1.6s; elapsed 15s, eta 41s)
[122/459] 37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0 358 trials, 181 neurons  (4.6s; elapsed 15s, eta 42s)
[123/459] 4fa70097-8101-4f10-b585-db39429c5ed0 335 trials, 103 neurons  (1.9s; elapsed 15s, eta 42s)
[124/459] 3f859b5c-e73a-4044-b49e-34bb81e96715 326 trials, 268 neurons  (4.0s; elapsed 15s, eta 41s)
[125/459] 3663d82b-f197-4e8b-b299-7b803a155b84 594 trials, 158 neurons  (5.6s; elapsed 16s, eta 42s)
[126/459] 500a71dd-8768-4211-a1fe-1fafc9fcbf29 284 trials, 35 neurons  (2.1s; elapsed 16s, eta 41s)
[127/459] 465c44bd-2e67-4112-977b-36e1ac7e3f8c 359 trials, 254 neurons  (3.7s; elapsed 16s, eta 41s)
[128/459] 3bcb81b4-d9ca-4fc9-a1cd-353a966239ca 384 trials, 121 neurons  (5.0s; elapsed 16s, eta 41s)
[129/459] 4720c98a-a305-4fba-affb-bbfa00a724a4 532 trials, 164 neurons  (3.9s; elapsed 16s, eta 41s)
[130/459] 4ef13091-1bc8-4f32-9619-107bdf48540c 624 trials, 66 neurons  (2.5s; elapsed 16s, eta 40s)
[131/459] 571d3ffe-54a5-473d-a265-5dc373eb7efc SKIP: no whisker motion energy (neither camera)  (0.4s; elapsed 16s, eta 40s)
[132/459] 45ef6691-7b80-4a43-bd1a-85fc00851ae8 428 trials, 147 neurons  (4.2s; elapsed 16s, eta 40s)
[133/459] 53738f95-bd08-4d9d-9133-483fdb19e8da 354 trials, 62 neurons  (2.0s; elapsed 16s, eta 40s)
[134/459] 493170a6-fd94-4ee4-884f-cc018c17eeb9 535 trials, 164 neurons  (4.0s; elapsed 16s, eta 39s)
[135/459] 5437ec1f-6535-470c-80b8-4c8806ee085d 258 trials, 36 neurons  (1.8s; elapsed 16s, eta 39s)
[136/459] 4b00df29-3769-43be-bb40-128b1cba6d35 547 trials, 109 neurons  (3.8s; elapsed 17s, eta 39s)
[137/459] 510b1a50-825d-44ce-86f6-9678f5396e02 654 trials, 228 neurons  (3.0s; elapsed 17s, eta 39s)
[138/459] 41431f53-69fd-4e3b-80ce-ea62e03bf9c7 308 trials, 274 neurons  (5.3s; elapsed 17s, eta 39s)
[139/459] 5455a21c-1be7-4cae-ae8e-8853a8d5f55e 358 trials, 59 neurons  (2.0s; elapsed 17s, eta 39s)
[140/459] 49e0ab27-827a-4c91-bcaa-97eea27a1b8d 574 trials, 124 neurons  (4.4s; elapsed 17s, eta 39s)
[141/459] 4ddb8a95-788b-48d0-8a0a-66c7c796da96 553 trials, 111 neurons  (4.0s; elapsed 17s, eta 39s)
[142/459] 5569f363-0934-464e-9a5b-77c8e67791a1 509 trials, 85 neurons  (2.1s; elapsed 17s, eta 39s)
[143/459] 4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b 559 trials, 174 neurons  (4.5s; elapsed 17s, eta 39s)
[144/459] 5386aba9-9b97-4557-abcd-abc2da66b863 682 trials, 59 neurons  (3.1s; elapsed 17s, eta 38s)
[145/459] 58b1e920-cfc8-467e-b28b-7654a55d0977 565 trials, 29 neurons  (2.1s; elapsed 18s, eta 39s)
[146/459] 58c4bf97-ec3b-45b4-9db4-d5d9515d5b00 244 trials, 130 neurons  (2.1s; elapsed 18s, eta 39s)
[147/459] 5139ce2c-7d52-44bf-8129-692d61dd6403 656 trials, 137 neurons  (4.5s; elapsed 18s, eta 38s)
[148/459] 5157810e-0fff-4bcf-b19d-32d4e39c7dfc 203 trials, 107 neurons  (4.5s; elapsed 18s, eta 38s)
[149/459] 5b49aca6-a6f4-4075-931a-617ad64c219c 584 trials, 41 neurons  (1.9s; elapsed 18s, eta 38s)
[150/459] 51e53aff-1d5d-4182-a684-aba783d50ae5 190 trials, 249 neurons  (4.7s; elapsed 18s, eta 38s)
[151/459] 537677fe-1e24-4755-948c-fa4a4e8ecce5 234 trials, 175 neurons  (4.3s; elapsed 19s, eta 38s)
[152/459] 4a45c8ba-db6f-4f11-9403-56e06a33dfa4 209 trials, 398 neurons  (6.0s; elapsed 19s, eta 38s)
[153/459] 4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a 342 trials, 442 neurons  (5.5s; elapsed 19s, eta 38s)
[154/459] 54238fd6-d2d0-4408-b1a9-d19d24fd29ce 427 trials, 215 neurons  (4.3s; elapsed 19s, eta 38s)
[155/459] 56956777-dca5-468c-87cb-78150432cc57 244 trials, 192 neurons  (3.7s; elapsed 19s, eta 37s)
[156/459] 5ae68c54-2897-4d3a-8120-426150704385 204 trials, 129 neurons  (3.1s; elapsed 19s, eta 37s)
[157/459] 5285c561-80da-4563-8694-739da92e5dd0 351 trials, 221 neurons  (5.3s; elapsed 19s, eta 37s)
[158/459] 5339812f-8b91-40ba-9d8f-a559563cc46b 285 trials, 280 neurons  (5.2s; elapsed 19s, eta 37s)
[159/459] 61caa69d-088b-465a-b9d0-d75341dabac6 319 trials, 105 neurons  (2.6s; elapsed 20s, eta 37s)
[160/459] 549caacc-3bd7-40f1-913d-e94141816547 232 trials, 190 neurons  (4.7s; elapsed 20s, eta 37s)
[161/459] 62902992-8432-46fb-af12-6392012e58c7 375 trials, 34 neurons  (2.3s; elapsed 20s, eta 36s)
[162/459] 62ff920c-2fdd-4feb-9d9f-0d66f2e595a1 356 trials, 93 neurons  (2.3s; elapsed 20s, eta 36s)
[163/459] 5b44c40f-80f4-44fb-abfb-c7f19e27a6ca 418 trials, 107 neurons  (3.8s; elapsed 20s, eta 36s)
[164/459] 57b5ae8f-d446-4161-b439-b191c5e3e77b 369 trials, 92 neurons  (4.2s; elapsed 20s, eta 36s)
[165/459] 56bc129c-6265-407a-a208-cc16d20a6c01 641 trials, 192 neurons  (4.5s; elapsed 20s, eta 36s)
[166/459] 6434f2f5-6bce-42b8-8563-d93d493613a2 193 trials, 80 neurons  (2.0s; elapsed 20s, eta 36s)
[167/459] 64e3fb86-928c-4079-865c-b364205b502e 342 trials, 25 neurons  (1.7s; elapsed 20s, eta 35s)
[168/459] 64977c74-9c04-437a-9ea1-50386c4996db 498 trials, 62 neurons  (2.1s; elapsed 21s, eta 36s)
[169/459] 6364ff7f-6471-415a-ab9e-632a12052690 388 trials, 115 neurons  (2.7s; elapsed 21s, eta 35s)
[170/459] 63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871 322 trials, 89 neurons  (2.5s; elapsed 21s, eta 35s)
[171/459] 5522ac4b-0e41-4c53-836a-aaa17e82b9eb 1054 trials, 220 neurons  (5.8s; elapsed 21s, eta 35s)
[172/459] 56b57c38-2699-4091-90a8-aba35103155e 413 trials, 391 neurons  (5.3s; elapsed 21s, eta 35s)
[173/459] 5adab0b7-dfd0-467d-b09d-43cb7ca5d59c 426 trials, 306 neurons  (5.0s; elapsed 21s, eta 35s)
[174/459] 65f5c9b4-4440-48b9-b914-c593a5184a18 359 trials, 110 neurons  (2.3s; elapsed 21s, eta 35s)
[175/459] 6713a4a7-faed-4df2-acab-ee4e63326f8d 407 trials, 61 neurons  (2.0s; elapsed 21s, eta 34s)
[176/459] 5ec72172-3901-4771-8777-6e9490ca51fc 695 trials, 195 neurons  (4.3s; elapsed 21s, eta 34s)
[177/459] 5bcafa14-71cb-42fa-8265-ce5cda1b89e0 132 trials, 131 neurons  (4.8s; elapsed 21s, eta 34s)
[178/459] 687017d4-c9fc-458f-a7d5-0979fe1a7470 257 trials, 84 neurons  (2.3s; elapsed 22s, eta 34s)
[179/459] 626126d5-eecf-4e9b-900e-ec29a17ece07 662 trials, 231 neurons  (4.5s; elapsed 22s, eta 34s)
[180/459] 69a0e953-a643-4f0e-bb26-dc65af3ea7d7 448 trials, 37 neurons  (2.1s; elapsed 22s, eta 34s)
[181/459] 66d98e6e-bcd9-4e78-8fbb-636f7e808b29 379 trials, 62 neurons  (2.8s; elapsed 22s, eta 34s)
[182/459] 7082d8ff-255a-47d7-a839-bf093483ec30 SKIP: no whisker motion energy (neither camera)  (0.5s; elapsed 22s, eta 33s)
[183/459] 5d01d14e-aced-4465-8f8e-9a1c674f62ec 257 trials, 233 neurons  (5.1s; elapsed 22s, eta 33s)
[184/459] 5b609f9b-75cb-43d3-9c39-b5b4b7a0db67 751 trials, 149 neurons  (5.6s; elapsed 22s, eta 33s)
[185/459] 6668c4a0-70a4-4012-a7da-709660971d7a 304 trials, 295 neurons  (3.1s; elapsed 22s, eta 33s)
[186/459] 642c97ea-fe89-4ec9-8629-5e492ea4019d 335 trials, 186 neurons  (3.8s; elapsed 22s, eta 32s)
[187/459] 6bb5da8f-6858-4fdd-96d9-c34b3b841593 449 trials, 1 neurons  (1.8s; elapsed 22s, eta 32s)
[188/459] 68775ca0-b056-48d5-b6ae-a4c2a76ae48f 563 trials, 97 neurons  (2.7s; elapsed 22s, eta 32s)
[189/459] 6cbeead9-bb7a-40e1-8ccd-47ae60239654 324 trials, 55 neurons  (1.7s; elapsed 22s, eta 32s)
[190/459] 5c0c560e-9e1f-45e9-b66e-e4ee7855be84 843 trials, 263 neurons  (5.8s; elapsed 23s, eta 32s)
[191/459] 6ab9d98c-b1e9-4574-b8fe-b9eec88097e0 617 trials, 135 neurons  (2.6s; elapsed 23s, eta 32s)
[192/459] 63c70ae8-4dfb-418b-b21b-f0b1e5fba6c9 727 trials, 240 neurons  (4.5s; elapsed 23s, eta 32s)
[193/459] 6274dda8-3a59-4aa1-95f8-a8a549c46a26 586 trials, 349 neurons  (5.3s; elapsed 23s, eta 32s)
[194/459] 6bf810fd-fbeb-4eea-9ea7-b6791d002b22 328 trials, 111 neurons  (2.8s; elapsed 23s, eta 32s)
[195/459] 6fb1e12c-883b-46d1-a745-473cde3232c8 317 trials, 149 neurons  (1.9s; elapsed 23s, eta 31s)
[196/459] 6f6d2c8e-28be-49f4-ae4d-06be2d3148c1 393 trials, 95 neurons  (1.9s; elapsed 23s, eta 31s)
[197/459] 5d6aa933-4b00-4e99-ae2d-5003657592e9 640 trials, 229 neurons  (6.3s; elapsed 23s, eta 31s)
[198/459] 671c7ea7-6726-4fbe-adeb-f89c2c8e489b 543 trials, 121 neurons  (4.1s; elapsed 23s, eta 31s)
[199/459] 6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4 324 trials, 81 neurons  (2.9s; elapsed 24s, eta 31s)
[200/459] 6b0b5d24-bcda-4053-a59c-beaa1fe03b8f 410 trials, 118 neurons  (3.7s; elapsed 24s, eta 31s)
[201/459] 695a6073-eae0-49e0-bb0f-e9e57a9275b9 466 trials, 98 neurons  (4.2s; elapsed 24s, eta 30s)
[202/459] 6c6983ef-7383-4989-9183-32b1a300d17a 463 trials, 62 neurons  (3.7s; elapsed 24s, eta 30s)
[203/459] 69c9a415-f7fa-4208-887b-1417c1479b48 454 trials, 179 neurons  (4.2s; elapsed 24s, eta 30s)
[204/459] 741979ce-3f10-443a-8526-2275620c8473 518 trials, 58 neurons  (1.9s; elapsed 24s, eta 30s)
[205/459] 71e03be6-b497-4991-a121-9416dcc1a6e7 488 trials, 134 neurons  (2.5s; elapsed 24s, eta 30s)
[206/459] 7235b10c-6621-44ea-abe9-01559633472d 358 trials, 157 neurons  (2.5s; elapsed 24s, eta 30s)
[207/459] 6ed57216-498d-48a6-b48b-a243a34710ea 439 trials, 148 neurons  (3.5s; elapsed 24s, eta 30s)
[208/459] 75db708a-9952-4452-a5b1-a851d88f8e28 311 trials, 30 neurons  (2.2s; elapsed 24s, eta 30s)
[209/459] 72028382-a869-4745-bacf-cb8789e16953 765 trials, 136 neurons  (2.9s; elapsed 25s, eta 30s)
[210/459] 77e6dc6a-66ed-433c-b1a2-778c914f523c 590 trials, 85 neurons  (2.1s; elapsed 25s, eta 30s)
