processed 1/461 sessions; kept 1; dt=5.63s
processed 102/461 sessions; kept 102; dt=40.71s
processed 103/461 sessions; kept 103; dt=27.07s
processed 104/461 sessions; kept 104; dt=25.55s
processed 105/461 sessions; kept 105; dt=31.64s
processed 106/461 sessions; kept 106; dt=31.57s
processed 107/461 sessions; kept 107; dt=35.00s
processed 108/461 sessions; kept 108; dt=33.41s
processed 109/461 sessions; kept 109; dt=62.29s
processed 110/461 sessions; kept 110; dt=1.03s
processed 111/461 sessions; kept 111; dt=15.68s
processed 112/461 sessions; kept 112; dt=8.66s
processed 113/461 sessions; kept 113; dt=10.12s
processed 114/461 sessions; kept 114; dt=63.44s
processed 115/461 sessions; kept 115; dt=16.44s
processed 116/461 sessions; kept 116; dt=16.30s
processed 117/461 sessions; kept 117; dt=15.28s
processed 118/461 sessions; kept 118; dt=12.23s
processed 119/461 sessions; kept 119; dt=37.09s
processed 120/461 sessions; kept 120; dt=49.06s
processed 121/461 sessions; kept 121; dt=19.77s
processed 122/461 sessions; kept 122; dt=7.28s
processed 123/461 sessions; kept 123; dt=16.60s
processed 124/461 sessions; kept 124; dt=36.27s
processed 125/461 sessions; kept 125; dt=13.41s
processed 126/461 sessions; kept 126; dt=12.98s
processed 127/461 sessions; kept 127; dt=19.28s
processed 128/461 sessions; kept 128; dt=20.95s
processed 129/461 sessions; kept 129; dt=10.40s
processed 130/461 sessions; kept 130; dt=11.55s
processed 131/461 sessions; kept 131; dt=48.49s
processed 132/461 sessions; kept 132; dt=20.42s
processed 133/461 sessions; kept 133; dt=20.23s
processed 134/461 sessions; kept 134; dt=28.60s
processed 135/461 sessions; kept 135; dt=14.57s
processed 136/461 sessions; kept 136; dt=49.66s
processed 137/461 sessions; kept 137; dt=7.35s
processed 138/461 sessions; kept 138; dt=18.44s
processed 139/461 sessions; kept 139; dt=51.16s
processed 140/461 sessions; kept 140; dt=19.15s
processed 141/461 sessions; kept 141; dt=7.92s
processed 142/461 sessions; kept 142; dt=1.73s
processed 143/461 sessions; kept 143; dt=3.38s
processed 144/461 sessions; kept 144; dt=5.60s
processed 145/461 sessions; kept 145; dt=12.92s
processed 146/461 sessions; kept 146; dt=20.29s
processed 147/461 sessions; kept 147; dt=4.55s
processed 148/461 sessions; kept 148; dt=3.37s
processed 149/461 sessions; kept 149; dt=15.39s
processed 150/461 sessions; kept 150; dt=21.37s
processed 151/461 sessions; kept 151; dt=9.01s
processed 152/461 sessions; kept 152; dt=16.18s
processed 153/461 sessions; kept 153; dt=7.08s
processed 154/461 sessions; kept 154; dt=7.84s
processed 155/461 sessions; kept 155; dt=6.12s
processed 156/461 sessions; kept 156; dt=23.00s
processed 157/461 sessions; kept 157; dt=4.29s
processed 158/461 sessions; kept 158; dt=213.03s
processed 159/461 sessions; kept 159; dt=25.76s
processed 160/461 sessions; kept 160; dt=66.38s
processed 161/461 sessions; kept 161; dt=7.68s
processed 162/461 sessions; kept 162; dt=2.55s
processed 163/461 sessions; kept 163; dt=9.66s
processed 164/461 sessions; kept 164; dt=5.96s
processed 165/461 sessions; kept 165; dt=3.77s
processed 166/461 sessions; kept 166; dt=12.91s
processed 167/461 sessions; kept 167; dt=3.16s
processed 168/461 sessions; kept 168; dt=11.89s
processed 169/461 sessions; kept 169; dt=6.24s
processed 170/461 sessions; kept 170; dt=3.20s
processed 171/461 sessions; kept 171; dt=4.47s
processed 172/461 sessions; kept 172; dt=40.46s
processed 173/461 sessions; kept 173; dt=68.08s
processed 174/461 sessions; kept 174; dt=5.78s
processed 175/461 sessions; kept 175; dt=8.04s
processed 176/461 sessions; kept 176; dt=4.13s
processed 177/461 sessions; kept 177; dt=7.71s
processed 178/461 sessions; kept 178; dt=6.06s
processed 179/461 sessions; kept 179; dt=3.20s
processed 180/461 sessions; kept 180; dt=2.64s
processed 181/461 sessions; kept 181; dt=6.35s
processed 182/461 sessions; kept 182; dt=1.52s
processed 183/461 sessions; kept 183; dt=8.27s
processed 184/461 sessions; kept 184; dt=6.79s
processed 185/461 sessions; kept 185; dt=6.68s
processed 186/461 sessions; kept 186; dt=6.28s
processed 187/461 sessions; kept 187; dt=27.10s
processed 188/461 sessions; kept 188; dt=8.79s
processed 189/461 sessions; kept 189; dt=22.09s
processed 190/461 sessions; kept 190; dt=23.60s
processed 191/461 sessions; kept 191; dt=18.68s
processed 192/461 sessions; kept 192; dt=15.03s
processed 193/461 sessions; kept 193; dt=81.25s
processed 194/461 sessions; kept 194; dt=59.84s
processed 195/461 sessions; kept 195; dt=40.79s
processed 196/461 sessions; kept 196; dt=19.38s
processed 197/461 sessions; kept 197; dt=67.53s
processed 198/461 sessions; kept 198; dt=31.33s
processed 199/461 sessions; kept 199; dt=19.54s
processed 200/461 sessions; kept 200; dt=3.94s
processed 201/461 sessions; kept 201; dt=75.76s
processed 202/461 sessions; kept 202; dt=25.44s
processed 203/461 sessions; kept 203; dt=58.16s
processed 204/461 sessions; kept 204; dt=29.93s
processed 205/461 sessions; kept 205; dt=24.28s
processed 206/461 sessions; kept 206; dt=39.95s
processed 207/461 sessions; kept 207; dt=40.58s
processed 208/461 sessions; kept 208; dt=99.19s
processed 209/461 sessions; kept 209; dt=5.33s
processed 210/461 sessions; kept 210; dt=4.99s
processed 211/461 sessions; kept 211; dt=3.15s
processed 212/461 sessions; kept 212; dt=13.54s
processed 213/461 sessions; kept 213; dt=1.43s
processed 214/461 sessions; kept 214; dt=17.58s
processed 215/461 sessions; kept 215; dt=16.72s
processed 216/461 sessions; kept 216; dt=4.84s
processed 217/461 sessions; kept 217; dt=25.23s
processed 218/461 sessions; kept 218; dt=8.26s
processed 219/461 sessions; kept 219; dt=22.12s
processed 220/461 sessions; kept 220; dt=62.88s
processed 221/461 sessions; kept 221; dt=25.21s
processed 222/461 sessions; kept 222; dt=3.63s
processed 223/461 sessions; kept 223; dt=9.41s
processed 224/461 sessions; kept 224; dt=48.42s
processed 225/461 sessions; kept 225; dt=62.83s
processed 226/461 sessions; kept 226; dt=79.08s
processed 227/461 sessions; kept 227; dt=9.36s
processed 228/461 sessions; kept 228; dt=2.83s
processed 229/461 sessions; kept 229; dt=46.00s
processed 230/461 sessions; kept 230; dt=3.06s
processed 231/461 sessions; kept 231; dt=27.87s
processed 232/461 sessions; kept 232; dt=3.22s
processed 233/461 sessions; kept 233; dt=3.20s
processed 234/461 sessions; kept 234; dt=3.37s
processed 235/461 sessions; kept 235; dt=17.22s
processed 236/461 sessions; kept 236; dt=14.96s
processed 237/461 sessions; kept 237; dt=2.51s
processed 238/461 sessions; kept 238; dt=6.30s
processed 239/461 sessions; kept 239; dt=4.03s
processed 240/461 sessions; kept 240; dt=7.01s
processed 241/461 sessions; kept 241; dt=75.02s
processed 242/461 sessions; kept 242; dt=2.14s
processed 243/461 sessions; kept 243; dt=2.76s
processed 244/461 sessions; kept 244; dt=2.65s
processed 245/461 sessions; kept 245; dt=3.98s
processed 246/461 sessions; kept 246; dt=6.92s
processed 247/461 sessions; kept 247; dt=14.10s
processed 248/461 sessions; kept 248; dt=3.35s
processed 249/461 sessions; kept 249; dt=3.85s
processed 250/461 sessions; kept 250; dt=2.76s
processed 251/461 sessions; kept 251; dt=3.07s
processed 252/461 sessions; kept 252; dt=7.52s
processed 253/461 sessions; kept 253; dt=3.04s
processed 254/461 sessions; kept 254; dt=15.06s
processed 255/461 sessions; kept 255; dt=21.95s
processed 256/461 sessions; kept 256; dt=35.85s
processed 257/461 sessions; kept 257; dt=37.83s
processed 258/461 sessions; kept 258; dt=51.08s
processed 259/461 sessions; kept 259; dt=22.98s
processed 260/461 sessions; kept 260; dt=44.57s
processed 261/461 sessions; kept 261; dt=7.41s
processed 262/461 sessions; kept 262; dt=30.66s
processed 263/461 sessions; kept 263; dt=21.70s
processed 264/461 sessions; kept 264; dt=7.91s
processed 265/461 sessions; kept 265; dt=3.75s
processed 266/461 sessions; kept 266; dt=43.22s
processed 267/461 sessions; kept 267; dt=13.73s
processed 268/461 sessions; kept 268; dt=35.11s
processed 269/461 sessions; kept 269; dt=11.55s
processed 270/461 sessions; kept 270; dt=14.77s
processed 271/461 sessions; kept 271; dt=14.87s
processed 272/461 sessions; kept 272; dt=27.33s
processed 273/461 sessions; kept 273; dt=7.76s
processed 274/461 sessions; kept 274; dt=22.98s
processed 275/461 sessions; kept 275; dt=9.38s
processed 276/461 sessions; kept 276; dt=4.52s
processed 277/461 sessions; kept 277; dt=8.88s
processed 278/461 sessions; kept 278; dt=13.23s
processed 279/461 sessions; kept 279; dt=68.99s
processed 280/461 sessions; kept 280; dt=6.82s
processed 281/461 sessions; kept 281; dt=8.70s
processed 282/461 sessions; kept 282; dt=22.22s
processed 283/461 sessions; kept 283; dt=23.53s
processed 284/461 sessions; kept 284; dt=15.12s
processed 285/461 sessions; kept 285; dt=8.43s
processed 286/461 sessions; kept 286; dt=8.63s
processed 287/461 sessions; kept 287; dt=1.27s
processed 288/461 sessions; kept 288; dt=203.52s
processed 289/461 sessions; kept 289; dt=16.31s
processed 290/461 sessions; kept 290; dt=69.08s
processed 291/461 sessions; kept 291; dt=114.56s
processed 292/461 sessions; kept 292; dt=18.79s
processed 293/461 sessions; kept 293; dt=96.17s
processed 294/461 sessions; kept 294; dt=91.26s
processed 295/461 sessions; kept 295; dt=312.26s
processed 296/461 sessions; kept 296; dt=84.10s
processed 297/461 sessions; kept 297; dt=3.44s
processed 298/461 sessions; kept 298; dt=23.07s
processed 299/461 sessions; kept 299; dt=20.79s
processed 300/461 sessions; kept 300; dt=9.72s
processed 301/461 sessions; kept 301; dt=7.47s
processed 302/461 sessions; kept 302; dt=9.28s
processed 303/461 sessions; kept 303; dt=14.24s
processed 304/461 sessions; kept 304; dt=4.01s
processed 305/461 sessions; kept 305; dt=5.63s
processed 306/461 sessions; kept 306; dt=33.67s
processed 307/461 sessions; kept 307; dt=25.41s
processed 308/461 sessions; kept 308; dt=176.24s
processed 309/461 sessions; kept 309; dt=6.58s
processed 310/461 sessions; kept 310; dt=16.81s
processed 311/461 sessions; kept 311; dt=20.77s
processed 312/461 sessions; kept 312; dt=5.04s
processed 313/461 sessions; kept 313; dt=32.06s
processed 314/461 sessions; kept 314; dt=23.90s
processed 315/461 sessions; kept 315; dt=20.71s
processed 316/461 sessions; kept 316; dt=18.09s
processed 317/461 sessions; kept 317; dt=7.52s
processed 318/461 sessions; kept 318; dt=34.91s
processed 319/461 sessions; kept 319; dt=4.66s
processed 320/461 sessions; kept 320; dt=48.49s
processed 321/461 sessions; kept 321; dt=30.69s
processed 322/461 sessions; kept 322; dt=63.92s
processed 323/461 sessions; kept 323; dt=7.10s
processed 324/461 sessions; kept 324; dt=188.19s
processed 325/461 sessions; kept 325; dt=18.92s
processed 326/461 sessions; kept 326; dt=2.38s
processed 327/461 sessions; kept 327; dt=119.39s
processed 328/461 sessions; kept 328; dt=50.19s
processed 329/461 sessions; kept 329; dt=38.73s
processed 330/461 sessions; kept 330; dt=10.51s
processed 331/461 sessions; kept 331; dt=23.60s
processed 332/461 sessions; kept 332; dt=30.80s
processed 333/461 sessions; kept 333; dt=17.93s
processed 334/461 sessions; kept 334; dt=11.45s
processed 335/461 sessions; kept 335; dt=39.97s
processed 336/461 sessions; kept 336; dt=17.86s
processed 337/461 sessions; kept 337; dt=16.25s
processed 338/461 sessions; kept 338; dt=4.46s
processed 339/461 sessions; kept 339; dt=15.24s
processed 340/461 sessions; kept 340; dt=25.46s
processed 341/461 sessions; kept 341; dt=11.74s
processed 342/461 sessions; kept 342; dt=15.97s
processed 343/461 sessions; kept 343; dt=25.08s
processed 344/461 sessions; kept 344; dt=5.85s
processed 345/461 sessions; kept 345; dt=2.34s
processed 346/461 sessions; kept 346; dt=76.17s
processed 347/461 sessions; kept 347; dt=45.41s
processed 348/461 sessions; kept 348; dt=13.84s
processed 349/461 sessions; kept 349; dt=38.38s
processed 350/461 sessions; kept 350; dt=24.41s
processed 351/461 sessions; kept 351; dt=4.73s
processed 352/461 sessions; kept 352; dt=6.63s
processed 353/461 sessions; kept 353; dt=132.10s
processed 354/461 sessions; kept 354; dt=72.69s
processed 355/461 sessions; kept 355; dt=41.52s
processed 356/461 sessions; kept 356; dt=31.41s
processed 357/461 sessions; kept 357; dt=10.83s
processed 358/461 sessions; kept 358; dt=16.10s
processed 359/461 sessions; kept 359; dt=15.27s
processed 360/461 sessions; kept 360; dt=60.00s
processed 361/461 sessions; kept 361; dt=17.04s
processed 362/461 sessions; kept 362; dt=58.83s
processed 363/461 sessions; kept 363; dt=5.43s
processed 364/461 sessions; kept 364; dt=19.45s
processed 365/461 sessions; kept 365; dt=10.22s
processed 366/461 sessions; kept 366; dt=13.82s
processed 367/461 sessions; kept 367; dt=7.01s
processed 368/461 sessions; kept 368; dt=39.01s
processed 369/461 sessions; kept 369; dt=10.11s
processed 370/461 sessions; kept 370; dt=6.37s
processed 371/461 sessions; kept 371; dt=8.13s
processed 372/461 sessions; kept 372; dt=65.82s
processed 373/461 sessions; kept 373; dt=2.68s
processed 374/461 sessions; kept 374; dt=65.98s
processed 375/461 sessions; kept 375; dt=19.36s
processed 376/461 sessions; kept 376; dt=96.35s
processed 377/461 sessions; kept 377; dt=15.75s
processed 378/461 sessions; kept 378; dt=50.71s
processed 379/461 sessions; kept 379; dt=53.39s
processed 380/461 sessions; kept 380; dt=39.01s
processed 381/461 sessions; kept 381; dt=3.30s
processed 382/461 sessions; kept 382; dt=2.78s
processed 383/461 sessions; kept 383; dt=3.25s
processed 384/461 sessions; kept 384; dt=0.93s
processed 385/461 sessions; kept 385; dt=0.53s
processed 386/461 sessions; kept 386; dt=25.50s
processed 387/461 sessions; kept 387; dt=6.52s
processed 388/461 sessions; kept 388; dt=76.25s
processed 389/461 sessions; kept 389; dt=8.94s
processed 390/461 sessions; kept 390; dt=39.22s
processed 391/461 sessions; kept 391; dt=5.19s
processed 392/461 sessions; kept 392; dt=2.14s
processed 393/461 sessions; kept 393; dt=64.04s
processed 394/461 sessions; kept 394; dt=4.37s
processed 395/461 sessions; kept 395; dt=25.46s
processed 396/461 sessions; kept 396; dt=22.73s
processed 397/461 sessions; kept 397; dt=23.44s
processed 398/461 sessions; kept 398; dt=1.58s
processed 399/461 sessions; kept 399; dt=8.48s
processed 400/461 sessions; kept 400; dt=83.63s
processed 401/461 sessions; kept 401; dt=130.75s
processed 402/461 sessions; kept 402; dt=166.14s
processed 403/461 sessions; kept 403; dt=89.72s
processed 404/461 sessions; kept 404; dt=37.76s
processed 405/461 sessions; kept 405; dt=56.80s
processed 406/461 sessions; kept 406; dt=17.43s
processed 407/461 sessions; kept 407; dt=147.34s
processed 408/461 sessions; kept 408; dt=16.29s
processed 409/461 sessions; kept 409; dt=81.27s
processed 410/461 sessions; kept 410; dt=37.22s
processed 411/461 sessions; kept 411; dt=61.82s
processed 412/461 sessions; kept 412; dt=57.72s
processed 413/461 sessions; kept 413; dt=12.57s
processed 414/461 sessions; kept 414; dt=12.91s
processed 415/461 sessions; kept 415; dt=18.84s
processed 416/461 sessions; kept 416; dt=21.26s
processed 417/461 sessions; kept 417; dt=27.67s
processed 418/461 sessions; kept 418; dt=48.56s
processed 419/461 sessions; kept 419; dt=16.15s
processed 420/461 sessions; kept 420; dt=9.47s
processed 421/461 sessions; kept 421; dt=7.03s
processed 422/461 sessions; kept 422; dt=7.57s
processed 423/461 sessions; kept 423; dt=6.12s
processed 424/461 sessions; kept 424; dt=2.80s
processed 425/461 sessions; kept 425; dt=14.40s
processed 426/461 sessions; kept 426; dt=13.47s
processed 427/461 sessions; kept 427; dt=15.95s
processed 428/461 sessions; kept 428; dt=45.69s
processed 429/461 sessions; kept 429; dt=47.29s
processed 430/461 sessions; kept 430; dt=55.94s
processed 431/461 sessions; kept 431; dt=36.69s
processed 432/461 sessions; kept 432; dt=38.77s
processed 433/461 sessions; kept 433; dt=39.05s
processed 434/461 sessions; kept 434; dt=129.84s
processed 435/461 sessions; kept 435; dt=71.09s
processed 436/461 sessions; kept 436; dt=59.89s
processed 437/461 sessions; kept 437; dt=47.82s
processed 438/461 sessions; kept 438; dt=99.84s
processed 439/461 sessions; kept 439; dt=18.25s
processed 440/461 sessions; kept 440; dt=6.23s
processed 441/461 sessions; kept 441; dt=60.06s
processed 442/461 sessions; kept 442; dt=84.53s
processed 443/461 sessions; kept 443; dt=25.47s
processed 444/461 sessions; kept 444; dt=59.41s
processed 445/461 sessions; kept 445; dt=11.12s
processed 446/461 sessions; kept 446; dt=24.42s
processed 447/461 sessions; kept 447; dt=18.79s
processed 448/461 sessions; kept 448; dt=111.07s
processed 449/461 sessions; kept 449; dt=42.66s
processed 450/461 sessions; kept 450; dt=31.94s
processed 451/461 sessions; kept 451; dt=52.98s
processed 452/461 sessions; kept 452; dt=41.10s
processed 453/461 sessions; kept 453; dt=60.70s
processed 454/461 sessions; kept 454; dt=46.12s
processed 455/461 sessions; kept 455; dt=57.41s
processed 456/461 sessions; kept 456; dt=63.07s
processed 457/461 sessions; kept 457; dt=70.93s
processed 458/461 sessions; kept 458; dt=128.49s
processed 459/461 sessions; kept 459; dt=150.67s
processed 460/461 sessions; kept 460; dt=231.76s
processed 461/461 sessions; kept 461; dt=63.73s
saved converted_data.pkl with 461 sessions in 14653.14s
