Processing 152 sessions; target bin 64.483627 ms
[21/152] sub-m12_ses-09_behavior+ophys.nwb: neurons=1121 trials=80 rewarded=63 factor=1 lick_bad=0 time=0.41s
[22/152] sub-m12_ses-10_behavior+ophys.nwb: neurons=1327 trials=80 rewarded=62 factor=1 lick_bad=1 time=0.34s
[23/152] sub-m12_ses-11_behavior+ophys.nwb: neurons=1323 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.41s
[24/152] sub-m12_ses-12_behavior+ophys.nwb: neurons=1184 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.53s
[25/152] sub-m12_ses-13_behavior+ophys.nwb: neurons=1118 trials=80 rewarded=61 factor=1 lick_bad=0 time=0.45s
[26/152] sub-m12_ses-14_behavior+ophys.nwb: neurons=1354 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.36s
[27/152] sub-m13_ses-01_behavior+ophys.nwb: neurons=686 trials=80 rewarded=56 factor=1 lick_bad=0 time=0.32s
[28/152] sub-m13_ses-02_behavior+ophys.nwb: neurons=550 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.50s
[29/152] sub-m13_ses-03_behavior+ophys.nwb: neurons=616 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.28s
[30/152] sub-m13_ses-04_behavior+ophys.nwb: neurons=503 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.38s
[31/152] sub-m13_ses-05_behavior+ophys.nwb: neurons=704 trials=80 rewarded=66 factor=1 lick_bad=0 time=0.27s
[32/152] sub-m13_ses-06_behavior+ophys.nwb: neurons=519 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.27s
[33/152] sub-m13_ses-07_behavior+ophys.nwb: neurons=834 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.49s
[34/152] sub-m13_ses-08_behavior+ophys.nwb: neurons=707 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.28s
[35/152] sub-m13_ses-09_behavior+ophys.nwb: neurons=557 trials=80 rewarded=61 factor=1 lick_bad=0 time=0.30s
[36/152] sub-m13_ses-10_behavior+ophys.nwb: neurons=603 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.42s
[37/152] sub-m13_ses-11_behavior+ophys.nwb: neurons=657 trials=80 rewarded=66 factor=1 lick_bad=0 time=0.45s
[38/152] sub-m13_ses-12_behavior+ophys.nwb: neurons=595 trials=80 rewarded=61 factor=1 lick_bad=0 time=0.52s
[39/152] sub-m13_ses-13_behavior+ophys.nwb: neurons=479 trials=60 rewarded=49 factor=1 lick_bad=0 time=0.27s
[40/152] sub-m13_ses-14_behavior+ophys.nwb: neurons=749 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.43s
[41/152] sub-m14_ses-01_behavior+ophys.nwb: neurons=981 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.36s
[42/152] sub-m14_ses-02_behavior+ophys.nwb: neurons=592 trials=80 rewarded=69 factor=1 lick_bad=7 time=0.43s
[43/152] sub-m14_ses-03_behavior+ophys.nwb: neurons=753 trials=80 rewarded=63 factor=1 lick_bad=0 time=0.29s
[44/152] sub-m14_ses-04_behavior+ophys.nwb: neurons=648 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.27s
[45/152] sub-m14_ses-05_behavior+ophys.nwb: neurons=603 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.33s
[46/152] sub-m14_ses-06_behavior+ophys.nwb: neurons=619 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.30s
[47/152] sub-m14_ses-07_behavior+ophys.nwb: neurons=927 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.40s
[48/152] sub-m14_ses-08_behavior+ophys.nwb: neurons=990 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.56s
[49/152] sub-m14_ses-09_behavior+ophys.nwb: neurons=500 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.41s
[50/152] sub-m14_ses-10_behavior+ophys.nwb: neurons=727 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.40s
[51/152] sub-m14_ses-11_behavior+ophys.nwb: neurons=554 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.36s
[52/152] sub-m14_ses-12_behavior+ophys.nwb: neurons=611 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.22s
[53/152] sub-m14_ses-13_behavior+ophys.nwb: neurons=483 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.42s
[54/152] sub-m14_ses-14_behavior+ophys.nwb: neurons=876 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.35s
[55/152] sub-m15_ses-01_behavior+ophys.nwb: neurons=1133 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.44s
[56/152] sub-m15_ses-02_behavior+ophys.nwb: neurons=1045 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.27s
[57/152] sub-m15_ses-03_behavior+ophys.nwb: neurons=1426 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.52s
[58/152] sub-m15_ses-04_behavior+ophys.nwb: neurons=1167 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.35s
[59/152] sub-m15_ses-05_behavior+ophys.nwb: neurons=1483 trials=80 rewarded=69 factor=1 lick_bad=6 time=0.34s
[60/152] sub-m15_ses-06_behavior+ophys.nwb: neurons=1041 trials=80 rewarded=62 factor=1 lick_bad=0 time=0.38s
[61/152] sub-m15_ses-07_behavior+ophys.nwb: neurons=1308 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.29s
[62/152] sub-m15_ses-08_behavior+ophys.nwb: neurons=1307 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.32s
[63/152] sub-m15_ses-09_behavior+ophys.nwb: neurons=1070 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.33s
[64/152] sub-m15_ses-10_behavior+ophys.nwb: neurons=1283 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.44s
[65/152] sub-m15_ses-11_behavior+ophys.nwb: neurons=754 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.35s
[66/152] sub-m15_ses-12_behavior+ophys.nwb: neurons=1127 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.46s
[67/152] sub-m15_ses-13_behavior+ophys.nwb: neurons=875 trials=80 rewarded=71 factor=1 lick_bad=1 time=0.39s
[68/152] sub-m15_ses-14_behavior+ophys.nwb: neurons=1195 trials=80 rewarded=68 factor=1 lick_bad=2 time=0.56s
[69/152] sub-m17_ses-01_behavior+ophys.nwb: neurons=591 trials=80 rewarded=66 factor=1 lick_bad=1 time=0.30s
[70/152] sub-m17_ses-02_behavior+ophys.nwb: neurons=442 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.70s
[71/152] sub-m17_ses-03_behavior+ophys.nwb: neurons=676 trials=80 rewarded=69 factor=1 lick_bad=1 time=0.52s
[72/152] sub-m17_ses-04_behavior+ophys.nwb: neurons=506 trials=80 rewarded=63 factor=1 lick_bad=0 time=0.63s
[73/152] sub-m17_ses-05_behavior+ophys.nwb: neurons=838 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.45s
[74/152] sub-m17_ses-06_behavior+ophys.nwb: neurons=491 trials=80 rewarded=65 factor=1 lick_bad=1 time=0.74s
[75/152] sub-m17_ses-07_behavior+ophys.nwb: neurons=690 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.51s
[76/152] sub-m17_ses-08_behavior+ophys.nwb: neurons=593 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.66s
[77/152] sub-m17_ses-09_behavior+ophys.nwb: neurons=539 trials=80 rewarded=69 factor=1 lick_bad=1 time=0.63s
[78/152] sub-m17_ses-10_behavior+ophys.nwb: neurons=683 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.75s
[79/152] sub-m17_ses-11_behavior+ophys.nwb: neurons=629 trials=80 rewarded=74 factor=1 lick_bad=0 time=0.36s
[80/152] sub-m17_ses-12_behavior+ophys.nwb: neurons=747 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.54s
[81/152] sub-m17_ses-13_behavior+ophys.nwb: neurons=468 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.52s
[82/152] sub-m17_ses-14_behavior+ophys.nwb: neurons=770 trials=80 rewarded=77 factor=1 lick_bad=0 time=0.44s
[83/152] sub-m18_ses-01_behavior+ophys.nwb: neurons=2281 trials=80 rewarded=67 factor=1 lick_bad=0 time=1.10s
[84/152] sub-m18_ses-02_behavior+ophys.nwb: neurons=1639 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.89s
[85/152] sub-m18_ses-03_behavior+ophys.nwb: neurons=2341 trials=80 rewarded=65 factor=1 lick_bad=4 time=1.10s
[86/152] sub-m18_ses-04_behavior+ophys.nwb: neurons=1634 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.65s
[87/152] sub-m18_ses-05_behavior+ophys.nwb: neurons=2115 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.94s
[88/152] sub-m18_ses-06_behavior+ophys.nwb: neurons=1378 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.48s
[89/152] sub-m18_ses-07_behavior+ophys.nwb: neurons=1726 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.59s
[90/152] sub-m18_ses-08_behavior+ophys.nwb: neurons=2314 trials=80 rewarded=70 factor=1 lick_bad=0 time=1.02s
[91/152] sub-m18_ses-09_behavior+ophys.nwb: neurons=1696 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.76s
[92/152] sub-m18_ses-10_behavior+ophys.nwb: neurons=1899 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.81s
[93/152] sub-m18_ses-11_behavior+ophys.nwb: neurons=1382 trials=80 rewarded=60 factor=1 lick_bad=0 time=0.68s
[94/152] sub-m18_ses-12_behavior+ophys.nwb: neurons=1927 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.96s
[95/152] sub-m18_ses-13_behavior+ophys.nwb: neurons=1433 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.50s
[96/152] sub-m18_ses-14_behavior+ophys.nwb: neurons=1955 trials=80 rewarded=74 factor=1 lick_bad=0 time=0.76s
[97/152] sub-m19_ses-01_behavior+ophys.nwb: neurons=528 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.44s
[98/152] sub-m19_ses-02_behavior+ophys.nwb: neurons=407 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.24s
[99/152] sub-m19_ses-03_behavior+ophys.nwb: neurons=465 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.29s
[100/152] sub-m19_ses-04_behavior+ophys.nwb: neurons=550 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.27s
[101/152] sub-m19_ses-05_behavior+ophys.nwb: neurons=472 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.26s
[102/152] sub-m19_ses-06_behavior+ophys.nwb: neurons=504 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.26s
[103/152] sub-m19_ses-07_behavior+ophys.nwb: neurons=596 trials=80 rewarded=60 factor=1 lick_bad=0 time=0.42s
[104/152] sub-m19_ses-08_behavior+ophys.nwb: neurons=566 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.43s
[105/152] sub-m19_ses-09_behavior+ophys.nwb: neurons=434 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.30s
[106/152] sub-m19_ses-10_behavior+ophys.nwb: neurons=469 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.27s
[107/152] sub-m19_ses-11_behavior+ophys.nwb: neurons=378 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.26s
[108/152] sub-m19_ses-12_behavior+ophys.nwb: neurons=558 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.54s
[109/152] sub-m19_ses-13_behavior+ophys.nwb: neurons=428 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.29s
[110/152] sub-m19_ses-14_behavior+ophys.nwb: neurons=589 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.25s
[111/152] sub-m3_ses-01_behavior+ophys.nwb: neurons=1052 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.72s
[112/152] sub-m3_ses-02_behavior+ophys.nwb: neurons=917 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.59s
[113/152] sub-m3_ses-03_behavior+ophys.nwb: neurons=1059 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.61s
[114/152] sub-m3_ses-04_behavior+ophys.nwb: neurons=814 trials=80 rewarded=66 factor=1 lick_bad=0 time=0.50s
[115/152] sub-m3_ses-05_behavior+ophys.nwb: neurons=1022 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.91s
[116/152] sub-m3_ses-06_behavior+ophys.nwb: neurons=818 trials=80 rewarded=66 factor=1 lick_bad=0 time=0.59s
[117/152] sub-m3_ses-07_behavior+ophys.nwb: neurons=787 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.57s
[118/152] sub-m3_ses-08_behavior+ophys.nwb: neurons=783 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.68s
[119/152] sub-m3_ses-09_behavior+ophys.nwb: neurons=768 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.43s
[120/152] sub-m3_ses-10_behavior+ophys.nwb: neurons=930 trials=90 rewarded=73 factor=1 lick_bad=1 time=0.69s
[121/152] sub-m3_ses-11_behavior+ophys.nwb: neurons=1000 trials=80 rewarded=71 factor=1 lick_bad=0 time=0.56s
[122/152] sub-m3_ses-12_behavior+ophys.nwb: neurons=1030 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.62s
[123/152] sub-m3_ses-13_behavior+ophys.nwb: neurons=980 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.48s
[124/152] sub-m3_ses-14_behavior+ophys.nwb: neurons=1050 trials=100 rewarded=88 factor=1 lick_bad=0 time=0.56s
[125/152] sub-m4_ses-01_behavior+ophys.nwb: neurons=983 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.59s
[126/152] sub-m4_ses-02_behavior+ophys.nwb: neurons=926 trials=80 rewarded=71 factor=1 lick_bad=1 time=0.67s
[127/152] sub-m4_ses-03_behavior+ophys.nwb: neurons=1031 trials=75 rewarded=66 factor=1 lick_bad=0 time=0.57s
[128/152] sub-m4_ses-04_behavior+ophys.nwb: neurons=1016 trials=41 rewarded=35 factor=1 lick_bad=1 time=0.49s
[129/152] sub-m4_ses-05_behavior+ophys.nwb: neurons=1066 trials=80 rewarded=60 factor=1 lick_bad=0 time=0.63s
[130/152] sub-m4_ses-06_behavior+ophys.nwb: neurons=1068 trials=80 rewarded=69 factor=1 lick_bad=1 time=0.74s
[131/152] sub-m4_ses-07_behavior+ophys.nwb: neurons=1011 trials=80 rewarded=69 factor=1 lick_bad=9 time=0.63s
[132/152] sub-m4_ses-08_behavior+ophys.nwb: neurons=1287 trials=80 rewarded=69 factor=1 lick_bad=0 time=0.90s
[133/152] sub-m4_ses-09_behavior+ophys.nwb: neurons=1019 trials=50 rewarded=48 factor=1 lick_bad=0 time=0.42s
[134/152] sub-m4_ses-10_behavior+ophys.nwb: neurons=1100 trials=80 rewarded=66 factor=1 lick_bad=1 time=0.85s
[135/152] sub-m4_ses-11_behavior+ophys.nwb: neurons=990 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.71s
[136/152] sub-m4_ses-12_behavior+ophys.nwb: neurons=1039 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.82s
[137/152] sub-m4_ses-13_behavior+ophys.nwb: neurons=886 trials=80 rewarded=71 factor=1 lick_bad=1 time=0.68s
[138/152] sub-m4_ses-14_behavior+ophys.nwb: neurons=1066 trials=80 rewarded=68 factor=1 lick_bad=35 time=1.02s
[139/152] sub-m7_ses-01_behavior+ophys.nwb: neurons=1298 trials=100 rewarded=88 factor=1 lick_bad=1 time=0.60s
[140/152] sub-m7_ses-02_behavior+ophys.nwb: neurons=1186 trials=80 rewarded=67 factor=1 lick_bad=0 time=0.63s
[141/152] sub-m7_ses-03_behavior+ophys.nwb: neurons=1155 trials=100 rewarded=84 factor=1 lick_bad=0 time=0.63s
[142/152] sub-m7_ses-04_behavior+ophys.nwb: neurons=1013 trials=80 rewarded=72 factor=1 lick_bad=1 time=0.36s
[143/152] sub-m7_ses-05_behavior+ophys.nwb: neurons=1111 trials=80 rewarded=70 factor=1 lick_bad=0 time=0.41s
[144/152] sub-m7_ses-06_behavior+ophys.nwb: neurons=1142 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.36s
[145/152] sub-m7_ses-07_behavior+ophys.nwb: neurons=1020 trials=100 rewarded=86 factor=1 lick_bad=0 time=0.35s
[146/152] sub-m7_ses-08_behavior+ophys.nwb: neurons=1034 trials=100 rewarded=93 factor=1 lick_bad=1 time=0.54s
[147/152] sub-m7_ses-09_behavior+ophys.nwb: neurons=900 trials=80 rewarded=68 factor=1 lick_bad=0 time=0.47s
[148/152] sub-m7_ses-10_behavior+ophys.nwb: neurons=886 trials=80 rewarded=64 factor=1 lick_bad=0 time=0.68s
[149/152] sub-m7_ses-11_behavior+ophys.nwb: neurons=973 trials=80 rewarded=72 factor=1 lick_bad=0 time=0.29s
[150/152] sub-m7_ses-12_behavior+ophys.nwb: neurons=969 trials=100 rewarded=83 factor=1 lick_bad=0 time=0.70s
[151/152] sub-m7_ses-13_behavior+ophys.nwb: neurons=988 trials=80 rewarded=65 factor=1 lick_bad=0 time=0.44s
[152/152] sub-m7_ses-14_behavior+ophys.nwb: neurons=1192 trials=100 rewarded=86 factor=1 lick_bad=0 time=0.81s
Totals: subjects=11 sessions=152 trials=12216 session-neurons=138678 lick_bad=81
Wrote /app/converted_data.pkl (9.843 GB), elapsed 85.07s
