Processing 174 NWB files with 16 workers
[1/174] SC015_20190207_120657_s1         behavioural session criteria  | elapsed 1s, eta 95s
[62/174] SC030_20191004_143720_s34        kept 466 trials, 414 units  | elapsed 8s, eta 14s
[63/174] SC031_20191023_142402_s50        kept 498 trials, 178 units  | elapsed 8s, eta 14s
[64/174] SC031_20191021_142044_s48        kept 424 trials, 532 units  | elapsed 8s, eta 14s
[65/174] SC030_20191005_142316_s35        kept 665 trials, 346 units  | elapsed 8s, eta 13s
[66/174] SC033_20191112_114755_s31        kept 454 trials, 156 units  | elapsed 8s, eta 13s
[67/174] SC032_20191218_111453_s55        kept 493 trials, 322 units  | elapsed 8s, eta 13s
[68/174] SC032_20191220_140433_s57        kept 470 trials, 184 units  | elapsed 8s, eta 13s
[69/174] SC032_20191219_134919_s56        kept 421 trials, 368 units  | elapsed 8s, eta 13s
[70/174] SC033_20191113_135640_s32        kept 405 trials, 150 units  | elapsed 8s, eta 12s
[71/174] SC033_20191114_142520_s33        kept 482 trials, 190 units  | elapsed 8s, eta 12s
[72/174] SC043_20200921_162104_s29        behavioural session criteria  | elapsed 8s, eta 12s
[73/174] SC033_20191115_135939_s34        kept 635 trials, 141 units  | elapsed 8s, eta 12s
[74/174] SC035_20200109_111437_s35        kept 494 trials, 323 units  | elapsed 8s, eta 11s
[75/174] SC035_20200107_111633_s33        kept 519 trials, 365 units  | elapsed 9s, eta 11s
[76/174] SC035_20200108_105741_s34        kept 600 trials, 254 units  | elapsed 9s, eta 11s
[77/174] SC035_20200110_142717_s36        kept 470 trials, 269 units  | elapsed 9s, eta 11s
[78/174] SC045_20201209_115448_s17        behavioural session criteria  | elapsed 9s, eta 11s
[79/174] SC045_20201210_113111_s18        behavioural session criteria  | elapsed 9s, eta 10s
[80/174] SC045_20201214_120340_s21        behavioural session criteria  | elapsed 9s, eta 10s
[81/174] SC048_20201224_122322_s10        behavioural session criteria  | elapsed 9s, eta 10s
[82/174] SC043_20200928_141416_s28        kept 530 trials, 90 units  | elapsed 9s, eta 10s
[83/174] SC048_20201225_114244_s11        behavioural session criteria  | elapsed 9s, eta 10s
[84/174] SC043_20200925_153348_s27        kept 461 trials, 322 units  | elapsed 9s, eta 10s
[85/174] SC045_20201211_110651_s19        kept 410 trials, 233 units  | elapsed 9s, eta 9s
[86/174] SC043_20200922_135318_s24        kept 527 trials, 378 units  | elapsed 9s, eta 9s
[87/174] SC048_20201226_121710_s12        behavioural session criteria  | elapsed 9s, eta 9s
[88/174] SC048_20210104_131503_s18        behavioural session criteria  | elapsed 9s, eta 9s
[89/174] SC048_20210103_133044_s17        behavioural session criteria  | elapsed 9s, eta 9s
[90/174] SC049_20210106_125834_s14        behavioural session criteria  | elapsed 9s, eta 8s
[91/174] SC043_20200924_134307_s26        kept 626 trials, 374 units  | elapsed 9s, eta 8s
[92/174] SC045_20201216_120333_s24        kept 262 trials, 480 units  | elapsed 9s, eta 8s
[93/174] SC045_20201217_120512_s22        kept 440 trials, 304 units  | elapsed 9s, eta 8s
[94/174] SC045_20201218_113815_s23        kept 520 trials, 328 units  | elapsed 9s, eta 8s
[95/174] SC048_20210101_123136_s16        kept 500 trials, 205 units  | elapsed 9s, eta 8s
[96/174] SC043_20200923_151145_s25        kept 530 trials, 537 units  | elapsed 10s, eta 8s
[97/174] SC049_20210111_122809_s18        behavioural session criteria  | elapsed 10s, eta 8s
[98/174] SC050_20210225_155426_s16        behavioural session criteria  | elapsed 10s, eta 8s
[99/174] SC049_20210110_134005_s17        behavioural session criteria  | elapsed 10s, eta 7s
[100/174] SC050_20210226_161028_s17        behavioural session criteria  | elapsed 10s, eta 7s
[101/174] SC050_20210303_161010_s21        behavioural session criteria  | elapsed 10s, eta 7s
[102/174] SC048_20201231_114638_s15        kept 490 trials, 618 units  | elapsed 10s, eta 7s
[103/174] SC048_20201229_125330_s13        kept 530 trials, 439 units  | elapsed 10s, eta 7s
[104/174] SC049_20210107_120825_s15        kept 500 trials, 420 units  | elapsed 10s, eta 7s
[105/174] SC048_20201230_112558_s14        kept 540 trials, 639 units  | elapsed 11s, eta 7s
[106/174] SC050_20210301_144130_s19        kept 475 trials, 538 units  | elapsed 11s, eta 7s
[107/174] SC050_20210302_140243_s20        kept 513 trials, 502 units  | elapsed 11s, eta 7s
[108/174] SC049_20210108_135220_s16        kept 520 trials, 683 units  | elapsed 11s, eta 7s
[109/174] SC050_20210304_163309_s22        kept 533 trials, 219 units  | elapsed 11s, eta 7s
[110/174] SC049_20210112_130202_s19        kept 624 trials, 675 units  | elapsed 12s, eta 7s
[111/174] SC053_20210220_124834_s15        kept 361 trials, 516 units  | elapsed 12s, eta 7s
[112/174] SC053_20210219_132453_s7         kept 439 trials, 376 units  | elapsed 12s, eta 7s
[113/174] SC050_20210227_131716_s18        kept 494 trials, 765 units  | elapsed 12s, eta 6s
[114/174] SC053_20210222_130313_s9         kept 553 trials, 350 units  | elapsed 12s, eta 6s
[115/174] SC053_20210223_135753_s10        kept 561 trials, 219 units  | elapsed 12s, eta 6s
[116/174] SC049_20210113_125455_s20        kept 680 trials, 749 units  | elapsed 13s, eta 6s
[117/174] SC053_20210218_122535_s16        kept 312 trials, 477 units  | elapsed 13s, eta 6s
[118/174] SC053_20210225_115002_s12        kept 535 trials, 366 units  | elapsed 13s, eta 6s
[119/174] SC053_20210221_130859_s8         kept 568 trials, 688 units  | elapsed 13s, eta 6s
[120/174] SC053_20210224_133042_s11        kept 496 trials, 469 units  | elapsed 13s, eta 6s
[121/174] SC052_20210122_131850_s4         behavioural session criteria  | elapsed 13s, eta 6s
[122/174] SC053_20210228_131818_s14        kept 622 trials, 268 units  | elapsed 13s, eta 6s
[123/174] SC053_20210226_133429_s13        kept 548 trials, 483 units  | elapsed 14s, eta 6s
[124/174] SC052_20210125_124258_s6         behavioural session criteria  | elapsed 14s, eta 5s
[125/174] SC052_20210121_153333_s3         kept 520 trials, 432 units  | elapsed 14s, eta 5s
[126/174] SC052_20210123_132015_s5         kept 600 trials, 407 units  | elapsed 14s, eta 5s
[127/174] SC052_20210130_135022_s11        behavioural session criteria  | elapsed 14s, eta 5s
[128/174] SC061_20210318_171131_s7         behavioural session criteria  | elapsed 14s, eta 5s
[129/174] SC052_20210126_134951_s7         kept 540 trials, 650 units  | elapsed 14s, eta 5s
[130/174] SC061_20210319_144211_s8         behavioural session criteria  | elapsed 14s, eta 5s
[131/174] SC052_20210127_140737_s8         kept 504 trials, 731 units  | elapsed 14s, eta 5s
[132/174] SC061_20210321_131204_s9         kept 476 trials, 213 units  | elapsed 14s, eta 5s
[133/174] SC052_20210129_132207_s10        kept 665 trials, 724 units  | elapsed 15s, eta 5s
[134/174] SC061_20210322_122309_s10        kept 542 trials, 330 units  | elapsed 15s, eta 4s
[135/174] SC061_20210324_143423_s12        kept 617 trials, 215 units  | elapsed 15s, eta 4s
[136/174] SC061_20210323_121231_s11        kept 445 trials, 492 units  | elapsed 15s, eta 4s
[137/174] SC052_20210128_133949_s9         kept 620 trials, 923 units  | elapsed 16s, eta 4s
[138/174] SC064_20210427_145157_s5         kept 419 trials, 486 units  | elapsed 16s, eta 4s
[139/174] SC064_20210429_131158_s7         kept 503 trials, 497 units  | elapsed 16s, eta 4s
[140/174] SC064_20210428_133442_s6         kept 534 trials, 633 units  | elapsed 16s, eta 4s
[141/174] SC064_20210504_121957_s10        kept 627 trials, 285 units  | elapsed 16s, eta 4s
[142/174] SC064_20210505_131153_s11        kept 656 trials, 227 units  | elapsed 16s, eta 4s
[143/174] SC064_20210506_134206_s12        kept 644 trials, 342 units  | elapsed 16s, eta 4s
[144/174] SC064_20210430_132651_s8         kept 484 trials, 532 units  | elapsed 17s, eta 3s
[145/174] SC064_20210508_132858_s14        kept 638 trials, 390 units  | elapsed 17s, eta 3s
[146/174] SC065_20210504_155124_s5         kept 588 trials, 308 units  | elapsed 17s, eta 3s
[147/174] SC065_20210505_170309_s6         kept 386 trials, 298 units  | elapsed 17s, eta 3s
[148/174] SC064_20210507_135524_s13        kept 695 trials, 430 units  | elapsed 17s, eta 3s
[149/174] SC065_20210507_172825_s8         kept 509 trials, 208 units  | elapsed 17s, eta 3s
[150/174] SC065_20210510_162815_s10        kept 399 trials, 238 units  | elapsed 17s, eta 3s
[151/174] SC065_20210506_174036_s7         kept 518 trials, 638 units  | elapsed 18s, eta 3s
[152/174] SC065_20210509_131820_s9         kept 479 trials, 452 units  | elapsed 18s, eta 3s
[153/174] SC065_20210511_140555_s11        kept 476 trials, 206 units  | elapsed 18s, eta 2s
[154/174] SC060_20210318_122039_s1         behavioural session criteria  | elapsed 18s, eta 2s
[155/174] SC060_20210322_164725_s4         behavioural session criteria  | elapsed 18s, eta 2s
[156/174] SC065_20210514_111526_s13        kept 566 trials, 269 units  | elapsed 18s, eta 2s
[157/174] SC065_20210513_120445_s12        kept 531 trials, 404 units  | elapsed 18s, eta 2s
[158/174] SC060_20210319_121514_s2         kept 523 trials, 393 units  | elapsed 18s, eta 2s
[159/174] SC060_20210324_182545_s6         behavioural session criteria  | elapsed 18s, eta 2s
[160/174] SC060_20210320_130513_s3         kept 537 trials, 483 units  | elapsed 18s, eta 2s
[161/174] SC060_20210323_164459_s5         kept 640 trials, 325 units  | elapsed 18s, eta 1s
[162/174] SC066_20210415_121842_s8         kept 518 trials, 302 units  | elapsed 18s, eta 1s
[163/174] SC066_20210413_112028_s6         video does not cover the analysis window  | elapsed 18s, eta 1s
[164/174] SC066_20210414_121243_s7         kept 590 trials, 473 units  | elapsed 19s, eta 1s
[165/174] SC066_20210416_140326_s9         kept 631 trials, 317 units  | elapsed 19s, eta 1s
[166/174] SC066_20210419_130102_s10        kept 559 trials, 530 units  | elapsed 19s, eta 1s
[167/174] SC066_20210421_141806_s12        kept 608 trials, 339 units  | elapsed 19s, eta 1s
[168/174] SC067_20210415_161621_s25        kept 491 trials, 308 units  | elapsed 19s, eta 1s
[169/174] SC066_20210420_130906_s11        kept 501 trials, 437 units  | elapsed 19s, eta 1s
[170/174] SC067_20210414_153241_s24        kept 547 trials, 390 units  | elapsed 20s, eta 0s
[171/174] SC067_20210420_170516_s28        kept 626 trials, 368 units  | elapsed 20s, eta 0s
[172/174] SC067_20210419_161140_s27        kept 452 trials, 472 units  | elapsed 20s, eta 0s
[173/174] SC067_20210413_150250_s23        kept 662 trials, 445 units  | elapsed 20s, eta 0s
[174/174] SC067_20210418_132006_s26        kept 689 trials, 787 units  | elapsed 21s, eta 0s

Sessions kept: 138; skipped: 36
  skipped SC015_20190207_120657_s1: behavioural session criteria
  skipped SC011_20190220_134256_s2: behavioural session criteria
  skipped SC017_20190216_162508_s4: no good units
  skipped SC013_20190513_144253_s22: behavioural session criteria
  skipped SC011_20190224_133648_s6: video does not cover the analysis window
  skipped SC011_20190226_140636_s8: video does not cover the analysis window
  skipped SC011_20190225_142613_s7: video does not cover the analysis window
  skipped SC023_20190530_173316_s5: behavioural session criteria
  skipped SC022_20190227_134351_s1: video does not cover the analysis window
  skipped SC022_20190228_140832_s2: video does not cover the analysis window
  skipped SC031_20191022_133136_s49: behavioural session criteria
  skipped SC032_20191217_123303_s54: behavioural session criteria
  skipped SC043_20200921_162104_s29: behavioural session criteria
  skipped SC045_20201209_115448_s17: behavioural session criteria
  skipped SC045_20201210_113111_s18: behavioural session criteria
  skipped SC045_20201214_120340_s21: behavioural session criteria
  skipped SC048_20201224_122322_s10: behavioural session criteria
  skipped SC048_20201225_114244_s11: behavioural session criteria
  skipped SC048_20201226_121710_s12: behavioural session criteria
  skipped SC048_20210104_131503_s18: behavioural session criteria
  skipped SC048_20210103_133044_s17: behavioural session criteria
  skipped SC049_20210106_125834_s14: behavioural session criteria
  skipped SC049_20210111_122809_s18: behavioural session criteria
  skipped SC050_20210225_155426_s16: behavioural session criteria
  skipped SC049_20210110_134005_s17: behavioural session criteria
  skipped SC050_20210226_161028_s17: behavioural session criteria
  skipped SC050_20210303_161010_s21: behavioural session criteria
  skipped SC052_20210122_131850_s4: behavioural session criteria
  skipped SC052_20210125_124258_s6: behavioural session criteria
  skipped SC052_20210130_135022_s11: behavioural session criteria
  skipped SC061_20210318_171131_s7: behavioural session criteria
  skipped SC061_20210319_144211_s8: behavioural session criteria
  skipped SC060_20210318_122039_s1: behavioural session criteria
  skipped SC060_20210322_164725_s4: behavioural session criteria
  skipped SC060_20210324_182545_s6: behavioural session criteria
  skipped SC066_20210413_112028_s6: video does not cover the analysis window

Total: 138 sessions, 28 subjects, 72251 trials, 55437 neurons, 28 brain-region labels
Mean fraction of unobserved neural bins: 0.0254
Wrote /app/converted_data.pkl (9.63 GB) in 15s
Total run time 35s
