Mode: full; selected 165 sessions
[ 18/165] 809501118: 200 neurons, 195 trials, 49763 frames; session 0.37s, elapsed 5.8s, ETA 47.1s
[ 19/165] 813083478: 212 neurons, 293 trials, 76035 frames; session 0.44s, elapsed 6.2s, ETA 47.7s
[ 20/165] 817267785: 164 neurons, 315 trials, 83294 frames; session 0.36s, elapsed 6.6s, ETA 47.6s
[ 21/165] 820307518: 122 neurons, 285 trials, 76137 frames; session 0.26s, elapsed 6.8s, ETA 46.9s
[ 22/165] 822024770: 436 neurons, 260 trials, 68436 frames; session 0.70s, elapsed 7.5s, ETA 49.0s
[ 23/165] 822647135: 167 neurons, 307 trials, 79988 frames; session 0.33s, elapsed 7.9s, ETA 48.6s
[ 24/165] 823392290: 410 neurons, 293 trials, 77579 frames; session 0.67s, elapsed 8.5s, ETA 50.2s
[ 25/165] 825120601: 504 neurons, 312 trials, 82358 frames; session 0.79s, elapsed 9.3s, ETA 52.2s
[ 26/165] 825130141: 110 neurons, 228 trials, 59869 frames; session 0.25s, elapsed 9.6s, ETA 51.2s
[ 27/165] 826585773: 483 neurons, 338 trials, 90984 frames; session 0.79s, elapsed 10.4s, ETA 53.0s
[ 28/165] 826587940: 29 neurons, 396 trials, 105604 frames; session 0.21s, elapsed 10.6s, ETA 51.8s
[ 29/165] 830093338: 22 neurons, 397 trials, 106571 frames; session 0.17s, elapsed 10.8s, ETA 50.4s
[ 30/165] 830700781: 157 neurons, 293 trials, 78857 frames; session 0.34s, elapsed 11.1s, ETA 50.0s
[ 31/165] 832115263: 20 neurons, 409 trials, 108524 frames; session 0.16s, elapsed 11.3s, ETA 48.7s
[ 32/165] 833629926: 161 neurons, 271 trials, 70750 frames; session 0.34s, elapsed 11.6s, ETA 48.2s
[ 33/165] 834279496: 162 neurons, 302 trials, 79148 frames; session 0.34s, elapsed 11.9s, ETA 47.8s
[ 34/165] 835006071: 146 neurons, 270 trials, 71005 frames; session 0.31s, elapsed 12.3s, ETA 47.2s
[ 35/165] 836258936: 143 neurons, 293 trials, 76972 frames; session 0.32s, elapsed 12.6s, ETA 46.7s
[ 36/165] 836258957: 13 neurons, 381 trials, 102798 frames; session 0.14s, elapsed 12.7s, ETA 45.5s
[ 37/165] 842973730: 136 neurons, 146 trials, 36777 frames; session 0.51s, elapsed 13.2s, ETA 45.7s
[ 38/165] 842975542: 429 neurons, 213 trials, 56159 frames; session 0.65s, elapsed 13.9s, ETA 46.4s
[ 39/165] 844395446: 426 neurons, 145 trials, 36462 frames; session 0.68s, elapsed 14.5s, ETA 47.0s
[ 40/165] 845037476: 556 neurons, 185 trials, 48657 frames; session 0.86s, elapsed 15.4s, ETA 48.2s
[ 41/165] 846487947: 537 neurons, 263 trials, 69930 frames; session 0.87s, elapsed 16.3s, ETA 49.2s
[ 42/165] 847125577: 151 neurons, 268 trials, 71520 frames; session 0.31s, elapsed 16.6s, ETA 48.6s
[ 43/165] 848692970: 209 neurons, 274 trials, 73634 frames; session 0.40s, elapsed 17.0s, ETA 48.2s
[ 44/165] 848694639: 48 neurons, 254 trials, 66142 frames; session 0.19s, elapsed 17.2s, ETA 47.3s
[ 45/165] 848697604: 188 neurons, 286 trials, 75821 frames; session 0.38s, elapsed 17.6s, ETA 46.8s
[ 46/165] 848697625: 123 neurons, 263 trials, 69569 frames; session 0.29s, elapsed 17.9s, ETA 46.2s
[ 47/165] 850479305: 120 neurons, 228 trials, 60763 frames; session 0.26s, elapsed 18.1s, ETA 45.5s
[ 48/165] 850489605: 242 neurons, 279 trials, 74399 frames; session 0.48s, elapsed 18.6s, ETA 45.3s
[ 49/165] 851056106: 233 neurons, 279 trials, 74674 frames; session 0.45s, elapsed 19.1s, ETA 45.1s
[ 50/165] 851060467: 125 neurons, 265 trials, 69533 frames; session 0.32s, elapsed 19.4s, ETA 44.6s
[ 51/165] 852691524: 127 neurons, 231 trials, 61836 frames; session 0.31s, elapsed 19.7s, ETA 44.0s
[ 52/165] 853328115: 64 neurons, 290 trials, 76873 frames; session 0.22s, elapsed 19.9s, ETA 43.3s
[ 53/165] 853962951: 49 neurons, 327 trials, 88260 frames; session 0.20s, elapsed 20.1s, ETA 42.5s
[ 54/165] 853962969: 209 neurons, 251 trials, 65485 frames; session 0.41s, elapsed 20.5s, ETA 42.2s
[ 55/165] 855577488: 62 neurons, 329 trials, 87843 frames; session 0.22s, elapsed 20.7s, ETA 41.5s
[ 56/165] 856096766: 151 neurons, 246 trials, 65029 frames; session 0.32s, elapsed 21.1s, ETA 41.0s
[ 57/165] 856938751: 184 neurons, 184 trials, 47296 frames; session 0.34s, elapsed 21.4s, ETA 40.6s
[ 58/165] 857658471: 63 neurons, 280 trials, 75412 frames; session 0.22s, elapsed 21.6s, ETA 39.9s
[ 59/165] 857660011: 171 neurons, 270 trials, 71548 frames; session 0.37s, elapsed 22.0s, ETA 39.5s
[ 60/165] 859147033: 108 neurons, 189 trials, 49461 frames; session 0.22s, elapsed 22.2s, ETA 38.9s
[ 61/165] 862848066: 156 neurons, 387 trials, 102666 frames; session 0.37s, elapsed 22.6s, ETA 38.5s
[ 62/165] 864370674: 175 neurons, 378 trials, 100084 frames; session 0.37s, elapsed 23.0s, ETA 38.1s
[ 63/165] 871155338: 65 neurons, 267 trials, 70291 frames; session 0.21s, elapsed 23.2s, ETA 37.5s
[ 64/165] 872433717: 98 neurons, 189 trials, 47467 frames; session 0.22s, elapsed 23.4s, ETA 36.9s
[ 65/165] 873154932: 557 neurons, 334 trials, 88430 frames; session 0.88s, elapsed 24.3s, ETA 37.3s
[ 66/165] 873156540: 77 neurons, 200 trials, 51292 frames; session 0.23s, elapsed 24.5s, ETA 36.7s
[ 67/165] 873968820: 604 neurons, 279 trials, 73853 frames; session 0.85s, elapsed 25.3s, ETA 37.1s
[ 68/165] 873972085: 85 neurons, 215 trials, 56882 frames; session 0.25s, elapsed 25.6s, ETA 36.5s
[ 69/165] 877018118: 666 neurons, 324 trials, 86688 frames; session 1.01s, elapsed 26.6s, ETA 37.0s
[ 70/165] 877691075: 469 neurons, 372 trials, 99046 frames; session 0.77s, elapsed 27.4s, ETA 37.2s
[ 71/165] 878358326: 556 neurons, 343 trials, 91444 frames; session 0.86s, elapsed 28.2s, ETA 37.4s
[ 72/165] 878363088: 52 neurons, 200 trials, 51799 frames; session 0.18s, elapsed 28.4s, ETA 36.7s
[ 73/165] 879331157: 83 neurons, 252 trials, 67846 frames; session 0.30s, elapsed 28.7s, ETA 36.2s
[ 74/165] 879332693: 415 neurons, 304 trials, 79919 frames; session 0.68s, elapsed 29.4s, ETA 36.2s
[ 75/165] 880375092: 511 neurons, 291 trials, 77885 frames; session 0.75s, elapsed 30.2s, ETA 36.2s
[ 76/165] 880961028: 98 neurons, 230 trials, 59467 frames; session 0.25s, elapsed 30.4s, ETA 35.6s
[ 77/165] 881881171: 457 neurons, 307 trials, 82023 frames; session 0.69s, elapsed 31.1s, ETA 35.5s
[ 78/165] 882935355: 463 neurons, 291 trials, 77530 frames; session 0.67s, elapsed 31.8s, ETA 35.4s
[ 79/165] 884221469: 516 neurons, 347 trials, 92412 frames; session 0.83s, elapsed 32.6s, ETA 35.5s
[ 80/165] 885067844: 81 neurons, 206 trials, 54431 frames; session 0.21s, elapsed 32.8s, ETA 34.9s
[ 81/165] 885933191: 490 neurons, 288 trials, 76133 frames; session 0.77s, elapsed 33.6s, ETA 34.8s
[ 82/165] 888666698: 85 neurons, 149 trials, 37589 frames; session 0.22s, elapsed 33.8s, ETA 34.2s
[ 83/165] 889771676: 242 neurons, 250 trials, 65797 frames; session 0.41s, elapsed 34.2s, ETA 33.8s
[ 84/165] 889772922: 164 neurons, 339 trials, 89562 frames; session 0.34s, elapsed 34.5s, ETA 33.3s
[ 85/165] 889775742: 83 neurons, 186 trials, 48137 frames; session 0.24s, elapsed 34.8s, ETA 32.7s
[ 86/165] 889777243: 482 neurons, 323 trials, 86481 frames; session 0.86s, elapsed 35.6s, ETA 32.7s
[ 87/165] 891994418: 230 neurons, 220 trials, 56468 frames; session 0.41s, elapsed 36.0s, ETA 32.3s
[ 88/165] 891996193: 115 neurons, 380 trials, 102292 frames; session 0.32s, elapsed 36.4s, ETA 31.8s
[ 89/165] 892799212: 254 neurons, 232 trials, 60411 frames; session 0.43s, elapsed 36.8s, ETA 31.4s
[ 90/165] 892805315: 134 neurons, 356 trials, 95139 frames; session 0.30s, elapsed 37.1s, ETA 30.9s
[ 91/165] 893830436: 560 neurons, 362 trials, 95896 frames; session 0.92s, elapsed 38.0s, ETA 30.9s
[ 92/165] 894726001: 158 neurons, 330 trials, 88470 frames; session 0.34s, elapsed 38.4s, ETA 30.4s
[ 93/165] 894727297: 245 neurons, 205 trials, 54534 frames; session 0.45s, elapsed 38.8s, ETA 30.0s
[ 94/165] 895422187: 504 neurons, 368 trials, 97532 frames; session 0.82s, elapsed 39.6s, ETA 29.9s
[ 95/165] 896160394: 558 neurons, 307 trials, 80070 frames; session 0.88s, elapsed 40.5s, ETA 29.8s
[ 96/165] 935440133: 197 neurons, 300 trials, 79060 frames; session 0.40s, elapsed 40.9s, ETA 29.4s
[ 97/165] 936494970: 194 neurons, 263 trials, 68035 frames; session 0.43s, elapsed 41.3s, ETA 29.0s
[ 98/165] 938003662: 18 neurons, 79 trials, 18623 frames; session 0.12s, elapsed 41.5s, ETA 28.3s
[ 99/165] 939327156: 95 neurons, 348 trials, 92840 frames; session 0.32s, elapsed 41.8s, ETA 27.9s
[100/165] 940352367: 180 neurons, 257 trials, 68535 frames; session 0.33s, elapsed 42.1s, ETA 27.4s
[101/165] 940352989: 23 neurons, 117 trials, 29080 frames; session 0.19s, elapsed 42.3s, ETA 26.8s
[102/165] 940852112: 120 neurons, 173 trials, 46591 frames; session 0.23s, elapsed 42.5s, ETA 26.3s
[103/165] 940852658: 69 neurons, 334 trials, 88488 frames; session 0.27s, elapsed 42.8s, ETA 25.8s
[104/165] 942043482: 88 neurons, 379 trials, 101016 frames; session 0.30s, elapsed 43.1s, ETA 25.3s
[105/165] 944366183: 39 neurons, 363 trials, 97948 frames; session 0.22s, elapsed 43.3s, ETA 24.8s
[106/165] 945473009: 9 neurons, 81 trials, 19242 frames; session 0.10s, elapsed 43.4s, ETA 24.2s
[107/165] 946476556: 381 neurons, 373 trials, 99470 frames; session 0.67s, elapsed 44.1s, ETA 23.9s
[108/165] 947716576: 12 neurons, 105 trials, 27076 frames; session 0.13s, elapsed 44.2s, ETA 23.3s
[109/165] 947724724: 354 neurons, 338 trials, 90568 frames; session 0.54s, elapsed 44.8s, ETA 23.0s
[110/165] 948507789: 14 neurons, 117 trials, 29368 frames; session 0.11s, elapsed 44.9s, ETA 22.4s
[111/165] 948514870: 451 neurons, 378 trials, 100520 frames; session 0.74s, elapsed 45.6s, ETA 22.2s
[112/165] 949637002: 392 neurons, 286 trials, 75708 frames; session 0.60s, elapsed 46.2s, ETA 21.9s
[113/165] 950833329: 17 neurons, 248 trials, 63841 frames; session 0.13s, elapsed 46.4s, ETA 21.3s
[114/165] 951932454: 363 neurons, 370 trials, 101219 frames; session 0.62s, elapsed 47.0s, ETA 21.0s
[115/165] 953443028: 14 neurons, 279 trials, 72890 frames; session 0.13s, elapsed 47.1s, ETA 20.5s
[116/165] 953452368: 360 neurons, 257 trials, 67838 frames; session 0.54s, elapsed 47.6s, ETA 20.1s
[117/165] 955278565: 340 neurons, 92 trials, 22650 frames; session 0.49s, elapsed 48.1s, ETA 19.8s
[118/165] 956820482: 549 neurons, 138 trials, 35865 frames; session 0.73s, elapsed 48.9s, ETA 19.5s
[119/165] 957655294: 422 neurons, 216 trials, 57830 frames; session 0.66s, elapsed 49.5s, ETA 19.2s
[120/165] 960957793: 13 neurons, 394 trials, 106853 frames; session 0.15s, elapsed 49.7s, ETA 18.6s
[121/165] 962471831: 11 neurons, 217 trials, 56571 frames; session 0.12s, elapsed 49.8s, ETA 18.1s
[122/165] 965228792: 15 neurons, 181 trials, 47180 frames; session 0.14s, elapsed 49.9s, ETA 17.6s
[123/165] 967005387: 18 neurons, 107 trials, 26049 frames; session 0.13s, elapsed 50.1s, ETA 17.1s
[124/165] 972701564: 511 neurons, 269 trials, 71399 frames; session 0.79s, elapsed 50.9s, ETA 16.8s
[125/165] 974384470: 438 neurons, 189 trials, 48243 frames; session 0.61s, elapsed 51.5s, ETA 16.5s
[126/165] 974945686: 517 neurons, 224 trials, 59954 frames; session 0.76s, elapsed 52.2s, ETA 16.2s
[127/165] 977132456: 555 neurons, 258 trials, 68351 frames; session 0.84s, elapsed 53.1s, ETA 15.9s
[128/165] 1007107386: 13 neurons, 365 trials, 96310 frames; session 0.18s, elapsed 53.2s, ETA 15.4s
[129/165] 1007372463: 9 neurons, 291 trials, 77460 frames; session 0.17s, elapsed 53.4s, ETA 14.9s
[130/165] 1008318518: 9 neurons, 305 trials, 80483 frames; session 0.14s, elapsed 53.6s, ETA 14.4s
[131/165] 1009114207: 6 neurons, 215 trials, 56080 frames; session 0.12s, elapsed 53.7s, ETA 13.9s
[132/165] 1042387068: 22 neurons, 229 trials, 59295 frames; session 0.13s, elapsed 53.8s, ETA 13.5s
[133/165] 1042639868: 20 neurons, 205 trials, 53270 frames; session 0.16s, elapsed 54.0s, ETA 13.0s
[134/165] 1043831389: 18 neurons, 147 trials, 36920 frames; session 0.11s, elapsed 54.1s, ETA 12.5s
[135/165] 1044095203: 18 neurons, 338 trials, 90884 frames; session 0.14s, elapsed 54.2s, ETA 12.0s
[136/165] 1044678595: 16 neurons, 162 trials, 41009 frames; session 0.13s, elapsed 54.3s, ETA 11.6s
[137/165] 1050406399: 10 neurons, 336 trials, 88570 frames; session 0.13s, elapsed 54.5s, ETA 11.1s
[138/165] 1051009897: 8 neurons, 230 trials, 59684 frames; session 0.11s, elapsed 54.6s, ETA 10.7s
[139/165] 1051217227: 7 neurons, 334 trials, 88592 frames; session 0.11s, elapsed 54.7s, ETA 10.2s
[140/165] 1051423446: 7 neurons, 317 trials, 84793 frames; session 0.12s, elapsed 54.8s, ETA 9.8s
[141/165] 1052391266: 10 neurons, 349 trials, 93421 frames; session 0.15s, elapsed 55.0s, ETA 9.4s
[142/165] 1052609309: 18 neurons, 314 trials, 83126 frames; session 0.18s, elapsed 55.1s, ETA 8.9s
[143/165] 1053605418: 36 neurons, 354 trials, 94755 frames; session 0.20s, elapsed 55.3s, ETA 8.5s
[144/165] 1053997501: 13 neurons, 319 trials, 85659 frames; session 0.16s, elapsed 55.5s, ETA 8.1s
[145/165] 1054813047: 37 neurons, 319 trials, 85967 frames; session 0.18s, elapsed 55.7s, ETA 7.7s
[146/165] 1065523118: 30 neurons, 318 trials, 83933 frames; session 0.16s, elapsed 55.8s, ETA 7.3s
[147/165] 1065523124: 20 neurons, 95 trials, 23579 frames; session 0.10s, elapsed 55.9s, ETA 6.9s
[148/165] 1065966776: 21 neurons, 180 trials, 46983 frames; session 0.13s, elapsed 56.1s, ETA 6.4s
[149/165] 1067133170: 29 neurons, 286 trials, 75574 frames; session 0.20s, elapsed 56.3s, ETA 6.0s
[150/165] 1067133175: 18 neurons, 288 trials, 75945 frames; session 0.15s, elapsed 56.4s, ETA 5.6s
[151/165] 1067647876: 25 neurons, 218 trials, 57648 frames; session 0.15s, elapsed 56.6s, ETA 5.2s
[152/165] 1067648397: 18 neurons, 249 trials, 64623 frames; session 0.12s, elapsed 56.7s, ETA 4.8s
[153/165] 1069286452: 23 neurons, 259 trials, 67465 frames; session 0.13s, elapsed 56.8s, ETA 4.5s
[154/165] 1071070929: 26 neurons, 211 trials, 54961 frames; session 0.20s, elapsed 57.0s, ETA 4.1s
[155/165] 1071440875: 23 neurons, 271 trials, 71783 frames; session 0.17s, elapsed 57.2s, ETA 3.7s
[156/165] 1081536273: 20 neurons, 262 trials, 69635 frames; session 0.13s, elapsed 57.3s, ETA 3.3s
[157/165] 1082414357: 22 neurons, 227 trials, 58906 frames; session 0.16s, elapsed 57.5s, ETA 2.9s
[158/165] 1082818566: 21 neurons, 266 trials, 70606 frames; session 0.17s, elapsed 57.6s, ETA 2.6s
[159/165] 1083070132: 18 neurons, 225 trials, 59660 frames; session 0.15s, elapsed 57.8s, ETA 2.2s
[160/165] 1083296280: 10 neurons, 269 trials, 70967 frames; session 0.14s, elapsed 57.9s, ETA 1.8s
[161/165] 1084305603: 15 neurons, 318 trials, 82951 frames; session 0.13s, elapsed 58.1s, ETA 1.4s
[162/165] 1084795752: 10 neurons, 251 trials, 66536 frames; session 0.13s, elapsed 58.2s, ETA 1.1s
[163/165] 1085000574: 13 neurons, 255 trials, 66714 frames; session 0.17s, elapsed 58.4s, ETA 0.7s
[164/165] 1085816655: 17 neurons, 131 trials, 33068 frames; session 0.13s, elapsed 58.5s, ETA 0.4s
[165/165] 1086048031: 20 neurons, 131 trials, 32518 frames; session 0.10s, elapsed 58.6s, ETA 0.0s
Serializing 165 sessions, 42470 trials, 28821 session-neurons, 11192974 trial frames to /app/converted_data.pkl
Wrote 7.815 GiB in 8.09s; total conversion 66.69s
