Mode: full; sessions: 89
[26/89] TX109_2023_04_07_1: 320 trials, 68,776/89,577 cells, 8,106 timepoints, 23.28 s; ETA 11.2 min
[27/89] TX83_2022_08_31_1: 402 trials, 38,809/50,689 cells, 9,534 timepoints, 25.87 s; ETA 11.6 min
[28/89] TX88_2022_06_20_1: 636 trials, 50,141/58,099 cells, 14,368 timepoints, 25.20 s; ETA 11.9 min
[29/89] TX105_2022_10_21_1: 251 trials, 58,512/61,115 cells, 6,920 timepoints, 18.96 s; ETA 12.0 min
[30/89] TX119_2023_12_24_1: 452 trials, 24,452/27,281 cells, 7,950 timepoints, 2.56 s; ETA 11.5 min
[31/89] TX123_2024_01_03_1: 459 trials, 26,615/30,931 cells, 8,050 timepoints, 3.18 s; ETA 11.0 min
[32/89] DR10_2022_07_21_1: 518 trials, 44,926/50,347 cells, 11,724 timepoints, 20.01 s; ETA 11.1 min
[33/89] DR15_2022_10_20_1: 305 trials, 61,475/64,130 cells, 7,367 timepoints, 27.60 s; ETA 11.3 min
[34/89] TX60_2021_06_07_1: 485 trials, 46,218/47,785 cells, 10,954 timepoints, 12.27 s; ETA 11.1 min
[35/89] TX61_2021_06_07_2: 408 trials, 57,534/62,256 cells, 10,296 timepoints, 18.82 s; ETA 11.1 min
[36/89] TX108_2023_03_25_1: 423 trials, 72,944/79,417 cells, 10,399 timepoints, 36.80 s; ETA 11.5 min
[37/89] TX109_2023_04_18_1: 370 trials, 64,419/83,309 cells, 8,272 timepoints, 12.51 s; ETA 11.3 min
[38/89] VR2_2021_04_11_1: 719 trials, 65,842/76,108 cells, 14,126 timepoints, 27.63 s; ETA 11.4 min
[39/89] TX108_2023_01_05_2: 453 trials, 63,981/68,553 cells, 10,382 timepoints, 16.64 s; ETA 11.2 min
[40/89] TX109_2023_03_16_1: 418 trials, 65,651/85,468 cells, 10,843 timepoints, 37.81 s; ETA 11.5 min
[41/89] TX119_2023_12_12_1: 568 trials, 25,971/28,907 cells, 10,056 timepoints, 3.66 s; ETA 11.1 min
[42/89] TX123_2023_12_18_1: 789 trials, 43,776/52,044 cells, 13,786 timepoints, 20.71 s; ETA 11.0 min
[43/89] TX124_2023_12_23_1: 578 trials, 20,995/24,383 cells, 10,099 timepoints, 3.04 s; ETA 10.5 min
[44/89] LZ13_2024_05_15_1: 457 trials, 30,385/34,658 cells, 10,044 timepoints, 3.93 s; ETA 10.1 min
[45/89] LZ13_2024_05_16_2: 453 trials, 29,973/34,575 cells, 9,938 timepoints, 4.27 s; ETA 9.8 min
[46/89] LZ16_2024_05_18_2: 492 trials, 32,128/33,577 cells, 11,441 timepoints, 11.42 s; ETA 9.5 min
[47/89] LZ16_2024_05_19_1: 419 trials, 30,469/31,859 cells, 9,356 timepoints, 5.46 s; ETA 9.2 min
[48/89] TX139_2024_05_18_1: 368 trials, 27,160/35,126 cells, 8,304 timepoints, 8.73 s; ETA 8.9 min
[49/89] TX140_2024_05_31_1: 398 trials, 44,895/49,311 cells, 9,147 timepoints, 17.66 s; ETA 8.7 min
[50/89] TX88_2022_07_19_1: 450 trials, 53,178/61,456 cells, 10,243 timepoints, 37.79 s; ETA 8.8 min
[51/89] TX105_2022_11_08_1: 455 trials, 52,567/55,457 cells, 11,053 timepoints, 15.48 s; ETA 8.6 min
[52/89] TX119_2024_01_07_1: 511 trials, 29,357/32,547 cells, 9,899 timepoints, 5.46 s; ETA 8.3 min
[53/89] TX123_2024_01_16_1: 658 trials, 22,808/26,756 cells, 10,988 timepoints, 2.69 s; ETA 8.0 min
[54/89] DR10_2022_07_29_1: 629 trials, 49,931/56,106 cells, 14,461 timepoints, 34.96 s; ETA 8.0 min
[55/89] DR15_2022_11_03_2: 306 trials, 57,220/59,251 cells, 8,314 timepoints, 39.64 s; ETA 8.0 min
[56/89] TX60_2021_06_22_1: 479 trials, 47,246/48,742 cells, 10,575 timepoints, 6.97 s; ETA 7.7 min
[57/89] TX61_2021_06_20_1: 435 trials, 64,261/72,193 cells, 10,041 timepoints, 17.39 s; ETA 7.5 min
[58/89] TX108_2023_04_04_1: 457 trials, 69,762/76,530 cells, 10,529 timepoints, 17.31 s; ETA 7.3 min
[59/89] TX109_2023_05_13_1: 405 trials, 61,668/76,296 cells, 9,511 timepoints, 12.98 s; ETA 7.1 min
[60/89] VR2_2021_04_29_1: 680 trials, 57,304/65,287 cells, 13,230 timepoints, 13.50 s; ETA 6.8 min
[61/89] TX88_2022_07_22_1: 373 trials, 48,239/55,592 cells, 8,566 timepoints, 16.75 s; ETA 6.6 min
[62/89] DR10_2022_07_30_1: 511 trials, 42,973/47,963 cells, 11,717 timepoints, 19.81 s; ETA 6.4 min
[63/89] TX119_2024_01_09_1: 669 trials, 32,090/36,238 cells, 12,721 timepoints, 14.30 s; ETA 6.2 min
[64/89] TX123_2024_01_17_1: 722 trials, 27,277/32,329 cells, 12,230 timepoints, 4.23 s; ETA 5.9 min
[65/89] TX61_2021_06_23_1: 466 trials, 57,496/68,951 cells, 11,349 timepoints, 37.89 s; ETA 5.8 min
[66/89] TX61_2021_06_25_1: 399 trials, 64,969/79,586 cells, 9,859 timepoints, 46.64 s; ETA 5.7 min
[67/89] TX108_2023_04_07_1: 428 trials, 59,964/65,861 cells, 9,994 timepoints, 22.50 s; ETA 5.5 min
[68/89] VR2_2021_05_04_1: 503 trials, 43,303/55,650 cells, 9,799 timepoints, 8.78 s; ETA 5.2 min
[69/89] VR2_2021_05_06_1: 499 trials, 58,878/76,775 cells, 9,483 timepoints, 16.18 s; ETA 5.0 min
[70/89] TX119_2023_12_13_1: 561 trials, 30,803/34,222 cells, 10,044 timepoints, 8.15 s; ETA 4.7 min
[71/89] TX123_2023_12_20_1: 534 trials, 39,418/46,975 cells, 9,454 timepoints, 29.95 s; ETA 4.5 min
[72/89] TX124_2023_12_24_1: 501 trials, 17,363/20,547 cells, 8,455 timepoints, 1.37 s; ETA 4.2 min
[73/89] TX124_2023_12_26_1: 501 trials, 19,313/23,176 cells, 8,609 timepoints, 3.12 s; ETA 3.9 min
[74/89] TX88_2022_07_15_1: 600 trials, 46,452/53,028 cells, 13,582 timepoints, 24.89 s; ETA 3.7 min
[75/89] TX105_2022_11_05_1: 309 trials, 43,430/45,207 cells, 8,124 timepoints, 37.45 s; ETA 3.5 min
[76/89] TX119_2024_01_06_1: 473 trials, 26,572/29,587 cells, 8,371 timepoints, 3.32 s; ETA 3.3 min
[77/89] TX123_2024_01_15_1: 520 trials, 25,767/30,252 cells, 8,844 timepoints, 3.39 s; ETA 3.0 min
[78/89] DR10_2022_07_28_1: 455 trials, 44,464/50,195 cells, 10,370 timepoints, 13.96 s; ETA 2.7 min
[79/89] DR15_2022_11_02_1: 248 trials, 55,588/57,540 cells, 6,588 timepoints, 38.15 s; ETA 2.5 min
[80/89] TX60_2021_06_21_1: 471 trials, 55,513/60,924 cells, 10,346 timepoints, 10.25 s; ETA 2.3 min
[81/89] TX61_2021_06_19_1: 454 trials, 56,265/67,669 cells, 10,241 timepoints, 22.60 s; ETA 2.0 min
[82/89] TX108_2023_04_01_1: 402 trials, 61,781/68,045 cells, 9,378 timepoints, 17.88 s; ETA 1.8 min
[83/89] TX109_2023_05_12_1: 267 trials, 56,487/71,687 cells, 6,282 timepoints, 17.40 s; ETA 1.5 min
[84/89] VR2_2021_04_28_1: 506 trials, 55,525/63,897 cells, 10,259 timepoints, 27.02 s; ETA 1.3 min
[85/89] LZ13_2024_05_28_1: 400 trials, 32,956/38,489 cells, 9,202 timepoints, 9.98 s; ETA 1.0 min
[86/89] LZ13_2024_05_29_1: 407 trials, 33,726/39,358 cells, 8,956 timepoints, 52.22 s; ETA 0.8 min
[87/89] LZ16_2024_05_31_2: 335 trials, 34,307/35,918 cells, 7,234 timepoints, 7.07 s; ETA 0.5 min
[88/89] LZ16_2024_06_01_1: 426 trials, 33,838/35,291 cells, 9,072 timepoints, 10.39 s; ETA 0.3 min
[89/89] TX139_2024_05_31_1: 369 trials, 25,719/34,522 cells, 8,444 timepoints, 19.17 s; ETA 0.0 min
Conversion in memory complete in 1393.93 s; writing /app/converted_data.pkl
Wrote /app/converted_data.pkl (141.129 GiB) in 123.12 s; total 1517.05 s
