Found 174 NWB sessions; processing with pynwb
[25/174] sub-441666_ses-20190516T152922_behavior+ecephys+ogen.nwb: 439 trials, 501 neurons; 1.00s; ETA 2.0 min
[26/174] sub-441666_ses-20190517T150543_behavior+ecephys+ogen.nwb: 684 trials, 278 neurons; 1.18s; ETA 2.1 min
[27/174] sub-442571_ses-20190227T134351_behavior+ecephys+ogen.nwb: 540 trials, 279 neurons; 0.77s; ETA 2.0 min
[28/174] sub-442571_ses-20190228T140832_behavior+ecephys+ogen.nwb: 460 trials, 603 neurons; 1.15s; ETA 2.0 min
[29/174] sub-442571_ses-20190301T140324_behavior+ecephys+ogen.nwb: 281 trials, 433 neurons; 0.61s; ETA 2.0 min
[30/174] sub-442571_ses-20190302T150148_behavior+ecephys+ogen.nwb: 501 trials, 425 neurons; 1.12s; ETA 2.0 min
[31/174] sub-442571_ses-20190303T144606_behavior+ecephys+ogen.nwb: 692 trials, 436 neurons; 1.24s; ETA 2.0 min
[32/174] sub-449141_ses-20190530T173316_behavior+ecephys+ogen.nwb: 660 trials, 553 neurons; 1.46s; ETA 2.1 min
[33/174] sub-449141_ses-20190531T161406_behavior+ecephys+ogen.nwb: 800 trials, 499 neurons; 1.45s; ETA 2.1 min
[34/174] sub-449141_ses-20190601T175411_behavior+ecephys+ogen.nwb: 660 trials, 571 neurons; 1.25s; ETA 2.1 min
[35/174] sub-449141_ses-20190602T155210_behavior+ecephys+ogen.nwb: 690 trials, 533 neurons; 1.32s; ETA 2.1 min
[36/174] sub-449141_ses-20190603T160047_behavior+ecephys+ogen.nwb: 430 trials, 675 neurons; 1.37s; ETA 2.1 min
[37/174] sub-449141_ses-20190604T152447_behavior+ecephys+ogen.nwb: 661 trials, 496 neurons; 1.78s; ETA 2.2 min
[38/174] sub-455219_ses-20190805T152117_behavior+ecephys+ogen.nwb: 561 trials, 498 neurons; 1.16s; ETA 2.2 min
[39/174] sub-455219_ses-20190806T143015_behavior+ecephys+ogen.nwb: 611 trials, 530 neurons; 1.27s; ETA 2.2 min
[40/174] sub-455219_ses-20190807T134913_behavior+ecephys+ogen.nwb: 505 trials, 463 neurons; 0.91s; ETA 2.2 min
[41/174] sub-455219_ses-20190808T140448_behavior+ecephys+ogen.nwb: 750 trials, 599 neurons; 1.68s; ETA 2.2 min
[42/174] sub-455220_ses-20190729T145044_behavior+ecephys+ogen.nwb: 580 trials, 224 neurons; 0.83s; ETA 2.1 min
[43/174] sub-455220_ses-20190730T154125_behavior+ecephys+ogen.nwb: 550 trials, 478 neurons; 1.10s; ETA 2.1 min
[44/174] sub-455220_ses-20190731T151805_behavior+ecephys+ogen.nwb: 524 trials, 488 neurons; 1.04s; ETA 2.1 min
[45/174] sub-455220_ses-20190801T135056_behavior+ecephys+ogen.nwb: 569 trials, 427 neurons; 0.99s; ETA 2.1 min
[46/174] sub-455220_ses-20190803T150200_behavior+ecephys+ogen.nwb: 542 trials, 433 neurons; 1.11s; ETA 2.1 min
[47/174] sub-455220_ses-20190804T152922_behavior+ecephys+ogen.nwb: 513 trials, 428 neurons; 1.23s; ETA 2.1 min
[48/174] sub-456772_ses-20191119T115109_behavior+ecephys+ogen.nwb: 426 trials, 106 neurons; 0.50s; ETA 2.1 min
[49/174] sub-456772_ses-20191119T130822_behavior+ecephys+ogen.nwb: 378 trials, 157 neurons; 0.47s; ETA 2.0 min
[50/174] sub-456772_ses-20191120T115527_behavior+ecephys+ogen.nwb: 389 trials, 217 neurons; 0.55s; ETA 2.0 min
[51/174] sub-456772_ses-20191120T130334_behavior+ecephys+ogen.nwb: 429 trials, 194 neurons; 0.62s; ETA 2.0 min
[52/174] sub-456772_ses-20191121T113844_behavior+ecephys+ogen.nwb: 415 trials, 344 neurons; 0.79s; ETA 1.9 min
[53/174] sub-456772_ses-20191121T124405_behavior+ecephys+ogen.nwb: 458 trials, 253 neurons; 0.76s; ETA 1.9 min
[54/174] sub-456772_ses-20191122T134226_behavior+ecephys+ogen.nwb: 444 trials, 343 neurons; 0.84s; ETA 1.9 min
[55/174] sub-456772_ses-20191122T144855_behavior+ecephys+ogen.nwb: 402 trials, 477 neurons; 0.85s; ETA 1.9 min
[56/174] sub-456772_ses-20191123T135013_behavior+ecephys+ogen.nwb: 397 trials, 332 neurons; 0.57s; ETA 1.8 min
[57/174] sub-456772_ses-20191123T145127_behavior+ecephys+ogen.nwb: 515 trials, 442 neurons; 0.84s; ETA 1.8 min
[58/174] sub-456773_ses-20191002T143533_behavior+ecephys+ogen.nwb: 552 trials, 452 neurons; 1.31s; ETA 1.8 min
[59/174] sub-456773_ses-20191003T153548_behavior+ecephys+ogen.nwb: 488 trials, 272 neurons; 0.90s; ETA 1.8 min
[60/174] sub-456773_ses-20191004T143720_behavior+ecephys+ogen.nwb: 466 trials, 414 neurons; 1.10s; ETA 1.8 min
[61/174] sub-456773_ses-20191005T142316_behavior+ecephys+ogen.nwb: 665 trials, 346 neurons; 1.13s; ETA 1.8 min
[62/174] sub-456774_ses-20191021T142044_behavior+ecephys+ogen.nwb: 424 trials, 532 neurons; 1.00s; ETA 1.8 min
[63/174] sub-456774_ses-20191022T133136_behavior+ecephys+ogen.nwb: 544 trials, 279 neurons; 0.98s; ETA 1.8 min
[64/174] sub-456774_ses-20191023T142402_behavior+ecephys+ogen.nwb: 498 trials, 178 neurons; 0.69s; ETA 1.7 min
[65/174] sub-460432_ses-20191217T123303_behavior+ecephys+ogen.nwb: 435 trials, 259 neurons; 0.65s; ETA 1.7 min
[66/174] sub-460432_ses-20191218T111453_behavior+ecephys+ogen.nwb: 493 trials, 322 neurons; 0.80s; ETA 1.7 min
[67/174] sub-460432_ses-20191219T134919_behavior+ecephys+ogen.nwb: 421 trials, 368 neurons; 0.75s; ETA 1.7 min
[68/174] sub-460432_ses-20191220T140433_behavior+ecephys+ogen.nwb: 470 trials, 184 neurons; 0.63s; ETA 1.6 min
[69/174] sub-460434_ses-20191112T114755_behavior+ecephys+ogen.nwb: 454 trials, 156 neurons; 0.56s; ETA 1.6 min
[70/174] sub-460434_ses-20191113T135640_behavior+ecephys+ogen.nwb: 405 trials, 150 neurons; 0.62s; ETA 1.6 min
[71/174] sub-460434_ses-20191114T142520_behavior+ecephys+ogen.nwb: 482 trials, 190 neurons; 0.63s; ETA 1.6 min
[72/174] sub-460434_ses-20191115T135939_behavior+ecephys+ogen.nwb: 635 trials, 141 neurons; 0.89s; ETA 1.6 min
[73/174] sub-460436_ses-20200107T111633_behavior+ecephys+ogen.nwb: 519 trials, 365 neurons; 0.91s; ETA 1.5 min
[74/174] sub-460436_ses-20200108T105741_behavior+ecephys+ogen.nwb: 600 trials, 254 neurons; 0.92s; ETA 1.5 min
[75/174] sub-460436_ses-20200109T111437_behavior+ecephys+ogen.nwb: 494 trials, 323 neurons; 0.77s; ETA 1.5 min
[76/174] sub-460436_ses-20200110T142717_behavior+ecephys+ogen.nwb: 470 trials, 269 neurons; 0.69s; ETA 1.5 min
[77/174] sub-479121_ses-20200921T162104_behavior+ecephys+ogen.nwb: 320 trials, 605 neurons; 1.14s; ETA 1.5 min
[78/174] sub-479121_ses-20200922T135318_behavior+ecephys+ogen.nwb: 527 trials, 378 neurons; 1.09s; ETA 1.5 min
[79/174] sub-479121_ses-20200923T151145_behavior+ecephys+ogen.nwb: 530 trials, 537 neurons; 1.49s; ETA 1.5 min
[80/174] sub-479121_ses-20200924T134307_behavior+ecephys+ogen.nwb: 626 trials, 374 neurons; 1.34s; ETA 1.5 min
[81/174] sub-479121_ses-20200925T153348_behavior+ecephys+ogen.nwb: 461 trials, 322 neurons; 0.89s; ETA 1.4 min
[82/174] sub-479121_ses-20200928T141416_behavior+ecephys+ogen.nwb: 530 trials, 90 neurons; 0.53s; ETA 1.4 min
[83/174] sub-479149_ses-20201209T115448_behavior+ecephys.nwb: 580 trials, 110 neurons; 0.58s; ETA 1.4 min
[84/174] sub-479149_ses-20201210T113111_behavior+ecephys+ogen.nwb: 640 trials, 180 neurons; 0.73s; ETA 1.4 min
[85/174] sub-479149_ses-20201211T110651_behavior+ecephys.nwb: 410 trials, 233 neurons; 0.80s; ETA 1.4 min
[86/174] sub-479149_ses-20201214T120340_behavior+ecephys.nwb: 450 trials, 459 neurons; 0.98s; ETA 1.3 min
[87/174] sub-479149_ses-20201216T120333_behavior+ecephys+ogen.nwb: 264 trials, 480 neurons; 0.66s; ETA 1.3 min
[88/174] sub-479149_ses-20201217T120512_behavior+ecephys+ogen.nwb: 440 trials, 304 neurons; 0.90s; ETA 1.3 min
[89/174] sub-479149_ses-20201218T113815_behavior+ecephys+ogen.nwb: 520 trials, 328 neurons; 0.81s; ETA 1.3 min
[90/174] sub-480133_ses-20201224T122322_behavior+ecephys.nwb: 470 trials, 148 neurons; 0.53s; ETA 1.3 min
[91/174] sub-480133_ses-20201225T114244_behavior+ecephys+ogen.nwb: 666 trials, 237 neurons; 0.88s; ETA 1.3 min
[92/174] sub-480133_ses-20201226T121710_behavior+ecephys+ogen.nwb: 700 trials, 371 neurons; 1.56s; ETA 1.2 min
[93/174] sub-480133_ses-20201229T125330_behavior+ecephys.nwb: 530 trials, 439 neurons; 1.12s; ETA 1.2 min
[94/174] sub-480133_ses-20201230T112558_behavior+ecephys+ogen.nwb: 540 trials, 639 neurons; 1.51s; ETA 1.2 min
[95/174] sub-480133_ses-20201231T114638_behavior+ecephys+ogen.nwb: 490 trials, 618 neurons; 1.21s; ETA 1.2 min
[96/174] sub-480133_ses-20210101T123136_behavior+ecephys+ogen.nwb: 500 trials, 205 neurons; 0.64s; ETA 1.2 min
[97/174] sub-480133_ses-20210103T133044_behavior+ecephys+ogen.nwb: 540 trials, 523 neurons; 1.07s; ETA 1.2 min
[98/174] sub-480133_ses-20210104T131503_behavior+ecephys+ogen.nwb: 610 trials, 555 neurons; 1.33s; ETA 1.2 min
[99/174] sub-480134_ses-20210106T125834_behavior+ecephys+ogen.nwb: 560 trials, 532 neurons; 1.21s; ETA 1.2 min
[100/174] sub-480134_ses-20210107T120825_behavior+ecephys+ogen.nwb: 500 trials, 420 neurons; 1.08s; ETA 1.2 min
[101/174] sub-480134_ses-20210108T135220_behavior+ecephys+ogen.nwb: 520 trials, 683 neurons; 1.47s; ETA 1.1 min
[102/174] sub-480134_ses-20210110T134005_behavior+ecephys+ogen.nwb: 720 trials, 480 neurons; 1.17s; ETA 1.1 min
[103/174] sub-480134_ses-20210111T122809_behavior+ecephys+ogen.nwb: 540 trials, 495 neurons; 1.07s; ETA 1.1 min
[104/174] sub-480134_ses-20210112T130202_behavior+ecephys+ogen.nwb: 624 trials, 675 neurons; 1.70s; ETA 1.1 min
[105/174] sub-480134_ses-20210113T125455_behavior+ecephys+ogen.nwb: 680 trials, 749 neurons; 1.86s; ETA 1.1 min
[106/174] sub-480135_ses-20210225T155426_behavior+ecephys+ogen.nwb: 515 trials, 630 neurons; 1.36s; ETA 1.1 min
[107/174] sub-480135_ses-20210226T161028_behavior+ecephys+ogen.nwb: 479 trials, 733 neurons; 1.45s; ETA 1.1 min
[108/174] sub-480135_ses-20210227T131716_behavior+ecephys+ogen.nwb: 494 trials, 765 neurons; 1.35s; ETA 1.1 min
[109/174] sub-480135_ses-20210301T144130_behavior+ecephys+ogen.nwb: 475 trials, 538 neurons; 0.98s; ETA 1.1 min
[110/174] sub-480135_ses-20210302T140243_behavior+ecephys+ogen.nwb: 226 trials, 502 neurons; 0.83s; ETA 1.0 min
[111/174] sub-480135_ses-20210303T161010_behavior+ecephys+ogen.nwb: 469 trials, 257 neurons; 0.70s; ETA 1.0 min
[112/174] sub-480135_ses-20210304T163309_behavior+ecephys+ogen.nwb: 533 trials, 219 neurons; 0.68s; ETA 1.0 min
[113/174] sub-480927_ses-20210218T122535_behavior+ecephys+ogen.nwb: 312 trials, 477 neurons; 0.97s; ETA 1.0 min
[114/174] sub-480927_ses-20210219T132453_behavior+ecephys+ogen.nwb: 439 trials, 376 neurons; 0.86s; ETA 1.0 min
[115/174] sub-480927_ses-20210220T124834_behavior+ecephys+ogen.nwb: 362 trials, 516 neurons; 0.99s; ETA 0.9 min
[116/174] sub-480927_ses-20210221T130859_behavior+ecephys+ogen.nwb: 568 trials, 688 neurons; 1.61s; ETA 0.9 min
[117/174] sub-480927_ses-20210222T130313_behavior+ecephys+ogen.nwb: 553 trials, 350 neurons; 1.07s; ETA 0.9 min
[118/174] sub-480927_ses-20210223T135753_behavior+ecephys+ogen.nwb: 561 trials, 219 neurons; 0.93s; ETA 0.9 min
[119/174] sub-480927_ses-20210224T133042_behavior+ecephys+ogen.nwb: 496 trials, 469 neurons; 1.17s; ETA 0.9 min
[120/174] sub-480927_ses-20210225T115002_behavior+ecephys+ogen.nwb: 535 trials, 366 neurons; 1.05s; ETA 0.9 min
[121/174] sub-480927_ses-20210226T133429_behavior+ecephys+ogen.nwb: 548 trials, 483 neurons; 1.36s; ETA 0.9 min
[122/174] sub-480927_ses-20210228T131818_behavior+ecephys+ogen.nwb: 622 trials, 268 neurons; 0.77s; ETA 0.8 min
[123/174] sub-480928_ses-20210121T153333_behavior+ecephys+ogen.nwb: 520 trials, 432 neurons; 1.32s; ETA 0.8 min
[124/174] sub-480928_ses-20210122T131850_behavior+ecephys+ogen.nwb: 624 trials, 358 neurons; 1.31s; ETA 0.8 min
[125/174] sub-480928_ses-20210123T132015_behavior+ecephys+ogen.nwb: 600 trials, 407 neurons; 1.19s; ETA 0.8 min
[126/174] sub-480928_ses-20210125T124258_behavior+ecephys+ogen.nwb: 601 trials, 509 neurons; 1.53s; ETA 0.8 min
[127/174] sub-480928_ses-20210126T134951_behavior+ecephys+ogen.nwb: 540 trials, 650 neurons; 1.60s; ETA 0.8 min
[128/174] sub-480928_ses-20210127T140737_behavior+ecephys+ogen.nwb: 504 trials, 731 neurons; 1.56s; ETA 0.8 min
[129/174] sub-480928_ses-20210128T133949_behavior+ecephys+ogen.nwb: 620 trials, 923 neurons; 2.28s; ETA 0.8 min
[130/174] sub-480928_ses-20210129T132207_behavior+ecephys+ogen.nwb: 665 trials, 724 neurons; 1.94s; ETA 0.7 min
[131/174] sub-480928_ses-20210130T135022_behavior+ecephys+ogen.nwb: 553 trials, 850 neurons; 1.62s; ETA 0.7 min
[132/174] sub-484672_ses-20210318T171131_behavior+ecephys+ogen.nwb: 450 trials, 256 neurons; 0.73s; ETA 0.7 min
[133/174] sub-484672_ses-20210319T144211_behavior+ecephys+ogen.nwb: 570 trials, 385 neurons; 1.21s; ETA 0.7 min
[134/174] sub-484672_ses-20210321T131204_behavior+ecephys+ogen.nwb: 476 trials, 213 neurons; 0.55s; ETA 0.7 min
[135/174] sub-484672_ses-20210322T122309_behavior+ecephys+ogen.nwb: 542 trials, 330 neurons; 0.83s; ETA 0.7 min
[136/174] sub-484672_ses-20210323T121231_behavior+ecephys+ogen.nwb: 445 trials, 492 neurons; 0.98s; ETA 0.6 min
[137/174] sub-484672_ses-20210324T143423_behavior+ecephys+ogen.nwb: 585 trials, 215 neurons; 0.86s; ETA 0.6 min
[138/174] sub-484673_ses-20210427T145157_behavior+ecephys+ogen.nwb: 419 trials, 486 neurons; 1.07s; ETA 0.6 min
[139/174] sub-484673_ses-20210428T133442_behavior+ecephys+ogen.nwb: 534 trials, 633 neurons; 1.27s; ETA 0.6 min
[140/174] sub-484673_ses-20210429T131158_behavior+ecephys+ogen.nwb: 503 trials, 497 neurons; 1.03s; ETA 0.6 min
[141/174] sub-484673_ses-20210430T132651_behavior+ecephys+ogen.nwb: 484 trials, 532 neurons; 1.29s; ETA 0.6 min
[142/174] sub-484673_ses-20210504T121957_behavior+ecephys+ogen.nwb: 627 trials, 285 neurons; 0.86s; ETA 0.5 min
[143/174] sub-484673_ses-20210505T131153_behavior+ecephys+ogen.nwb: 656 trials, 227 neurons; 0.94s; ETA 0.5 min
[144/174] sub-484673_ses-20210506T134206_behavior+ecephys+ogen.nwb: 644 trials, 342 neurons; 1.02s; ETA 0.5 min
[145/174] sub-484673_ses-20210507T135524_behavior+ecephys+ogen.nwb: 695 trials, 430 neurons; 1.42s; ETA 0.5 min
[146/174] sub-484673_ses-20210508T132858_behavior+ecephys+ogen.nwb: 638 trials, 390 neurons; 1.23s; ETA 0.5 min
[147/174] sub-484674_ses-20210504T155124_behavior+ecephys+ogen.nwb: 588 trials, 308 neurons; 1.12s; ETA 0.5 min
[148/174] sub-484674_ses-20210505T170309_behavior+ecephys+ogen.nwb: 625 trials, 298 neurons; 1.02s; ETA 0.4 min
[149/174] sub-484674_ses-20210506T174036_behavior+ecephys+ogen.nwb: 518 trials, 638 neurons; 1.27s; ETA 0.4 min
[150/174] sub-484674_ses-20210507T172825_behavior+ecephys+ogen.nwb: 509 trials, 208 neurons; 0.69s; ETA 0.4 min
[151/174] sub-484674_ses-20210509T131820_behavior+ecephys+ogen.nwb: 479 trials, 452 neurons; 1.04s; ETA 0.4 min
[152/174] sub-484674_ses-20210510T162815_behavior+ecephys+ogen.nwb: 399 trials, 238 neurons; 0.82s; ETA 0.4 min
[153/174] sub-484674_ses-20210511T140555_behavior+ecephys+ogen.nwb: 476 trials, 206 neurons; 0.67s; ETA 0.4 min
[154/174] sub-484674_ses-20210513T120445_behavior+ecephys+ogen.nwb: 531 trials, 404 neurons; 1.15s; ETA 0.3 min
[155/174] sub-484674_ses-20210514T111526_behavior+ecephys+ogen.nwb: 566 trials, 269 neurons; 1.00s; ETA 0.3 min
[156/174] sub-484675_ses-20210318T122039_behavior+ecephys+ogen.nwb: 407 trials, 365 neurons; 0.70s; ETA 0.3 min
[157/174] sub-484675_ses-20210319T121514_behavior+ecephys+ogen.nwb: 523 trials, 393 neurons; 0.82s; ETA 0.3 min
[158/174] sub-484675_ses-20210320T130513_behavior+ecephys+ogen.nwb: 537 trials, 483 neurons; 0.91s; ETA 0.3 min
[159/174] sub-484675_ses-20210322T164725_behavior+ecephys+ogen.nwb: 471 trials, 288 neurons; 0.81s; ETA 0.3 min
[160/174] sub-484675_ses-20210323T164459_behavior+ecephys+ogen.nwb: 640 trials, 325 neurons; 1.01s; ETA 0.2 min
[161/174] sub-484675_ses-20210324T182545_behavior+ecephys+ogen.nwb: 479 trials, 182 neurons; 0.64s; ETA 0.2 min
[162/174] sub-484676_ses-20210413T112028_behavior+ecephys+ogen.nwb: 522 trials, 537 neurons; 1.48s; ETA 0.2 min
[163/174] sub-484676_ses-20210414T121243_behavior+ecephys+ogen.nwb: 590 trials, 473 neurons; 1.44s; ETA 0.2 min
[164/174] sub-484676_ses-20210415T121842_behavior+ecephys+ogen.nwb: 518 trials, 302 neurons; 0.94s; ETA 0.2 min
[165/174] sub-484676_ses-20210416T140326_behavior+ecephys+ogen.nwb: 631 trials, 317 neurons; 1.00s; ETA 0.2 min
[166/174] sub-484676_ses-20210419T130102_behavior+ecephys+ogen.nwb: 560 trials, 530 neurons; 1.35s; ETA 0.1 min
[167/174] sub-484676_ses-20210420T130906_behavior+ecephys+ogen.nwb: 501 trials, 437 neurons; 1.22s; ETA 0.1 min
[168/174] sub-484676_ses-20210421T141806_behavior+ecephys+ogen.nwb: 608 trials, 339 neurons; 1.11s; ETA 0.1 min
[169/174] sub-484677_ses-20210413T150250_behavior+ecephys+ogen.nwb: 662 trials, 445 neurons; 1.59s; ETA 0.1 min
[170/174] sub-484677_ses-20210414T153241_behavior+ecephys+ogen.nwb: 547 trials, 390 neurons; 1.23s; ETA 0.1 min
[171/174] sub-484677_ses-20210415T161621_behavior+ecephys+ogen.nwb: 491 trials, 308 neurons; 0.93s; ETA 0.1 min
[172/174] sub-484677_ses-20210418T132006_behavior+ecephys+ogen.nwb: 689 trials, 787 neurons; 2.27s; ETA 0.0 min
[173/174] sub-484677_ses-20210419T161140_behavior+ecephys+ogen.nwb: 452 trials, 472 neurons; 1.23s; ETA 0.0 min
[174/174] sub-484677_ses-20210420T170516_behavior+ecephys+ogen.nwb: 626 trials, 368 neurons; 1.37s; ETA 0.0 min
Serializing 173 sessions to /app/converted_data.pkl
Finished in 3.19 min; output 11.793 GB
Audit: {'trials_native': 94370, 'trials_invalid_period': 1569, 'choice_lick_matches': 90096, 'choice_lick_mismatches': 282, 'sessions_included': 173, 'trials_included': 90378, 'good_units': 69453, 'trials_all_neural_zero_excluded': 2423, 'sessions_zero_good_units': 1}
