Loading QLAK-CA1-08...
  31 days, 515 total cells, 71866 timepoints/day
  Day 16: u, 400 neurons, 39 trials
  Day 17: bit donut, 390 neurons, 39 trials
  Day 18: rectangle, 378 neurons, 39 trials
  Day 19: t, 375 neurons, 39 trials
  Day 20: square, 392 neurons, 39 trials
  Day 21: o, 405 neurons, 39 trials
  Day 22: +, 370 neurons, 39 trials
  Day 23: l, 395 neurons, 39 trials
  Day 24: glenn, 388 neurons, 39 trials
  Day 25: i, 417 neurons, 39 trials
  Day 26: u, 421 neurons, 39 trials
  Day 27: bit donut, 422 neurons, 39 trials
  Day 28: rectangle, 360 neurons, 39 trials
  Day 29: t, 397 neurons, 39 trials
  Day 30: square, 396 neurons, 39 trials
Loading QLAK-CA1-50...
  31 days, 942 total cells, 71866 timepoints/day
  Day 0: square, 214 neurons, 39 trials
  Day 1: +, 233 neurons, 39 trials
  Day 2: bit donut, 223 neurons, 39 trials
  Day 3: o, 224 neurons, 39 trials
  Day 4: u, 242 neurons, 39 trials
  Day 5: t, 231 neurons, 39 trials
  Day 6: rectangle, 227 neurons, 39 trials
  Day 7: glenn, 364 neurons, 39 trials
  Day 8: i, 382 neurons, 39 trials
  Day 9: l, 367 neurons, 39 trials
  Day 10: square, 367 neurons, 39 trials
  Day 11: +, 428 neurons, 39 trials
  Day 12: bit donut, 405 neurons, 39 trials
  Day 13: o, 421 neurons, 39 trials
  Day 14: u, 434 neurons, 39 trials
  Day 15: t, 375 neurons, 39 trials
  Day 16: rectangle, 430 neurons, 39 trials
  Day 17: glenn, 457 neurons, 39 trials
  Day 18: i, 479 neurons, 39 trials
  Day 19: l, 452 neurons, 39 trials
  Day 20: square, 409 neurons, 39 trials
  Day 21: +, 519 neurons, 39 trials
  Day 22: bit donut, 502 neurons, 39 trials
  Day 23: o, 501 neurons, 39 trials
  Day 24: u, 493 neurons, 39 trials
  Day 25: t, 445 neurons, 39 trials
  Day 26: rectangle, 488 neurons, 39 trials
  Day 27: glenn, 523 neurons, 39 trials
  Day 28: i, 492 neurons, 39 trials
  Day 29: l, 536 neurons, 39 trials
  Day 30: square, 564 neurons, 39 trials
Loading QLAK-CA1-51...
  21 days, 554 total cells, 72219 timepoints/day
  Day 0: square, 113 neurons, 40 trials
  Day 1: o, 143 neurons, 40 trials
  Day 2: l, 148 neurons, 40 trials
  Day 3: u, 166 neurons, 40 trials
  Day 4: bit donut, 162 neurons, 40 trials
  Day 5: rectangle, 151 neurons, 40 trials
  Day 6: +, 179 neurons, 40 trials
  Day 7: glenn, 227 neurons, 40 trials
  Day 8: i, 233 neurons, 40 trials
  Day 9: t, 253 neurons, 40 trials
  Day 10: square, 235 neurons, 40 trials
  Day 11: o, 263 neurons, 40 trials
  Day 12: l, 258 neurons, 40 trials
  Day 13: u, 233 neurons, 40 trials
  Day 14: bit donut, 277 neurons, 40 trials
  Day 15: rectangle, 274 neurons, 40 trials
  Day 16: +, 276 neurons, 40 trials
  Day 17: glenn, 284 neurons, 40 trials
  Day 18: i, 317 neurons, 40 trials
  Day 19: t, 316 neurons, 40 trials
  Day 20: square, 323 neurons, 40 trials
Loading QLAK-CA1-56...
  31 days, 862 total cells, 72091 timepoints/day
  Day 0: square, 295 neurons, 40 trials
  Day 1: l, 251 neurons, 40 trials
  Day 2: bit donut, 257 neurons, 40 trials
  Day 3: glenn, 281 neurons, 40 trials
  Day 4: rectangle, 264 neurons, 40 trials
  Day 5: i, 257 neurons, 40 trials
  Day 6: +, 281 neurons, 40 trials
  Day 7: o, 340 neurons, 40 trials
  Day 8: u, 326 neurons, 40 trials
  Day 9: t, 336 neurons, 40 trials
  Day 10: square, 329 neurons, 40 trials
  Day 11: l, 337 neurons, 40 trials
  Day 12: bit donut, 402 neurons, 40 trials
  Day 13: glenn, 371 neurons, 40 trials
  Day 14: rectangle, 379 neurons, 40 trials
  Day 15: i, 391 neurons, 40 trials
  Day 16: +, 377 neurons, 40 trials
  Day 17: o, 395 neurons, 40 trials
  Day 18: u, 437 neurons, 40 trials
  Day 19: t, 428 neurons, 40 trials
  Day 20: square, 406 neurons, 40 trials
  Day 21: l, 438 neurons, 40 trials
  Day 22: bit donut, 423 neurons, 40 trials
  Day 23: glenn, 436 neurons, 40 trials
  Day 24: rectangle, 452 neurons, 40 trials
  Day 25: i, 472 neurons, 40 trials
  Day 26: +, 444 neurons, 40 trials
  Day 27: o, 481 neurons, 40 trials
  Day 28: u, 485 neurons, 40 trials
  Day 29: t, 507 neurons, 40 trials
  Day 30: square, 529 neurons, 40 trials
Loading QLAK-CA1-74...
  31 days, 713 total cells, 72060 timepoints/day
  Day 0: square, 304 neurons, 40 trials
  Day 1: t, 278 neurons, 40 trials
  Day 2: bit donut, 274 neurons, 40 trials
  Day 3: +, 264 neurons, 40 trials
  Day 4: o, 292 neurons, 40 trials
  Day 5: i, 275 neurons, 40 trials
  Day 6: l, 285 neurons, 40 trials
  Day 7: rectangle, 258 neurons, 40 trials
  Day 8: glenn, 306 neurons, 40 trials
  Day 9: u, 303 neurons, 40 trials
  Day 10: square, 286 neurons, 40 trials
  Day 11: t, 316 neurons, 40 trials
  Day 12: bit donut, 284 neurons, 40 trials
  Day 13: +, 303 neurons, 40 trials
  Day 14: o, 289 neurons, 40 trials
  Day 15: i, 289 neurons, 40 trials
  Day 16: l, 300 neurons, 40 trials
  Day 17: rectangle, 258 neurons, 40 trials
  Day 18: glenn, 321 neurons, 40 trials
  Day 19: u, 339 neurons, 40 trials
  Day 20: square, 328 neurons, 40 trials
  Day 21: t, 361 neurons, 40 trials
  Day 22: bit donut, 389 neurons, 40 trials
  Day 23: +, 344 neurons, 40 trials
  Day 24: o, 359 neurons, 40 trials
  Day 25: i, 315 neurons, 40 trials
  Day 26: l, 294 neurons, 40 trials
  Day 27: rectangle, 300 neurons, 40 trials
  Day 28: glenn, 370 neurons, 40 trials
  Day 29: u, 405 neurons, 40 trials
  Day 30: square, 391 neurons, 40 trials
Loading QLAK-CA1-75...
  31 days, 952 total cells, 72071 timepoints/day
  Day 0: square, 356 neurons, 40 trials
  Day 1: rectangle, 263 neurons, 40 trials
  Day 2: glenn, 294 neurons, 40 trials
  Day 3: l, 285 neurons, 40 trials
  Day 4: i, 368 neurons, 40 trials
  Day 5: +, 288 neurons, 40 trials
  Day 6: t, 330 neurons, 40 trials
  Day 7: bit donut, 438 neurons, 40 trials
  Day 8: o, 393 neurons, 40 trials
  Day 9: u, 384 neurons, 40 trials
  Day 10: square, 396 neurons, 40 trials
  Day 11: rectangle, 344 neurons, 40 trials
  Day 12: glenn, 344 neurons, 40 trials
  Day 13: l, 395 neurons, 40 trials
  Day 14: i, 433 neurons, 40 trials
  Day 15: +, 389 neurons, 40 trials
  Day 16: t, 419 neurons, 40 trials
  Day 17: bit donut, 442 neurons, 40 trials
  Day 18: o, 480 neurons, 40 trials
  Day 19: u, 435 neurons, 40 trials
  Day 20: square, 436 neurons, 40 trials
  Day 21: rectangle, 424 neurons, 40 trials
  Day 22: glenn, 450 neurons, 40 trials
  Day 23: l, 421 neurons, 40 trials
  Day 24: i, 501 neurons, 40 trials
  Day 25: +, 420 neurons, 40 trials
  Day 26: t, 393 neurons, 40 trials
  Day 27: bit donut, 487 neurons, 40 trials
  Day 28: o, 499 neurons, 40 trials
  Day 29: u, 535 neurons, 40 trials
  Day 30: square, 514 neurons, 40 trials

=== Conversion Summary ===
Animals: 7
Sessions: 207
Total trials: 8187
Neurons per session: mean=336.9, min=113, max=564
Frames per trial: 1800
Time bin size: 33.33 ms

=== Sanity Checks ===
Number of sessions: 207
Number of subjects: 7
Subject idx shape: (207,)
Sample neural unique values: [0. 1.]
Total neuron-sessions: 69744
Total sessions: 207
  QLAK-CA1-08: 31 sessions, neurons/session: min=153, max=254, mean=214
  QLAK-CA1-30: 31 sessions, neurons/session: min=336, max=422, mean=381
  QLAK-CA1-50: 31 sessions, neurons/session: min=214, max=564, mean=401
  QLAK-CA1-51: 21 sessions, neurons/session: min=113, max=323, mean=230
  QLAK-CA1-56: 31 sessions, neurons/session: min=251, max=529, mean=381
  QLAK-CA1-74: 31 sessions, neurons/session: min=258, max=405, mean=312
  QLAK-CA1-75: 31 sessions, neurons/session: min=263, max=535, mean=405

All sanity checks passed!

Saving to /app/converted_data.pkl...
Saved successfully. File size: 19983.7 MB
