Mode: full (all sessions)
Loaded QLAK-CA1-08 in 16.33 s
Processed session   1: QLAK-CA1-08_day00, cells=185, trials=39, time=0.64 s
Processed session  60: QLAK-CA1-30_day28, cells=360, trials=39, time=0.48 s
Processed session  61: QLAK-CA1-30_day29, cells=397, trials=39, time=0.53 s
Processed session  62: QLAK-CA1-30_day30, cells=396, trials=39, time=0.53 s
Loaded QLAK-CA1-50 in 16.01 s
Processed session  63: QLAK-CA1-50_day00, cells=214, trials=39, time=0.31 s
Processed session  64: QLAK-CA1-50_day01, cells=233, trials=39, time=0.31 s
Processed session  65: QLAK-CA1-50_day02, cells=223, trials=39, time=0.30 s
Processed session  66: QLAK-CA1-50_day03, cells=224, trials=39, time=0.30 s
Processed session  67: QLAK-CA1-50_day04, cells=242, trials=39, time=0.32 s
Processed session  68: QLAK-CA1-50_day05, cells=231, trials=39, time=0.31 s
Processed session  69: QLAK-CA1-50_day06, cells=227, trials=39, time=0.30 s
Processed session  70: QLAK-CA1-50_day07, cells=364, trials=39, time=0.49 s
Processed session  71: QLAK-CA1-50_day08, cells=382, trials=39, time=0.51 s
Processed session  72: QLAK-CA1-50_day09, cells=367, trials=39, time=0.49 s
Processed session  73: QLAK-CA1-50_day10, cells=367, trials=39, time=0.49 s
Processed session  74: QLAK-CA1-50_day11, cells=428, trials=39, time=0.57 s
Processed session  75: QLAK-CA1-50_day12, cells=405, trials=39, time=0.54 s
Processed session  76: QLAK-CA1-50_day13, cells=421, trials=39, time=0.56 s
Processed session  77: QLAK-CA1-50_day14, cells=434, trials=39, time=0.58 s
Processed session  78: QLAK-CA1-50_day15, cells=375, trials=39, time=0.50 s
Processed session  79: QLAK-CA1-50_day16, cells=430, trials=39, time=0.57 s
Processed session  80: QLAK-CA1-50_day17, cells=457, trials=39, time=0.61 s
Processed session  81: QLAK-CA1-50_day18, cells=479, trials=39, time=0.64 s
Processed session  82: QLAK-CA1-50_day19, cells=452, trials=39, time=0.61 s
Processed session  83: QLAK-CA1-50_day20, cells=409, trials=39, time=0.54 s
Processed session  84: QLAK-CA1-50_day21, cells=519, trials=39, time=0.70 s
Processed session  85: QLAK-CA1-50_day22, cells=502, trials=39, time=0.70 s
Processed session  86: QLAK-CA1-50_day23, cells=501, trials=39, time=0.69 s
Processed session  87: QLAK-CA1-50_day24, cells=493, trials=39, time=0.68 s
Processed session  88: QLAK-CA1-50_day25, cells=445, trials=39, time=0.60 s
Processed session  89: QLAK-CA1-50_day26, cells=488, trials=39, time=0.66 s
Processed session  90: QLAK-CA1-50_day27, cells=523, trials=39, time=0.72 s
Processed session  91: QLAK-CA1-50_day28, cells=492, trials=39, time=0.68 s
Processed session  92: QLAK-CA1-50_day29, cells=536, trials=39, time=0.74 s
Processed session  93: QLAK-CA1-50_day30, cells=564, trials=39, time=0.78 s
Loaded QLAK-CA1-51 in 6.46 s
Processed session  94: QLAK-CA1-51_day00, cells=113, trials=40, time=0.18 s
Processed session  95: QLAK-CA1-51_day01, cells=143, trials=40, time=0.18 s
Processed session  96: QLAK-CA1-51_day02, cells=148, trials=40, time=0.19 s
Processed session  97: QLAK-CA1-51_day03, cells=166, trials=40, time=0.22 s
Processed session  98: QLAK-CA1-51_day04, cells=162, trials=40, time=0.21 s
Processed session  99: QLAK-CA1-51_day05, cells=151, trials=40, time=0.20 s
Processed session 100: QLAK-CA1-51_day06, cells=179, trials=40, time=0.24 s
Processed session 101: QLAK-CA1-51_day07, cells=227, trials=40, time=0.30 s
Processed session 102: QLAK-CA1-51_day08, cells=233, trials=40, time=0.31 s
Processed session 103: QLAK-CA1-51_day09, cells=253, trials=40, time=0.34 s
Processed session 104: QLAK-CA1-51_day10, cells=235, trials=40, time=0.31 s
Processed session 105: QLAK-CA1-51_day11, cells=263, trials=40, time=0.35 s
Processed session 106: QLAK-CA1-51_day12, cells=258, trials=40, time=0.34 s
Processed session 107: QLAK-CA1-51_day13, cells=233, trials=40, time=0.31 s
Processed session 108: QLAK-CA1-51_day14, cells=277, trials=40, time=0.37 s
Processed session 109: QLAK-CA1-51_day15, cells=274, trials=40, time=0.37 s
Processed session 110: QLAK-CA1-51_day16, cells=276, trials=40, time=0.37 s
Processed session 111: QLAK-CA1-51_day17, cells=284, trials=40, time=0.38 s
Processed session 112: QLAK-CA1-51_day18, cells=317, trials=40, time=0.43 s
Processed session 113: QLAK-CA1-51_day19, cells=316, trials=40, time=0.43 s
Processed session 114: QLAK-CA1-51_day20, cells=323, trials=40, time=0.43 s
Loaded QLAK-CA1-56 in 14.73 s
Processed session 115: QLAK-CA1-56_day00, cells=295, trials=40, time=0.41 s
Processed session 116: QLAK-CA1-56_day01, cells=251, trials=40, time=0.34 s
Processed session 117: QLAK-CA1-56_day02, cells=257, trials=40, time=0.34 s
Processed session 118: QLAK-CA1-56_day03, cells=281, trials=40, time=0.38 s
Processed session 119: QLAK-CA1-56_day04, cells=264, trials=40, time=0.35 s
Processed session 120: QLAK-CA1-56_day05, cells=257, trials=40, time=0.35 s
Processed session 121: QLAK-CA1-56_day06, cells=281, trials=40, time=0.38 s
Processed session 122: QLAK-CA1-56_day07, cells=340, trials=40, time=0.46 s
Processed session 123: QLAK-CA1-56_day08, cells=326, trials=40, time=0.44 s
Processed session 124: QLAK-CA1-56_day09, cells=336, trials=40, time=0.45 s
Processed session 125: QLAK-CA1-56_day10, cells=329, trials=40, time=0.44 s
Processed session 126: QLAK-CA1-56_day11, cells=337, trials=40, time=0.45 s
Processed session 127: QLAK-CA1-56_day12, cells=402, trials=40, time=0.54 s
Processed session 128: QLAK-CA1-56_day13, cells=371, trials=40, time=0.50 s
Processed session 129: QLAK-CA1-56_day14, cells=379, trials=40, time=0.51 s
Processed session 130: QLAK-CA1-56_day15, cells=391, trials=40, time=0.53 s
Processed session 131: QLAK-CA1-56_day16, cells=377, trials=40, time=0.51 s
Processed session 132: QLAK-CA1-56_day17, cells=395, trials=40, time=0.53 s
Processed session 133: QLAK-CA1-56_day18, cells=437, trials=40, time=0.59 s
Processed session 134: QLAK-CA1-56_day19, cells=428, trials=40, time=0.58 s
Processed session 135: QLAK-CA1-56_day20, cells=406, trials=40, time=0.55 s
Processed session 136: QLAK-CA1-56_day21, cells=438, trials=40, time=0.59 s
Processed session 137: QLAK-CA1-56_day22, cells=423, trials=40, time=0.57 s
Processed session 138: QLAK-CA1-56_day23, cells=436, trials=40, time=0.58 s
Processed session 139: QLAK-CA1-56_day24, cells=452, trials=40, time=0.61 s
Processed session 140: QLAK-CA1-56_day25, cells=472, trials=40, time=0.64 s
Processed session 141: QLAK-CA1-56_day26, cells=444, trials=40, time=0.60 s
Processed session 142: QLAK-CA1-56_day27, cells=481, trials=40, time=0.65 s
Processed session 143: QLAK-CA1-56_day28, cells=485, trials=40, time=0.68 s
Processed session 144: QLAK-CA1-56_day29, cells=507, trials=40, time=0.71 s
Processed session 145: QLAK-CA1-56_day30, cells=529, trials=40, time=0.74 s
Loaded QLAK-CA1-74 in 12.17 s
Processed session 146: QLAK-CA1-74_day00, cells=304, trials=40, time=0.43 s
Processed session 147: QLAK-CA1-74_day01, cells=278, trials=40, time=0.37 s
Processed session 148: QLAK-CA1-74_day02, cells=274, trials=40, time=0.37 s
Processed session 149: QLAK-CA1-74_day03, cells=264, trials=40, time=0.35 s
Processed session 150: QLAK-CA1-74_day04, cells=292, trials=40, time=0.39 s
Processed session 151: QLAK-CA1-74_day05, cells=275, trials=40, time=0.37 s
Processed session 152: QLAK-CA1-74_day06, cells=285, trials=40, time=0.38 s
Processed session 153: QLAK-CA1-74_day07, cells=258, trials=40, time=0.35 s
Processed session 154: QLAK-CA1-74_day08, cells=306, trials=40, time=0.41 s
Processed session 155: QLAK-CA1-74_day09, cells=303, trials=40, time=0.41 s
Processed session 156: QLAK-CA1-74_day10, cells=286, trials=40, time=0.38 s
Processed session 157: QLAK-CA1-74_day11, cells=316, trials=40, time=0.42 s
Processed session 158: QLAK-CA1-74_day12, cells=284, trials=40, time=0.38 s
Processed session 159: QLAK-CA1-74_day13, cells=303, trials=40, time=0.41 s
Processed session 160: QLAK-CA1-74_day14, cells=289, trials=40, time=0.39 s
Processed session 161: QLAK-CA1-74_day15, cells=289, trials=40, time=0.39 s
Processed session 162: QLAK-CA1-74_day16, cells=300, trials=40, time=0.40 s
Processed session 163: QLAK-CA1-74_day17, cells=258, trials=40, time=0.34 s
Processed session 164: QLAK-CA1-74_day18, cells=321, trials=40, time=0.43 s
Processed session 165: QLAK-CA1-74_day19, cells=339, trials=40, time=0.45 s
Processed session 166: QLAK-CA1-74_day20, cells=328, trials=40, time=0.44 s
Processed session 167: QLAK-CA1-74_day21, cells=361, trials=40, time=0.48 s
Processed session 168: QLAK-CA1-74_day22, cells=389, trials=40, time=0.53 s
Processed session 169: QLAK-CA1-74_day23, cells=344, trials=40, time=0.46 s
Processed session 170: QLAK-CA1-74_day24, cells=359, trials=40, time=0.48 s
Processed session 171: QLAK-CA1-74_day25, cells=315, trials=40, time=0.42 s
Processed session 172: QLAK-CA1-74_day26, cells=294, trials=40, time=0.39 s
Processed session 173: QLAK-CA1-74_day27, cells=300, trials=40, time=0.40 s
Processed session 174: QLAK-CA1-74_day28, cells=370, trials=40, time=0.50 s
Processed session 175: QLAK-CA1-74_day29, cells=405, trials=40, time=0.55 s
Processed session 176: QLAK-CA1-74_day30, cells=391, trials=40, time=0.52 s
Loaded QLAK-CA1-75 in 16.15 s
Processed session 177: QLAK-CA1-75_day00, cells=356, trials=40, time=0.50 s
Processed session 178: QLAK-CA1-75_day01, cells=263, trials=40, time=0.35 s
Processed session 179: QLAK-CA1-75_day02, cells=294, trials=40, time=0.39 s
Processed session 180: QLAK-CA1-75_day03, cells=285, trials=40, time=0.38 s
Processed session 181: QLAK-CA1-75_day04, cells=368, trials=40, time=0.49 s
Processed session 182: QLAK-CA1-75_day05, cells=288, trials=40, time=0.39 s
Processed session 183: QLAK-CA1-75_day06, cells=330, trials=40, time=0.44 s
Processed session 184: QLAK-CA1-75_day07, cells=438, trials=40, time=0.59 s
Processed session 185: QLAK-CA1-75_day08, cells=393, trials=40, time=0.53 s
Processed session 186: QLAK-CA1-75_day09, cells=384, trials=40, time=0.52 s
Processed session 187: QLAK-CA1-75_day10, cells=396, trials=40, time=0.53 s
Processed session 188: QLAK-CA1-75_day11, cells=344, trials=40, time=0.46 s
Processed session 189: QLAK-CA1-75_day12, cells=344, trials=40, time=0.46 s
Processed session 190: QLAK-CA1-75_day13, cells=395, trials=40, time=0.53 s
Processed session 191: QLAK-CA1-75_day14, cells=433, trials=40, time=0.59 s
Processed session 192: QLAK-CA1-75_day15, cells=389, trials=40, time=0.52 s
Processed session 193: QLAK-CA1-75_day16, cells=419, trials=40, time=0.56 s
Processed session 194: QLAK-CA1-75_day17, cells=442, trials=40, time=0.60 s
Processed session 195: QLAK-CA1-75_day18, cells=480, trials=40, time=0.65 s
Processed session 196: QLAK-CA1-75_day19, cells=435, trials=40, time=0.59 s
Processed session 197: QLAK-CA1-75_day20, cells=436, trials=40, time=0.59 s
Processed session 198: QLAK-CA1-75_day21, cells=424, trials=40, time=0.57 s
Processed session 199: QLAK-CA1-75_day22, cells=450, trials=40, time=0.60 s
Processed session 200: QLAK-CA1-75_day23, cells=421, trials=40, time=0.57 s
Processed session 201: QLAK-CA1-75_day24, cells=501, trials=40, time=0.68 s
Processed session 202: QLAK-CA1-75_day25, cells=420, trials=40, time=0.57 s
Processed session 203: QLAK-CA1-75_day26, cells=393, trials=40, time=0.53 s
Processed session 204: QLAK-CA1-75_day27, cells=487, trials=40, time=0.66 s
Processed session 205: QLAK-CA1-75_day28, cells=499, trials=40, time=0.70 s
Processed session 206: QLAK-CA1-75_day29, cells=535, trials=40, time=0.75 s
Processed session 207: QLAK-CA1-75_day30, cells=514, trials=40, time=0.72 s
Internal validation passed
Summary: sessions=207, trials=8187, session-neuron instances=69744
Output fractions: [0.099663 0.075412 0.115696 0.098495 0.057266 0.141213 0.135121 0.076848
 0.200287]
Conversion before pickle: 194.13 s
Wrote /app/converted_data.pkl (6.173 GiB) in 5.70 s
