Loaded QLAK-CA1-08: 31 sessions
  Converted QLAK-CA1-08_day00: 40 trials, 185 neurons, 0.13s
  Converted QLAK-CA1-30_day02: 40 trials, 350 neurons, 0.24s
  Converted QLAK-CA1-30_day03: 40 trials, 356 neurons, 0.24s
  Converted QLAK-CA1-30_day04: 40 trials, 350 neurons, 0.24s
  Converted QLAK-CA1-30_day05: 40 trials, 380 neurons, 0.26s
  Converted QLAK-CA1-30_day06: 40 trials, 347 neurons, 0.23s
  Converted QLAK-CA1-30_day07: 40 trials, 352 neurons, 0.24s
  Converted QLAK-CA1-30_day08: 40 trials, 336 neurons, 0.23s
  Converted QLAK-CA1-30_day09: 40 trials, 382 neurons, 0.26s
  Converted QLAK-CA1-30_day10: 40 trials, 367 neurons, 0.25s
  Converted QLAK-CA1-30_day11: 40 trials, 411 neurons, 0.28s
  Converted QLAK-CA1-30_day12: 40 trials, 405 neurons, 0.27s
  Converted QLAK-CA1-30_day13: 40 trials, 350 neurons, 0.24s
  Converted QLAK-CA1-30_day14: 40 trials, 378 neurons, 0.26s
  Converted QLAK-CA1-30_day15: 40 trials, 340 neurons, 0.23s
  Converted QLAK-CA1-30_day16: 40 trials, 400 neurons, 0.27s
  Converted QLAK-CA1-30_day17: 40 trials, 390 neurons, 0.27s
  Converted QLAK-CA1-30_day18: 40 trials, 378 neurons, 0.26s
  Converted QLAK-CA1-30_day19: 40 trials, 375 neurons, 0.25s
  Converted QLAK-CA1-30_day20: 40 trials, 392 neurons, 0.27s
  Converted QLAK-CA1-30_day21: 40 trials, 405 neurons, 0.27s
  Converted QLAK-CA1-30_day22: 40 trials, 370 neurons, 0.25s
  Converted QLAK-CA1-30_day23: 40 trials, 395 neurons, 0.27s
  Converted QLAK-CA1-30_day24: 40 trials, 388 neurons, 0.26s
  Converted QLAK-CA1-30_day25: 40 trials, 417 neurons, 0.28s
  Converted QLAK-CA1-30_day26: 40 trials, 421 neurons, 0.29s
  Converted QLAK-CA1-30_day27: 40 trials, 422 neurons, 0.29s
  Converted QLAK-CA1-30_day28: 40 trials, 360 neurons, 0.24s
  Converted QLAK-CA1-30_day29: 40 trials, 397 neurons, 0.28s
  Converted QLAK-CA1-30_day30: 40 trials, 396 neurons, 0.28s
Finished QLAK-CA1-30 in 106.81s
Loaded QLAK-CA1-50: 31 sessions
  Converted QLAK-CA1-50_day00: 40 trials, 214 neurons, 0.15s
  Converted QLAK-CA1-50_day01: 40 trials, 233 neurons, 0.16s
  Converted QLAK-CA1-50_day02: 40 trials, 223 neurons, 0.16s
  Converted QLAK-CA1-50_day03: 40 trials, 224 neurons, 0.17s
  Converted QLAK-CA1-50_day04: 40 trials, 242 neurons, 0.18s
  Converted QLAK-CA1-50_day05: 40 trials, 231 neurons, 0.17s
  Converted QLAK-CA1-50_day06: 40 trials, 227 neurons, 0.17s
  Converted QLAK-CA1-50_day07: 40 trials, 364 neurons, 0.26s
  Converted QLAK-CA1-50_day08: 40 trials, 382 neurons, 0.27s
  Converted QLAK-CA1-50_day09: 40 trials, 367 neurons, 0.25s
  Converted QLAK-CA1-50_day10: 40 trials, 367 neurons, 0.25s
  Converted QLAK-CA1-50_day11: 40 trials, 428 neurons, 0.29s
  Converted QLAK-CA1-50_day12: 40 trials, 405 neurons, 0.27s
  Converted QLAK-CA1-50_day13: 40 trials, 421 neurons, 0.28s
  Converted QLAK-CA1-50_day14: 40 trials, 434 neurons, 0.29s
  Converted QLAK-CA1-50_day15: 40 trials, 375 neurons, 0.27s
  Converted QLAK-CA1-50_day16: 40 trials, 430 neurons, 0.31s
  Converted QLAK-CA1-50_day17: 40 trials, 457 neurons, 0.33s
  Converted QLAK-CA1-50_day18: 40 trials, 479 neurons, 0.35s
  Converted QLAK-CA1-50_day19: 40 trials, 452 neurons, 0.33s
  Converted QLAK-CA1-50_day20: 40 trials, 409 neurons, 0.30s
  Converted QLAK-CA1-50_day21: 40 trials, 519 neurons, 0.38s
  Converted QLAK-CA1-50_day22: 40 trials, 502 neurons, 0.36s
  Converted QLAK-CA1-50_day23: 40 trials, 501 neurons, 0.36s
  Converted QLAK-CA1-50_day24: 40 trials, 493 neurons, 0.36s
  Converted QLAK-CA1-50_day25: 40 trials, 445 neurons, 0.32s
  Converted QLAK-CA1-50_day26: 40 trials, 488 neurons, 0.33s
  Converted QLAK-CA1-50_day27: 40 trials, 523 neurons, 0.35s
  Converted QLAK-CA1-50_day28: 40 trials, 492 neurons, 0.33s
  Converted QLAK-CA1-50_day29: 40 trials, 536 neurons, 0.36s
  Converted QLAK-CA1-50_day30: 40 trials, 564 neurons, 0.38s
Finished QLAK-CA1-50 in 123.98s
Loaded QLAK-CA1-51: 21 sessions
  Converted QLAK-CA1-51_day00: 40 trials, 113 neurons, 0.08s
  Converted QLAK-CA1-51_day01: 40 trials, 143 neurons, 0.10s
  Converted QLAK-CA1-51_day02: 40 trials, 148 neurons, 0.10s
  Converted QLAK-CA1-51_day03: 40 trials, 166 neurons, 0.12s
  Converted QLAK-CA1-51_day04: 40 trials, 162 neurons, 0.11s
  Converted QLAK-CA1-51_day05: 40 trials, 151 neurons, 0.11s
  Converted QLAK-CA1-51_day06: 40 trials, 179 neurons, 0.13s
  Converted QLAK-CA1-51_day07: 40 trials, 227 neurons, 0.16s
  Converted QLAK-CA1-51_day08: 40 trials, 233 neurons, 0.17s
  Converted QLAK-CA1-51_day09: 40 trials, 253 neurons, 0.18s
  Converted QLAK-CA1-51_day10: 40 trials, 235 neurons, 0.17s
  Converted QLAK-CA1-51_day11: 40 trials, 263 neurons, 0.18s
  Converted QLAK-CA1-51_day12: 40 trials, 258 neurons, 0.18s
  Converted QLAK-CA1-51_day13: 40 trials, 233 neurons, 0.16s
  Converted QLAK-CA1-51_day14: 40 trials, 277 neurons, 0.19s
  Converted QLAK-CA1-51_day15: 40 trials, 274 neurons, 0.18s
  Converted QLAK-CA1-51_day16: 40 trials, 276 neurons, 0.19s
  Converted QLAK-CA1-51_day17: 40 trials, 284 neurons, 0.19s
  Converted QLAK-CA1-51_day18: 40 trials, 317 neurons, 0.21s
  Converted QLAK-CA1-51_day19: 40 trials, 316 neurons, 0.21s
  Converted QLAK-CA1-51_day20: 40 trials, 323 neurons, 0.22s
Finished QLAK-CA1-51 in 11.41s
Loaded QLAK-CA1-56: 31 sessions
  Converted QLAK-CA1-56_day00: 40 trials, 295 neurons, 0.19s
  Converted QLAK-CA1-56_day01: 40 trials, 251 neurons, 0.16s
  Converted QLAK-CA1-56_day02: 40 trials, 257 neurons, 0.17s
  Converted QLAK-CA1-56_day03: 40 trials, 281 neurons, 0.19s
  Converted QLAK-CA1-56_day04: 40 trials, 264 neurons, 0.18s
  Converted QLAK-CA1-56_day05: 40 trials, 257 neurons, 0.17s
  Converted QLAK-CA1-56_day06: 40 trials, 281 neurons, 0.19s
  Converted QLAK-CA1-56_day07: 40 trials, 340 neurons, 0.23s
  Converted QLAK-CA1-56_day08: 40 trials, 326 neurons, 0.22s
  Converted QLAK-CA1-56_day09: 40 trials, 336 neurons, 0.23s
  Converted QLAK-CA1-56_day10: 40 trials, 329 neurons, 0.22s
  Converted QLAK-CA1-56_day11: 40 trials, 337 neurons, 0.23s
  Converted QLAK-CA1-56_day12: 40 trials, 402 neurons, 0.27s
  Converted QLAK-CA1-56_day13: 40 trials, 371 neurons, 0.25s
  Converted QLAK-CA1-56_day14: 40 trials, 379 neurons, 0.26s
  Converted QLAK-CA1-56_day15: 40 trials, 391 neurons, 0.26s
  Converted QLAK-CA1-56_day16: 40 trials, 377 neurons, 0.25s
  Converted QLAK-CA1-56_day17: 40 trials, 395 neurons, 0.27s
  Converted QLAK-CA1-56_day18: 40 trials, 437 neurons, 0.29s
  Converted QLAK-CA1-56_day19: 40 trials, 428 neurons, 0.29s
  Converted QLAK-CA1-56_day20: 40 trials, 406 neurons, 0.27s
  Converted QLAK-CA1-56_day21: 40 trials, 438 neurons, 0.29s
  Converted QLAK-CA1-56_day22: 40 trials, 423 neurons, 0.28s
  Converted QLAK-CA1-56_day23: 40 trials, 436 neurons, 0.29s
  Converted QLAK-CA1-56_day24: 40 trials, 452 neurons, 0.30s
  Converted QLAK-CA1-56_day25: 40 trials, 472 neurons, 0.32s
  Converted QLAK-CA1-56_day26: 40 trials, 444 neurons, 0.30s
  Converted QLAK-CA1-56_day27: 40 trials, 481 neurons, 0.32s
  Converted QLAK-CA1-56_day28: 40 trials, 485 neurons, 0.32s
  Converted QLAK-CA1-56_day29: 40 trials, 507 neurons, 0.34s
  Converted QLAK-CA1-56_day30: 40 trials, 529 neurons, 0.35s
Finished QLAK-CA1-56 in 25.18s
Loaded QLAK-CA1-74: 31 sessions
  Converted QLAK-CA1-74_day00: 40 trials, 304 neurons, 0.20s
  Converted QLAK-CA1-74_day01: 40 trials, 278 neurons, 0.19s
  Converted QLAK-CA1-74_day02: 40 trials, 274 neurons, 0.19s
  Converted QLAK-CA1-74_day03: 40 trials, 264 neurons, 0.18s
  Converted QLAK-CA1-74_day04: 40 trials, 292 neurons, 0.20s
  Converted QLAK-CA1-74_day05: 40 trials, 275 neurons, 0.19s
  Converted QLAK-CA1-74_day06: 40 trials, 285 neurons, 0.19s
  Converted QLAK-CA1-74_day07: 40 trials, 258 neurons, 0.18s
  Converted QLAK-CA1-74_day08: 40 trials, 306 neurons, 0.21s
  Converted QLAK-CA1-74_day09: 40 trials, 303 neurons, 0.21s
  Converted QLAK-CA1-74_day10: 40 trials, 286 neurons, 0.19s
  Converted QLAK-CA1-74_day11: 40 trials, 316 neurons, 0.21s
  Converted QLAK-CA1-74_day12: 40 trials, 284 neurons, 0.19s
  Converted QLAK-CA1-74_day13: 40 trials, 303 neurons, 0.20s
  Converted QLAK-CA1-74_day14: 40 trials, 289 neurons, 0.20s
  Converted QLAK-CA1-74_day15: 40 trials, 289 neurons, 0.20s
  Converted QLAK-CA1-74_day16: 40 trials, 300 neurons, 0.20s
  Converted QLAK-CA1-74_day17: 40 trials, 258 neurons, 0.17s
  Converted QLAK-CA1-74_day18: 40 trials, 321 neurons, 0.22s
  Converted QLAK-CA1-74_day19: 40 trials, 339 neurons, 0.23s
  Converted QLAK-CA1-74_day20: 40 trials, 328 neurons, 0.22s
  Converted QLAK-CA1-74_day21: 40 trials, 361 neurons, 0.24s
  Converted QLAK-CA1-74_day22: 40 trials, 389 neurons, 0.26s
  Converted QLAK-CA1-74_day23: 40 trials, 344 neurons, 0.23s
  Converted QLAK-CA1-74_day24: 40 trials, 359 neurons, 0.24s
  Converted QLAK-CA1-74_day25: 40 trials, 315 neurons, 0.22s
  Converted QLAK-CA1-74_day26: 40 trials, 294 neurons, 0.20s
  Converted QLAK-CA1-74_day27: 40 trials, 300 neurons, 0.20s
  Converted QLAK-CA1-74_day28: 40 trials, 370 neurons, 0.25s
  Converted QLAK-CA1-74_day29: 40 trials, 405 neurons, 0.27s
  Converted QLAK-CA1-74_day30: 40 trials, 391 neurons, 0.26s
Finished QLAK-CA1-74 in 77.01s
Loaded QLAK-CA1-75: 31 sessions
  Converted QLAK-CA1-75_day00: 40 trials, 356 neurons, 0.24s
  Converted QLAK-CA1-75_day01: 40 trials, 263 neurons, 0.18s
  Converted QLAK-CA1-75_day02: 40 trials, 294 neurons, 0.20s
  Converted QLAK-CA1-75_day03: 40 trials, 285 neurons, 0.19s
  Converted QLAK-CA1-75_day04: 40 trials, 368 neurons, 0.25s
  Converted QLAK-CA1-75_day05: 40 trials, 288 neurons, 0.20s
  Converted QLAK-CA1-75_day06: 40 trials, 330 neurons, 0.22s
  Converted QLAK-CA1-75_day07: 40 trials, 438 neurons, 0.30s
  Converted QLAK-CA1-75_day08: 40 trials, 393 neurons, 0.26s
  Converted QLAK-CA1-75_day09: 40 trials, 384 neurons, 0.26s
  Converted QLAK-CA1-75_day10: 40 trials, 396 neurons, 0.26s
  Converted QLAK-CA1-75_day11: 40 trials, 344 neurons, 0.23s
  Converted QLAK-CA1-75_day12: 40 trials, 344 neurons, 0.23s
  Converted QLAK-CA1-75_day13: 40 trials, 395 neurons, 0.26s
  Converted QLAK-CA1-75_day14: 40 trials, 433 neurons, 0.29s
  Converted QLAK-CA1-75_day15: 40 trials, 389 neurons, 0.26s
  Converted QLAK-CA1-75_day16: 40 trials, 419 neurons, 0.28s
  Converted QLAK-CA1-75_day17: 40 trials, 442 neurons, 0.30s
  Converted QLAK-CA1-75_day18: 40 trials, 480 neurons, 0.32s
  Converted QLAK-CA1-75_day19: 40 trials, 435 neurons, 0.29s
  Converted QLAK-CA1-75_day20: 40 trials, 436 neurons, 0.29s
  Converted QLAK-CA1-75_day21: 40 trials, 424 neurons, 0.28s
  Converted QLAK-CA1-75_day22: 40 trials, 450 neurons, 0.30s
  Converted QLAK-CA1-75_day23: 40 trials, 421 neurons, 0.28s
  Converted QLAK-CA1-75_day24: 40 trials, 501 neurons, 0.33s
  Converted QLAK-CA1-75_day25: 40 trials, 420 neurons, 0.28s
  Converted QLAK-CA1-75_day26: 40 trials, 393 neurons, 0.26s
  Converted QLAK-CA1-75_day27: 40 trials, 487 neurons, 0.32s
  Converted QLAK-CA1-75_day28: 40 trials, 499 neurons, 0.33s
  Converted QLAK-CA1-75_day29: 40 trials, 535 neurons, 0.36s
  Converted QLAK-CA1-75_day30: 40 trials, 514 neurons, 0.34s
Finished QLAK-CA1-75 in 44.73s
Saved converted_data.pkl
Sessions converted: 207
Total trials: 8280
Elapsed time: 467.26s
