Running in full mode on 152 sessions
[001/152] sub-m11_ses-03_behavior+ophys.nwb: 155 cells, 80 kept trials, dropped 0 lick-QC trials, 0.15s
[029/152] sub-m13_ses-03_behavior+ophys.nwb: 616 cells, 80 kept trials, dropped 0 lick-QC trials, 0.32s
[030/152] sub-m13_ses-04_behavior+ophys.nwb: 503 cells, 80 kept trials, dropped 0 lick-QC trials, 0.19s
[031/152] sub-m13_ses-05_behavior+ophys.nwb: 704 cells, 80 kept trials, dropped 0 lick-QC trials, 0.20s
[032/152] sub-m13_ses-06_behavior+ophys.nwb: 519 cells, 80 kept trials, dropped 0 lick-QC trials, 0.21s
[033/152] sub-m13_ses-07_behavior+ophys.nwb: 834 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[034/152] sub-m13_ses-08_behavior+ophys.nwb: 707 cells, 80 kept trials, dropped 0 lick-QC trials, 0.19s
[035/152] sub-m13_ses-09_behavior+ophys.nwb: 557 cells, 80 kept trials, dropped 0 lick-QC trials, 0.25s
[036/152] sub-m13_ses-10_behavior+ophys.nwb: 603 cells, 80 kept trials, dropped 0 lick-QC trials, 0.19s
[037/152] sub-m13_ses-11_behavior+ophys.nwb: 657 cells, 80 kept trials, dropped 0 lick-QC trials, 0.29s
[038/152] sub-m13_ses-12_behavior+ophys.nwb: 595 cells, 80 kept trials, dropped 0 lick-QC trials, 0.25s
[039/152] sub-m13_ses-13_behavior+ophys.nwb: 479 cells, 60 kept trials, dropped 0 lick-QC trials, 0.22s
[040/152] sub-m13_ses-14_behavior+ophys.nwb: 749 cells, 80 kept trials, dropped 0 lick-QC trials, 0.32s
[041/152] sub-m14_ses-01_behavior+ophys.nwb: 981 cells, 80 kept trials, dropped 0 lick-QC trials, 0.31s
[042/152] sub-m14_ses-02_behavior+ophys.nwb: 592 cells, 75 kept trials, dropped 5 lick-QC trials, 0.28s
[043/152] sub-m14_ses-03_behavior+ophys.nwb: 753 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
[044/152] sub-m14_ses-04_behavior+ophys.nwb: 648 cells, 80 kept trials, dropped 0 lick-QC trials, 0.21s
[045/152] sub-m14_ses-05_behavior+ophys.nwb: 603 cells, 80 kept trials, dropped 0 lick-QC trials, 0.16s
[046/152] sub-m14_ses-06_behavior+ophys.nwb: 619 cells, 80 kept trials, dropped 0 lick-QC trials, 0.23s
[047/152] sub-m14_ses-07_behavior+ophys.nwb: 927 cells, 80 kept trials, dropped 0 lick-QC trials, 0.27s
[048/152] sub-m14_ses-08_behavior+ophys.nwb: 990 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[049/152] sub-m14_ses-09_behavior+ophys.nwb: 500 cells, 80 kept trials, dropped 0 lick-QC trials, 0.14s
[050/152] sub-m14_ses-10_behavior+ophys.nwb: 727 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[051/152] sub-m14_ses-11_behavior+ophys.nwb: 554 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
[052/152] sub-m14_ses-12_behavior+ophys.nwb: 611 cells, 80 kept trials, dropped 0 lick-QC trials, 0.18s
[053/152] sub-m14_ses-13_behavior+ophys.nwb: 483 cells, 80 kept trials, dropped 0 lick-QC trials, 0.18s
[054/152] sub-m14_ses-14_behavior+ophys.nwb: 876 cells, 80 kept trials, dropped 0 lick-QC trials, 0.21s
[055/152] sub-m15_ses-01_behavior+ophys.nwb: 1133 cells, 80 kept trials, dropped 0 lick-QC trials, 0.23s
[056/152] sub-m15_ses-02_behavior+ophys.nwb: 1045 cells, 80 kept trials, dropped 0 lick-QC trials, 0.29s
[057/152] sub-m15_ses-03_behavior+ophys.nwb: 1426 cells, 80 kept trials, dropped 0 lick-QC trials, 0.38s
[058/152] sub-m15_ses-04_behavior+ophys.nwb: 1167 cells, 80 kept trials, dropped 0 lick-QC trials, 0.27s
[059/152] sub-m15_ses-05_behavior+ophys.nwb: 1483 cells, 74 kept trials, dropped 6 lick-QC trials, 0.39s
[060/152] sub-m15_ses-06_behavior+ophys.nwb: 1041 cells, 80 kept trials, dropped 0 lick-QC trials, 0.25s
[061/152] sub-m15_ses-07_behavior+ophys.nwb: 1308 cells, 80 kept trials, dropped 0 lick-QC trials, 0.27s
[062/152] sub-m15_ses-08_behavior+ophys.nwb: 1307 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[063/152] sub-m15_ses-09_behavior+ophys.nwb: 1070 cells, 80 kept trials, dropped 0 lick-QC trials, 0.25s
[064/152] sub-m15_ses-10_behavior+ophys.nwb: 1283 cells, 80 kept trials, dropped 0 lick-QC trials, 0.32s
[065/152] sub-m15_ses-11_behavior+ophys.nwb: 754 cells, 80 kept trials, dropped 0 lick-QC trials, 0.22s
[066/152] sub-m15_ses-12_behavior+ophys.nwb: 1127 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
[067/152] sub-m15_ses-13_behavior+ophys.nwb: 875 cells, 80 kept trials, dropped 0 lick-QC trials, 0.21s
[068/152] sub-m15_ses-14_behavior+ophys.nwb: 1195 cells, 78 kept trials, dropped 2 lick-QC trials, 0.36s
[069/152] sub-m17_ses-01_behavior+ophys.nwb: 591 cells, 80 kept trials, dropped 0 lick-QC trials, 0.37s
[070/152] sub-m17_ses-02_behavior+ophys.nwb: 442 cells, 80 kept trials, dropped 0 lick-QC trials, 0.42s
[071/152] sub-m17_ses-03_behavior+ophys.nwb: 676 cells, 79 kept trials, dropped 1 lick-QC trials, 0.38s
[072/152] sub-m17_ses-04_behavior+ophys.nwb: 506 cells, 80 kept trials, dropped 0 lick-QC trials, 0.39s
[073/152] sub-m17_ses-05_behavior+ophys.nwb: 838 cells, 80 kept trials, dropped 0 lick-QC trials, 0.37s
[074/152] sub-m17_ses-06_behavior+ophys.nwb: 491 cells, 79 kept trials, dropped 1 lick-QC trials, 0.38s
[075/152] sub-m17_ses-07_behavior+ophys.nwb: 690 cells, 80 kept trials, dropped 0 lick-QC trials, 0.42s
[076/152] sub-m17_ses-08_behavior+ophys.nwb: 593 cells, 80 kept trials, dropped 0 lick-QC trials, 0.41s
[077/152] sub-m17_ses-09_behavior+ophys.nwb: 539 cells, 80 kept trials, dropped 0 lick-QC trials, 0.37s
[078/152] sub-m17_ses-10_behavior+ophys.nwb: 683 cells, 80 kept trials, dropped 0 lick-QC trials, 0.31s
[079/152] sub-m17_ses-11_behavior+ophys.nwb: 629 cells, 80 kept trials, dropped 0 lick-QC trials, 0.24s
[080/152] sub-m17_ses-12_behavior+ophys.nwb: 747 cells, 80 kept trials, dropped 0 lick-QC trials, 0.33s
[081/152] sub-m17_ses-13_behavior+ophys.nwb: 468 cells, 80 kept trials, dropped 0 lick-QC trials, 0.31s
[082/152] sub-m17_ses-14_behavior+ophys.nwb: 770 cells, 80 kept trials, dropped 0 lick-QC trials, 0.41s
[083/152] sub-m18_ses-01_behavior+ophys.nwb: 2281 cells, 80 kept trials, dropped 0 lick-QC trials, 0.60s
[084/152] sub-m18_ses-02_behavior+ophys.nwb: 1639 cells, 80 kept trials, dropped 0 lick-QC trials, 0.40s
[085/152] sub-m18_ses-03_behavior+ophys.nwb: 2341 cells, 77 kept trials, dropped 3 lick-QC trials, 0.93s
[086/152] sub-m18_ses-04_behavior+ophys.nwb: 1634 cells, 80 kept trials, dropped 0 lick-QC trials, 0.57s
[087/152] sub-m18_ses-05_behavior+ophys.nwb: 2115 cells, 80 kept trials, dropped 0 lick-QC trials, 0.66s
[088/152] sub-m18_ses-06_behavior+ophys.nwb: 1378 cells, 80 kept trials, dropped 0 lick-QC trials, 0.57s
[089/152] sub-m18_ses-07_behavior+ophys.nwb: 1726 cells, 80 kept trials, dropped 0 lick-QC trials, 0.66s
[090/152] sub-m18_ses-08_behavior+ophys.nwb: 2314 cells, 80 kept trials, dropped 0 lick-QC trials, 0.62s
[091/152] sub-m18_ses-09_behavior+ophys.nwb: 1696 cells, 80 kept trials, dropped 0 lick-QC trials, 0.50s
[092/152] sub-m18_ses-10_behavior+ophys.nwb: 1899 cells, 80 kept trials, dropped 0 lick-QC trials, 0.68s
[093/152] sub-m18_ses-11_behavior+ophys.nwb: 1382 cells, 80 kept trials, dropped 0 lick-QC trials, 0.51s
[094/152] sub-m18_ses-12_behavior+ophys.nwb: 1927 cells, 80 kept trials, dropped 0 lick-QC trials, 0.53s
[095/152] sub-m18_ses-13_behavior+ophys.nwb: 1433 cells, 80 kept trials, dropped 0 lick-QC trials, 0.53s
[096/152] sub-m18_ses-14_behavior+ophys.nwb: 1955 cells, 80 kept trials, dropped 0 lick-QC trials, 0.69s
[097/152] sub-m19_ses-01_behavior+ophys.nwb: 528 cells, 80 kept trials, dropped 0 lick-QC trials, 0.19s
[098/152] sub-m19_ses-02_behavior+ophys.nwb: 407 cells, 80 kept trials, dropped 0 lick-QC trials, 0.15s
[099/152] sub-m19_ses-03_behavior+ophys.nwb: 465 cells, 80 kept trials, dropped 0 lick-QC trials, 0.27s
[100/152] sub-m19_ses-04_behavior+ophys.nwb: 550 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[101/152] sub-m19_ses-05_behavior+ophys.nwb: 472 cells, 80 kept trials, dropped 0 lick-QC trials, 0.22s
[102/152] sub-m19_ses-06_behavior+ophys.nwb: 504 cells, 80 kept trials, dropped 0 lick-QC trials, 0.24s
[103/152] sub-m19_ses-07_behavior+ophys.nwb: 596 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
[104/152] sub-m19_ses-08_behavior+ophys.nwb: 566 cells, 80 kept trials, dropped 0 lick-QC trials, 0.30s
[105/152] sub-m19_ses-09_behavior+ophys.nwb: 434 cells, 80 kept trials, dropped 0 lick-QC trials, 0.25s
[106/152] sub-m19_ses-10_behavior+ophys.nwb: 469 cells, 80 kept trials, dropped 0 lick-QC trials, 0.27s
[107/152] sub-m19_ses-11_behavior+ophys.nwb: 378 cells, 80 kept trials, dropped 0 lick-QC trials, 0.19s
[108/152] sub-m19_ses-12_behavior+ophys.nwb: 558 cells, 80 kept trials, dropped 0 lick-QC trials, 0.24s
[109/152] sub-m19_ses-13_behavior+ophys.nwb: 428 cells, 80 kept trials, dropped 0 lick-QC trials, 0.22s
[110/152] sub-m19_ses-14_behavior+ophys.nwb: 589 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[111/152] sub-m3_ses-01_behavior+ophys.nwb: 1052 cells, 80 kept trials, dropped 0 lick-QC trials, 0.69s
[112/152] sub-m3_ses-02_behavior+ophys.nwb: 917 cells, 80 kept trials, dropped 0 lick-QC trials, 0.44s
[113/152] sub-m3_ses-03_behavior+ophys.nwb: 1059 cells, 80 kept trials, dropped 0 lick-QC trials, 0.34s
[114/152] sub-m3_ses-04_behavior+ophys.nwb: 814 cells, 80 kept trials, dropped 0 lick-QC trials, 0.47s
[115/152] sub-m3_ses-05_behavior+ophys.nwb: 1022 cells, 80 kept trials, dropped 0 lick-QC trials, 0.70s
[116/152] sub-m3_ses-06_behavior+ophys.nwb: 818 cells, 80 kept trials, dropped 0 lick-QC trials, 0.40s
[117/152] sub-m3_ses-07_behavior+ophys.nwb: 787 cells, 80 kept trials, dropped 0 lick-QC trials, 0.43s
[118/152] sub-m3_ses-08_behavior+ophys.nwb: 783 cells, 80 kept trials, dropped 0 lick-QC trials, 0.42s
[119/152] sub-m3_ses-09_behavior+ophys.nwb: 768 cells, 80 kept trials, dropped 0 lick-QC trials, 0.48s
[120/152] sub-m3_ses-10_behavior+ophys.nwb: 930 cells, 89 kept trials, dropped 1 lick-QC trials, 0.31s
[121/152] sub-m3_ses-11_behavior+ophys.nwb: 1000 cells, 80 kept trials, dropped 0 lick-QC trials, 0.40s
[122/152] sub-m3_ses-12_behavior+ophys.nwb: 1030 cells, 80 kept trials, dropped 0 lick-QC trials, 0.51s
[123/152] sub-m3_ses-13_behavior+ophys.nwb: 980 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
[124/152] sub-m3_ses-14_behavior+ophys.nwb: 1050 cells, 100 kept trials, dropped 0 lick-QC trials, 0.41s
[125/152] sub-m4_ses-01_behavior+ophys.nwb: 983 cells, 80 kept trials, dropped 0 lick-QC trials, 0.51s
[126/152] sub-m4_ses-02_behavior+ophys.nwb: 926 cells, 79 kept trials, dropped 1 lick-QC trials, 0.57s
[127/152] sub-m4_ses-03_behavior+ophys.nwb: 1031 cells, 75 kept trials, dropped 0 lick-QC trials, 0.61s
[128/152] sub-m4_ses-04_behavior+ophys.nwb: 1016 cells, 40 kept trials, dropped 1 lick-QC trials, 0.85s
[129/152] sub-m4_ses-05_behavior+ophys.nwb: 1066 cells, 80 kept trials, dropped 0 lick-QC trials, 0.57s
[130/152] sub-m4_ses-06_behavior+ophys.nwb: 1068 cells, 79 kept trials, dropped 1 lick-QC trials, 0.52s
[131/152] sub-m4_ses-07_behavior+ophys.nwb: 1011 cells, 71 kept trials, dropped 9 lick-QC trials, 0.48s
[132/152] sub-m4_ses-08_behavior+ophys.nwb: 1287 cells, 80 kept trials, dropped 0 lick-QC trials, 0.55s
[133/152] sub-m4_ses-09_behavior+ophys.nwb: 1019 cells, 50 kept trials, dropped 0 lick-QC trials, 0.61s
[134/152] sub-m4_ses-10_behavior+ophys.nwb: 1100 cells, 79 kept trials, dropped 1 lick-QC trials, 0.68s
[135/152] sub-m4_ses-11_behavior+ophys.nwb: 990 cells, 80 kept trials, dropped 0 lick-QC trials, 0.44s
[136/152] sub-m4_ses-12_behavior+ophys.nwb: 1039 cells, 80 kept trials, dropped 0 lick-QC trials, 0.70s
[137/152] sub-m4_ses-13_behavior+ophys.nwb: 886 cells, 79 kept trials, dropped 1 lick-QC trials, 0.43s
[138/152] sub-m4_ses-14_behavior+ophys.nwb: 1066 cells, 47 kept trials, dropped 33 lick-QC trials, 0.96s
[139/152] sub-m7_ses-01_behavior+ophys.nwb: 1298 cells, 100 kept trials, dropped 0 lick-QC trials, 0.54s
[140/152] sub-m7_ses-02_behavior+ophys.nwb: 1186 cells, 80 kept trials, dropped 0 lick-QC trials, 0.51s
[141/152] sub-m7_ses-03_behavior+ophys.nwb: 1155 cells, 100 kept trials, dropped 0 lick-QC trials, 0.63s
[142/152] sub-m7_ses-04_behavior+ophys.nwb: 1013 cells, 80 kept trials, dropped 0 lick-QC trials, 0.41s
[143/152] sub-m7_ses-05_behavior+ophys.nwb: 1111 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
[144/152] sub-m7_ses-06_behavior+ophys.nwb: 1142 cells, 80 kept trials, dropped 0 lick-QC trials, 0.47s
[145/152] sub-m7_ses-07_behavior+ophys.nwb: 1020 cells, 100 kept trials, dropped 0 lick-QC trials, 0.42s
[146/152] sub-m7_ses-08_behavior+ophys.nwb: 1034 cells, 100 kept trials, dropped 0 lick-QC trials, 0.32s
[147/152] sub-m7_ses-09_behavior+ophys.nwb: 900 cells, 80 kept trials, dropped 0 lick-QC trials, 0.19s
[148/152] sub-m7_ses-10_behavior+ophys.nwb: 886 cells, 80 kept trials, dropped 0 lick-QC trials, 0.20s
[149/152] sub-m7_ses-11_behavior+ophys.nwb: 973 cells, 80 kept trials, dropped 0 lick-QC trials, 0.35s
[150/152] sub-m7_ses-12_behavior+ophys.nwb: 969 cells, 100 kept trials, dropped 0 lick-QC trials, 0.27s
[151/152] sub-m7_ses-13_behavior+ophys.nwb: 988 cells, 80 kept trials, dropped 0 lick-QC trials, 0.35s
[152/152] sub-m7_ses-14_behavior+ophys.nwb: 1192 cells, 100 kept trials, dropped 0 lick-QC trials, 0.65s
Converted 152 sessions from 11 subjects in 53.79s
Wrote /app/converted_data.pkl
