Requested mode: full
Candidate local sessions from manifest: 459
Session workers: 8
[skip] 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: Missing wheel files for /app/data/one_cache/steinmetzlab/Subjects/NR_0029/2023-09-07/001
[ok] d85c454e-8737-4cba-b6ad-b2339429d99b: raw_trials=413, kept_trials=325, good_clusters=17, whisker=left, elapsed=1.8s
[ok] 2584ce3c-db10-4076-89cb-5d313138dd38: raw_trials=712, kept_trials=428, good_clusters=247, whisker=left, elapsed=7.2s
[ok] a7eba2cf-427f-4df9-879b-e53e962eae18: raw_trials=789, kept_trials=285, good_clusters=302, whisker=left, elapsed=36.5s
[ok] 004d8fd5-41e7-4f1b-a45b-0d4ad76fe446: raw_trials=692, kept_trials=198, good_clusters=202, whisker=left, elapsed=21.8s
[ok] c46b8def-620d-4d70-9397-be5694255f73: raw_trials=720, kept_trials=496, good_clusters=294, whisker=left, elapsed=34.6s
[ok] 642c97ea-fe89-4ec9-8629-5e492ea4019d: raw_trials=489, kept_trials=335, good_clusters=204, whisker=left, elapsed=12.3s
[ok] e6de6c35-1508-4471-b7c3-f12a5c7a6d39: raw_trials=540, kept_trials=351, good_clusters=75, whisker=left, elapsed=6.0s
[ok] c02e5155-8e8f-427e-873d-d61490bbb9c3: raw_trials=929, kept_trials=592, good_clusters=27, whisker=left, elapsed=5.3s
[ok] 0cf6d255-8f2f-463e-84fb-c54bacb79f51: raw_trials=702, kept_trials=444, good_clusters=110, whisker=left, elapsed=4.6s
[ok] 1dbba733-24a4-4400-9436-53f1bd8428e8: raw_trials=620, kept_trials=406, good_clusters=296, whisker=left, elapsed=14.8s
[ok] 36573e0b-ddd6-4504-94ec-9a23c877486c: raw_trials=516, kept_trials=278, good_clusters=65, whisker=left, elapsed=8.8s
[ok] 7eeb8423-49e6-4d40-ab6f-703d17af231a: raw_trials=632, kept_trials=445, good_clusters=54, whisker=left, elapsed=9.2s
[ok] 5437ec1f-6535-470c-80b8-4c8806ee085d: raw_trials=512, kept_trials=258, good_clusters=43, whisker=left, elapsed=4.6s
[ok] 37bbc17f-8dec-4fa8-97fd-e23a5c6bad1f: raw_trials=759, kept_trials=480, good_clusters=159, whisker=left, elapsed=13.7s
[ok] a2b9fbbe-79fc-4166-a16e-b307813a2f06: raw_trials=469, kept_trials=264, good_clusters=87, whisker=left, elapsed=4.6s
[ok] 6ab9d98c-b1e9-4574-b8fe-b9eec88097e0: raw_trials=874, kept_trials=617, good_clusters=145, whisker=left, elapsed=15.7s
[ok] 04749a70-ac63-477d-8392-d4d529184fab: raw_trials=593, kept_trials=348, good_clusters=72, whisker=left, elapsed=16.0s
[ok] 62ff920c-2fdd-4feb-9d9f-0d66f2e595a1: raw_trials=627, kept_trials=356, good_clusters=123, whisker=left, elapsed=7.2s
[ok] 98e0074c-706a-40e5-bbb5-223f97585a99: raw_trials=740, kept_trials=531, good_clusters=147, whisker=left, elapsed=22.5s
[ok] 14127fdb-2e66-4823-b124-f49c128ba94d: raw_trials=629, kept_trials=370, good_clusters=186, whisker=left, elapsed=16.7s
[ok] 7235b10c-6621-44ea-abe9-01559633472d: raw_trials=610, kept_trials=358, good_clusters=173, whisker=left, elapsed=13.9s
[ok] fd03d365-91df-41e2-ad81-9e0e4b9f5c7b: raw_trials=601, kept_trials=383, good_clusters=216, whisker=left, elapsed=16.9s
[ok] d23b005f-46f5-4fe1-870c-f55f6eb9533d: raw_trials=586, kept_trials=415, good_clusters=180, whisker=left, elapsed=15.7s
[ok] 28338153-4113-485b-835b-91cb96d984f2: raw_trials=906, kept_trials=710, good_clusters=112, whisker=left, elapsed=13.5s
[ok] c958919c-2e75-435d-845d-5b62190b520e: raw_trials=788, kept_trials=561, good_clusters=144, whisker=left, elapsed=19.4s
[ok] 2d9bfc10-59fb-424a-b699-7c42f86c7871: raw_trials=678, kept_trials=466, good_clusters=116, whisker=left, elapsed=7.4s
[ok] f4eb56a4-8bf8-4bbc-a8f3-6e6535134bad: raw_trials=558, kept_trials=306, good_clusters=154, whisker=left, elapsed=10.9s
[ok] 29a6def1-fc5c-4eea-ac48-47e9b053dcb5: raw_trials=834, kept_trials=633, good_clusters=144, whisker=left, elapsed=22.2s
[ok] c23b4118-db40-4333-af1d-933154b533c6: raw_trials=457, kept_trials=194, good_clusters=79, whisker=left, elapsed=5.2s
[ok] f56194bc-8215-4ae8-bc6a-89781ad8e050: raw_trials=696, kept_trials=490, good_clusters=266, whisker=left, elapsed=27.0s
[ok] 7cc74598-9c1b-436b-84fa-0bf89f31adf6: raw_trials=526, kept_trials=312, good_clusters=177, whisker=left, elapsed=13.1s
[ok] c8e11fd8-d130-4f06-abba-9aa20240ce7c: raw_trials=632, kept_trials=265, good_clusters=99, whisker=left, elapsed=10.8s
[ok] 9fcbd1a0-77e6-4c41-9428-eeaee74becd5: raw_trials=522, kept_trials=243, good_clusters=21, whisker=left, elapsed=8.0s
[ok] fbd28ea6-3251-48e0-b215-2c51ec5185f7: raw_trials=629, kept_trials=277, good_clusters=48, whisker=left, elapsed=7.8s
[ok] 37ac03f1-9831-4a30-90fc-a59e635b98bd: raw_trials=490, kept_trials=309, good_clusters=71, whisker=left, elapsed=5.3s
[ok] 5c0c560e-9e1f-45e9-b66e-e4ee7855be84: raw_trials=1100, kept_trials=843, good_clusters=277, whisker=left, elapsed=30.5s
[ok] be164a14-6e73-42c3-ab60-d29c48693c0f: raw_trials=420, kept_trials=251, good_clusters=191, whisker=left, elapsed=7.7s
[ok] 2ab7d2c2-bcb7-4ae6-9626-f3786c22d970: raw_trials=591, kept_trials=307, good_clusters=38, whisker=left, elapsed=5.4s
[ok] 94dabed1-741c-4ddd-a6b7-70561e27b750: raw_trials=629, kept_trials=382, good_clusters=76, whisker=left, elapsed=5.8s
[ok] ef38e503-dd79-4185-bf87-4712d4f274fe: raw_trials=577, kept_trials=294, good_clusters=104, whisker=left, elapsed=11.3s
[ok] 6cbeead9-bb7a-40e1-8ccd-47ae60239654: raw_trials=499, kept_trials=324, good_clusters=67, whisker=left, elapsed=3.2s
[ok] 49250fba-801c-4867-a0a7-a1e19538cb61: raw_trials=678, kept_trials=378, good_clusters=22, whisker=left, elapsed=5.1s
[ok] 3bcb81b4-d9ca-4fc9-a1cd-353a966239ca: raw_trials=664, kept_trials=384, good_clusters=129, whisker=left, elapsed=21.7s
[ok] a34b4013-414b-42ed-9318-e93fbbc71e7b: raw_trials=711, kept_trials=269, good_clusters=32, whisker=left, elapsed=5.0s
[ok] 9fc31d79-b56f-46d0-92a0-e9563caf4a7a: raw_trials=420, kept_trials=278, good_clusters=67, whisker=left, elapsed=4.4s
[ok] 233617ec-c5cf-4eda-afc8-3b1d94f36d73: raw_trials=444, kept_trials=361, good_clusters=79, whisker=left, elapsed=5.0s
[ok] 87ad026d-5b95-4022-8d59-c260870d830f: raw_trials=926, kept_trials=589, good_clusters=47, whisker=left, elapsed=7.5s
[ok] 500a71dd-8768-4211-a1fe-1fafc9fcbf29: raw_trials=408, kept_trials=284, good_clusters=36, whisker=left, elapsed=5.2s
[ok] 3bb54985-77b2-421d-9d1f-46185be51216: raw_trials=755, kept_trials=453, good_clusters=10, whisker=left, elapsed=7.9s
[ok] 7f150b7c-c261-46e6-9edb-cc391c9d9f03: raw_trials=656, kept_trials=341, good_clusters=87, whisker=left, elapsed=7.5s
[ok] 4546cd60-fa2a-4d20-a9b6-d091e01d16f2: raw_trials=550, kept_trials=310, good_clusters=41, whisker=left, elapsed=2.7s
[ok] cef05f87-161b-4031-932c-6f47daf89698: raw_trials=586, kept_trials=346, good_clusters=114, whisker=left, elapsed=5.2s
[ok] 75db708a-9952-4452-a5b1-a851d88f8e28: raw_trials=551, kept_trials=311, good_clusters=31, whisker=left, elapsed=6.5s
[ok] 2038e95d-64d4-4ecb-83d0-1308d3c598f8: raw_trials=535, kept_trials=346, good_clusters=130, whisker=left, elapsed=9.3s
[ok] 62902992-8432-46fb-af12-6392012e58c7: raw_trials=659, kept_trials=375, good_clusters=99, whisker=left, elapsed=11.5s
[ok] 61caa69d-088b-465a-b9d0-d75341dabac6: raw_trials=504, kept_trials=319, good_clusters=188, whisker=left, elapsed=21.9s
[ok] 283ecb4c-e529-409c-9f0a-8ea5191dcf50: raw_trials=487, kept_trials=330, good_clusters=47, whisker=left, elapsed=6.8s
[ok] 837b4e6a-ccfd-49b0-a1dd-3aa53fbf2ecb: raw_trials=560, kept_trials=344, good_clusters=235, whisker=left, elapsed=25.6s
[ok] a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e: raw_trials=411, kept_trials=246, good_clusters=183, whisker=left, elapsed=14.1s
[ok] 6bf810fd-fbeb-4eea-9ea7-b6791d002b22: raw_trials=489, kept_trials=328, good_clusters=127, whisker=left, elapsed=20.7s
[ok] ae8787b1-4229-4d56-b0c2-566b61a25b77: raw_trials=885, kept_trials=548, good_clusters=201, whisker=left, elapsed=11.8s
[ok] c16d3557-b2c1-4545-93d0-112ac0915d93: raw_trials=532, kept_trials=388, good_clusters=459, whisker=left, elapsed=29.1s
[ok] 195443eb-08e9-4a18-a7e1-d105b2ce1429: raw_trials=1037, kept_trials=606, good_clusters=10, whisker=left, elapsed=4.6s
[ok] bd07e3a7-09c3-4b67-996b-42b6d5cedf1c: raw_trials=473, kept_trials=385, good_clusters=175, whisker=left, elapsed=31.0s
[ok] dc962048-89bb-4e6a-96a9-b062a2be1426: raw_trials=458, kept_trials=262, good_clusters=162, whisker=left, elapsed=8.4s
[ok] 0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde: raw_trials=1191, kept_trials=618, good_clusters=282, whisker=left, elapsed=19.8s
[ok] 8a1cf4ef-06e3-4c72-9bc7-e1baa189841b: raw_trials=405, kept_trials=241, good_clusters=247, whisker=left, elapsed=10.8s
[ok] 0841d188-8ef2-4f20-9828-76a94d5343a4: raw_trials=505, kept_trials=286, good_clusters=128, whisker=left, elapsed=9.3s
[ok] 1d4a7bd6-296a-48b9-b20e-bd0ac80750a5: raw_trials=417, kept_trials=232, good_clusters=11, whisker=left, elapsed=4.4s
[skip] 9dd72e52-5393-4c08-9eca-f7dace2e59f6: Missing wheel files for /app/data/one_cache/mainenlab/Subjects/ZFM-04308/2022-07-27/001
[ok] bb8d9451-fdbd-4f46-b52e-9290e8f84d2e: raw_trials=503, kept_trials=296, good_clusters=290, whisker=left, elapsed=43.9s
[ok] 196a2adf-ff83-49b2-823a-33f990049c2e: raw_trials=600, kept_trials=395, good_clusters=105, whisker=left, elapsed=5.8s
[ok] e0928e11-2b86-4387-a203-80c77fab5d52: raw_trials=474, kept_trials=320, good_clusters=92, whisker=left, elapsed=6.8s
[ok] 687017d4-c9fc-458f-a7d5-0979fe1a7470: raw_trials=436, kept_trials=257, good_clusters=93, whisker=left, elapsed=9.0s
[ok] 6c6b0d06-6039-4525-a74b-58cfaa1d3a60: raw_trials=1006, kept_trials=663, good_clusters=137, whisker=left, elapsed=21.4s
[ok] 239dd3c9-35f3-4462-95ee-91b822a22e6b: raw_trials=414, kept_trials=255, good_clusters=163, whisker=left, elapsed=13.1s
[ok] 8c025071-c4f3-426c-9aed-f149e8f75b7b: raw_trials=531, kept_trials=288, good_clusters=242, whisker=left, elapsed=48.1s
[ok] a2701b93-d8e1-47e9-a819-f1063046f3e7: raw_trials=515, kept_trials=412, good_clusters=23, whisker=left, elapsed=2.8s
[ok] 1ca83b26-30fc-4350-a616-c38b7d00d240: raw_trials=586, kept_trials=434, good_clusters=105, whisker=left, elapsed=6.5s
[ok] c8d46ee6-eb68-4535-8756-7c9aa32f10e4: raw_trials=480, kept_trials=326, good_clusters=131, whisker=left, elapsed=2.9s
[ok] 78b4fff5-c5ec-44d9-b5f9-d59493063f00: raw_trials=892, kept_trials=627, good_clusters=116, whisker=left, elapsed=10.3s
[ok] 446f4724-1690-49f9-819a-2bd8e2ea88ce: raw_trials=701, kept_trials=532, good_clusters=79, whisker=left, elapsed=6.1s
[ok] 27ef44c0-acb2-4220-b776-477d0d5abd35: raw_trials=593, kept_trials=466, good_clusters=187, whisker=left, elapsed=9.8s
[ok] 3f859b5c-e73a-4044-b49e-34bb81e96715: raw_trials=490, kept_trials=326, good_clusters=273, whisker=left, elapsed=8.3s
[ok] 752456f3-9f47-4fbf-bd44-9d131c0f41aa: raw_trials=511, kept_trials=297, good_clusters=99, whisker=left, elapsed=8.4s
[ok] 6b0b5d24-bcda-4053-a59c-beaa1fe03b8f: raw_trials=684, kept_trials=410, good_clusters=120, whisker=left, elapsed=7.7s
[ok] f819d499-8bf7-4da0-a431-15377a8319d5: raw_trials=441, kept_trials=254, good_clusters=150, whisker=left, elapsed=11.9s
[ok] 5b49aca6-a6f4-4075-931a-617ad64c219c: raw_trials=773, kept_trials=584, good_clusters=49, whisker=left, elapsed=5.9s
[ok] d901aff5-2250-467a-b4a1-0cb9729df9e2: raw_trials=458, kept_trials=358, good_clusters=215, whisker=left, elapsed=11.2s
[ok] 3e6a97d3-3991-49e2-b346-6948cb4580fb: raw_trials=525, kept_trials=422, good_clusters=154, whisker=left, elapsed=7.1s
[ok] 1425bd6f-c625-4f6a-b237-dc5bcfc42c87: raw_trials=839, kept_trials=632, good_clusters=59, whisker=left, elapsed=9.9s
[ok] b887df2c-bb9c-44c9-a9c0-538da87b2cab: raw_trials=478, kept_trials=373, good_clusters=138, whisker=left, elapsed=8.1s
[ok] a4747ac8-6a75-444f-b99b-696fff0243fd: raw_trials=504, kept_trials=338, good_clusters=9, whisker=left, elapsed=3.0s
[ok] 8928f98a-b411-497e-aa4b-aa752434686d: raw_trials=663, kept_trials=470, good_clusters=249, whisker=left, elapsed=25.3s
[ok] 9b528ad0-4599-4a55-9148-96cc1d93fb24: raw_trials=581, kept_trials=449, good_clusters=79, whisker=left, elapsed=8.8s
[ok] 7f5df7eb-cf36-4589-a20a-14b535441142: raw_trials=505, kept_trials=347, good_clusters=343, whisker=left, elapsed=15.5s
[skip] f4ffb731-8349-4fe4-806e-0232a84e52dd: Missing wheel files for /app/data/one_cache/hoferlab/Subjects/SWC_066/2022-04-27/001
[ok] eacc49a9-f3a1-49f1-b87f-0972f90ee837: raw_trials=817, kept_trials=657, good_clusters=282, whisker=left, elapsed=21.2s
[ok] 91bac580-76ed-41ab-ac07-89051f8d7f6e: raw_trials=699, kept_trials=258, good_clusters=78, whisker=right, elapsed=8.9s
[ok] ffef0311-8ffa-49e3-a857-b3adf6d86e12: raw_trials=578, kept_trials=401, good_clusters=90, whisker=left, elapsed=6.4s
[ok] e6043c7d-8f6e-4b66-8309-2ec0abac0f79: raw_trials=911, kept_trials=677, good_clusters=60, whisker=left, elapsed=8.4s
[ok] 0c828385-6dd6-4842-a702-c5075f5f5e81: raw_trials=610, kept_trials=467, good_clusters=133, whisker=right, elapsed=11.2s
[ok] e45481fa-be22-4365-972c-e7404ed8ab5a: raw_trials=525, kept_trials=293, good_clusters=167, whisker=left, elapsed=8.9s
[ok] 63c70ae8-4dfb-418b-b21b-f0b1e5fba6c9: raw_trials=900, kept_trials=727, good_clusters=242, whisker=left, elapsed=26.4s
[ok] 09156021-9a1d-4e1d-ae59-48cbde3c5d42: raw_trials=630, kept_trials=431, good_clusters=81, whisker=left, elapsed=2.8s
[ok] 9a6e127b-bb07-4be2-92e2-53dd858c2762: raw_trials=653, kept_trials=434, good_clusters=107, whisker=left, elapsed=5.4s
[ok] 90e524a2-aa63-47ce-b5b8-1b1941a1223a: raw_trials=419, kept_trials=331, good_clusters=134, whisker=left, elapsed=8.3s
[ok] 64977c74-9c04-437a-9ea1-50386c4996db: raw_trials=817, kept_trials=498, good_clusters=63, whisker=left, elapsed=5.0s
[ok] 23c75e0b-05d8-452e-8efb-a3687ab94079: raw_trials=562, kept_trials=313, good_clusters=123, whisker=left, elapsed=24.5s
[ok] 1b9e349e-93f2-41cc-a4b5-b212d7ddc8df: raw_trials=1140, kept_trials=926, good_clusters=224, whisker=left, elapsed=47.2s
[ok] f99ac31f-171b-4208-a55d-5644c0ad51c3: raw_trials=748, kept_trials=407, good_clusters=312, whisker=left, elapsed=14.4s
[ok] 5455a21c-1be7-4cae-ae8e-8853a8d5f55e: raw_trials=634, kept_trials=358, good_clusters=67, whisker=left, elapsed=5.9s
[ok] e2b845a1-e313-4a08-bc61-a5f662ed295e: raw_trials=476, kept_trials=290, good_clusters=304, whisker=left, elapsed=18.4s
[ok] fa8ad50d-76f2-45fa-a52f-08fe3d942345: raw_trials=459, kept_trials=267, good_clusters=8, whisker=left, elapsed=3.7s
[ok] 32d27583-56aa-4510-bc03-669036edad20: raw_trials=785, kept_trials=515, good_clusters=159, whisker=left, elapsed=17.3s
[ok] bda2faf5-9563-4940-a80f-ce444259e47b: raw_trials=545, kept_trials=311, good_clusters=192, whisker=left, elapsed=5.1s
[ok] 8d316998-28c3-4265-b029-e2ca82375b2f: raw_trials=610, kept_trials=399, good_clusters=229, whisker=left, elapsed=6.1s
[ok] 6f36868f-5cc1-450c-82fa-6b9829ce0cfe: raw_trials=1002, kept_trials=603, good_clusters=140, whisker=left, elapsed=13.7s
[ok] 1b715600-0cbc-442c-bd00-5b0ac2865de1: raw_trials=437, kept_trials=248, good_clusters=131, whisker=left, elapsed=9.6s
[ok] 111c1762-7908-47e0-9f40-2f2ee55b6505: raw_trials=724, kept_trials=365, good_clusters=358, whisker=left, elapsed=20.0s
[ok] 3537d970-f515-4786-853f-23de525e110f: raw_trials=503, kept_trials=341, good_clusters=246, whisker=left, elapsed=15.1s
[ok] 58c4bf97-ec3b-45b4-9db4-d5d9515d5b00: raw_trials=426, kept_trials=244, good_clusters=155, whisker=left, elapsed=10.3s
[ok] 30af8629-7b96-45b7-8778-374720ddbc5e: raw_trials=416, kept_trials=304, good_clusters=126, whisker=left, elapsed=5.4s
[ok] 8a3a0197-b40a-449f-be55-c00b23253bbf: raw_trials=417, kept_trials=282, good_clusters=373, whisker=left, elapsed=21.6s
[ok] 19b44992-d527-4a12-8bda-aa11379cb08c: raw_trials=436, kept_trials=289, good_clusters=293, whisker=left, elapsed=23.7s
[ok] ebc9392c-1ecb-4b4b-a545-4e3d70d23611: raw_trials=496, kept_trials=327, good_clusters=281, whisker=left, elapsed=23.6s
[skip] cea755db-4eee-4138-bdd6-fc23a572f5a1: Missing whisker motion energy files for /app/data/one_cache/hausserlab/Subjects/PL017/2021-12-01/001
[ok] f27e6cd6-cdd3-4524-b8e3-8146046e2a7d: raw_trials=419, kept_trials=284, good_clusters=129, whisker=left, elapsed=5.2s
[ok] 8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef: raw_trials=401, kept_trials=288, good_clusters=39, whisker=left, elapsed=6.2s
[ok] d71e565d-4ddb-42df-849e-f99cfdeced52: raw_trials=600, kept_trials=389, good_clusters=173, whisker=left, elapsed=8.6s
[ok] 1b61b7f2-a599-4e40-abd6-3e758d2c9e25: raw_trials=875, kept_trials=537, good_clusters=79, whisker=left, elapsed=19.4s
[ok] 2bdf206a-820f-402f-920a-9e86cd5388a4: raw_trials=580, kept_trials=422, good_clusters=376, whisker=left, elapsed=37.4s
[ok] 10fac7a1-919d-4ca7-83c4-4675bd8d9416: raw_trials=546, kept_trials=396, good_clusters=140, whisker=left, elapsed=6.2s
[ok] 19e66dc9-bf9f-430b-9d6a-acfa85de6fb7: raw_trials=748, kept_trials=412, good_clusters=314, whisker=left, elapsed=27.8s
[ok] d57df551-6dcb-4242-9c72-b806cff5613a: raw_trials=772, kept_trials=579, good_clusters=53, whisker=left, elapsed=4.7s
[ok] 68775ca0-b056-48d5-b6ae-a4c2a76ae48f: raw_trials=817, kept_trials=563, good_clusters=138, whisker=left, elapsed=13.5s
[skip] 08102cfc-a040-4bcf-b63c-faa0f4914a6f: Missing wheel files for /app/data/one_cache/wittenlab/Subjects/ibl_witten_32/2021-07-21/002
[ok] 824cf03d-4012-4ab1-b499-c83a92c5589e: raw_trials=764, kept_trials=585, good_clusters=62, whisker=left, elapsed=6.3s
[ok] 03d9a098-07bf-4765-88b7-85f8d8f620cc: raw_trials=581, kept_trials=372, good_clusters=99, whisker=left, elapsed=11.2s
[ok] bb099402-fb31-4cfd-824e-1c97530a0875: raw_trials=665, kept_trials=444, good_clusters=257, whisker=left, elapsed=27.1s
[ok] a405053a-eb13-4aa4-850c-5a337e5dc7fd: raw_trials=615, kept_trials=476, good_clusters=79, whisker=left, elapsed=6.6s
[ok] 64e3fb86-928c-4079-865c-b364205b502e: raw_trials=533, kept_trials=342, good_clusters=25, whisker=left, elapsed=4.8s
[ok] fc43390d-457e-463a-9fd4-b94a0a8b48f5: raw_trials=581, kept_trials=407, good_clusters=135, whisker=left, elapsed=10.7s
[ok] 3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b: raw_trials=709, kept_trials=446, good_clusters=166, whisker=left, elapsed=15.6s
[ok] 1f095590-6669-46c9-986b-ccaf0620c5e9: raw_trials=719, kept_trials=578, good_clusters=98, whisker=left, elapsed=18.6s
[ok] 51e53aff-1d5d-4182-a684-aba783d50ae5: raw_trials=505, kept_trials=190, good_clusters=265, whisker=left, elapsed=22.4s
[ok] 537677fe-1e24-4755-948c-fa4a4e8ecce5: raw_trials=474, kept_trials=234, good_clusters=230, whisker=left, elapsed=23.3s
[ok] 5bcafa14-71cb-42fa-8265-ce5cda1b89e0: raw_trials=436, kept_trials=132, good_clusters=206, whisker=left, elapsed=26.1s
[ok] 6434f2f5-6bce-42b8-8563-d93d493613a2: raw_trials=401, kept_trials=193, good_clusters=87, whisker=left, elapsed=5.0s
[ok] 288bfbf3-3700-4abe-b6e4-130b5c541e61: raw_trials=503, kept_trials=347, good_clusters=58, whisker=left, elapsed=6.7s
[ok] d32876dd-8303-4720-8e7e-20678dc2fd71: raw_trials=424, kept_trials=131, good_clusters=32, whisker=left, elapsed=5.6s
[ok] 72982282-e493-45ee-87ce-aa45cb3a3ec1: raw_trials=491, kept_trials=245, good_clusters=81, whisker=left, elapsed=11.5s
[ok] 58b1e920-cfc8-467e-b28b-7654a55d0977: raw_trials=728, kept_trials=565, good_clusters=44, whisker=left, elapsed=8.7s
[ok] 69a0e953-a643-4f0e-bb26-dc65af3ea7d7: raw_trials=596, kept_trials=448, good_clusters=37, whisker=left, elapsed=8.7s
[ok] 86b6ba67-c1db-4333-add0-f8105ea6e363: raw_trials=565, kept_trials=457, good_clusters=40, whisker=left, elapsed=9.3s
[ok] 821f1883-27f3-411d-afd3-fb8241bbc39a: raw_trials=592, kept_trials=472, good_clusters=160, whisker=left, elapsed=5.7s
[ok] 93ad879a-aa42-4150-83e1-38773c9785e4: raw_trials=551, kept_trials=419, good_clusters=312, whisker=left, elapsed=31.5s
[ok] 0802ced5-33a3-405e-8336-b65ebc5cb07c: raw_trials=424, kept_trials=271, good_clusters=367, whisker=left, elapsed=17.0s
[ok] af55d16f-0e31-4073-bdb5-26da54914aa2: raw_trials=1118, kept_trials=814, good_clusters=90, whisker=left, elapsed=7.1s
[ok] 7cec9792-b8f9-4878-be7e-f08103dc0323: raw_trials=616, kept_trials=472, good_clusters=36, whisker=left, elapsed=7.4s
[ok] 0cc486c3-8c7b-494d-aa04-b70e2690bcba: raw_trials=563, kept_trials=444, good_clusters=135, whisker=left, elapsed=10.1s
[ok] 91a3353a-2da1-420d-8c7c-fad2fedfdd18: raw_trials=508, kept_trials=383, good_clusters=68, whisker=left, elapsed=3.1s
[ok] 88224abb-5746-431f-9c17-17d7ef806e6a: raw_trials=452, kept_trials=355, good_clusters=211, whisker=left, elapsed=11.8s
[ok] d2832a38-27f6-452d-91d6-af72d794136c: raw_trials=663, kept_trials=513, good_clusters=148, whisker=left, elapsed=14.4s
[ok] 72028382-a869-4745-bacf-cb8789e16953: raw_trials=986, kept_trials=765, good_clusters=142, whisker=left, elapsed=17.0s
[skip] ac7d3064-7f09-48a3-88d2-e86a4eb86461: Missing whisker motion energy files for /app/data/one_cache/cortexlab/Subjects/KS052/2021-05-13/001
[skip] 7082d8ff-255a-47d7-a839-bf093483ec30: Missing whisker motion energy files for /app/data/one_cache/cortexlab/Subjects/KS051/2021-05-13/001
[ok] a4a74102-2af5-45dc-9e41-ef7f5aed88be: raw_trials=408, kept_trials=270, good_clusters=372, whisker=left, elapsed=15.8s
[ok] ee212778-3903-4f5b-ac4b-a72f22debf03: raw_trials=522, kept_trials=338, good_clusters=146, whisker=left, elapsed=7.3s
[ok] e9fc0a2d-c69d-44d1-9fa3-314782387cae: raw_trials=430, kept_trials=232, good_clusters=85, whisker=left, elapsed=21.2s
[ok] fa1f26a1-eb49-4b24-917e-19f02a18ac61: raw_trials=605, kept_trials=493, good_clusters=129, whisker=left, elapsed=5.1s
[ok] 15948667-747b-4702-9d53-354ac70e9119: raw_trials=439, kept_trials=183, good_clusters=287, whisker=left, elapsed=32.7s
[ok] 4503697e-af44-47d9-898d-4924be990240: raw_trials=415, kept_trials=304, good_clusters=23, whisker=left, elapsed=2.9s
[ok] 0a018f12-ee06-4b11-97aa-bbbff5448e9f: raw_trials=478, kept_trials=306, good_clusters=126, whisker=left, elapsed=4.9s
[ok] 6f6d2c8e-28be-49f4-ae4d-06be2d3148c1: raw_trials=552, kept_trials=393, good_clusters=295, whisker=left, elapsed=7.5s
