Loaded QLAK-CA1-08 in 8.83s
  QLAK-CA1-08_day00: neurons 185->182, trials 39, 0.34s
  QLAK-CA1-74_day12: neurons 284->282, trials 40, 0.51s
  QLAK-CA1-74_day13: neurons 303->297, trials 40, 0.52s
  QLAK-CA1-74_day14: neurons 289->282, trials 40, 0.49s
  QLAK-CA1-74_day15: neurons 289->282, trials 40, 0.48s
  QLAK-CA1-74_day16: neurons 300->296, trials 40, 0.56s
  QLAK-CA1-74_day17: neurons 258->250, trials 40, 0.42s
  QLAK-CA1-74_day18: neurons 321->318, trials 40, 0.60s
  QLAK-CA1-74_day19: neurons 339->335, trials 40, 0.61s
  QLAK-CA1-74_day20: neurons 328->325, trials 40, 0.56s
  QLAK-CA1-74_day21: neurons 361->358, trials 40, 0.62s
  QLAK-CA1-74_day22: neurons 389->387, trials 40, 0.67s
  QLAK-CA1-74_day23: neurons 344->342, trials 40, 0.60s
  QLAK-CA1-74_day24: neurons 359->355, trials 40, 0.60s
  QLAK-CA1-74_day25: neurons 315->311, trials 40, 0.53s
  QLAK-CA1-74_day26: neurons 294->287, trials 40, 0.49s
  QLAK-CA1-74_day27: neurons 300->291, trials 40, 0.45s
  QLAK-CA1-74_day28: neurons 370->363, trials 40, 0.63s
  QLAK-CA1-74_day29: neurons 405->401, trials 40, 0.73s
  QLAK-CA1-74_day30: neurons 391->388, trials 40, 0.69s
Loaded QLAK-CA1-75 in 15.83s
  QLAK-CA1-75_day00: neurons 356->345, trials 40, 0.60s
  QLAK-CA1-75_day01: neurons 263->254, trials 40, 0.46s
  QLAK-CA1-75_day02: neurons 294->288, trials 40, 0.56s
  QLAK-CA1-75_day03: neurons 285->276, trials 40, 0.56s
  QLAK-CA1-75_day04: neurons 368->362, trials 40, 0.70s
  QLAK-CA1-75_day05: neurons 288->283, trials 40, 0.58s
  QLAK-CA1-75_day06: neurons 330->327, trials 40, 0.63s
  QLAK-CA1-75_day07: neurons 438->433, trials 40, 0.79s
  QLAK-CA1-75_day08: neurons 393->391, trials 40, 0.72s
  QLAK-CA1-75_day09: neurons 384->379, trials 40, 0.71s
  QLAK-CA1-75_day10: neurons 396->390, trials 40, 0.69s
  QLAK-CA1-75_day11: neurons 344->336, trials 40, 0.63s
  QLAK-CA1-75_day12: neurons 344->342, trials 40, 0.64s
  QLAK-CA1-75_day13: neurons 395->386, trials 40, 0.72s
  QLAK-CA1-75_day14: neurons 433->429, trials 40, 0.74s
  QLAK-CA1-75_day15: neurons 389->383, trials 40, 0.70s
  QLAK-CA1-75_day16: neurons 419->413, trials 40, 0.74s
  QLAK-CA1-75_day17: neurons 442->431, trials 40, 0.76s
  QLAK-CA1-75_day18: neurons 480->477, trials 40, 0.85s
  QLAK-CA1-75_day19: neurons 435->433, trials 40, 0.79s
  QLAK-CA1-75_day20: neurons 436->433, trials 40, 0.77s
  QLAK-CA1-75_day21: neurons 424->420, trials 40, 0.77s
  QLAK-CA1-75_day22: neurons 450->446, trials 40, 0.78s
  QLAK-CA1-75_day23: neurons 421->414, trials 40, 0.76s
  QLAK-CA1-75_day24: neurons 501->497, trials 40, 0.84s
  QLAK-CA1-75_day25: neurons 420->416, trials 40, 0.76s
  QLAK-CA1-75_day26: neurons 393->387, trials 40, 0.65s
  QLAK-CA1-75_day27: neurons 487->485, trials 40, 0.81s
  QLAK-CA1-75_day28: neurons 499->493, trials 40, 0.83s
  QLAK-CA1-75_day29: neurons 535->533, trials 40, 0.92s
  QLAK-CA1-75_day30: neurons 514->511, trials 40, 0.85s
Summary: sessions=207, trials=8187, source_present_cells=69744, retained_cells=68862
Output counts=[489566, 483825, 663743, 370439, 281301, 377493, 568320, 693665, 983848], fractions=[0.099663, 0.098495, 0.135121, 0.075412, 0.057266, 0.076848, 0.115696, 0.141213, 0.200287]
Saved /app/converted_data.pkl (6.127 GiB) in 5.33s; total 219.18s
