Found 174 NWB files in /app/data
[1/174] SC015_20190207_120657_s1: 459 neurons, 354/368 trials, 0.77s  {'trials': 0.171, 'read_spikes': 0.228, 'bin_spikes': 0.219, 'regions': 0.076, 'inputs': 0.001, 'outputs': 0.051, 'assemble': 0.017}  [elapsed 2s, eta 273s]
[21/174] SC011_20190226_140636_s8: 292 neurons, 436/440 trials, 0.77s  {'trials': 0.197, 'read_spikes': 0.251, 'bin_spikes': 0.193, 'regions': 0.062, 'inputs': 0.001, 'outputs': 0.04, 'assemble': 0.016}  [elapsed 3s, eta 24s]
[22/174] SC013_20190513_144253_s22: 300 neurons, 496/534 trials, 0.98s  {'trials': 0.18, 'read_spikes': 0.392, 'bin_spikes': 0.237, 'regions': 0.081, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.012}  [elapsed 3s, eta 23s]
[23/174] SC013_20190514_154424_s23: 290 neurons, 559/581 trials, 0.98s  {'trials': 0.166, 'read_spikes': 0.384, 'bin_spikes': 0.255, 'regions': 0.079, 'inputs': 0.001, 'outputs': 0.069, 'assemble': 0.013}  [elapsed 3s, eta 23s]
[24/174] SC013_20190515_153723_s24: 314 neurons, 597/602 trials, 1.02s  {'trials': 0.185, 'read_spikes': 0.357, 'bin_spikes': 0.309, 'regions': 0.079, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.016}  [elapsed 4s, eta 22s]
[25/174] SC013_20190516_152922_s25: 501 neurons, 437/439 trials, 1.2s  {'trials': 0.205, 'read_spikes': 0.496, 'bin_spikes': 0.326, 'regions': 0.077, 'inputs': 0.001, 'outputs': 0.069, 'assemble': 0.014}  [elapsed 4s, eta 23s]
[26/174] SC013_20190517_150543_s26: 278 neurons, 682/684 trials, 1.23s  {'trials': 0.23, 'read_spikes': 0.444, 'bin_spikes': 0.366, 'regions': 0.08, 'inputs': 0.001, 'outputs': 0.086, 'assemble': 0.014}  [elapsed 4s, eta 23s]
[27/174] SC022_20190227_134351_s1: 279 neurons, 538/540 trials, 0.88s  {'trials': 0.212, 'read_spikes': 0.231, 'bin_spikes': 0.297, 'regions': 0.079, 'inputs': 0.001, 'outputs': 0.037, 'assemble': 0.012}  [elapsed 4s, eta 22s]
[28/174] SC022_20190228_140832_s2: 603 neurons, 460/460 trials, 1.07s  {'trials': 0.185, 'read_spikes': 0.338, 'bin_spikes': 0.409, 'regions': 0.079, 'inputs': 0.001, 'outputs': 0.031, 'assemble': 0.02}  [elapsed 4s, eta 22s]
[29/174] SC022_20190301_140324_s3: 433 neurons, 281/501 trials, 0.64s  {'trials': 0.173, 'read_spikes': 0.145, 'bin_spikes': 0.165, 'regions': 0.077, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.008}  [elapsed 4s, eta 21s]
[30/174] SC022_20190302_150148_s4: 425 neurons, 501/501 trials, 0.97s  {'trials': 0.16, 'read_spikes': 0.299, 'bin_spikes': 0.351, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.057, 'assemble': 0.013}  [elapsed 4s, eta 21s]
[31/174] SC022_20190303_144606_s5: 436 neurons, 692/692 trials, 1.37s  {'trials': 0.19, 'read_spikes': 0.498, 'bin_spikes': 0.462, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.098, 'assemble': 0.03}  [elapsed 5s, eta 21s]
[32/174] SC023_20190530_173316_s5: 553 neurons, 645/660 trials, 1.51s  {'trials': 0.194, 'read_spikes': 0.543, 'bin_spikes': 0.54, 'regions': 0.078, 'inputs': 0.002, 'outputs': 0.092, 'assemble': 0.039}  [elapsed 5s, eta 21s]
[33/174] SC023_20190531_161406_s6: 499 neurons, 796/800 trials, 1.54s  {'trials': 0.194, 'read_spikes': 0.487, 'bin_spikes': 0.614, 'regions': 0.079, 'inputs': 0.002, 'outputs': 0.093, 'assemble': 0.051}  [elapsed 5s, eta 23s]
[34/174] SC023_20190601_175411_s7: 571 neurons, 660/660 trials, 1.37s  {'trials': 0.182, 'read_spikes': 0.403, 'bin_spikes': 0.578, 'regions': 0.079, 'inputs': 0.001, 'outputs': 0.084, 'assemble': 0.029}  [elapsed 5s, eta 22s]
[35/174] SC023_20190602_155210_s8: 533 neurons, 688/690 trials, 1.46s  {'trials': 0.18, 'read_spikes': 0.499, 'bin_spikes': 0.56, 'regions': 0.079, 'inputs': 0.002, 'outputs': 0.091, 'assemble': 0.036}  [elapsed 6s, eta 23s]
[36/174] SC023_20190603_160047_s9: 675 neurons, 420/430 trials, 1.41s  {'trials': 0.19, 'read_spikes': 0.544, 'bin_spikes': 0.492, 'regions': 0.081, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.025}  [elapsed 6s, eta 23s]
[37/174] SC023_20190604_152447_s10: 496 neurons, 655/661 trials, 1.67s  {'trials': 0.18, 'read_spikes': 0.676, 'bin_spikes': 0.63, 'regions': 0.077, 'inputs': 0.001, 'outputs': 0.075, 'assemble': 0.019}  [elapsed 7s, eta 25s]
[38/174] SC026_20190805_152117_s21: 498 neurons, 561/561 trials, 1.21s  {'trials': 0.203, 'read_spikes': 0.381, 'bin_spikes': 0.452, 'regions': 0.079, 'inputs': 0.001, 'outputs': 0.064, 'assemble': 0.016}  [elapsed 7s, eta 25s]
[39/174] SC026_20190806_143015_s22: 530 neurons, 611/611 trials, 1.41s  {'trials': 0.18, 'read_spikes': 0.536, 'bin_spikes': 0.495, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.081, 'assemble': 0.029}  [elapsed 7s, eta 24s]
[40/174] SC026_20190807_134913_s20: 463 neurons, 505/630 trials, 0.92s  {'trials': 0.173, 'read_spikes': 0.211, 'bin_spikes': 0.355, 'regions': 0.057, 'inputs': 0.001, 'outputs': 0.1, 'assemble': 0.014}  [elapsed 7s, eta 23s]
[41/174] SC026_20190808_140448_s23: 599 neurons, 750/750 trials, 1.83s  {'trials': 0.209, 'read_spikes': 0.635, 'bin_spikes': 0.751, 'regions': 0.077, 'inputs': 0.002, 'outputs': 0.098, 'assemble': 0.038}  [elapsed 8s, eta 25s]
[42/174] SC027_20190729_145044_s17: 224 neurons, 579/580 trials, 0.89s  {'trials': 0.18, 'read_spikes': 0.329, 'bin_spikes': 0.226, 'regions': 0.058, 'inputs': 0.002, 'outputs': 0.08, 'assemble': 0.013}  [elapsed 8s, eta 24s]
[43/174] SC027_20190730_154125_s18: 478 neurons, 550/550 trials, 1.15s  {'trials': 0.188, 'read_spikes': 0.427, 'bin_spikes': 0.363, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.021}  [elapsed 8s, eta 24s]
[44/174] SC027_20190731_151805_s19: 488 neurons, 522/524 trials, 1.23s  {'trials': 0.18, 'read_spikes': 0.503, 'bin_spikes': 0.379, 'regions': 0.077, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.015}  [elapsed 8s, eta 23s]
[45/174] SC027_20190801_135056_s20: 427 neurons, 567/569 trials, 1.02s  {'trials': 0.183, 'read_spikes': 0.315, 'bin_spikes': 0.354, 'regions': 0.056, 'inputs': 0.001, 'outputs': 0.086, 'assemble': 0.016}  [elapsed 8s, eta 22s]
[46/174] SC027_20190803_150200_s21: 433 neurons, 539/542 trials, 1.19s  {'trials': 0.182, 'read_spikes': 0.413, 'bin_spikes': 0.421, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.069, 'assemble': 0.015}  [elapsed 8s, eta 22s]
[47/174] SC027_20190804_152922_s22: 428 neurons, 502/513 trials, 1.26s  {'trials': 0.191, 'read_spikes': 0.501, 'bin_spikes': 0.389, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.016}  [elapsed 8s, eta 22s]
[48/174] SC038_20191119_115109_s4: 106 neurons, 426/450 trials, 0.54s  {'trials': 0.205, 'read_spikes': 0.139, 'bin_spikes': 0.067, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.06, 'assemble': 0.006}  [elapsed 8s, eta 21s]
[49/174] SC038_20191119_130822_s5: 157 neurons, 373/400 trials, 0.53s  {'trials': 0.176, 'read_spikes': 0.126, 'bin_spikes': 0.098, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.058, 'assemble': 0.005}  [elapsed 8s, eta 21s]
[50/174] SC038_20191120_115527_s6: 217 neurons, 387/404 trials, 0.54s  {'trials': 0.163, 'read_spikes': 0.127, 'bin_spikes': 0.134, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.045, 'assemble': 0.007}  [elapsed 8s, eta 20s]
[51/174] SC038_20191120_130334_s7: 194 neurons, 424/454 trials, 0.62s  {'trials': 0.166, 'read_spikes': 0.171, 'bin_spikes': 0.144, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.007}  [elapsed 8s, eta 20s]
[52/174] SC038_20191121_113844_s8: 344 neurons, 415/440 trials, 0.84s  {'trials': 0.172, 'read_spikes': 0.252, 'bin_spikes': 0.257, 'regions': 0.08, 'inputs': 0.001, 'outputs': 0.061, 'assemble': 0.016}  [elapsed 8s, eta 20s]
[53/174] SC038_20191121_124405_s9: 253 neurons, 458/480 trials, 0.68s  {'trials': 0.17, 'read_spikes': 0.2, 'bin_spikes': 0.181, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.052, 'assemble': 0.009}  [elapsed 8s, eta 19s]
[54/174] SC038_20191122_134226_s10: 343 neurons, 444/470 trials, 0.82s  {'trials': 0.213, 'read_spikes': 0.222, 'bin_spikes': 0.244, 'regions': 0.066, 'inputs': 0.001, 'outputs': 0.053, 'assemble': 0.015}  [elapsed 8s, eta 19s]
[55/174] SC038_20191122_144855_s11: 477 neurons, 395/415 trials, 0.83s  {'trials': 0.164, 'read_spikes': 0.226, 'bin_spikes': 0.307, 'regions': 0.063, 'inputs': 0.001, 'outputs': 0.051, 'assemble': 0.011}  [elapsed 9s, eta 19s]
[56/174] SC038_20191123_135013_s12: 332 neurons, 397/421 trials, 0.59s  {'trials': 0.2, 'read_spikes': 0.073, 'bin_spikes': 0.173, 'regions': 0.068, 'inputs': 0.001, 'outputs': 0.048, 'assemble': 0.024}  [elapsed 9s, eta 18s]
[57/174] SC038_20191123_145127_s13: 442 neurons, 577/600 trials, 0.87s  {'trials': 0.188, 'read_spikes': 0.169, 'bin_spikes': 0.343, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.075, 'assemble': 0.021}  [elapsed 9s, eta 18s]
[58/174] SC030_20191002_143533_s32: 452 neurons, 550/581 trials, 1.3s  {'trials': 0.175, 'read_spikes': 0.555, 'bin_spikes': 0.363, 'regions': 0.088, 'inputs': 0.002, 'outputs': 0.087, 'assemble': 0.018}  [elapsed 9s, eta 18s]
[59/174] SC030_20191003_153548_s33: 272 neurons, 487/507 trials, 1.01s  {'trials': 0.194, 'read_spikes': 0.415, 'bin_spikes': 0.217, 'regions': 0.084, 'inputs': 0.002, 'outputs': 0.071, 'assemble': 0.02}  [elapsed 9s, eta 18s]
[60/174] SC030_20191004_143720_s34: 414 neurons, 455/491 trials, 1.05s  {'trials': 0.163, 'read_spikes': 0.34, 'bin_spikes': 0.336, 'regions': 0.106, 'inputs': 0.002, 'outputs': 0.066, 'assemble': 0.025}  [elapsed 9s, eta 18s]
[61/174] SC030_20191005_142316_s35: 346 neurons, 665/700 trials, 1.2s  {'trials': 0.228, 'read_spikes': 0.421, 'bin_spikes': 0.367, 'regions': 0.084, 'inputs': 0.001, 'outputs': 0.077, 'assemble': 0.016}  [elapsed 10s, eta 18s]
[62/174] SC031_20191021_142044_s48: 532 neurons, 418/440 trials, 1.0s  {'trials': 0.197, 'read_spikes': 0.313, 'bin_spikes': 0.31, 'regions': 0.083, 'inputs': 0.001, 'outputs': 0.069, 'assemble': 0.017}  [elapsed 10s, eta 18s]
[63/174] SC031_20191022_133136_s49: 279 neurons, 512/570 trials, 1.06s  {'trials': 0.204, 'read_spikes': 0.377, 'bin_spikes': 0.302, 'regions': 0.069, 'inputs': 0.002, 'outputs': 0.081, 'assemble': 0.016}  [elapsed 10s, eta 17s]
[64/174] SC031_20191023_142402_s50: 178 neurons, 486/530 trials, 0.72s  {'trials': 0.17, 'read_spikes': 0.252, 'bin_spikes': 0.15, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.008}  [elapsed 10s, eta 17s]
[65/174] SC032_20191217_123303_s54: 259 neurons, 403/450 trials, 0.73s  {'trials': 0.17, 'read_spikes': 0.262, 'bin_spikes': 0.159, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.061, 'assemble': 0.009}  [elapsed 10s, eta 17s]
[66/174] SC032_20191218_111453_s55: 322 neurons, 485/520 trials, 0.89s  {'trials': 0.174, 'read_spikes': 0.282, 'bin_spikes': 0.269, 'regions': 0.069, 'inputs': 0.002, 'outputs': 0.069, 'assemble': 0.017}  [elapsed 10s, eta 16s]
[67/174] SC032_20191219_134919_s56: 368 neurons, 416/450 trials, 0.91s  {'trials': 0.162, 'read_spikes': 0.372, 'bin_spikes': 0.23, 'regions': 0.069, 'inputs': 0.001, 'outputs': 0.061, 'assemble': 0.012}  [elapsed 10s, eta 16s]
[68/174] SC032_20191220_140433_s57: 184 neurons, 464/490 trials, 0.67s  {'trials': 0.182, 'read_spikes': 0.206, 'bin_spikes': 0.14, 'regions': 0.066, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.007}  [elapsed 10s, eta 16s]
[69/174] SC033_20191112_114755_s31: 156 neurons, 441/480 trials, 0.53s  {'trials': 0.167, 'read_spikes': 0.128, 'bin_spikes': 0.104, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.058, 'assemble': 0.007}  [elapsed 10s, eta 15s]
[70/174] SC033_20191113_135640_s32: 150 neurons, 396/423 trials, 0.66s  {'trials': 0.184, 'read_spikes': 0.224, 'bin_spikes': 0.095, 'regions': 0.068, 'inputs': 0.001, 'outputs': 0.072, 'assemble': 0.012}  [elapsed 10s, eta 15s]
[71/174] SC033_20191114_142520_s33: 190 neurons, 479/503 trials, 0.7s  {'trials': 0.182, 'read_spikes': 0.232, 'bin_spikes': 0.14, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.008}  [elapsed 10s, eta 15s]
[72/174] SC033_20191115_135939_s34: 141 neurons, 635/665 trials, 0.76s  {'trials': 0.241, 'read_spikes': 0.201, 'bin_spikes': 0.163, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.081, 'assemble': 0.009}  [elapsed 10s, eta 14s]
[73/174] SC035_20200107_111633_s33: 365 neurons, 519/541 trials, 0.95s  {'trials': 0.212, 'read_spikes': 0.27, 'bin_spikes': 0.314, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.065, 'assemble': 0.013}  [elapsed 10s, eta 14s]
[74/174] SC035_20200108_105741_s34: 254 neurons, 600/640 trials, 1.1s  {'trials': 0.209, 'read_spikes': 0.398, 'bin_spikes': 0.326, 'regions': 0.066, 'inputs': 0.001, 'outputs': 0.083, 'assemble': 0.012}  [elapsed 11s, eta 14s]
[75/174] SC035_20200109_111437_s35: 323 neurons, 492/517 trials, 0.76s  {'trials': 0.164, 'read_spikes': 0.188, 'bin_spikes': 0.265, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.064, 'assemble': 0.011}  [elapsed 11s, eta 14s]
[76/174] SC035_20200110_142717_s36: 269 neurons, 470/500 trials, 0.71s  {'trials': 0.163, 'read_spikes': 0.148, 'bin_spikes': 0.246, 'regions': 0.067, 'inputs': 0.001, 'outputs': 0.071, 'assemble': 0.012}  [elapsed 11s, eta 14s]
[77/174] SC043_20200921_162104_s29: 605 neurons, 298/320 trials, 0.91s  {'trials': 0.164, 'read_spikes': 0.326, 'bin_spikes': 0.262, 'regions': 0.103, 'inputs': 0.001, 'outputs': 0.037, 'assemble': 0.011}  [elapsed 11s, eta 13s]
[78/174] SC043_20200922_135318_s24: 378 neurons, 519/527 trials, 1.25s  {'trials': 0.216, 'read_spikes': 0.539, 'bin_spikes': 0.314, 'regions': 0.08, 'inputs': 0.002, 'outputs': 0.08, 'assemble': 0.013}  [elapsed 11s, eta 14s]
[79/174] SC043_20200923_151145_s25: 537 neurons, 527/530 trials, 1.48s  {'trials': 0.183, 'read_spikes': 0.653, 'bin_spikes': 0.435, 'regions': 0.103, 'inputs': 0.001, 'outputs': 0.075, 'assemble': 0.016}  [elapsed 12s, eta 14s]
[80/174] SC043_20200924_134307_s26: 374 neurons, 625/629 trials, 1.22s  {'trials': 0.168, 'read_spikes': 0.473, 'bin_spikes': 0.386, 'regions': 0.105, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.015}  [elapsed 12s, eta 14s]
[81/174] SC043_20200925_153348_s27: 322 neurons, 425/461 trials, 0.91s  {'trials': 0.214, 'read_spikes': 0.312, 'bin_spikes': 0.223, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.063, 'assemble': 0.01}  [elapsed 12s, eta 13s]
[82/174] SC043_20200928_141416_s28: 90 neurons, 526/530 trials, 0.51s  {'trials': 0.163, 'read_spikes': 0.116, 'bin_spikes': 0.084, 'regions': 0.067, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.006}  [elapsed 12s, eta 13s]
[83/174] SC045_20201209_115448_s17: 110 neurons, 503/580 trials, 0.53s  {'trials': 0.156, 'read_spikes': 0.127, 'bin_spikes': 0.085, 'regions': 0.068, 'inputs': 0.001, 'outputs': 0.076, 'assemble': 0.012}  [elapsed 12s, eta 13s]
[84/174] SC045_20201210_113111_s18: 180 neurons, 605/640 trials, 0.67s  {'trials': 0.179, 'read_spikes': 0.147, 'bin_spikes': 0.173, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.01}  [elapsed 12s, eta 12s]
[85/174] SC045_20201211_110651_s19: 233 neurons, 395/410 trials, 0.73s  {'trials': 0.185, 'read_spikes': 0.258, 'bin_spikes': 0.127, 'regions': 0.108, 'inputs': 0.0, 'outputs': 0.043, 'assemble': 0.007}  [elapsed 12s, eta 12s]
[86/174] SC045_20201214_120340_s21: 459 neurons, 441/450 trials, 1.11s  {'trials': 0.174, 'read_spikes': 0.46, 'bin_spikes': 0.302, 'regions': 0.088, 'inputs': 0.0, 'outputs': 0.067, 'assemble': 0.013}  [elapsed 12s, eta 12s]
[87/174] SC045_20201216_120333_s24: 480 neurons, 261/264 trials, 0.78s  {'trials': 0.18, 'read_spikes': 0.262, 'bin_spikes': 0.171, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.089, 'assemble': 0.008}  [elapsed 12s, eta 12s]
[88/174] SC045_20201217_120512_s22: 304 neurons, 437/440 trials, 0.93s  {'trials': 0.214, 'read_spikes': 0.338, 'bin_spikes': 0.226, 'regions': 0.067, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.009}  [elapsed 12s, eta 12s]
[89/174] SC045_20201218_113815_s23: 328 neurons, 517/520 trials, 0.85s  {'trials': 0.191, 'read_spikes': 0.239, 'bin_spikes': 0.268, 'regions': 0.073, 'inputs': 0.001, 'outputs': 0.063, 'assemble': 0.013}  [elapsed 12s, eta 11s]
[90/174] SC048_20201224_122322_s10: 148 neurons, 431/470 trials, 0.52s  {'trials': 0.151, 'read_spikes': 0.125, 'bin_spikes': 0.112, 'regions': 0.066, 'inputs': 0.0, 'outputs': 0.058, 'assemble': 0.007}  [elapsed 12s, eta 11s]
[91/174] SC048_20201225_114244_s11: 237 neurons, 643/666 trials, 0.74s  {'trials': 0.175, 'read_spikes': 0.184, 'bin_spikes': 0.226, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.012}  [elapsed 12s, eta 11s]
[92/174] SC048_20201226_121710_s12: 371 neurons, 696/700 trials, 1.45s  {'trials': 0.256, 'read_spikes': 0.571, 'bin_spikes': 0.435, 'regions': 0.066, 'inputs': 0.002, 'outputs': 0.083, 'assemble': 0.027}  [elapsed 13s, eta 11s]
[93/174] SC048_20201229_125330_s13: 439 neurons, 524/530 trials, 1.29s  {'trials': 0.19, 'read_spikes': 0.52, 'bin_spikes': 0.397, 'regions': 0.088, 'inputs': 0.0, 'outputs': 0.072, 'assemble': 0.018}  [elapsed 13s, eta 11s]
[94/174] SC048_20201230_112558_s14: 639 neurons, 524/540 trials, 1.71s  {'trials': 0.2, 'read_spikes': 0.749, 'bin_spikes': 0.539, 'regions': 0.11, 'inputs': 0.001, 'outputs': 0.074, 'assemble': 0.026}  [elapsed 14s, eta 12s]
[95/174] SC048_20201231_114638_s15: 618 neurons, 482/490 trials, 1.18s  {'trials': 0.178, 'read_spikes': 0.384, 'bin_spikes': 0.431, 'regions': 0.067, 'inputs': 0.002, 'outputs': 0.075, 'assemble': 0.028}  [elapsed 14s, eta 11s]
[96/174] SC048_20210101_123136_s16: 205 neurons, 489/500 trials, 0.66s  {'trials': 0.178, 'read_spikes': 0.199, 'bin_spikes': 0.141, 'regions': 0.066, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.009}  [elapsed 14s, eta 11s]
[97/174] SC048_20210103_133044_s17: 523 neurons, 538/540 trials, 1.03s  {'trials': 0.182, 'read_spikes': 0.283, 'bin_spikes': 0.364, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.083, 'assemble': 0.02}  [elapsed 14s, eta 11s]
[98/174] SC048_20210104_131503_s18: 555 neurons, 599/610 trials, 1.11s  {'trials': 0.182, 'read_spikes': 0.269, 'bin_spikes': 0.447, 'regions': 0.091, 'inputs': 0.002, 'outputs': 0.076, 'assemble': 0.032}  [elapsed 14s, eta 11s]
[99/174] SC049_20210106_125834_s14: 532 neurons, 484/560 trials, 1.17s  {'trials': 0.218, 'read_spikes': 0.391, 'bin_spikes': 0.355, 'regions': 0.093, 'inputs': 0.002, 'outputs': 0.078, 'assemble': 0.025}  [elapsed 14s, eta 10s]
[100/174] SC049_20210107_120825_s15: 420 neurons, 489/500 trials, 1.06s  {'trials': 0.194, 'read_spikes': 0.382, 'bin_spikes': 0.306, 'regions': 0.089, 'inputs': 0.001, 'outputs': 0.068, 'assemble': 0.013}  [elapsed 14s, eta 10s]
[101/174] SC049_20210108_135220_s16: 683 neurons, 512/520 trials, 1.45s  {'trials': 0.206, 'read_spikes': 0.554, 'bin_spikes': 0.486, 'regions': 0.089, 'inputs': 0.001, 'outputs': 0.074, 'assemble': 0.026}  [elapsed 14s, eta 10s]
