Selected 168 active exact-VisualBehavior experiments
[1/168] 795953296: EXCLUDED (eye tracking table is missing or empty)
[2/168] 805784331: 180 trials, 22 cells, 3.96s
[38/168] 834279496: 302 trials, 162 cells, 5.62s
[39/168] 836258936: 293 trials, 143 cells, 5.56s
[40/168] 842973730: 146 trials, 136 cells, 5.28s
[41/168] 847125577: 268 trials, 151 cells, 5.31s
[42/168] 848694639: 254 trials, 48 cells, 4.84s
[43/168] 842975542: 213 trials, 429 cells, 7.51s
[44/168] 848692970: 274 trials, 209 cells, 5.77s
[45/168] 844395446: 145 trials, 426 cells, 7.74s
[46/168] 848697625: 263 trials, 123 cells, 4.79s
[47/168] 848697604: 286 trials, 188 cells, 5.82s
[48/168] 853962951: 327 trials, 49 cells, 4.19s
[49/168] 850479305: 228 trials, 120 cells, 5.20s
[50/168] 853328115: 290 trials, 64 cells, 4.59s
[51/168] 852691524: 231 trials, 127 cells, 4.96s
[52/168] 851060467: 265 trials, 125 cells, 5.18s
[53/168] 850489605: 279 trials, 242 cells, 5.99s
[54/168] 851056106: 279 trials, 233 cells, 6.11s
[55/168] 845037476: 185 trials, 556 cells, 10.51s
[56/168] 846487947: 263 trials, 537 cells, 9.85s
[57/168] 855577488: 329 trials, 62 cells, 4.35s
[58/168] 857658471: 280 trials, 63 cells, 4.21s
[59/168] 853962969: 251 trials, 209 cells, 6.25s
[60/168] 856096766: 246 trials, 151 cells, 5.47s
[61/168] 859147033: 189 trials, 108 cells, 4.67s
[62/168] 857660011: 270 trials, 171 cells, 5.43s
[63/168] 856938751: 184 trials, 184 cells, 5.82s
[64/168] 871155338: 267 trials, 65 cells, 4.58s
[65/168] 862848066: 387 trials, 156 cells, 5.22s
[66/168] 872433717: 189 trials, 98 cells, 4.97s
[67/168] 873156540: 200 trials, 77 cells, 4.63s
[68/168] 864370674: 378 trials, 175 cells, 5.78s
[69/168] 873972085: 215 trials, 85 cells, 4.57s
[70/168] 878363088: 200 trials, 52 cells, 4.28s
[71/168] 879331157: 252 trials, 83 cells, 4.84s
[72/168] 880961028: 230 trials, 98 cells, 4.81s
[73/168] 885067844: 206 trials, 81 cells, 4.42s
[74/168] 873154932: 334 trials, 557 cells, 9.60s
[75/168] 877691075: 372 trials, 469 cells, 8.29s
[76/168] 888666698: 149 trials, 85 cells, 4.73s
[77/168] 879332693: 304 trials, 415 cells, 7.83s
[78/168] 873968820: 279 trials, 604 cells, 10.74s
[79/168] 881881171: 307 trials, 457 cells, 7.95s
[80/168] 877018118: 324 trials, 666 cells, 10.99s
[81/168] 880375092: 291 trials, 511 cells, 8.79s
[82/168] 878358326: 343 trials, 556 cells, 10.35s
[83/168] 882935355: 291 trials, 463 cells, 8.35s
[84/168] 889772922: 339 trials, 164 cells, 5.31s
[85/168] 889771676: 250 trials, 242 cells, 6.15s
[86/168] 889775742: 186 trials, 83 cells, 4.92s
[87/168] 885933191: 288 trials, 490 cells, 8.42s
[88/168] 884221469: 347 trials, 516 cells, 9.15s
[89/168] 891996193: 380 trials, 115 cells, 4.75s
[90/168] 891994418: 220 trials, 230 cells, 6.10s
[91/168] 892805315: 356 trials, 134 cells, 5.11s
[92/168] 892799212: 232 trials, 254 cells, 5.91s
[93/168] 894726001: 330 trials, 158 cells, 5.14s
[94/168] 889777243: 323 trials, 482 cells, 8.42s
[95/168] 938003662: 79 trials, 18 cells, 3.97s
[96/168] 940352989: 117 trials, 23 cells, 4.11s
[97/168] 894727297: 205 trials, 245 cells, 6.18s
[98/168] 939327156: 348 trials, 95 cells, 4.92s
[99/168] 936494970: 263 trials, 194 cells, 5.50s
[100/168] 935440133: 300 trials, 197 cells, 5.74s
[101/168] 940352367: 257 trials, 180 cells, 5.61s
[102/168] 940852112: 173 trials, 120 cells, 4.95s
[103/168] 940852658: 334 trials, 69 cells, 4.37s
[104/168] 944366183: 363 trials, 39 cells, 4.18s
[105/168] 942043482: 379 trials, 88 cells, 4.61s
[106/168] 945473009: 81 trials, 9 cells, 3.70s
[107/168] 895422187: 368 trials, 504 cells, 8.58s
[108/168] 947716576: 105 trials, 12 cells, 3.90s
[109/168] 893830436: 362 trials, 560 cells, 10.48s
[110/168] 948507789: 117 trials, 14 cells, 3.60s
[111/168] 950833329: 248 trials, 17 cells, 3.81s
[112/168] 896160394: 307 trials, 558 cells, 10.21s
[113/168] 953443028: 279 trials, 14 cells, 3.84s
[114/168] 946476556: 373 trials, 381 cells, 7.37s
[115/168] 960957793: 394 trials, 13 cells, 3.90s
[116/168] 947724724: 338 trials, 354 cells, 7.10s
[117/168] 962471831: 217 trials, 11 cells, 3.91s
[118/168] 965228792: 181 trials, 15 cells, 3.82s
[119/168] 967005387: 107 trials, 18 cells, 4.09s
[120/168] 949637002: 286 trials, 392 cells, 7.37s
[121/168] 948514870: 378 trials, 451 cells, 8.11s
[122/168] 955278565: 92 trials, 340 cells, 6.89s
[123/168] 951932454: 370 trials, 363 cells, 7.45s
[124/168] 953452368: 257 trials, 360 cells, 7.20s
[125/168] 957655294: 216 trials, 422 cells, 7.72s
[126/168] 1007107386: 365 trials, 13 cells, 3.99s
[127/168] 956820482: 138 trials, 549 cells, 8.95s
[128/168] 1007372463: 291 trials, 9 cells, 3.85s
[129/168] 1008318518: 305 trials, 9 cells, 3.96s
[130/168] 1009114207: 215 trials, 6 cells, 3.90s
[131/168] 1042387068: 229 trials, 22 cells, 3.92s
[132/168] 1042639868: 205 trials, 20 cells, 4.01s
[133/168] 1043831389: 147 trials, 18 cells, 3.81s
[134/168] 974384470: 189 trials, 438 cells, 7.33s
[135/168] 972701564: 269 trials, 511 cells, 8.05s
[136/168] 1044095203: 338 trials, 18 cells, 3.99s
[137/168] 1044678595: 162 trials, 16 cells, 3.92s
[138/168] 1050406399: 336 trials, 10 cells, 3.84s
[139/168] 974945686: 224 trials, 517 cells, 8.23s
[140/168] 1051009897: 230 trials, 8 cells, 3.69s
[141/168] 1051217227: 334 trials, 7 cells, 3.66s
[142/168] 1051423446: 317 trials, 7 cells, 3.77s
[143/168] 1052391266: 349 trials, 10 cells, 3.87s
[144/168] 1052609309: 314 trials, 18 cells, 3.95s
[145/168] 1053605418: 354 trials, 36 cells, 3.97s
[146/168] 1053997501: 319 trials, 13 cells, 4.05s
[147/168] 1054813047: 319 trials, 37 cells, 3.91s
[148/168] 977132456: 258 trials, 555 cells, 9.50s
[149/168] 1065523124: 95 trials, 20 cells, 3.77s
[150/168] 1065523118: 318 trials, 30 cells, 4.23s
[151/168] 1065966776: 180 trials, 21 cells, 3.93s
[152/168] 1067133175: 288 trials, 18 cells, 4.04s
[153/168] 1067133170: 286 trials, 29 cells, 4.09s
[154/168] 1067647876: 218 trials, 25 cells, 4.25s
[155/168] 1067648397: 249 trials, 18 cells, 3.87s
[156/168] 1069286452: 259 trials, 23 cells, 3.81s
[157/168] 1071070929: 211 trials, 26 cells, 3.81s
[158/168] 1081536273: 262 trials, 20 cells, 3.71s
[159/168] 1071440875: 271 trials, 23 cells, 3.88s
[160/168] 1082818566: 266 trials, 21 cells, 3.77s
[161/168] 1082414357: 227 trials, 22 cells, 3.92s
[162/168] 1083070132: 225 trials, 18 cells, 3.81s
[163/168] 1083296280: 269 trials, 10 cells, 3.66s
[164/168] 1084305603: 318 trials, 15 cells, 3.86s
[165/168] 1084795752: 251 trials, 10 cells, 3.89s
[166/168] 1085000574: 255 trials, 13 cells, 3.83s
[167/168] 1085816655: 131 trials, 17 cells, 3.82s
[168/168] 1086048031: 131 trials, 20 cells, 3.81s
Converted sessions: 165
Subjects: 37; regions: ['VISp']
Trials: 42470 (per session 39..409, mean 257.39)
Cell-session observations: 28821 (per session 6..666, mean 174.67)
Total trial timepoints: 10875259; 30 Hz duration: 100.70 h
Running quintile edges: [0.04284863695502281, 4.4092956542968755, 22.64269256591797, 36.29956588745117]
Pupil quintile edges: [75.41921539306641, 84.9402084350586, 94.17828979492188, 107.16933746337891]
Total conversion time: 73.32 s
Saved /app/converted_data.pkl (7775.9 MiB)
