m11_03: 80 trials, 155 cells, 0.26s
m3_04: 80 trials, 814 cells, 0.77s
m3_05: 80 trials, 1022 cells, 1.10s
m3_06: 80 trials, 818 cells, 0.64s
m3_07: 80 trials, 787 cells, 0.77s
m3_08: 80 trials, 783 cells, 0.82s
m3_09: 80 trials, 768 cells, 0.68s
m3_10: 90 trials, 930 cells, 0.82s
m3_11: 80 trials, 1000 cells, 0.80s
m3_12: 80 trials, 1030 cells, 0.73s
m3_13: 80 trials, 980 cells, 0.50s
m3_14: 100 trials, 1050 cells, 0.78s
m4_01: 80 trials, 983 cells, 1.10s
m4_02: 80 trials, 926 cells, 0.99s
m4_03: 75 trials, 1031 cells, 1.14s
m4_04: 41 trials, 1016 cells, 1.23s
m4_05: 80 trials, 1066 cells, 1.31s
m4_06: 80 trials, 1068 cells, 1.13s
m4_07: 80 trials, 1011 cells, 1.09s
m4_08: 80 trials, 1287 cells, 1.26s
m4_09: 50 trials, 1019 cells, 1.16s
m4_10: 80 trials, 1100 cells, 1.47s
m4_11: 80 trials, 990 cells, 1.05s
m4_12: 80 trials, 1039 cells, 1.30s
m4_13: 80 trials, 886 cells, 1.03s
m4_14: 80 trials, 1066 cells, 1.53s
m7_01: 100 trials, 1298 cells, 0.98s
m7_02: 80 trials, 1186 cells, 0.71s
m7_03: 100 trials, 1155 cells, 0.98s
m7_04: 80 trials, 1013 cells, 0.57s
m7_05: 80 trials, 1111 cells, 0.63s
m7_06: 80 trials, 1142 cells, 0.74s
m7_07: 100 trials, 1020 cells, 0.58s
m7_08: 100 trials, 1034 cells, 0.63s
m7_09: 80 trials, 900 cells, 0.54s
m7_10: 80 trials, 886 cells, 0.57s
m7_11: 80 trials, 973 cells, 0.52s
m7_12: 100 trials, 969 cells, 0.73s
m7_13: 80 trials, 988 cells, 0.54s
m7_14: 100 trials, 1192 cells, 0.94s
Wrote /app/converted_data.pkl; sessions=152, trials=12215, neurons(session-sum)=138678, elapsed=108.5s
